POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA6000,0,0,3,77,0,5,3,0,0,93,0,0,12,69,11,6,6,14,5,125,0,0,7,43,6,5,0,0,0,60,5,0,25,83,4,0,0,0,0,124,0,0,0,0,3,0,0,0,0,3,0,0,19,68,6,15,6,3,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,6,3,9,5,0,0,20,0,3,13,26,0,0,0,0,0,45,0,0,0,11,0,0,5,0,0,19,0,5,17,86,31,21,5,3,0,164,0,0,0,8,0,3,5,0,0,14,0,0,3,17,0,0,0,0,0,27,0,0,0,0,6,0,0,0,0,4,0,6,7,40,6,3,0,0,0,57,0,0,0,15,3,3,0,0,0,23,0,0,6,44,12,9,8,0,0,71,0,3,12,37,7,11,3,0,0,65,0,0,3,29,7,3,4,0,0,50
POA6003,0,0,0,30,4,0,4,0,0,31,0,0,3,24,3,0,3,8,3,45,3,0,0,8,0,0,0,0,0,15,0,0,3,47,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,3,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,6,17,0,0,0,0,0,26,0,0,0,0,0,3,0,0,0,3,0,0,0,24,8,4,5,0,0,40,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,5,0,0,0,11,0,3,3,0,0,18,0,0,0,3,6,6,0,0,0,15,0,0,3,14,3,4,0,0,0,26
POA6004,0,0,5,63,7,3,7,0,0,79,0,0,8,36,3,3,7,4,0,66,9,0,8,52,6,8,0,0,0,83,3,0,27,109,13,4,3,0,0,156,0,0,0,0,0,0,0,0,0,4,6,0,37,91,10,11,21,6,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,17,0,0,3,4,0,8,4,5,0,23,0,0,16,23,0,0,0,0,0,42,0,0,0,3,0,3,4,0,0,12,0,4,10,71,30,26,22,0,0,157,0,0,0,6,0,0,0,0,0,15,0,5,8,26,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,3,30,3,4,0,0,0,38,0,0,0,8,0,3,0,0,0,19,0,0,0,33,17,14,3,6,0,68,0,0,8,55,8,6,6,3,0,85,0,0,10,33,4,7,3,0,0,55
POA6005,0,0,3,43,4,3,9,0,0,63,0,0,7,20,0,3,3,8,3,53,0,0,4,11,7,0,0,0,0,24,0,0,8,35,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,3,11,21,3,6,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,3,11,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,7,0,0,4,48,23,5,4,5,0,91,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,0,0,0,0,17,0,0,0,7,0,0,3,3,0,8,0,0,0,20,3,3,3,3,0,33,3,0,10,23,3,0,0,0,0,37,0,0,0,28,6,3,0,0,0,39
POA6006,0,0,0,46,9,5,3,0,0,64,0,0,0,10,5,12,26,52,30,142,0,0,0,4,0,3,0,0,0,6,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,4,0,3,0,24,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,0,0,0,16,0,0,0,0,0,3,4,4,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,3,3,0,3,0,0,14,0,4,3,44,18,13,10,0,0,85,0,0,0,4,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,7,0,0,3,4,4,0,0,0,0,19,0,0,0,10,0,3,0,0,0,16,0,3,0,28,13,4,8,0,0,60,0,0,0,11,4,3,0,0,0,15,0,0,5,17,3,3,0,0,0,32
POA6007,0,3,0,91,4,0,4,0,0,104,0,0,3,16,3,5,9,13,9,70,0,4,0,5,3,0,0,0,0,16,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,18,9,3,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,17,0,3,0,3,0,0,0,0,0,8,0,4,5,24,16,11,4,0,0,67,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,10,0,0,0,3,0,0,0,3,0,9,0,0,4,23,11,13,10,0,0,66,0,0,0,12,3,0,0,0,0,24,0,0,4,31,9,3,0,0,0,47
POA6008,0,8,3,44,17,14,8,4,0,93,3,0,0,15,0,5,11,6,3,50,5,5,3,29,3,0,0,0,0,47,3,3,3,17,5,0,0,0,0,27,0,0,0,3,0,0,0,0,0,3,6,7,15,45,11,14,11,4,3,122,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,3,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,10,0,0,0,13,7,3,4,6,3,45,0,4,12,51,18,20,22,9,0,142,0,0,0,8,0,0,4,0,0,10,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,6,8,0,0,0,0,0,20,0,0,0,7,0,0,0,0,0,18,0,7,12,29,28,20,11,9,0,111,0,11,13,41,7,4,3,3,0,83,0,0,17,55,11,14,8,3,0,113
POA6009,0,3,5,11,4,13,3,0,4,41,0,3,4,3,3,5,10,7,4,42,0,3,8,10,3,4,0,0,0,31,0,3,0,10,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,3,3,11,64,75,39,41,45,23,6,308,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,6,0,0,0,0,3,3,0,0,0,13,0,0,0,10,0,0,0,0,0,10,0,11,11,7,6,10,10,0,4,51,0,14,15,41,23,25,22,7,0,133,0,0,0,3,4,3,3,0,0,14,0,9,12,21,5,0,0,0,0,42,0,0,0,3,3,0,0,0,0,9,0,0,4,3,3,0,0,0,0,16,0,0,0,5,0,0,0,0,0,8,4,12,10,25,18,15,14,7,5,111,0,16,105,75,20,15,24,7,0,267,0,11,48,35,27,22,13,3,3,168
POA6010,0,0,0,27,9,5,6,0,0,56,0,0,7,10,0,3,11,3,0,32,0,8,3,21,3,3,0,0,0,41,0,0,4,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,10,15,10,18,11,16,7,4,87,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,8,0,9,4,0,7,3,3,36,0,9,9,39,28,22,13,7,4,127,0,0,0,3,3,3,0,0,3,19,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,4,3,4,0,0,0,0,0,10,0,0,0,3,0,9,5,0,0,13,0,7,7,18,23,10,16,8,0,90,0,8,20,11,12,14,7,5,0,74,0,18,34,39,44,30,21,3,4,191
POA6011,0,7,3,19,10,3,0,0,0,42,0,0,0,11,3,3,3,0,0,25,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,17,0,5,3,16,14,14,9,0,0,61,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,8,0,0,4,8,8,8,6,5,0,37,0,5,4,3,0,0,3,0,0,22,0,6,5,21,15,15,4,0,0,71
