POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA6000,0,0,0,3,0,0,3,0,0,9,0,0,0,18,0,0,0,0,0,16,0,0,3,47,0,0,0,0,0,55,0,0,3,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,15,38,7,6,3,0,3,78,0,4,16,26,9,15,6,0,0,79,0,0,0,14,3,3,0,0,0,21,0,0,0,10,0,3,0,0,0,17,5,7,39,222,13,21,9,11,3,322,53,34,104,520,105,96,47,15,10,985,237,187,726,3382,607,534,274,108,32,6083,0,0,3,0,0,0,0,0,0,3,150,101,238,808,162,135,75,31,17,1715,0,0,5,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,35,0,0,4,0,0,52,0,0,0,0,0,0,0,0,0,0
POA6003,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,0,0,0,0,14,0,0,0,8,0,4,4,3,0,20,0,0,0,7,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,13,84,9,3,3,0,0,112,7,14,47,203,41,30,11,6,0,356,41,61,184,1032,200,160,88,38,9,1822,0,0,0,0,0,0,0,0,0,0,32,43,99,323,56,61,24,7,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3
POA6004,0,0,0,0,0,0,0,0,0,8,0,0,3,11,0,3,0,0,0,22,0,0,3,27,0,3,0,0,0,36,0,0,4,20,0,3,0,0,0,26,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,4,0,0,15,3,0,3,16,10,4,3,0,0,39,0,0,12,22,5,4,0,0,0,42,0,0,4,10,3,0,0,0,0,14,0,0,3,8,3,0,0,0,0,16,4,4,72,263,24,19,11,7,4,415,24,22,101,451,85,95,49,21,6,848,177,122,683,2820,595,585,377,158,40,5559,0,0,3,0,0,0,0,0,0,3,125,74,219,494,141,204,120,40,11,1426,0,0,0,4,0,0,0,0,0,11,0,0,0,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,0,3,0,0,23,0,0,0,3,0,0,0,0,0,9
POA6005,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,3,0,8,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,4,0,3,16,0,4,3,0,0,32,0,0,3,11,0,3,0,0,0,17,0,0,0,6,4,0,0,0,0,10,0,0,5,11,0,4,0,0,0,16,0,7,25,138,12,11,9,3,0,210,14,8,41,216,50,28,35,19,3,417,85,69,326,1543,317,229,208,98,27,2908,0,0,0,0,0,0,0,0,0,0,60,31,113,497,101,85,61,36,32,1027,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3
POA6006,0,0,0,5,0,6,5,6,0,13,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,3,0,8,6,6,21,0,0,0,4,0,0,0,3,0,8,0,5,0,7,7,7,4,0,0,28,0,0,3,24,15,22,15,3,0,77,0,0,0,6,0,0,0,0,0,7,0,0,3,8,3,0,0,0,0,17,3,11,3,53,19,16,11,3,3,125,12,18,21,109,46,39,19,15,13,283,258,470,429,1503,641,477,286,173,83,4323,0,0,0,0,0,0,0,0,0,0,212,376,352,899,358,272,113,72,48,2710,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,3,12,3,3,0,0,0,17,0,0,0,3,0,0,0,0,0,3
POA6007,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,6,0,0,3,3,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,22,0,3,0,11,0,6,4,4,4,32,0,0,0,7,3,5,0,0,3,18,0,0,0,3,0,4,0,0,0,11,3,4,6,80,6,10,10,0,0,117,16,21,38,136,29,24,24,3,3,276,222,312,355,1495,400,339,233,90,44,3482,0,0,0,0,0,0,0,0,0,0,160,231,273,731,228,207,136,79,58,2106,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,3
POA6008,0,0,0,0,0,7,7,5,0,15,0,3,0,10,0,0,0,0,0,12,0,3,0,6,0,0,3,0,0,13,3,4,7,5,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,5,15,9,32,4,10,10,0,0,87,0,0,0,12,3,3,7,0,0,18,0,0,0,5,4,5,5,3,0,24,0,0,0,9,0,0,5,0,0,24,3,31,16,102,48,11,11,14,0,242,38,36,35,191,64,69,74,36,11,563,435,829,769,2283,949,903,760,330,97,7348,0,0,0,3,0,0,0,0,0,3,341,583,568,1170,557,533,398,174,65,4392,0,0,0,7,0,0,0,0,0,10,0,0,0,6,3,3,0,0,3,16,0,0,0,0,3,0,0,0,0,3,0,6,3,31,14,3,7,0,0,58,0,0,0,0,0,0,0,0,0,4
POA6009,0,0,0,0,0,0,0,0,0,0,0,4,5,16,12,3,5,8,0,52,4,0,3,12,3,6,3,0,0,36,0,0,12,3,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,22,25,11,13,10,0,3,104,0,0,3,17,4,3,0,0,0,30,0,0,0,3,0,0,4,3,0,15,0,0,17,11,9,8,3,0,0,41,5,32,41,103,35,36,8,9,4,271,15,34,85,112,56,53,45,23,14,439,392,1193,2151,2077,1060,957,825,407,157,9212,0,0,0,0,0,0,0,0,0,3,315,828,1092,882,567,585,497,249,166,5187,0,3,7,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,9,18,8,6,3,0,0,56,0,0,0,4,0,0,0,0,0,7
POA6010,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,8,0,3,17,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,22,18,21,11,15,5,3,0,91,0,0,0,0,0,0,0,0,0,7,0,0,3,3,6,3,6,0,0,22,0,0,9,8,4,17,0,0,0,50,6,27,21,70,35,35,14,8,3,233,13,56,62,150,74,69,58,42,12,539,397,1217,1312,1763,1048,955,842,481,191,8200,0,0,0,0,0,0,0,0,0,0,286,757,743,1048,661,653,594,420,292,5452,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,11,13,7,6,3,0,49,0,0,0,4,0,0,0,0,0,14
POA6011,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,14,3,11,4,10,4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,0,0,0,7,0,9,0,0,0,17,3,3,7,34,24,19,10,3,0,106,12,19,31,87,58,44,36,12,3,305,205,593,526,957,637,636,467,214,76,4313,0,0,0,0,0,0,0,0,0,0,149,510,481,631,423,421,330,163,106,3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3
