POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA6000,3,0,92,101,28,12,4,3,0,245,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,3,23,102,43,32,19,3,9,243,0,0,0,7,0,0,0,0,0,3,0,0,16,24,4,0,0,0,0,38,0,0,10,25,0,0,3,0,0,35,0,0,0,0,0,0,0,3,0,3,0,3,25,40,3,3,0,0,0,78,12,10,11,92,0,4,3,3,0,126,0,0,23,34,7,6,4,0,0,73,0,0,0,26,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,55,0,3,3,0,0,64,0,0,9,34,0,0,13,11,16,85,0,0,8,59,7,0,0,0,0,82,0,0,19,93,3,0,0,0,0,125,0,0,0,3,0,0,0,0,0,4,0,0,26,73,14,17,5,0,0,134,0,0,0,0,0,0,0,0,0,0
POA6003,0,0,3,22,4,3,0,0,0,39,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,10,36,3,13,6,8,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,0,3,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,9,24,0,3,3,0,0,34,0,0,0,10,0,3,3,0,0,14,0,0,0,12,0,3,0,0,0,18,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,26,0,0,0,13,0,0,5,9,0,26,0,0,3,15,0,0,0,0,0,25,0,0,13,43,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,6,20,4,4,3,0,0,31,0,0,0,0,0,0,0,0,0,0
POA6004,3,0,63,123,31,14,11,3,0,246,0,0,0,8,0,6,0,0,0,15,0,0,0,5,0,0,0,0,0,5,0,0,21,105,56,46,37,14,4,285,0,0,0,3,0,0,0,0,0,9,0,0,8,27,0,0,0,0,0,42,0,0,3,17,0,0,4,0,0,26,0,0,0,0,0,3,0,0,0,5,0,0,7,40,3,0,5,0,0,65,7,10,11,110,10,10,3,0,0,167,0,0,19,53,8,0,3,0,0,91,0,0,0,38,6,4,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,6,51,3,3,3,0,0,71,0,0,3,20,3,3,5,4,3,43,3,0,6,76,5,3,0,0,0,96,0,3,30,107,5,3,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,3,35,92,16,20,18,8,0,190,0,0,0,0,0,0,0,0,0,0
POA6005,0,3,40,31,8,8,3,0,0,95,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,21,67,20,14,10,6,12,158,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,10,3,3,0,0,0,23,0,0,0,0,0,0,0,0,3,7,0,0,10,9,3,3,0,0,0,22,17,3,4,61,5,0,4,3,0,93,0,3,5,15,0,5,0,0,0,36,0,0,0,24,3,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,30,3,0,0,0,0,33,0,0,3,12,0,0,10,3,9,40,0,3,0,27,0,3,3,0,0,39,0,3,8,41,0,3,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,3,4,27,8,4,3,0,0,54,0,0,0,0,0,0,0,0,0,0
POA6006,0,0,8,24,5,11,3,0,0,46,0,0,0,0,0,3,4,0,3,12,0,0,0,0,0,0,0,0,0,0,0,3,15,88,42,39,18,7,9,225,0,0,0,0,3,0,0,0,0,4,0,0,0,12,0,0,0,0,0,8,0,0,0,8,3,0,5,0,4,20,0,0,0,0,5,0,11,23,18,55,0,0,0,6,0,3,0,0,0,12,0,3,3,10,6,3,3,7,0,33,0,0,0,11,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,43,5,7,0,0,0,60,0,0,0,13,6,11,30,85,55,204,0,0,3,11,3,0,0,0,0,20,0,0,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,6,0,0,3,38,0,0,0,0,0,0,0,0,0,3
POA6007,0,0,3,13,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,4,0,4,13,95,45,30,21,10,17,234,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,0,19,0,0,4,8,4,0,0,0,3,23,0,0,0,0,0,0,0,7,0,10,0,0,0,3,0,3,0,0,0,14,0,3,3,25,3,4,5,0,0,48,0,0,0,5,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,4,3,60,8,6,0,3,0,87,0,0,0,13,3,3,17,24,14,75,0,4,3,16,7,3,0,0,0,34,0,0,4,14,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,7,24,6,3,6,0,0,47,0,0,0,0,0,0,0,0,0,0
POA6008,0,11,29,60,8,8,3,6,0,126,0,0,0,3,0,3,0,3,0,10,0,3,0,3,0,0,0,0,0,6,10,36,23,170,123,96,88,50,24,616,0,0,0,5,0,0,0,0,0,3,0,4,3,32,5,3,3,0,0,49,0,4,0,15,8,7,11,0,0,50,0,0,0,4,0,0,0,0,0,6,0,7,4,8,5,0,3,0,0,30,7,13,8,48,11,12,3,7,0,107,0,3,6,16,4,3,3,3,0,39,0,0,0,18,0,4,7,0,4,30,0,0,0,0,3,0,0,0,0,9,0,0,5,41,7,13,8,25,24,119,0,3,0,9,0,8,11,7,3,43,8,5,4,41,7,3,0,0,0,76,0,3,4,22,10,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,3,8,16,64,15,16,20,5,0,146,0,0,0,0,0,0,0,0,0,0
POA6009,4,16,247,158,55,16,10,7,3,510,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,4,49,80,78,102,78,85,35,23,535,0,0,0,0,0,0,0,0,0,0,0,6,5,11,7,3,4,0,0,35,3,0,6,8,3,10,18,4,3,55,0,3,0,0,0,0,0,0,3,7,4,3,26,26,7,11,13,3,3,104,3,7,21,51,19,19,8,9,3,143,6,12,23,51,9,12,3,3,0,117,0,0,0,22,3,0,0,0,0,25,3,3,0,10,0,0,0,0,0,13,3,0,0,12,12,8,8,4,0,49,0,0,3,3,6,4,3,3,0,28,0,4,7,13,4,6,0,3,0,46,3,3,6,16,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,10,87,105,54,46,67,35,3,413,0,0,0,0,0,0,0,0,0,3
POA6010,0,10,39,42,18,7,5,3,3,124,0,0,0,3,3,3,0,3,0,9,0,0,0,0,0,0,0,0,3,4,8,55,33,96,140,118,109,68,47,674,0,0,0,3,3,0,0,0,0,6,0,4,0,15,0,0,0,0,0,20,0,0,0,15,11,8,11,3,3,55,0,0,0,0,0,0,0,0,0,7,0,12,7,3,10,14,0,0,0,50,0,8,9,35,17,9,10,3,5,89,0,3,0,9,6,7,3,0,0,26,0,0,0,9,7,3,3,3,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,9,11,14,5,3,3,47,0,0,3,5,6,5,5,4,3,35,4,4,0,22,12,7,3,0,0,57,0,3,4,10,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,10,11,28,27,20,13,4,3,108,0,0,0,0,0,0,0,0,0,0
POA6011,0,0,10,7,7,3,4,0,0,28,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,38,17,91,79,52,40,16,22,358,0,0,0,0,0,0,0,0,0,0,0,4,4,7,3,0,0,0,0,17,0,0,3,10,3,3,5,4,3,27,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,3,0,19,0,0,0,3,0,0,0,0,0,15,0,0,0,7,0,3,3,0,0,13,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,29,9,5,0,0,3,55,0,0,0,7,0,0,0,3,3,22,0,3,3,5,4,0,0,0,0,19,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0
