POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA6000,0,0,24,37,12,17,11,5,0,106,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,10,7,3,60,265,24,11,13,5,0,394,26,12,153,426,88,60,29,19,10,826,212,165,884,2843,473,368,222,109,56,5339,0,0,3,8,0,0,0,0,0,12,309,186,487,1985,418,339,155,70,19,3965,0,0,5,14,0,0,0,0,0,18,0,0,4,7,3,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,8,22,46,9,4,4,0,0,91,0,0,0,9,0,0,0,0,0,8,4,8,156,190,45,26,10,9,5,455,0,0,0,9,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,13,0,6,49,292,95,83,67,16,12,618,0,0,0,3,3,0,0,0,0,7,0,3,28,69,10,0,0,0,0,113,0,0,17,48,0,0,9,0,0,71
POA6003,0,0,0,13,6,7,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,15,49,6,7,3,0,0,84,4,6,38,203,22,18,13,9,3,314,46,67,219,951,137,146,70,35,18,1688,0,0,0,0,0,0,0,0,0,0,67,76,174,700,130,132,61,12,3,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,3,13,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,6,10,33,9,8,0,3,0,63,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,15,77,33,31,15,9,0,165,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,37,0,0,3,9,0,0,0,0,0,17
POA6004,0,0,9,22,4,3,0,3,0,53,0,0,3,3,0,0,0,0,0,14,0,0,0,4,0,3,0,0,0,6,13,9,74,271,29,16,13,4,3,421,27,19,112,377,72,79,36,17,3,744,192,133,745,2500,487,514,317,112,39,5036,0,0,0,3,0,0,0,0,0,12,244,134,423,1214,357,452,265,88,25,3195,0,0,0,19,3,3,0,0,0,25,0,0,0,10,3,4,3,5,0,20,0,0,0,0,3,0,0,0,0,3,0,0,5,19,5,5,3,0,0,34,0,0,0,14,0,4,0,0,0,22,3,6,118,194,49,25,14,11,0,426,0,0,0,13,3,6,0,0,0,25,0,0,0,7,0,0,0,0,0,12,0,3,56,268,142,116,87,38,9,711,0,0,3,9,0,0,0,0,0,12,0,0,18,60,7,0,0,0,0,86,0,0,3,37,4,3,5,0,0,62
POA6005,0,0,3,7,0,3,3,0,0,16,0,0,0,9,0,0,0,0,0,8,0,0,4,10,7,0,0,0,0,20,4,6,20,144,13,9,5,3,3,210,15,10,38,193,37,20,38,14,15,372,103,77,313,1416,253,208,169,90,88,2717,0,0,0,0,3,0,0,0,0,3,120,70,236,1059,226,184,142,72,44,2142,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,27,0,0,0,7,0,0,0,0,0,9,0,0,62,61,14,14,3,4,0,158,0,0,0,0,3,0,0,9,0,11,0,0,0,0,0,0,0,0,0,9,3,5,36,159,44,47,39,17,14,360,0,0,0,0,0,0,0,0,0,3,0,0,3,28,4,0,3,0,0,43,0,0,3,23,3,3,9,4,3,41
POA6006,0,0,3,32,25,21,11,7,0,101,0,0,0,5,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,10,0,7,15,59,21,10,9,3,0,121,12,15,29,97,39,36,12,14,12,274,227,425,468,1518,620,473,252,256,176,4425,0,0,0,0,0,0,0,0,0,3,446,799,696,1798,744,544,217,112,59,5409,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,0,0,0,21,0,0,0,4,0,0,0,0,0,9,0,0,3,21,7,3,0,0,0,36,0,0,0,6,0,0,0,0,0,10,0,6,12,29,13,15,3,0,0,73,0,0,0,0,0,3,9,0,3,19,0,0,0,0,0,0,0,0,0,3,0,7,25,178,109,73,53,20,14,475,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0,0,22,0,0,8,14,11,3,13,6,3,52
POA6007,0,0,0,11,6,3,8,0,0,25,0,0,0,4,0,0,0,0,0,7,0,0,0,10,3,3,0,0,0,20,0,5,17,89,19,15,8,5,3,151,3,16,83,107,30,21,23,8,5,296,168,283,447,1452,412,357,259,160,110,3653,0,0,0,0,0,0,0,0,0,0,353,474,527,1518,449,389,246,112,72,4131,0,0,0,5,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,24,8,3,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,5,19,3,5,0,0,0,34,0,0,0,0,0,4,0,0,5,8,0,0,0,0,0,0,3,0,3,7,4,17,26,202,94,82,57,22,14,518,0,0,0,0,3,0,0,0,0,3,0,0,3,24,0,0,0,3,0,30,0,0,4,15,4,0,5,0,4,31
POA6008,0,3,3,14,7,7,4,0,0,35,0,0,0,6,0,0,0,3,0,12,0,0,6,4,3,0,4,0,0,21,8,25,22,149,50,46,24,17,6,346,32,42,50,204,57,80,67,45,21,592,424,800,826,2436,1033,960,747,390,185,7800,0,0,0,3,0,0,0,0,0,3,688,1147,1087,2335,1028,1045,793,323,117,8567,0,0,0,10,0,0,0,0,0,15,0,0,0,4,3,3,4,0,3,17,0,0,0,3,3,0,0,0,0,8,0,9,10,44,19,13,10,0,0,107,0,0,0,0,3,3,3,0,0,19,3,26,50,101,15,12,9,6,0,216,0,0,0,3,3,7,3,3,0,17,0,3,0,8,0,0,0,0,0,13,18,90,62,342,275,229,201,99,37,1346,0,0,0,5,0,0,0,0,0,3,3,8,6,63,16,7,5,0,0,110,0,9,4,31,13,6,14,7,0,89
POA6009,0,3,6,31,7,5,0,0,0,52,0,0,0,6,6,3,0,3,0,12,0,0,8,8,7,3,0,4,0,36,6,31,50,106,33,44,18,14,5,308,10,24,82,97,41,57,50,35,32,419,379,1091,2040,1990,1123,1073,912,451,275,9320,0,0,3,0,0,0,0,0,0,4,639,1731,2276,1793,1119,1087,934,483,249,10299,0,6,4,20,0,3,0,0,0,39,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,18,16,30,17,13,4,0,0,106,0,0,0,11,0,0,0,0,0,12,9,22,560,390,82,24,24,12,4,1139,0,0,0,3,0,3,3,0,0,16,0,0,0,4,0,3,0,6,0,11,10,91,150,172,214,191,180,68,35,1121,0,0,0,3,0,0,0,0,0,8,0,12,12,23,16,3,3,0,0,75,3,5,14,24,9,11,24,6,4,91
POA6010,0,0,0,7,3,0,0,0,0,14,0,0,0,4,10,0,0,0,0,16,0,0,8,21,10,15,3,0,0,57,5,18,32,92,55,38,24,7,6,272,19,41,67,127,78,70,65,73,53,595,329,987,1042,1808,1277,1120,959,654,451,8623,0,0,0,0,0,0,0,0,0,0,639,1671,1654,2117,1247,1168,1090,713,412,10713,0,0,0,5,3,0,0,0,0,12,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,14,29,21,13,12,4,0,105,0,3,9,9,0,3,3,0,0,24,0,27,97,58,28,13,14,9,3,256,0,4,0,4,3,3,3,3,0,17,0,0,0,0,0,3,7,0,3,11,9,116,93,203,266,228,229,132,71,1351,0,0,0,4,3,0,0,0,0,11,0,7,13,23,3,4,0,0,0,55,0,3,7,22,18,16,22,6,3,100
POA6011,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,7,0,0,4,5,3,0,3,0,0,15,5,13,17,29,18,12,3,4,3,113,6,29,38,79,56,44,20,9,15,310,184,641,640,1060,708,635,456,220,171,4703,0,0,0,0,0,0,0,0,0,0,311,977,914,1208,807,835,622,313,160,6145,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,17,10,6,0,0,0,52,0,0,3,0,3,0,0,0,0,8,0,0,13,4,6,3,5,0,0,39,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,3,7,15,77,38,179,160,103,108,35,37,751,0,0,0,0,0,0,0,0,0,0,3,3,8,21,8,3,0,0,0,46,0,0,3,12,9,3,11,6,3,44
