POA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
POA6000,0,0,0,6,0,0,7,4,0,16,0,5,47,68,4,6,0,0,0,142,18,14,19,211,6,14,13,3,0,296,0,4,33,73,7,7,6,0,0,131,0,0,5,61,7,0,3,0,0,79,0,0,0,8,0,0,0,0,0,7,0,0,4,131,0,5,5,0,0,156,0,0,24,101,11,7,17,28,21,209,3,0,13,104,13,9,0,0,0,143,8,3,44,174,7,3,0,0,0,245,0,0,0,5,3,0,0,0,0,7,0,0,44,140,17,32,15,6,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,20,0,4,0,14,6,6,3,3,0,41,0,5,25,46,0,3,0,0,0,78,0,0,3,16,0,5,5,3,4,35,0,6,24,155,58,30,15,3,0,289,0,0,3,12,0,3,5,0,0,17,0,0,6,20,4,0,0,0,0,33
POA6003,0,0,0,0,0,0,0,0,0,3,0,0,9,38,0,3,0,0,0,54,0,3,0,22,4,4,6,0,0,39,0,0,3,13,0,3,0,0,0,20,0,0,0,7,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,3,53,7,0,3,0,0,64,0,0,4,33,3,0,13,14,3,68,4,4,3,30,0,0,0,0,0,38,0,0,16,86,3,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,4,34,7,3,3,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,4,0,0,0,0,11,0,0,11,25,0,0,0,0,0,37,0,0,0,3,0,3,0,0,0,10,0,0,4,40,12,12,4,0,0,75,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3
POA6004,0,0,0,4,3,3,5,3,0,13,0,3,24,65,3,10,9,0,0,114,14,14,20,267,25,11,17,11,0,386,0,0,25,84,10,3,9,4,0,133,3,0,10,97,7,7,3,0,0,131,0,0,0,3,3,3,0,0,0,7,0,3,8,105,9,7,8,0,3,149,0,0,12,62,3,7,14,7,3,109,13,0,12,132,9,10,0,0,0,179,3,3,55,218,14,6,3,0,0,302,0,0,0,0,0,0,0,0,0,4,6,0,73,185,27,30,40,8,3,364,0,0,0,0,0,0,0,0,0,3,0,0,3,23,3,3,4,0,0,41,0,0,3,8,5,7,8,9,0,35,0,0,27,41,0,0,0,0,0,70,0,0,0,7,3,3,14,3,3,26,0,4,22,112,50,46,27,5,0,266,0,0,0,16,0,0,0,0,0,25,6,10,6,44,3,0,0,0,0,64
POA6005,0,3,0,3,0,3,3,7,8,23,0,0,9,13,7,4,0,0,0,39,21,9,10,128,11,0,11,3,0,184,0,3,10,22,0,5,0,0,0,47,0,0,0,58,8,0,0,0,0,71,0,0,0,5,0,0,0,0,0,3,0,3,3,74,8,3,9,0,0,98,0,0,7,40,4,3,12,14,7,88,0,3,0,41,8,3,3,0,0,57,0,6,10,73,3,3,0,0,0,101,0,0,0,3,0,0,0,0,0,3,0,10,12,50,13,12,6,3,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,7,3,3,0,0,0,18,0,0,3,16,0,0,0,0,0,22,0,0,0,0,3,3,3,0,0,10,0,0,14,74,37,13,5,6,0,152,0,0,3,0,3,0,0,0,0,9,0,0,3,3,0,0,0,0,0,13
POA6006,0,0,0,0,7,4,19,40,23,91,0,0,4,17,0,3,0,0,0,18,0,4,3,26,12,4,7,11,3,65,0,0,0,11,3,0,0,0,0,17,0,0,0,8,0,0,3,0,0,10,0,0,3,4,5,0,0,0,0,19,0,5,0,91,11,5,3,0,0,120,0,0,0,20,15,24,58,137,92,342,0,0,3,16,3,4,0,0,0,27,0,0,3,31,4,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,3,4,28,14,11,4,3,3,68,0,0,0,0,0,0,0,5,0,4,0,0,7,11,4,0,0,0,0,29,0,0,0,9,0,12,4,4,4,27,0,0,0,3,0,0,0,0,0,9,0,0,3,9,4,3,4,7,0,26,0,6,16,75,37,24,14,3,0,173,0,0,0,7,7,0,3,0,0,13,0,0,0,5,0,0,0,0,0,9
POA6007,0,0,0,3,0,0,0,4,3,15,0,0,0,14,0,3,0,0,0,19,3,3,3,63,3,9,13,3,3,108,0,3,0,4,0,0,3,0,0,14,0,0,0,14,0,4,0,0,0,17,0,0,0,4,0,0,0,0,0,9,3,7,3,151,13,8,8,3,0,195,0,0,4,29,5,9,26,37,18,138,3,7,8,26,7,3,0,0,0,47,0,3,8,16,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,3,7,42,9,8,10,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,7,0,12,0,0,0,0,0,0,3,0,0,5,0,0,9,12,0,0,0,0,0,22,0,3,0,5,0,4,0,7,3,23,0,4,11,53,35,31,20,0,0,156,0,0,0,12,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,6
POA6008,0,0,0,4,0,0,3,0,0,7,3,7,7,24,10,3,3,3,0,74,7,24,15,95,28,21,13,16,0,219,0,8,9,18,7,5,4,3,0,53,0,3,3,32,5,6,11,0,4,60,0,0,0,0,4,0,0,0,0,8,0,9,4,84,19,21,19,29,24,213,4,3,3,32,7,10,19,18,7,92,13,19,7,71,14,3,0,0,0,118,3,7,11,39,17,0,0,0,0,70,3,0,0,8,0,0,0,0,0,5,6,14,30,104,29,35,33,15,3,271,0,0,0,0,0,0,0,0,0,3,0,0,0,12,4,3,0,0,0,21,0,0,3,5,14,0,4,0,0,25,0,3,3,4,3,0,0,0,0,16,4,3,6,23,13,11,14,11,3,83,0,13,25,84,51,54,41,13,0,273,0,3,3,9,3,3,3,0,0,27,0,3,5,6,4,0,0,0,0,20
POA6009,0,3,0,0,4,3,4,3,3,20,5,9,48,44,20,15,23,8,3,186,3,11,51,99,38,33,28,12,6,285,9,21,39,102,10,15,9,8,0,224,0,0,6,30,14,0,3,0,3,55,6,7,0,25,5,0,0,0,0,46,4,6,3,24,15,19,8,3,4,94,0,3,5,10,7,11,12,10,8,69,0,6,19,22,9,5,0,3,0,74,4,3,6,20,3,3,0,0,0,48,0,0,0,4,0,0,0,0,0,3,3,21,148,187,95,86,115,58,15,724,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,8,3,0,0,18,0,0,3,4,3,10,3,4,3,33,0,0,3,12,0,0,0,0,0,12,3,17,10,12,9,12,17,0,4,80,4,21,27,64,49,44,39,8,3,246,0,0,0,4,5,3,3,0,0,18,0,9,16,39,3,3,0,0,0,71
POA6010,0,0,0,0,0,0,4,4,4,7,5,21,22,11,11,19,7,0,0,93,0,11,13,63,37,16,13,3,5,150,0,3,0,16,8,4,5,3,0,45,0,0,0,16,10,9,4,3,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,35,18,14,15,8,3,102,0,0,4,17,6,11,15,8,3,65,3,12,6,40,16,9,8,0,0,95,0,3,5,11,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,22,23,40,39,36,22,15,8,194,0,0,0,0,0,3,0,0,0,9,0,0,0,3,9,3,0,4,0,11,0,0,3,7,0,7,0,4,0,17,0,0,0,0,0,0,0,0,0,3,0,11,0,10,15,3,10,4,5,63,3,12,15,62,51,60,23,6,7,244,0,0,0,9,3,9,7,4,0,30,0,0,7,6,3,0,0,0,0,18
POA6011,0,0,0,0,0,0,0,0,0,4,0,7,9,18,0,3,0,3,0,37,4,0,3,19,4,3,3,4,3,40,0,0,0,7,0,3,3,0,0,14,0,0,0,8,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,10,46,17,9,0,6,3,94,0,3,4,13,4,5,3,10,4,44,3,3,3,9,4,4,0,0,0,27,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,11,9,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,3,0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,10,4,3,5,0,0,25,0,5,5,43,37,29,11,4,0,141,0,0,0,4,10,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0
