POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,0,0,0,3,3,0,0,0,0,9,0,17,13,95,14,7,7,0,0,151,0,0,0,25,9,6,5,3,3,51,0,0,8,65,21,9,4,0,0,110,3,6,21,85,5,15,9,0,0,152,0,0,12,75,14,5,6,0,0,115,0,0,0,3,0,3,3,0,0,16,0,4,3,25,3,3,0,0,0,38,0,0,23,134,0,0,0,0,0,159,0,4,12,48,3,3,0,0,0,72,0,0,0,0,0,0,6,3,0,10,0,0,0,5,0,0,0,0,0,9,7,5,52,85,12,6,3,3,3,178,0,3,40,61,19,35,13,3,0,180,0,0,0,13,8,3,0,3,0,28,0,0,0,13,3,7,0,0,0,21,13,11,99,486,38,29,22,16,3,724,77,49,256,945,194,159,75,34,18,1810,449,349,1611,6233,1083,895,492,215,92,11425
POA6003,0,0,0,0,0,0,0,0,0,0,0,4,3,21,3,3,0,0,0,38,0,0,0,3,0,4,0,0,0,13,0,0,0,20,0,3,3,0,0,28,0,0,3,5,6,6,0,0,0,23,0,0,10,17,5,7,0,0,0,35,0,0,0,0,0,0,0,4,4,12,0,0,0,0,3,0,0,0,0,3,0,0,3,35,0,0,0,0,0,41,0,0,0,17,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,14,5,0,0,0,0,28,0,0,5,16,14,11,4,3,3,53,0,0,0,7,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,4,25,132,13,13,3,0,0,193,16,23,84,406,67,46,23,16,3,677,92,127,407,1985,338,307,159,76,27,3509
POA6004,0,0,3,0,0,0,0,0,0,4,0,0,5,81,19,8,0,0,0,112,0,0,0,20,6,7,6,0,3,48,0,0,8,60,19,21,8,9,0,119,5,0,30,100,19,15,11,4,3,174,0,0,12,62,12,16,8,0,0,104,0,0,0,8,0,0,0,6,0,15,0,0,0,22,0,3,0,3,3,33,0,0,18,94,3,3,6,0,0,121,3,0,22,56,9,9,0,0,0,94,0,0,0,3,0,0,0,0,0,9,0,0,0,13,0,4,4,0,0,20,3,6,7,39,10,12,3,0,0,87,0,0,23,41,7,6,0,3,0,97,0,0,3,10,3,0,3,0,0,27,0,0,3,12,3,4,0,0,0,27,18,16,142,539,54,39,28,10,4,841,51,39,217,822,154,176,89,40,7,1598,372,254,1429,5322,1082,1097,694,277,70,10596
POA6005,0,0,0,0,0,0,0,0,0,3,0,3,9,33,3,6,0,0,0,54,0,0,0,14,0,6,4,3,0,31,0,0,5,27,11,6,7,3,0,58,3,0,15,31,5,3,3,0,3,63,0,0,6,48,11,7,3,0,0,81,0,0,0,0,0,0,0,0,3,9,0,0,0,5,0,3,4,3,0,21,0,0,5,32,0,0,0,0,0,37,0,0,0,6,4,4,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,3,8,0,0,0,0,0,16,5,4,9,35,0,4,3,0,0,59,0,0,3,15,0,5,3,0,0,26,0,0,0,14,3,0,0,0,0,24,0,0,5,18,4,3,0,0,0,42,7,12,50,281,21,25,19,4,8,414,28,18,78,403,87,51,74,28,17,783,193,153,642,2961,570,437,380,188,115,5624
POA6006,0,0,0,3,5,5,0,0,0,7,0,0,7,22,9,4,3,0,0,40,0,0,0,16,0,11,3,3,4,35,0,3,0,41,20,7,11,3,0,96,0,0,5,18,10,4,3,0,0,49,0,0,11,34,12,3,4,0,0,74,0,0,0,5,3,3,4,9,0,23,0,0,0,12,0,0,0,0,0,16,0,0,0,7,0,0,0,0,0,13,0,0,7,9,6,0,0,0,0,22,0,0,0,0,4,5,17,13,13,51,0,0,0,5,0,0,0,3,0,6,3,3,3,19,9,7,4,0,0,48,0,0,3,53,42,46,21,8,3,181,0,0,0,7,0,0,0,0,0,16,0,0,4,18,3,0,3,0,0,24,3,13,18,108,38,29,19,6,3,243,22,32,54,202,84,78,29,33,25,560,493,890,896,3029,1267,948,538,431,261,8744
POA6007,0,0,0,3,0,0,0,0,0,3,0,0,3,13,0,3,0,0,0,25,0,0,0,13,3,0,0,9,0,27,0,3,5,36,18,22,22,0,3,110,0,3,0,24,7,5,6,0,0,47,0,6,7,56,14,6,4,0,0,83,0,0,0,3,0,3,3,0,0,7,0,0,0,13,3,3,0,0,0,17,0,0,0,19,0,0,0,0,0,16,0,3,4,7,4,3,0,0,0,18,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,3,3,37,8,0,6,0,0,59,0,3,0,23,9,12,7,4,3,54,0,0,0,5,3,5,0,0,3,25,0,0,0,13,3,7,0,0,0,24,3,9,23,169,26,17,12,4,3,267,14,36,117,245,57,43,48,13,9,573,394,590,797,2946,813,695,494,242,153,7130
POA6008,0,0,0,5,3,0,0,0,0,10,0,0,9,34,9,5,8,0,4,64,0,0,0,19,3,6,0,6,9,50,4,13,21,52,34,40,28,22,5,202,0,17,20,66,24,13,16,3,0,159,0,3,29,104,30,32,17,10,0,228,0,0,0,5,3,12,7,8,0,30,0,8,3,16,0,3,3,0,0,39,0,3,3,19,0,4,7,0,0,31,3,7,9,22,8,10,0,0,0,48,0,0,0,3,0,3,0,0,0,4,0,0,3,6,4,0,0,0,0,11,11,28,20,67,19,21,20,0,0,182,0,3,6,21,7,8,8,3,0,51,0,0,0,13,3,9,10,9,0,40,0,0,3,12,3,4,11,0,0,36,8,58,40,250,101,60,35,31,8,591,73,75,84,388,125,151,145,82,36,1156,858,1629,1592,4719,1977,1865,1509,721,277,15144
POA6009,0,0,0,3,7,0,0,0,0,18,0,3,9,19,11,3,3,0,0,51,0,0,0,16,0,4,4,3,0,35,4,24,20,35,38,34,29,13,15,205,6,26,242,143,39,47,42,17,0,560,0,20,94,66,62,52,36,12,6,350,0,0,0,0,0,0,3,0,3,7,6,8,13,33,22,6,18,9,8,125,4,0,9,29,14,19,16,3,0,88,0,0,16,13,0,0,3,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,29,51,37,27,24,21,3,7,204,0,3,9,49,13,6,3,0,0,84,0,0,0,5,9,0,4,7,0,35,0,3,21,21,10,12,4,3,0,74,7,66,88,211,65,78,29,18,4,571,28,58,163,208,98,105,93,58,49,859,767,2286,4189,4065,2185,2027,1735,854,433,18534
POA6010,0,0,0,0,5,0,0,0,0,6,0,6,5,9,4,4,3,0,0,27,0,0,0,19,3,16,3,0,5,50,0,14,12,33,39,27,28,14,9,167,0,12,29,25,40,28,16,10,0,163,0,32,61,80,89,64,38,20,5,385,0,0,0,0,0,3,0,0,0,3,0,0,0,3,10,11,11,3,3,46,0,0,7,7,0,0,0,0,0,10,0,7,11,11,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,12,4,40,31,56,30,26,8,9,0,205,0,0,0,3,9,4,0,0,0,22,0,0,4,6,14,5,4,0,0,36,0,0,15,32,18,32,6,0,0,105,14,46,52,166,84,73,40,18,10,508,32,96,126,274,147,137,127,118,69,1130,723,2203,2351,3569,2322,2077,1802,1139,642,16825
POA6011,0,0,0,4,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,10,0,3,0,7,0,0,0,0,0,12,0,8,10,16,15,22,15,4,0,91,3,18,7,3,3,12,5,0,0,50,0,10,22,47,32,30,14,5,3,168,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,4,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,6,27,12,25,11,23,7,0,0,118,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,5,3,3,0,21,0,0,4,9,4,11,3,0,0,32,12,14,29,63,45,36,19,8,4,220,26,55,67,164,115,92,58,21,18,617,390,1226,1169,2013,1342,1271,919,433,252,9007
