POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA6000,0,0,0,6,3,6,6,15,9,13,5,7,11,8,3,91,0,0,0,0,3,22,46,87,20,38,30,62,79,33,29,455,0,0,0,4,0,3,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,13,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,7,0,5,0,0,3,5,4,7,3,0,5,11,7,3,3,71,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,5,20,11,13,3,18,11,11,9,8,16,142,0,0,0,11,8,5,14,56,11,29,35,37,46,41,7,296,0,0,0,0,3,10,36,17,4,3,6,17,15,4,9,131,0,0,0,0,4,3,3,9,7,7,14,10,19,6,3,79,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,0,0,0,4,5,18,4,21
POA6003,0,0,0,0,0,3,4,6,0,0,3,0,0,0,0,18,0,0,0,0,0,6,10,13,3,0,5,9,8,6,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,9,12,0,9,3,3,3,5,3,54,0,0,0,8,3,3,3,10,3,0,0,4,0,3,4,39,0,0,0,0,0,0,10,3,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,3,20
POA6004,0,0,0,3,0,4,5,12,3,3,0,0,0,4,0,34,0,0,0,3,0,32,57,92,21,32,32,71,59,26,9,426,0,0,4,0,0,4,12,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,12,0,3,0,0,3,3,6,9,0,3,3,9,12,3,0,62,0,0,5,3,3,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,9,14,20,13,10,12,10,12,8,0,3,114,0,4,3,16,4,20,30,73,24,17,37,31,65,45,12,386,0,0,0,0,3,16,38,27,3,6,9,10,8,6,3,133,0,0,0,0,5,5,7,11,17,16,9,20,17,12,3,131,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,0,0,3,5,4,12,4,34
POA6005,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,27,0,0,0,0,3,12,13,30,5,7,15,37,17,10,12,158,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,5,0,5,3,5,3,3,0,4,5,5,4,41,0,0,3,3,4,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,14,10,0,0,0,0,6,4,10,0,39,0,0,0,13,0,3,17,21,11,11,21,28,31,36,4,184,0,0,0,0,0,3,14,10,0,3,4,4,3,0,7,47,0,0,0,0,5,5,6,13,7,8,11,8,5,3,0,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,8,3,13,3,15
POA6006,0,0,3,3,3,4,10,5,0,0,0,0,3,0,0,36,0,0,0,0,5,17,9,13,6,5,0,4,3,3,4,73,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,16,5,8,7,3,11,3,0,3,0,0,0,3,0,52,0,37,32,22,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,4,0,11,0,3,0,0,0,0,0,0,0,18,0,0,3,24,4,3,0,16,0,0,4,9,0,3,3,65,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,17,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,6,0,0,3,0,0,0,0,19,0,0,0,3,4,23,6,30
POA6007,0,0,3,3,0,4,5,5,0,8,0,5,3,0,0,39,0,0,0,0,0,4,8,4,0,0,5,0,6,0,0,34,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,6,0,0,0,0,0,4,0,0,31,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,11,0,4,0,0,0,0,0,0,0,19,0,8,3,11,3,8,5,35,3,6,6,9,10,0,3,108,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,3,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,3,6,4,19,5,34
POA6008,0,0,0,14,9,17,23,14,5,10,4,3,9,0,4,107,0,0,0,0,3,14,38,56,12,19,17,20,25,10,5,216,0,0,6,3,0,3,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,3,8,6,10,17,11,0,3,4,4,4,3,0,89,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,8,8,21,14,0,3,3,0,3,0,7,74,0,5,7,25,5,9,27,44,12,27,14,13,17,3,9,219,0,0,3,0,3,3,13,13,0,3,0,0,0,0,4,53,0,0,0,0,16,8,6,9,3,8,3,3,5,0,0,60,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,8,0,34,24,10,20,27,10,30
POA6009,0,0,3,8,5,9,31,16,4,3,0,12,0,0,3,106,0,0,3,10,22,59,71,95,46,53,122,153,243,191,58,1139,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,3,10,8,12,4,16,3,0,3,9,3,0,0,91,0,3,9,0,0,0,0,0,0,3,4,0,0,0,0,20,0,0,5,18,24,36,24,9,4,6,8,22,15,9,7,186,0,3,4,39,14,41,35,29,15,6,19,18,21,23,5,285,0,0,3,9,11,31,40,15,0,14,11,30,29,34,0,224,0,0,0,0,5,13,5,13,3,0,3,8,3,3,0,55,0,0,0,0,0,0,3,0,0,0,9,25,6,4,0,46,0,0,8,14,12,18,11,10
POA6010,0,0,3,5,18,12,22,9,10,3,4,9,11,9,0,105,0,3,3,6,5,19,26,20,9,13,32,44,42,15,11,256,0,3,8,3,0,3,0,0,0,0,0,5,0,0,0,17,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,11,0,15,9,7,21,7,11,12,6,0,0,4,0,0,5,100,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,6,10,13,19,10,0,0,0,4,9,3,8,93,0,6,3,6,0,10,50,21,8,8,9,11,8,3,4,150,4,0,0,4,4,7,16,0,0,7,0,0,0,6,0,45,0,0,0,3,16,5,6,4,0,0,5,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,11,14,10,9
POA6011,0,0,0,4,3,6,8,3,0,12,0,3,0,0,3,52,3,0,0,0,4,9,10,5,0,0,0,3,5,4,0,39,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,3,6,7,4,4,0,0,4,3,0,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,10,6,3,0,0,0,4,0,0,37,3,4,3,3,0,6,3,7,0,0,4,3,3,0,0,40,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,9,12
POA6012,0,0,0,5,3,3,9,0,7,0,3,3,0,0,0,39,0,0,0,3,0,14,18,18,3,7,9,6,3,11,4,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,3,5,9,6,3,0,3,0,4,0,0,0,51,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,3,10,11,0,3,0,3,0,0,5,53,0,3,0,0,0,11,21,15,3,3,9,16,10,0,3,93,0,0,0,0,3,0,22,0,0,0,4,0,0,0,0,31,0,0,0,0,0,4,10,3,0,0,0,7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,3,8,6,11,13,8
POA6014,0,0,0,11,16,17,13,11,0,5,0,0,3,0,0,75,0,3,0,3,7,14,60,39,12,22,20,25,21,8,20,258,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,3,6,11,4,18,17,3,10,0,3,3,0,3,99,7,4,8,8,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,7,3,7,8,8,0,0,0,0,3,3,0,53,0,7,7,27,8,9,54,146,12,21,30,58,54,34,16,486,0,3,3,0,3,9,6,8,0,0,0,3,3,0,0,47,0,0,0,0,6,5,5,15,0,4,3,5,5,0,0,62,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,11,17,30,16,44,19,26
POA6015,0,0,0,3,5,4,11,5,0,3,0,0,4,0,0,27,0,0,0,4,3,5,12,17,0,0,4,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,12,4,5,3,8,12,11,0,3,0,0,0,0,3,51,0,8,3,7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,3,4,7,3,0,7,0,0,0,0,0,21,0,0,3,12,4,10,6,13,0,0,0,3,0,0,0,61,0,0,3,0,3,0,3,4,0,0,0,0,5,0,0,20,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,8,3,11,4,3
POA6016,0,0,3,6,3,4,7,9,3,0,0,0,0,0,0,43,0,0,0,0,0,15,8,14,3,6,17,3,3,0,4,75,0,0,4,4,0,5,9,0,0,0,0,0,0,0,0,17,0,0,3,0,0,3,4,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,4,0,3,5,5,7,11,0,0,0,3,0,0,0,43,0,21,14,12,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,3,9,6,5,0,0,3,0,4,0,3,33,0,3,0,15,6,13,13,139,18,28,55,71,65,44,10,476,0,0,0,0,0,0,3,6,3,0,3,0,0,0,0,22,0,0,0,0,3,3,5,10,3,0,0,5,0,0,0,35,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,0,0,0,4,11,19,8,31
POA6017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,8,26,0,0,10,0,8,7,4,66,0,0,7,10,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,6,3,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,5,0,7,0,4,15,135,14,17,22,59,63,52,13,403,0,0,0,0,0,0,4,3,3,0,0,0,3,0,0,18,0,0,0,0,0,4,8,0,7,10,10,3,3,0,0,46,0,0,0,0,0,0,7,3,0,0,4,0,0,0,3,13,0,0,0,3,0,3,3,20
POA6018,0,0,5,12,15,10,27,27,8,13,0,9,5,0,9,149,0,0,3,6,19,78,145,149,33,27,36,63,47,9,23,633,3,10,34,14,4,3,9,0,0,0,0,0,0,0,3,72,0,3,3,0,4,3,8,7,3,4,6,0,0,0,0,42,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,12,0,33,12,17,30,19,26,40,12,4,7,3,0,0,4,210,3,27,15,5,0,0,3,3,0,0,0,0,0,0,6,63,0,0,0,6,9,47,30,18,4,4,10,7,12,0,4,147,0,22,14,43,19,34,86,136,45,36,34,16,18,6,10,517,0,4,0,0,3,18,49,31,3,0,3,4,3,3,6,131,0,0,0,0,14,22,28,14,5,27,17,15,13,0,0,157,0,0,3,0,0,4,11,10,0,0,0,0,0,0,0,27,3,15,4,23,26,80,36,96
POA6019,0,0,9,12,11,12,21,30,7,13,4,6,3,3,4,134,0,0,0,0,0,18,32,36,0,3,12,5,9,3,13,131,3,0,8,3,0,6,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,5,6,0,0,0,0,0,0,0,0,16,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,11,0,24,6,13,16,19,24,29,8,8,11,9,7,5,0,177,0,8,6,6,0,0,3,0,0,6,0,0,0,0,0,25,0,0,0,3,3,9,5,3,0,0,0,0,3,0,0,34,0,6,3,14,3,8,22,29,10,0,0,4,12,4,4,134,0,4,3,0,3,8,22,8,0,3,4,0,0,4,4,60,0,0,0,0,3,3,4,17,3,0,0,3,0,0,0,41,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,12,0,4,3,9,16,43,19,77
POA6020,0,0,3,8,10,8,14,16,0,4,0,3,0,0,0,62,0,0,0,0,4,18,17,21,5,9,10,3,0,3,3,91,0,3,7,3,0,7,3,0,0,0,0,0,0,0,0,31,0,0,0,3,3,3,0,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,12,12,12,11,21,3,0,4,0,0,0,0,3,107,0,6,13,7,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,6,9,8,10,3,0,0,0,0,0,0,0,31,0,3,8,38,13,14,27,29,0,0,0,0,0,0,7,142,0,3,3,0,5,7,12,0,3,3,0,0,4,0,0,38,0,0,0,0,0,10,4,0,3,0,0,4,3,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,4,24,29,54,29,58
POA6021,0,0,0,5,10,8,14,3,0,0,3,3,0,0,3,45,0,3,3,3,7,51,91,72,14,18,22,15,25,14,16,356,0,13,54,60,4,14,16,0,0,0,0,0,0,0,3,179,0,5,7,7,5,5,3,4,0,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,5,5,7,12,7,3,0,0,0,0,0,0,62,4,68,106,48,3,5,0,0,0,0,0,0,0,0,7,252,0,0,0,3,12,19,19,9,4,0,0,0,4,3,3,81,0,3,7,36,15,39,85,264,18,14,28,52,63,36,19,689,0,0,0,0,0,15,28,24,0,5,0,3,3,3,0,84,0,0,0,0,10,11,16,27,8,7,6,0,6,0,3,93,0,0,0,0,0,0,5,0,9,0,3,0,4,0,0,25,0,3,0,13,3,20,8,47
