POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA6000,36,25,13,8,8,6,7,156,3,27,31,6,0,3,6,7,17,12,20,21,25,14,5,209,0,0,0,0,0,6,22,9,3,0,18,15,26,25,22,143,0,0,0,0,0,4,20,46,14,12,30,35,41,21,18,245,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,22,36,35,47,13,23,13,9,19,15,12,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,4,3,0,0,0,6,4,5,0,0,35,0,0,0,12,35,39,37,66,22,23,16,7,10,7,12,289,0,0,0,0,0,0,3,0,3,0,3,9,3,8,0,33,0,0,0,0,3,21,20,32,6,10,21,16,17,3,9,151,0,3,0,3,12,9,0,12,0,4,3,0,3,0,3,51,0,0,0,11,7,11,42,25,4,6,6,12,9,8,3,152
POA6003,4,9,3,3,0,3,3,64,0,13,12,9,3,0,0,3,0,5,4,12,0,3,3,68,0,0,0,0,0,0,9,5,3,3,8,3,0,4,0,38,0,0,0,0,0,0,6,22,7,12,8,12,6,11,11,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,8,3,7,5,3,6,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,0,0,0,0,10,0,0,0,6,10,14,7,12,7,8,3,3,3,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,3,10,0,15,0,3,38,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,3,7,6,0,0,0,0,0,0,0,23
POA6004,23,25,6,14,4,3,5,149,0,13,12,8,0,0,0,8,0,10,20,10,10,15,12,109,0,0,0,0,0,4,17,20,9,14,9,26,27,30,13,179,0,0,0,0,4,11,25,46,22,15,35,33,45,41,30,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,14,40,56,45,67,18,21,19,22,26,17,16,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,5,0,0,0,3,0,0,0,0,0,0,0,26,0,0,4,16,26,33,29,46,28,25,16,11,11,5,13,266,0,0,0,0,0,0,3,8,16,6,3,11,9,4,3,64,0,0,0,0,4,5,10,25,12,9,11,15,6,9,0,112,0,4,0,0,17,7,3,0,0,0,0,8,5,0,0,48,0,0,3,3,14,24,39,46,8,7,4,11,6,4,6,174
POA6005,21,15,8,8,5,0,3,98,0,14,14,0,0,4,0,9,3,0,4,12,10,0,12,88,0,0,0,0,0,5,3,4,4,6,9,13,6,7,3,57,0,0,0,0,0,6,11,16,6,3,11,12,17,9,8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,7,15,11,23,0,4,7,3,6,10,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,10,16,23,30,18,7,13,4,8,7,11,6,152,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,13,0,0,0,0,0,6,9,10,3,3,8,9,5,0,0,54,0,0,0,0,15,5,4,0,0,3,3,0,0,0,0,31,0,0,0,5,4,10,9,14,3,3,3,4,5,6,0,63
POA6006,14,13,7,0,3,0,3,120,9,108,123,55,5,4,3,0,5,4,0,11,5,0,17,342,0,0,3,0,0,5,10,3,0,3,0,0,3,0,4,27,0,0,0,0,0,0,8,4,0,0,7,0,11,4,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,12,4,10,0,0,0,8,4,0,3,68,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,3,3,0,3,7,0,0,0,0,0,0,0,0,26,0,0,0,16,21,41,25,25,4,19,10,0,3,3,5,173,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,8,3,4,0,4,5,3,3,3,4,40,0,3,0,0,12,3,0,0,0,0,3,0,3,0,3,35,0,0,0,3,10,10,8,7,0,0,0,0,0,0,0,49
POA6007,47,25,20,9,16,6,10,195,0,41,44,16,3,0,0,3,0,9,9,10,0,0,6,138,0,0,0,0,0,0,7,13,7,3,3,6,8,0,0,47,0,0,0,0,0,0,0,10,4,0,0,0,7,4,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,16,14,17,6,3,3,3,3,0,5,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,3,0,0,3,3,0,0,0,23,0,0,0,13,43,32,16,20,6,9,0,5,6,3,3,156,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,7,5,6,0,3,0,4,3,0,0,25,0,4,0,0,4,0,0,0,0,0,0,4,3,0,3,27,0,0,0,7,9,15,7,3,0,0,0,4,3,0,0,47
POA6008,16,19,8,8,16,5,3,213,0,16,14,8,0,0,4,3,4,3,4,8,3,0,6,92,0,0,0,0,0,3,14,24,5,5,14,24,9,16,7,118,0,0,0,0,5,4,12,14,6,6,11,4,3,0,5,70,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,35,37,39,33,45,9,9,21,14,24,11,3,271,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,11,4,8,11,3,12,12,9,4,4,4,0,7,0,83,0,0,8,53,44,51,24,40,9,18,4,8,4,8,4,273,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,20,0,0,0,0,6,7,12,14,4,0,5,0,4,0,0,64,0,10,0,0,15,7,7,5,0,0,0,0,3,0,0,50,0,0,0,16,13,29,30,28,11,0,11,10,3,6,3,159
POA6009,4,7,0,0,3,0,0,94,0,12,13,3,10,0,3,7,0,0,0,3,3,0,3,69,0,0,3,3,3,6,21,4,5,0,12,7,5,3,11,74,0,0,0,0,3,9,3,8,0,0,11,0,3,10,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,15,93,168,135,55,40,22,18,33,38,47,38,9,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,3,4,3,0,22,20,4,0,0,0,5,3,3,80,0,0,8,34,43,39,61,29,4,5,7,3,4,6,0,246,0,0,0,0,0,3,11,4,0,17,7,4,3,15,0,71,0,0,0,0,3,6,8,15,3,0,0,8,7,0,0,51,0,0,3,0,6,11,3,0,0,0,0,0,4,0,0,35,3,0,4,29,55,44,83,35,16,17,26,55,75,85,23,560
POA6010,9,0,7,8,12,0,0,102,4,11,9,4,3,0,0,13,0,6,5,6,0,0,7,65,0,0,0,0,7,7,20,14,0,9,7,15,7,4,0,95,0,0,0,0,4,3,0,10,0,0,0,0,12,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,29,27,28,37,21,5,7,9,11,0,3,0,194,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,14,4,8,7,3,9,5,3,0,0,4,0,3,0,63,0,0,18,24,43,61,28,28,6,16,7,3,3,0,7,244,0,0,0,0,0,0,14,4,0,0,0,0,5,0,0,18,0,0,0,3,3,7,4,0,0,0,3,4,3,0,0,27,0,5,0,0,16,15,6,3,3,0,0,0,0,0,0,50,4,3,3,21,24,23,48,15,3,4,9,4,0,0,3,163
POA6011,7,3,0,3,16,11,0,94,4,7,4,0,3,0,4,7,0,5,0,4,0,0,3,44,0,0,0,0,0,8,0,0,3,0,4,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,11,3,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,7,0,0,3,0,3,3,0,0,0,25,0,3,11,12,20,28,20,21,3,3,3,3,8,0,3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,12,0,0,0,5,7,6,11,3,4,3,3,0,4,4,3,50
