POA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
POA6000,0,0,3,4,17,13,33,17,9,8,0,4,0,3,3,115,0,0,0,3,0,3,5,4,0,0,3,3,4,0,0,38,0,0,0,0,4,8,11,21,0,3,0,9,8,3,4,72,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,8,27,107,68,118,80,88,40,52,45,35,63,28,26,793,0,0,0,6,5,13,13,29,9,8,12,14,18,19,28,178,0,0,0,0,58,32,14,25,5,5,7,10,13,10,11,180,0,0,0,0,0,4,5,6,3,0,0,0,0,0,0,21,0,11,9,35,33,67,115,164,41,85,126,137,181,110,77,1190,5,76,94,238,307,490,606,838,277,392,460,500,659,399,323,5649
POA6003,0,0,0,0,0,6,10,3,0,0,0,0,0,3,0,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,15,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,3,14,34,22,29,25,22,9,9,11,16,7,7,4,210,0,0,0,0,3,3,0,3,3,3,0,3,5,0,0,28,0,0,0,0,22,22,3,0,0,0,0,3,0,0,5,53,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,22,19,30,35,60,14,23,37,31,44,24,21,356,0,27,26,91,109,158,174,234,66,90,114,119,120,77,71,1476
POA6004,0,0,0,3,7,11,25,16,6,8,3,8,4,0,0,104,0,0,0,0,3,9,4,9,0,0,3,0,8,0,0,33,0,0,0,0,0,6,17,21,5,0,12,15,6,10,8,94,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,3,3,0,4,0,0,4,0,0,20,0,12,38,147,92,101,89,102,54,53,40,55,50,25,37,893,0,0,0,3,4,4,5,13,3,8,13,5,15,7,3,87,0,0,0,0,22,16,8,19,9,3,5,0,5,11,4,97,0,0,0,0,7,0,3,4,3,0,0,0,0,0,0,27,0,7,17,40,27,71,110,196,56,85,138,125,219,132,72,1285,5,56,99,283,325,483,627,925,338,384,444,524,635,413,264,5809
POA6005,0,0,0,0,7,10,26,17,5,5,0,3,0,0,0,81,0,0,0,3,3,4,3,0,4,0,0,0,0,0,0,21,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,16,0,8,23,64,37,47,51,62,23,21,22,37,19,17,14,448,0,0,0,0,4,3,4,16,4,0,3,10,5,16,0,59,0,0,0,0,12,8,0,3,0,6,0,0,0,0,0,26,0,0,0,0,0,6,12,19,0,0,0,0,0,0,0,42,0,3,5,31,16,41,49,97,18,38,47,77,90,41,31,578,0,35,71,175,139,259,289,421,136,162,189,279,240,182,120,2699
POA6006,0,0,3,0,14,19,19,18,0,0,3,0,0,0,0,74,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,16,0,0,0,0,3,3,3,3,0,3,0,0,3,0,0,22,0,6,3,25,3,7,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,20,27,111,90,113,92,62,15,17,22,11,11,0,25,604,0,0,3,9,5,9,10,5,0,3,3,8,0,0,0,48,0,0,0,0,96,47,6,6,3,0,4,3,5,0,6,181,0,0,0,0,7,3,3,7,0,0,3,0,0,0,0,24,0,7,21,52,30,60,59,49,11,22,21,10,21,15,24,412,7,212,250,351,348,413,322,304,70,96,94,64,74,45,123,2777
POA6007,0,0,0,3,12,18,19,14,0,4,0,3,4,0,0,83,0,0,0,0,3,3,3,6,0,0,0,0,4,0,0,17,0,0,0,0,3,0,3,5,0,0,0,0,3,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16,39,102,79,113,83,87,29,39,33,18,11,10,11,680,0,0,0,9,4,4,10,6,4,3,3,0,8,4,3,59,0,0,0,0,42,5,3,7,0,0,0,0,0,0,0,54,0,0,3,3,3,5,3,5,0,0,0,0,0,0,0,24,0,7,14,26,19,42,46,59,15,25,28,22,30,26,16,386,9,101,128,221,264,318,266,350,139,144,131,106,131,68,65,2427
POA6008,0,0,4,7,34,43,51,28,10,7,13,5,13,3,0,228,0,3,0,8,0,7,0,3,3,3,0,4,3,0,0,39,0,0,0,0,4,3,4,14,7,0,3,6,10,0,0,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,0,8,0,0,11,8,52,118,309,179,185,240,178,54,63,52,39,74,30,45,1634,0,0,5,14,12,18,27,25,12,17,3,4,15,19,3,182,0,0,0,3,19,6,10,5,0,0,3,0,0,0,3,51,0,0,0,0,6,9,16,4,0,0,0,0,0,0,3,36,0,11,25,62,65,92,126,158,38,55,57,53,64,31,29,879,20,176,229,595,541,616,782,794,233,278,263,260,340,150,148,5425
POA6009,0,0,8,14,38,49,105,81,12,7,9,5,8,8,4,350,0,3,0,12,16,23,15,13,0,7,0,4,9,13,3,125,0,0,0,0,6,3,7,4,0,3,0,3,3,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,74,110,218,171,173,247,155,35,24,48,46,27,39,32,1407,0,0,3,24,13,15,49,31,8,11,11,21,9,8,6,204,0,0,0,0,25,8,3,8,4,7,3,8,5,9,0,84,0,0,3,0,13,3,16,18,0,4,0,0,4,3,3,74,6,25,33,67,52,110,113,136,43,34,33,46,87,43,19,858,36,175,252,606,736,874,1060,814,245,260,384,522,637,557,210,7376
POA6010,0,0,9,15,44,58,128,75,12,16,11,4,4,7,4,385,0,3,6,3,0,17,0,10,3,0,0,0,0,0,0,46,0,0,0,0,0,0,9,5,4,3,0,3,0,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,19,79,158,294,198,168,275,175,42,40,41,40,23,24,40,1613,0,0,0,13,18,23,34,28,16,31,5,12,10,4,9,205,0,0,0,0,14,0,0,0,0,3,3,0,0,0,0,22,0,0,9,3,17,11,34,18,0,5,5,0,0,3,0,105,4,13,28,59,50,71,93,93,31,33,46,44,42,26,14,649,38,181,279,533,557,603,910,612,165,207,211,231,205,124,124,4977
POA6011,0,0,5,4,35,20,40,30,9,4,3,0,0,6,4,168,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,40,84,143,70,92,123,79,46,20,44,37,45,33,29,897,0,0,3,14,6,11,19,19,5,11,4,13,9,3,6,118,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,7,0,0,3,3,8,6,13,3,0,0,0,0,0,0,0,32,0,11,17,29,29,21,33,32,8,17,18,26,31,7,16,294,21,94,157,251,222,270,322,246,98,79,107,112,135,74,69,2248
