POA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
POA6000,..,0,10,7,7,0,0,3,3,3,36,..,0,18,3,8,15,10,20,5,9,91,..,0,0,0,0,0,5,13,13,3,46,..,0,0,0,0,0,0,0,3,0,3,..,0,17,3,4,19,21,41,21,13,139,..,0,0,0,0,0,0,0,0,0,0,..,4,34,10,13,19,21,40,24,18,183,23,23,13,8,13,18,23,46,32,33,234,8,21,40,24,35,70,78,107,73,45,519,3,0,0,0,9,6,18,36,18,26,113,0,0,0,0,0,0,0,0,0,0,0,14,27,47,24,43,74,102,143,90,74,630,0,0,0,0,0,0,0,0,0,0,0,34,48,57,35,57,94,126,188,124,107,872,159,54,131,98,96,80,60,86,36,30,838,87,104,249,59,114,168,168,184,123,57,1315,0,4,14,0,10,23,36,41,26,22,179,0,0,0,0,0,7,0,0,0,3,12,91,107
POA6003,..,0,3,0,0,0,0,0,0,0,6,..,0,0,0,3,13,6,0,0,0,23,..,0,0,0,0,0,0,0,5,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,3,13,8,0,10,0,30,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,3,10,5,5,10,4,39,11,12,11,0,0,0,0,3,8,10,51,3,3,7,0,3,16,10,22,13,3,84,0,0,0,0,0,0,0,0,10,7,15,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,3,16,10,24,24,11,103,0,0,0,0,0,0,0,0,0,0,0,13,9,16,3,3,15,12,29,26,18,152,41,18,52,13,28,23,21,15,8,4,223,23,21,92,24,24,38,49,29,16,21,333,0,4,0,3,13,7,12,14,12,8,72,0,0,0,0,0,0,0,0,0,3,6,23,22
POA6004,..,3,5,4,0,3,3,4,3,6,33,..,0,7,4,4,9,13,15,9,4,81,..,0,0,0,0,0,10,15,14,7,45,..,0,0,0,0,0,0,4,0,0,4,..,0,7,4,4,9,27,34,22,14,128,..,0,0,0,0,0,0,0,0,0,0,..,3,14,10,10,13,34,39,31,14,165,20,16,32,18,11,12,16,18,19,13,172,8,15,63,36,47,57,74,135,74,37,538,0,0,0,0,0,3,6,23,18,17,71,0,0,0,0,0,3,0,0,0,0,7,12,12,63,36,47,58,78,162,91,50,614,0,0,0,0,0,0,0,0,0,4,4,33,32,93,54,51,72,97,180,117,65,789,105,56,145,64,69,66,77,52,33,25,700,86,128,290,101,111,177,174,214,139,57,1482,0,0,18,7,7,23,30,24,33,24,166,0,0,0,0,3,0,0,4,0,0,5,86,127
POA6005,..,4,3,8,0,3,12,3,7,0,38,..,3,8,0,5,8,7,9,3,0,46,..,0,0,0,0,0,9,8,7,3,21,..,0,0,0,0,0,0,0,0,0,0,..,3,8,0,5,8,14,10,13,3,67,..,0,0,0,0,0,0,0,0,0,0,..,6,15,6,5,9,22,13,20,3,104,4,23,13,3,3,13,7,19,18,0,99,5,8,21,14,11,15,34,36,36,5,195,0,0,0,0,3,0,5,6,7,5,25,0,0,0,0,0,0,0,0,0,0,0,5,8,21,14,17,15,39,44,39,14,225,0,0,0,0,0,0,0,0,0,0,0,9,32,38,15,22,27,48,57,57,15,325,86,36,72,42,39,33,45,29,19,15,405,31,37,116,26,48,70,89,85,48,27,575,0,0,0,3,5,13,7,14,16,3,61,0,0,0,0,0,3,3,0,0,0,4,31,40
POA6006,..,3,18,3,12,0,3,3,0,3,46,..,0,4,0,4,3,7,0,0,0,28,..,0,0,0,0,0,0,3,0,8,6,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,4,3,7,3,0,6,34,..,0,0,0,0,0,0,0,0,0,0,..,3,25,9,12,5,10,8,0,8,77,16,21,22,3,3,3,0,6,0,5,75,3,12,7,3,3,4,0,5,16,0,68,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,3,12,8,5,3,4,3,9,13,3,73,0,0,0,0,0,0,0,0,0,0,0,21,28,26,11,7,14,3,11,17,11,149,112,31,73,28,27,27,6,19,5,10,338,28,14,55,10,21,22,25,20,11,7,208,0,3,0,0,3,3,0,6,3,0,19,0,0,0,0,0,0,0,0,0,0,0,30,15
POA6007,..,3,12,7,9,3,3,12,0,3,58,..,0,9,7,7,8,5,7,0,3,37,..,0,0,0,0,0,5,8,3,0,11,..,0,0,0,0,0,0,0,0,0,0,..,0,9,7,7,9,8,7,3,3,54,..,0,0,0,0,0,0,0,0,0,0,..,0,15,14,15,10,13,21,7,5,107,24,21,19,3,3,0,8,7,0,4,88,3,5,8,5,3,7,8,16,9,3,59,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,3,7,12,17,13,3,68,0,0,0,0,0,0,0,0,0,0,0,23,22,26,6,7,9,13,23,16,9,155,76,32,74,58,53,48,30,30,14,11,417,27,19,67,23,26,28,30,36,21,6,283,0,0,0,0,0,8,0,4,3,3,20,0,0,0,0,0,0,0,0,3,0,3,28,19
POA6008,..,14,85,24,32,24,13,28,14,7,247,..,6,47,19,23,23,27,32,14,3,197,..,0,0,3,0,3,6,11,8,9,44,..,0,3,0,0,0,0,3,0,0,7,..,6,49,17,30,23,42,47,25,11,247,..,0,0,0,0,0,0,0,0,0,0,..,23,138,48,59,46,51,74,32,21,493,52,81,38,17,5,14,11,14,12,9,251,7,21,25,9,17,14,20,29,12,5,158,0,0,0,0,0,3,4,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,21,25,9,18,22,25,29,14,7,172,0,0,0,0,0,0,0,0,0,0,0,63,100,58,27,21,30,33,49,25,14,420,149,47,104,32,56,44,33,63,18,16,566,39,34,99,37,34,47,47,43,20,4,422,0,0,9,3,0,3,4,4,3,3,31,0,0,0,0,0,0,0,0,0,0,0,39,38
POA6009,..,37,98,36,29,38,45,20,5,9,310,..,5,49,18,20,24,33,35,29,9,237,..,0,0,0,0,0,7,12,24,0,46,..,0,0,0,0,0,0,3,0,0,0,..,5,49,21,22,26,44,51,57,6,286,..,0,0,0,0,0,0,0,0,0,0,..,47,149,55,51,62,92,72,61,15,594,118,161,99,19,15,21,29,31,68,22,579,25,62,84,38,57,91,168,263,226,57,1062,0,0,3,3,0,12,17,35,26,7,101,0,0,0,0,0,0,0,4,0,0,3,26,66,87,36,58,100,179,297,254,65,1171,0,0,0,0,0,0,0,0,0,0,0,142,223,185,53,70,120,214,327,325,87,1747,108,45,49,26,10,17,16,16,14,7,305,52,34,124,42,45,95,112,133,90,20,749,0,0,0,3,0,8,13,13,14,3,53,0,0,0,0,0,0,0,0,0,0,5,52,37
POA6010,..,37,97,29,33,32,35,17,28,8,306,..,13,29,13,16,21,33,20,12,7,153,..,0,0,0,0,0,3,9,9,0,24,..,0,0,0,0,0,0,0,0,0,0,..,13,29,13,15,23,41,26,15,7,175,..,0,0,0,0,0,0,0,0,0,0,..,46,120,41,51,54,71,44,40,18,487,67,122,60,6,16,15,6,9,7,13,321,22,28,38,3,11,30,37,23,15,17,219,0,0,0,0,0,3,3,7,10,0,25,0,0,0,0,0,0,0,0,0,0,0,22,30,38,3,11,31,42,33,27,12,248,0,0,0,0,0,0,0,0,0,0,0,85,151,96,11,25,44,51,46,32,30,572,83,36,41,26,22,24,15,36,8,8,285,29,9,51,16,24,14,22,26,9,3,200,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,32,9
POA6011,..,24,42,27,15,22,17,30,21,14,202,..,0,3,0,3,11,10,9,3,3,40,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,3,15,13,9,3,3,50,..,0,0,0,0,0,0,0,0,0,0,..,24,48,27,20,33,31,40,26,16,252,19,44,19,12,6,5,3,0,3,5,133,3,3,6,0,0,3,5,12,6,7,46,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,5,18,8,5,52,0,0,0,0,0,0,0,0,0,0,0,22,49,26,12,9,9,14,16,9,10,184,50,14,37,23,23,21,18,37,16,10,242,9,8,25,0,7,11,16,9,0,4,78,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,8
