POA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
POA6000,268,56,123,197,203,227,151,80,1501,0,0,0,0,0,0,0,0,0,0,0,247,163,403,159,221,274,270,315,186,109,2341,147,55,92,19,24,9,11,13,8,14,394,65,58,130,34,36,36,45,58,24,16,500,0,6,9,0,0,3,8,11,4,8,59,0,0,0,0,0,0,0,0,0,0,3,73,67,139,29,41,37,50,67,30,27,558,0,0,0,0,0,0,0,0,0,0,0,219,117,230,51,66,54,63,79,41,40,952,151,18,35,12,10,7,3,9,0,10,255,83,14,27,4,5,10,9,12,8,10,179,9,4,4,0,4,0,4,3,0,5,36,0,0,0,0,0,0,0,0,0,0,0,89,17,29,9,15,8,9,14,10,14,217,0,0,0,0,0,0,0,0,0,0,0,241,40,67,18,22,13,15,20,10,20,471,162,21,17,7,0,3,3,3,0,3,219,86,7,10,0
POA6003,93,22,37,47,65,44,27,31,413,0,0,0,0,0,0,0,0,0,0,0,61,42,149,42,62,72,82,62,39,30,632,51,11,21,8,5,3,3,3,0,3,105,32,15,33,4,10,3,4,10,5,3,122,0,3,3,5,3,3,4,3,0,5,25,0,0,0,0,0,0,0,0,0,0,0,29,24,32,11,14,9,5,13,5,7,141,0,0,0,0,0,0,0,0,0,0,0,83,31,55,14,22,10,12,14,4,6,251,69,4,3,3,0,0,0,3,0,0,85,15,5,4,0,0,0,0,4,0,0,41,6,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,23,8,8,0,0,0,0,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,92,15,7,6,3,3,3,5,0,3,135,57,3,0,0,0,0,0,0,0,0,61,33,4,5,0
POA6004,306,113,123,200,201,247,169,79,1648,0,0,0,0,0,0,0,0,0,0,0,193,185,450,174,195,260,278,300,202,110,2351,103,42,76,17,34,17,20,15,9,0,339,77,64,143,32,39,41,45,46,22,15,528,3,8,8,0,5,3,9,15,6,5,61,0,0,0,0,0,0,0,0,0,0,0,78,73,152,34,50,46,51,57,32,14,593,0,0,0,0,0,0,0,0,0,0,0,180,115,227,50,83,64,75,75,43,19,927,174,32,29,21,18,13,4,9,8,11,317,70,16,56,8,7,7,16,16,13,3,213,8,0,4,4,3,0,9,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,79,22,59,14,14,9,26,23,13,6,252,0,0,0,0,0,0,0,0,0,0,0,252,52,91,32,31,17,29,25,15,14,572,219,15,14,5,5,7,3,6,0,6,293,88,9,17,0
POA6005,120,30,56,82,96,100,62,31,639,0,0,0,0,0,0,0,0,0,0,0,119,73,190,65,90,114,140,123,79,43,1045,70,25,49,9,9,3,6,3,7,3,183,27,23,61,20,23,18,41,20,13,3,244,0,0,3,0,0,3,9,3,4,0,23,0,0,0,0,0,0,0,0,0,0,5,30,22,68,19,23,24,47,22,12,4,271,0,0,0,0,0,0,0,0,0,0,0,103,43,112,32,30,26,51,32,17,7,455,91,21,20,5,4,3,3,0,0,3,152,24,14,14,4,10,6,4,4,3,0,94,0,3,3,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,3,30,17,21,4,10,6,4,9,3,6,111,0,0,0,0,0,0,0,0,0,0,0,115,34,40,16,9,10,11,13,3,8,257,91,8,5,4,3,0,0,0,0,0,117,40,9,13,0
POA6006,63,10,27,26,24,28,16,7,235,0,0,0,0,0,0,0,0,0,0,0,142,43,137,33,54,49,31,48,23,15,573,155,38,38,4,9,4,6,3,4,3,270,67,30,38,7,7,8,4,3,0,6,164,4,0,6,3,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,69,31,42,12,7,9,10,7,3,6,188,0,0,0,0,0,0,0,0,0,0,0,226,64,79,12,16,21,13,8,7,8,457,231,26,11,3,7,3,0,0,0,9,285,94,7,14,6,0,3,3,0,0,7,132,10,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,110,12,13,6,0,3,4,0,0,4,148,0,0,0,0,0,0,0,0,0,0,0,338,34,22,10,6,4,6,0,0,17,442,161,3,6,0,3,0,0,0,0,9,181,108,3,0,0
POA6007,72,21,26,30,30,38,22,8,307,0,0,0,0,0,0,0,0,0,0,0,101,47,149,82,81,80,58,67,36,22,723,107,35,58,23,25,7,8,5,0,3,271,43,21,48,8,17,16,16,3,3,0,177,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,44,21,52,11,17,14,13,7,3,3,191,0,0,0,0,0,0,0,0,0,0,0,156,54,113,34,37,25,20,15,4,8,462,173,30,20,4,3,0,0,0,0,3,230,47,8,8,0,0,0,0,3,0,3,71,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,49,8,12,0,0,0,0,4,3,3,73,0,0,0,0,0,0,0,0,0,0,0,215,37,28,8,3,0,0,4,4,3,308,187,10,3,0,0,0,0,0,0,3,200,43,3,4,0
POA6008,108,42,35,56,49,53,27,8,455,0,0,0,0,0,0,0,0,0,0,0,183,88,207,78,96,93,87,113,47,30,1018,190,49,89,25,26,25,16,34,9,8,466,63,69,146,28,37,25,41,44,19,3,484,0,0,9,0,4,0,6,6,0,0,23,0,0,3,0,0,0,0,0,0,0,5,63,67,162,31,38,29,44,46,18,5,516,0,0,0,0,0,0,0,0,0,0,3,260,123,253,48,65,51,62,85,23,21,980,368,82,54,15,15,13,7,4,0,0,562,94,41,39,14,17,14,9,16,8,3,246,3,3,3,3,0,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,93,45,39,19,17,12,12,20,8,3,271,0,0,0,0,0,0,0,0,0,0,0,462,131,94,33,33,26,14,25,9,8,829,440,29,16,3,4,5,6,0,4,10,512,103,7,7,3
POA6009,127,47,52,97,122,145,104,31,803,0,0,0,0,0,0,0,0,0,0,0,154,79,172,68,63,116,140,155,121,34,1105,226,55,53,15,16,18,12,11,3,5,422,147,66,88,21,30,32,32,49,37,6,508,0,3,3,0,0,3,3,5,4,4,28,0,0,0,0,0,0,0,0,0,0,0,143,72,92,20,34,35,29,53,41,14,539,0,0,0,0,0,0,0,0,0,0,0,371,129,143,40,49,50,45,63,43,22,960,430,75,68,5,3,11,15,4,7,8,633,170,56,41,11,6,10,11,7,0,8,310,6,0,4,3,4,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,179,55,44,12,12,9,10,5,0,12,341,0,0,0,0,0,0,0,0,0,0,0,612,134,108,20,12,21,26,15,8,21,970,479,39,24,3,8,9,0,0,0,5,570,202,21,6,0
POA6010,55,16,24,14,22,24,10,6,212,0,0,0,0,0,0,0,0,0,0,0,110,47,88,38,44,38,42,57,21,20,504,161,46,65,23,20,14,12,4,9,8,371,43,55,62,17,29,22,28,18,7,3,287,0,0,0,0,0,3,0,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,51,55,60,16,31,25,29,22,12,3,301,0,0,0,0,0,0,0,0,0,6,6,212,98,126,43,48,40,44,30,16,15,673,426,86,79,17,16,12,15,7,3,6,659,110,48,41,5,13,7,12,6,6,0,251,0,0,0,0,0,7,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,112,54,49,5,13,16,12,4,10,0,270,0,0,0,0,0,0,0,0,0,0,0,540,131,122,20,29,26,20,11,16,9,932,486,54,25,6,7,5,0,4,0,13,594,130,18,9,0
POA6011,25,0,7,11,15,6,0,3,89,0,0,0,0,0,0,0,0,0,0,0,60,19,67,24,33,27,31,43,20,11,328,75,32,32,12,10,14,12,9,11,4,214,14,17,19,3,9,11,9,9,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,19,3,9,11,9,9,4,0,91,0,0,0,0,0,0,0,0,0,0,0,92,42,51,12,19,25,19,17,13,6,305,230,42,22,11,7,5,8,6,4,3,341,45,14,3,0,0,0,5,0,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,14,3,0,0,0,5,3,0,0,79,0,0,0,0,0,0,0,0,0,0,0,276,56,27,14,8,11,11,13,4,3,418,248,11,16,11,0,3,0,3,0,3,294,39,0,5,0
