POA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
POA6000,5,0,8,0,4,11,129,31,4,7,3,0,0,3,4,0,9,52,0,0,0,0,0,0,0,0,0,0,0,113,9,16,3,14,0,4,5,5,14,179,0,0,0,0,0,0,0,0,0,0,0,278,30,28,4,11,3,11,12,6,17,397,134,3,5,0,3,3,0,0,0,5,151,57,3,7,0,0,0,0,0,0,0,65,26,6,8,0,0,0,0,0,0,3,39,4,0,0,0,0,0,0,0,0,0,4,84,8,15,0,0,0,0,0,0,3,115,0,0,0,0,0,0,0,0,0,0,0,221,7,15,0,3,5,0,0,0,10,266,42,0,0,0,0,0,0,0,0,0,48,38,3,0,0,0,0,0,0,0,0,38,14,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,3,55,3,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
POA6003,0,0,0,0,0,0,48,13,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,43,4,6,0,0,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,99,14,6,0,0,0,0,0,0,3,130,39,0,0,0,0,0,0,0,0,0,40,24,0,0,0,0,0,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,4,73,15,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
POA6004,5,8,3,3,0,5,137,9,3,5,8,0,0,0,3,3,3,46,0,0,0,0,0,0,0,0,0,0,0,100,17,22,3,6,8,6,3,4,13,178,0,0,0,0,0,0,0,0,0,0,0,321,29,38,13,11,14,7,15,4,19,471,181,8,7,3,0,0,0,3,0,7,202,91,4,9,0,4,0,3,0,0,0,107,26,0,3,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,3,113,4,9,0,4,0,3,3,0,3,145,0,0,0,0,0,0,0,0,0,0,0,296,12,18,3,4,0,3,3,0,5,347,69,0,0,0,0,0,0,0,0,11,78,35,0,0,0,0,0,0,0,0,4,42,19,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,55,6,0,0,0,0,0,0,0,7,66,0,0,0,0,0,0
POA6005,0,0,6,0,0,0,65,6,3,4,3,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,52,11,12,3,0,0,3,0,0,3,88,0,0,0,0,0,0,0,0,0,0,0,147,19,18,8,3,0,7,3,0,4,203,95,3,3,0,0,0,0,0,0,3,105,45,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,57,4,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,155,6,3,0,0,0,0,3,0,4,169,41,0,0,0,0,0,0,0,0,4,48,22,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,8,31,0,0,0,0,0,0,0,0,6,45,0,0,0,0,0,0
POA6006,0,0,0,0,0,0,115,19,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,3,6,129,0,0,0,0,3,0,0,0,9,144,0,0,0,0,0,0,0,0,0,0,0,291,3,8,0,3,3,0,0,0,21,331,133,0,0,0,0,0,0,0,0,3,142,107,0,0,0,0,0,0,0,0,5,110,25,0,3,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,137,0,3,0,0,0,0,0,0,6,151,0,0,0,0,0,0,0,0,0,0,3,273,0,4,0,0,0,0,0,0,12,291,55,0,0,0,0,0,0,0,0,0,65,130,0,0,0,0,0,0,0,0,3,126,86,0,0,0,0,0,0,0,0,3,90,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,3,218,0,0,0,0,0,0
POA6007,0,0,0,0,0,0,51,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,49,3,4,0,0,0,0,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,240,13,10,0,0,0,0,0,0,6,269,144,0,0,0,0,0,0,0,0,3,149,38,0,0,0,0,0,0,0,0,3,43,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,191,3,0,0,0,0,0,0,0,7,202,48,0,0,0,0,0,0,0,0,0,46,44,0,0,0,0,0,0,0,0,0,46,22,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,5,68,0,0,0,0,0,0
POA6008,0,3,0,0,0,0,127,14,3,5,0,0,3,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,4,121,11,8,4,3,6,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,557,39,26,7,11,11,3,3,4,5,674,422,0,3,0,3,0,0,0,0,7,436,90,8,0,0,0,0,0,0,0,4,99,13,9,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,101,15,3,0,0,0,0,0,0,8,127,0,0,0,0,0,0,0,0,0,4,3,522,15,8,0,3,0,0,0,0,19,575,205,5,3,0,0,0,0,0,0,14,228,54,0,0,0,0,0,0,0,0,4,56,18,3,0,0,0,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,71,4,0,0,0,0,0,0,0,8,80,0,0,0,0,0,0
POA6009,4,4,3,3,0,3,249,10,3,0,0,0,0,0,0,3,5,17,0,0,0,0,0,0,0,0,0,0,0,209,21,11,0,4,4,3,3,3,6,266,0,0,0,0,0,0,0,0,0,0,0,688,59,32,4,10,10,6,7,3,13,832,441,7,7,0,0,0,0,4,0,3,463,215,4,3,0,0,0,0,0,0,0,221,17,0,0,0,3,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,5,229,4,3,0,3,0,3,0,3,0,248,0,0,0,0,0,0,0,0,0,0,0,670,10,17,0,3,0,3,4,3,6,708,192,3,3,0,0,0,0,0,0,8,204,92,3,0,0,0,0,0,0,0,0,92,13,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,106,4,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0
POA6010,3,0,3,0,0,0,167,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,135,17,9,0,3,3,3,4,0,0,172,0,0,0,0,0,0,0,0,0,0,0,623,73,34,6,6,6,6,3,0,15,770,434,18,3,0,4,0,0,0,0,11,473,86,3,3,0,0,0,0,3,0,3,94,7,3,3,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,91,10,3,0,0,3,0,4,0,3,114,0,0,0,0,0,0,0,0,0,0,4,527,26,12,0,3,3,0,4,0,14,585,223,18,8,4,0,0,0,0,0,3,256,39,3,0,0,0,0,0,0,0,0,45,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,47,0,0,3,0,0,0,0,0,0,55,0,0,0,0,0,0
POA6011,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,284,13,17,7,0,3,0,6,0,7,337,208,3,3,0,0,0,0,0,0,3,215,27,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,231,9,3,0,0,0,0,0,0,6,248,74,0,4,0,0,0,0,0,0,3,82,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
