POA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
POA6000,0,0,0,0,0,96,8,0,0,0,0,0,0,0,0,106,17,0,0,0,0,0,0,0,0,3,21,10,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,8,55,839,174,314,154,153,122,106,153,86,98,2195,435,215,484,126,210,295,324,391,240,143,2852,107,28,42,4,28,36,74,115,61,75,571,10,0,0,0,0,7,0,0,5,3,23,546,240,526,127,236,342,392,501,305,219,3441,0,0,0,0,0,0,0,0,0,7,9,1383,415,838,277,392,460,500,659,399,323,5649
POA6003,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,281,53,85,27,36,31,32,27,17,16,595,136,59,139,31,43,69,74,70,37,35,682,54,11,8,8,16,12,15,20,30,17,188,0,0,4,0,0,0,0,0,0,3,10,191,61,154,36,59,86,87,86,62,53,876,0,0,0,0,0,0,0,0,0,0,3,469,116,234,66,90,114,119,120,77,71,1476
POA6004,0,0,0,0,0,129,6,0,0,0,0,0,3,0,16,151,19,0,0,0,0,0,0,0,0,3,26,8,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,3,42,892,175,312,137,144,116,123,106,77,81,2160,458,244,580,186,220,298,330,434,257,127,3135,77,19,35,22,22,31,68,87,75,60,494,5,0,0,0,3,3,0,9,0,0,20,541,263,619,204,246,326,397,529,333,185,3646,3,0,0,0,0,0,0,0,0,3,6,1433,440,925,338,384,444,524,635,413,264,5809
POA6005,0,0,0,0,0,79,0,0,0,0,0,0,0,0,9,88,13,0,0,0,0,0,0,0,0,4,21,7,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,9,24,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,14,52,496,112,162,69,58,55,76,58,51,40,1166,220,89,243,63,102,118,180,159,97,35,1302,38,6,13,9,9,11,23,29,31,21,200,5,0,4,0,0,3,3,0,0,20,30,261,104,257,67,107,134,208,186,133,74,1532,5,0,0,0,0,0,0,0,0,0,6,764,212,421,136,162,189,279,240,182,120,2699
POA6006,0,0,0,3,3,273,0,0,0,0,0,0,0,0,9,285,13,0,0,0,0,0,0,0,0,5,24,66,0,0,0,0,0,0,0,0,5,69,70,0,0,0,0,0,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,10,139,0,0,0,0,0,0,0,0,0,12,12,146,0,0,0,0,0,0,0,0,27,172,879,119,172,40,60,44,24,33,8,53,1422,602,61,122,28,35,46,42,39,26,28,1026,218,12,12,5,3,7,6,9,4,28,295,4,0,0,0,0,0,0,0,0,3,8,825,69,134,29,36,50,44,46,31,59,1333,0,0,0,0,0,0,0,0,0,14,17,1704,192,304,70,96,94,64,74,45,123,2777
POA6007,0,0,0,0,0,114,0,0,0,0,0,0,0,0,4,115,28,0,0,0,0,0,0,0,0,3,30,29,0,0,0,0,0,0,0,0,0,29,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,3,80,779,123,185,91,93,68,47,62,20,32,1501,277,55,150,43,52,55,54,56,31,18,803,56,0,8,3,0,6,8,13,11,11,119,0,0,0,0,0,0,0,0,3,0,3,334,56,159,42,52,61,63,73,45,30,928,0,0,0,0,0,0,0,0,0,0,0,1118,182,350,139,144,131,106,131,68,65,2427
POA6008,0,0,0,0,0,272,13,7,0,0,0,0,0,0,22,312,72,0,3,0,0,0,0,0,0,12,82,25,0,0,0,0,0,0,0,0,0,26,7,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,5,5,100,4,3,0,0,0,0,0,0,18,125,1890,316,390,113,143,118,87,141,60,81,3350,473,197,362,106,131,128,149,167,67,34,1821,53,25,25,13,9,15,20,28,15,16,226,4,0,6,0,0,0,0,3,0,3,18,528,215,402,121,139,147,171,199,84,54,2062,3,0,0,0,0,0,0,0,0,10,16,2423,529,794,233,278,263,260,340,150,148,5425
POA6009,0,0,0,0,0,296,6,4,0,0,0,0,0,0,8,317,73,0,0,0,0,0,0,0,0,4,83,32,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,3,121,4,3,0,0,0,0,0,0,3,130,2064,423,395,101,84,105,126,87,96,72,3560,932,250,408,133,169,253,353,480,388,105,3470,52,16,19,12,11,28,41,62,72,24,320,7,4,0,0,0,0,0,7,0,3,17,991,265,420,142,179,274,396,547,460,131,3808,0,0,0,0,0,0,0,0,0,0,6,3051,692,814,245,260,384,522,637,557,210,7376
POA6010,0,0,0,0,0,272,21,8,3,0,0,0,0,0,3,307,124,3,3,0,0,0,0,0,0,6,132,20,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,143,3,3,0,0,0,0,0,0,6,154,2012,401,378,107,115,94,84,80,53,74,3394,476,179,227,56,90,97,132,98,53,32,1433,28,13,6,0,3,19,8,29,23,4,131,0,0,0,0,0,0,0,0,0,0,4,504,191,238,56,91,109,147,124,70,39,1567,3,0,0,0,0,0,0,0,0,11,16,2515,591,612,165,207,211,231,205,124,124,4977
POA6011,0,0,0,0,0,86,0,4,0,0,0,0,0,0,3,99,55,0,0,0,0,0,0,0,0,5,59,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,5,75,959,172,175,94,56,68,63,88,57,53,1787,151,40,64,4,26,33,46,42,14,12,433,5,0,3,0,0,3,4,5,3,4,24,0,0,0,0,0,0,0,0,0,0,0,157,44,65,6,26,36,44,42,18,13,456,3,0,0,0,0,0,0,0,0,0,4,1118,215,246,98,79,107,112,135,74,69,2248
