POA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA6000,123,7,0,0,7,0,124,22,123,0,0,124,0,145,0,15,8,0,18,0,18,3,0,0,0,0,0,3,20,136,9,0,145,0,169,0,0,0,0,0,0,0,144,144,9,0,152,0,295,52,3,0,0,3,0,54,11,49,5,0,52,0,62,0,9,6,0,9,0,9,0,0,0,0,0,0,0,10,51,10,0,64,0,74,0,0,0,0,0,0,0,67,53,10,0,63,0,129,17,0,0,0,0,0,21,8,16,0,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,19,0,26,0,0,0,0,0,0,0,22,18,0,0,18,0,43,11,0,0,0,0,0,11,0,7,3,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,13,0,15,0,0,0,0,0,0,0,15,7,3,0,13,0,24,10,0,0,0
POA6003,32,3,0,0,3,0,36,5,15,0,0,15,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,16,0,0,20,0,27,0,0,0,0,0,0,0,40,20,0,0,22,0,64,19,0,0,0,0,0,23,3,17,0,0,17,0,19,3,3,0,0,3,0,6,0,0,0,0,0,0,0,4,16,0,0,14,0,23,0,0,0,0,0,0,0,22,18,0,0,21,0,44,17,0,0,0,0,0,17,3,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,10,0,0,0,0,0,0,0,15,3,0,0,3,0,26,4,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,9,0,0,0,0,0,0,0,8,0,0,0,4,0,14,5,0,0,0
POA6004,68,0,0,0,0,0,68,21,151,3,0,157,0,182,0,16,5,0,23,0,23,0,0,0,0,0,0,0,21,173,4,0,181,0,202,0,0,0,0,0,0,0,93,179,4,0,186,0,277,27,0,0,0,0,0,27,10,44,3,0,48,0,57,0,4,0,0,3,0,3,0,0,0,0,0,0,0,10,50,3,0,55,0,58,0,0,0,0,0,0,0,36,50,3,0,55,0,92,14,0,0,0,0,0,14,3,10,0,0,13,0,14,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,12,0,0,16,0,17,0,0,0,0,0,0,0,21,12,0,0,16,0,33,14,0,0,0,0,0,18,0,9,0,0,9,0,9,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,8,3,0,13,0,13,0,0,0,0,0,0,0,14,11,3,0,13,0,25,22,0,0,0
POA6005,61,3,0,0,3,0,65,12,56,0,0,56,0,70,0,3,0,0,5,0,5,0,0,0,0,0,0,0,12,61,0,0,62,0,70,0,0,0,0,0,0,0,74,61,0,0,60,0,139,28,0,0,0,0,0,28,6,27,0,0,27,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,27,0,34,0,0,0,0,0,0,0,28,27,0,0,27,0,57,7,0,0,0,0,0,9,3,9,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,8,0,14,0,0,0,0,0,0,0,7,7,0,0,11,0,15,3,0,0,0,0,0,3,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,9,0,0,0,0,0,0,0,3,7,0,0,7,0,12,5,0,0,0
POA6006,326,14,0,0,14,0,345,33,47,0,0,47,0,77,0,3,0,0,5,0,5,0,0,0,0,0,0,0,33,46,0,0,50,0,79,0,0,0,0,0,0,0,352,67,0,0,68,0,425,328,14,0,0,14,0,342,24,56,0,0,56,0,80,0,0,3,0,3,0,3,0,0,0,0,0,0,0,24,58,4,0,58,0,79,0,0,0,0,0,0,0,349,70,4,0,74,0,421,131,3,0,0,3,0,138,5,20,3,0,21,0,28,0,3,7,0,4,0,4,0,0,0,0,0,0,0,5,22,8,0,25,0,35,0,0,0,0,0,0,0,143,25,8,0,29,0,170,85,0,0,0,0,0,87,3,18,0,0,18,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,18,3,0,19,0,22,0,0,0,0,0,0,0,86,22,3,0,24,0,112,113,0,0,0
POA6007,239,11,0,0,12,0,251,23,57,0,0,60,0,81,0,0,0,0,3,0,3,0,0,0,0,0,0,0,23,64,0,0,66,0,91,0,0,0,0,0,0,0,262,73,0,3,76,0,341,198,4,0,0,4,0,204,24,37,3,0,40,0,63,0,7,0,0,7,0,7,0,0,0,0,0,0,0,24,47,3,0,51,0,71,0,0,0,0,0,0,0,222,52,3,0,52,0,275,94,3,0,0,3,0,95,4,9,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,16,0,15,0,0,0,0,0,0,0,97,17,3,0,18,0,109,34,0,0,0,0,0,33,3,11,0,0,9,0,16,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,8,0,0,10,0,19,0,0,0,0,0,0,0,33,13,0,0,13,0,50,55,3,0,0
POA6008,441,16,0,0,16,0,457,58,141,4,0,143,0,199,0,14,0,0,15,0,17,0,3,0,0,3,0,3,54,152,6,0,162,0,217,0,0,0,0,0,0,0,501,168,6,0,176,0,675,411,26,0,3,25,0,445,39,128,0,0,134,0,173,0,11,0,0,11,0,18,0,3,0,0,3,0,3,39,142,6,0,149,0,188,0,0,0,0,0,0,0,455,171,6,3,179,0,628,237,13,0,0,13,0,250,26,49,0,0,52,0,74,0,4,3,0,3,0,3,0,0,0,0,3,0,3,26,55,6,0,61,0,82,0,0,0,0,0,0,0,259,67,6,0,68,0,330,159,10,0,0,10,0,167,7,36,0,0,36,0,48,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,40,3,0,44,0,47,0,0,0,0,0,0,0,160,50,3,0,50,0,215,216,4,0,0
POA6009,401,26,0,0,26,0,425,55,140,6,0,146,0,207,0,16,0,0,24,0,24,0,0,0,0,0,0,3,55,163,11,0,168,0,227,0,0,0,0,0,3,3,455,189,11,0,193,3,656,645,29,3,0,28,0,678,59,196,8,0,200,0,261,0,19,0,0,19,0,24,0,0,0,0,0,0,0,55,219,8,0,223,0,281,0,0,0,0,0,0,0,705,244,12,0,251,0,960,441,15,0,0,15,0,462,28,89,7,0,89,0,120,0,7,0,0,7,0,8,0,3,0,0,3,0,3,27,103,7,0,108,0,136,0,0,0,0,0,0,0,475,117,7,0,123,0,593,274,8,0,0,8,0,280,14,51,0,0,51,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,0,0,50,0,69,3,0,0,0,0,0,3,288,59,0,0,59,0,354,376,5,0,0
POA6010,467,16,0,0,16,0,480,44,77,0,0,76,0,117,0,3,0,0,3,0,3,0,0,0,0,0,0,0,44,81,0,0,86,0,125,0,0,0,0,0,0,0,508,100,0,0,101,0,607,625,14,0,0,14,0,639,38,80,0,0,75,0,118,0,0,3,0,8,0,8,0,0,0,0,0,0,0,38,81,3,0,83,0,122,0,0,0,0,0,3,3,666,93,3,0,101,3,763,404,16,0,0,16,0,418,27,57,0,0,60,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,58,0,0,61,0,85,0,0,0,0,0,3,3,427,75,0,0,73,0,509,271,7,0,0,7,0,280,23,31,0,0,31,0,48,0,0,3,0,3,0,3,0,0,0,0,0,0,0,23,31,3,0,30,0,54,0,0,0,0,0,0,0,293,32,3,0,41,0,333,376,11,0,0
POA6011,258,15,0,0,12,0,271,19,30,0,0,33,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,0,0,33,0,46,0,0,0,0,0,0,0,277,47,0,0,48,0,325,359,9,0,0,9,0,371,24,28,0,0,28,0,53,0,3,0,0,3,0,3,0,0,0,0,0,0,0,24,34,0,0,34,0,53,3,0,0,0,0,0,0,387,40,0,0,40,0,428,251,6,0,0,6,0,259,9,21,0,0,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,21,0,28,0,0,0,0,0,0,0,261,24,0,0,24,0,288,171,9,0,0,9,0,180,9,10,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,10,0,16,0,0,0,0,0,0,0,180,16,0,0,16,0,199,222,14,0,0
