POA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA6000,0,0,10,0,9,0,0,9,0,12,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,12,0,0,14,0,15,0,0,0,0,0,0,0,15,12,0,0,14,0,29,6,0,0,0,0,0,7,3,5,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,0,9,0,0,0,0,0,0,0,12,8,0,0,11,0,19,8,3,0,0,3,0,8,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,6,0,0,0,0,0,0,0,8,10,0,0,9,0,12,230,15,0,0,15,0,245,40,220,9,0,233,0,272,0,24,12,0,38,0,38,3,0,0,0,0,0,3,43,247,25,0,264,0,309,0,0,0,0,0,0,0,272,260,25,0,282,0,552
POA6003,0,0,5,3,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,6,0,0,0,0,0,0,0,12,4,0,0,4,0,16,5,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,84,8,0,0,8,0,91,16,38,0,0,38,0,58,7,9,3,0,8,0,11,0,0,0,0,0,0,0,20,47,3,0,47,0,68,0,0,0,0,0,0,0,108,50,3,0,57,0,165
POA6004,0,0,27,0,9,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,14,0,0,0,0,0,0,0,21,10,0,0,10,0,37,15,0,0,0,0,0,15,0,8,0,0,8,0,8,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,10,0,0,10,0,15,0,0,0,0,0,0,0,19,10,0,0,10,0,30,5,0,0,0,0,0,5,0,5,0,0,5,0,5,0,3,5,0,7,0,7,0,0,0,0,0,0,0,0,8,5,0,9,0,9,0,0,0,0,0,0,0,5,8,5,0,9,0,19,171,8,0,0,8,0,174,36,244,10,0,251,0,284,0,33,8,0,43,0,44,0,0,0,0,0,0,0,37,277,19,0,297,0,332,0,0,0,0,0,0,0,209,284,19,0,302,0,506
POA6005,0,0,5,3,8,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,12,0,0,0,0,0,0,0,8,9,0,0,9,0,21,3,0,0,0,0,0,3,0,4,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,8,0,8,0,0,0,0,0,0,0,3,3,0,0,10,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,107,7,0,0,7,0,112,27,103,0,0,103,0,136,0,5,8,0,11,0,11,0,0,0,0,0,0,0,27,111,8,0,117,0,146,0,0,0,0,0,0,0,136,120,8,0,122,0,261
POA6006,0,0,115,6,17,3,0,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,3,0,29,0,33,0,0,0,0,0,0,0,121,22,3,0,27,0,143,51,0,0,0,0,0,51,6,15,0,0,18,0,24,0,3,3,0,3,0,3,0,0,0,0,0,0,0,6,15,5,0,22,0,26,0,0,0,0,0,0,0,53,15,5,0,22,0,75,28,0,0,0,0,0,28,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,7,0,0,0,0,0,0,0,28,4,0,0,7,0,32,1050,40,0,0,40,0,1093,73,176,10,0,185,3,264,0,10,16,0,28,0,28,0,0,0,0,0,0,0,73,181,22,0,212,3,287,0,0,0,0,0,0,0,1126,227,22,0,250,3,1381
POA6007,3,0,57,7,6,3,0,3,0,17,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,4,0,0,8,0,14,0,0,0,0,0,0,0,64,5,0,0,13,0,71,44,0,0,0,0,0,44,0,5,0,0,5,0,8,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,6,4,0,12,0,11,0,0,0,0,0,0,0,44,6,4,0,12,0,56,27,0,0,0,0,0,27,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,27,3,0,0,3,0,24,685,20,0,0,24,3,709,68,126,5,3,138,0,203,0,14,8,0,16,0,16,0,0,0,0,0,0,0,68,144,12,3,153,0,225,0,0,0,0,0,0,0,748,166,12,5,183,3,937
POA6008,4,0,218,12,34,0,0,35,0,50,0,0,3,0,3,0,3,0,0,0,0,0,0,0,12,34,0,0,38,0,53,0,0,0,0,0,0,0,223,42,0,0,45,0,269,106,4,0,0,4,0,111,3,10,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,13,0,16,0,0,0,0,0,0,0,117,12,0,0,15,0,129,51,0,0,0,0,0,51,7,6,0,0,6,0,13,0,3,0,0,3,0,5,0,0,0,0,0,0,0,3,5,0,0,5,0,14,0,0,0,0,0,0,0,53,8,0,0,8,0,63,1621,75,0,3,77,0,1702,148,411,5,3,423,0,571,3,32,12,0,38,0,45,0,3,0,0,6,0,6,154,446,15,8,466,0,615,0,3,0,0,3,0,3,1772,524,15,8,548,0,2317
POA6009,5,0,388,12,56,3,0,59,0,76,0,8,3,0,6,0,6,0,0,0,0,0,0,0,17,63,4,0,70,0,85,0,0,0,0,0,0,0,394,71,4,0,80,0,472,209,3,0,0,3,0,212,16,39,0,0,39,0,53,0,3,0,0,3,0,3,0,0,0,0,0,0,0,16,40,0,0,40,0,57,0,0,0,0,0,0,0,219,44,0,0,44,0,263,132,4,0,0,4,0,138,12,25,0,0,25,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,0,25,0,38,0,0,0,0,0,0,0,138,32,0,0,32,0,169,2483,97,0,0,97,0,2575,196,598,21,0,614,0,814,3,62,3,0,68,0,71,3,6,0,0,6,0,6,195,662,30,0,691,0,885,0,0,0,0,0,3,5,2682,753,27,0,785,3,3471
POA6010,11,0,382,20,46,0,0,46,0,71,0,0,5,0,5,0,6,0,0,0,0,0,0,0,22,46,5,0,53,0,77,0,0,0,0,0,0,0,397,55,5,0,64,3,460,218,8,0,0,8,0,221,11,37,0,0,37,0,47,0,0,3,0,3,0,3,0,0,0,0,0,0,0,11,37,3,0,37,0,51,0,0,0,0,0,0,0,225,43,3,0,47,0,276,109,3,0,0,3,0,115,8,16,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,14,0,18,0,0,0,0,0,0,0,121,14,0,0,17,0,136,2464,73,0,0,73,8,2538,167,341,0,4,342,0,511,0,9,17,0,19,0,25,0,0,0,0,0,0,0,169,346,17,4,364,0,534,0,0,0,0,0,3,3,2633,418,17,4,436,11,3084
POA6011,14,0,236,7,7,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,11,0,14,0,0,0,0,0,0,0,231,23,0,0,23,0,250,137,6,0,0,6,0,142,3,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,7,0,0,0,0,0,0,0,142,9,0,0,9,0,151,53,0,0,0,0,0,53,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,53,9,0,0,9,0,57,1452,56,0,0,57,0,1509,70,109,0,0,108,0,184,0,3,0,0,3,0,3,0,0,0,0,0,0,0,70,111,0,0,112,0,181,3,3,0,0,3,3,9,1524,173,0,0,173,3,1702
