POA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
POA6000,3229,..,..,..,..,3229,..,12,0,12,0,12,..,51,6,60,0,60,..,3,0,3,0,3,..,95,29,123,0,123,..,249,95,339,3,344,..,8,8,19,0,19,..,351,126,474,4,481,..,4,0,4,0,4,..,6,0,6,0,6,..,65,6,66,0,66,..,37,4,42,0,42,..,20,0,20,0,20,..,17,0,15,0,15,..,50,3,47,0,51,..,9,0,9,0,9,..,6,0,6,0,6,..,25,0,25,0,24,..,61,3,62,0,62,..,164,7,173,3,177,..,132,15,143,4,145,..,54,20,74,0,74,..,76,40,119,0,119,..,4,0,8,0,8,..,0,0,0,0,0,..,37,3,40,0,40,..,20,3,23,0,23,..,15,0,15,0,15,..,0,0,0,0,0,..,20,3,19,0,19,..,18,0,18,0,18,..,53,3,51,0,51,..,23,0,23,0,23,..,29
POA6003,992,..,..,..,..,992,..,3,0,3,0,3,..,5,0,7,0,7,..,0,0,0,0,0,..,20,11,30,0,30,..,45,13,64,0,64,..,0,0,0,0,0,..,63,28,98,0,98,..,3,0,3,0,3,..,3,0,3,0,3,..,18,0,25,0,24,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,29,0,29,0,29,..,40,0,40,0,40,..,37,5,43,0,43,..,17,3,20,0,20,..,28,27,52,0,52,..,8,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,11,4,11,0,11,..,5,0,5,0,5,..,0,0,4,0,4,..,3,0,3,0,3,..,0
POA6004,2801,..,..,..,..,2801,..,9,0,9,0,9,..,61,10,68,0,70,..,3,0,3,0,3,..,109,17,130,0,129,..,256,38,292,0,300,..,24,0,26,0,26,..,390,63,454,3,457,..,4,0,3,0,3,..,4,0,4,0,4,..,59,3,55,0,55,..,29,0,30,0,30,..,18,0,18,0,18,..,23,5,27,0,27,..,82,0,87,0,88,..,9,0,9,0,9,..,8,0,8,0,8,..,37,3,38,0,42,..,59,5,66,0,69,..,225,15,233,3,237,..,63,0,68,3,66,..,67,24,93,0,93,..,92,49,143,3,150,..,8,0,8,0,8,..,0,0,0,0,0,..,67,8,73,0,73,..,15,0,20,0,20,..,26,5,28,0,28,..,0,0,0,0,0,..,14,3,16,0,16,..,15,0,15,0,15,..,34,0,34,0,34,..,16,0,16,0,16,..,36
POA6005,1672,..,..,..,..,1672,..,13,0,13,0,12,..,18,0,15,0,15,..,0,0,0,0,0,..,21,4,27,0,27,..,91,30,118,0,118,..,10,0,10,0,10,..,118,33,150,0,150,..,8,0,5,0,5,..,8,0,8,0,10,..,31,4,32,0,32,..,19,0,19,0,24,..,16,0,16,0,16,..,9,0,9,0,11,..,25,0,25,0,25,..,5,0,9,0,9,..,8,0,8,0,8,..,5,0,9,0,9,..,25,0,27,0,32,..,73,4,86,0,82,..,56,6,62,3,67,..,18,4,26,0,26,..,27,17,44,0,44,..,4,0,3,0,3,..,0,0,0,0,0,..,36,4,37,0,37,..,7,0,7,0,11,..,4,0,6,0,6,..,0,0,0,0,0,..,15,0,16,0,16,..,8,0,8,0,8,..,8,0,8,0,8,..,7,0,10,0,10,..,5
POA6006,3175,..,..,..,..,3175,..,12,0,11,0,11,..,15,6,20,0,20,..,0,0,0,0,0,..,26,11,36,0,36,..,32,8,43,0,43,..,5,4,3,0,3,..,65,23,85,0,85,..,9,0,16,0,16,..,3,0,3,0,3,..,21,3,29,0,29,..,30,0,30,0,30,..,37,8,43,0,43,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,22,0,27,0,27,..,166,35,206,5,208,..,12,4,14,0,14,..,17,8,19,0,19,..,45,7,53,0,56,..,5,0,5,0,5,..,4,0,4,0,4,..,11,0,11,0,11,..,7,0,7,0,7,..,0,0,0,0,0,..,19,3,17,0,23,..,4,0,4,0,4,..,3,0,3,0,3,..,15,0,15,0,15,..,0
POA6007,2623,..,..,..,..,2623,..,9,0,9,0,9,..,0,0,3,0,3,..,3,0,3,0,3,..,25,0,27,0,27,..,38,3,43,0,43,..,5,3,6,0,6,..,66,13,75,0,75,..,3,0,3,0,3,..,14,0,14,0,14,..,29,0,33,0,33,..,15,0,14,0,14,..,16,5,22,0,22,..,4,0,7,0,7,..,20,0,23,0,23,..,4,0,3,0,3,..,4,3,6,0,6,..,3,0,3,0,3,..,23,3,25,0,25,..,57,8,60,0,60,..,87,8,102,4,101,..,19,4,24,0,24,..,6,3,7,0,7,..,3,0,4,0,4,..,0,0,0,0,0,..,11,3,11,0,11,..,8,0,14,0,14,..,8,0,8,0,8,..,0,0,0,0,0,..,5,3,8,0,8,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0
POA6008,5651,..,..,..,..,5651,..,18,0,18,0,18,..,17,6,23,0,24,..,0,0,3,0,3,..,50,7,53,0,54,..,149,19,168,0,172,..,16,0,16,0,16,..,214,26,238,3,241,..,15,0,13,0,13,..,32,0,35,0,35,..,97,3,94,0,101,..,50,3,47,0,53,..,17,0,17,0,17,..,16,0,16,0,16,..,16,0,16,0,21,..,8,0,8,0,5,..,10,0,12,0,12,..,10,0,12,0,12,..,19,0,19,0,19,..,73,3,77,3,80,..,52,0,52,0,56,..,60,14,71,0,74,..,23,12,33,0,33,..,3,0,3,0,3,..,0,0,0,0,0,..,34,0,33,0,33,..,9,0,15,0,15,..,21,3,21,0,21,..,0,0,0,0,0,..,11,3,12,0,12,..,7,0,7,0,7,..,17,0,17,0,17,..,3,0,4,0,4,..,11
POA6009,6596,..,..,..,..,6596,..,36,0,36,0,36,..,65,11,72,0,73,..,4,0,4,0,4,..,191,19,215,0,214,..,704,95,798,0,799,..,82,18,95,0,95,..,982,125,1107,0,1107,..,11,0,11,0,11,..,31,0,31,0,31,..,70,3,69,0,69,..,36,5,44,0,44,..,29,0,29,0,29,..,23,0,23,0,23,..,40,0,40,0,37,..,12,0,12,0,12,..,31,0,31,0,31,..,41,3,41,0,48,..,17,0,16,0,16,..,159,3,157,3,163,..,68,0,65,0,65,..,39,4,40,0,40,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,28,3,32,0,32,..,10,0,10,0,10,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,95,9,103,0,103,..,8,0,9,0,9,..,37
POA6010,6696,..,..,..,..,6696,..,22,0,22,0,22,..,6,3,7,0,7,..,5,0,7,0,7,..,43,8,49,0,53,..,135,23,160,0,160,..,12,4,13,0,13,..,193,37,229,0,232,..,7,0,8,0,8,..,24,0,22,0,22,..,61,3,62,0,62,..,67,0,67,0,67,..,26,0,23,0,23,..,7,0,7,0,7,..,23,0,23,0,19,..,5,0,5,0,5,..,5,0,5,0,5,..,6,3,7,0,7,..,17,0,17,0,17,..,71,3,69,0,69,..,50,3,51,0,54,..,44,3,50,0,52,..,14,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,26,0,26,..,12,0,12,0,12,..,19,0,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,16,0,16,0,16,..,3,0,3,0,3,..,17
POA6011,3706,..,..,..,..,3706,..,18,0,19,0,19,..,4,0,4,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,13,4,13,0,13,..,0,0,0,0,0,..,12,7,20,0,20,..,3,0,3,0,3,..,9,0,9,0,9,..,39,5,41,0,41,..,25,0,25,0,25,..,26,0,26,0,26,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,5,0,5,..,15,3,20,0,20,..,40,0,44,0,44,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4
