POA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA6000,..,28,3,34,0,34,..,29,3,33,0,33,..,95,3,96,3,100,..,25,0,22,0,22,..,20,0,20,0,20,..,36,4,43,0,40,..,111,11,116,0,116,..,303,21,325,3,329,..,226,31,256,0,258,..,109,36,149,3,148,..,158,72,231,0,234,..,7,6,12,0,12,..,0,0,0,0,0,..,66,11,77,0,77,..,39,6,44,0,43,..,34,3,34,0,34,..,3,0,3,0,3,..,34,3,42,0,42,..,51,0,53,0,53,..,101,8,106,0,106,..,53,0,53,0,53,..,57,3,56,0,56,..,257,7,265,0,266,..,139,5,145,0,141,..,55,0,56,0,56,..,59,11,72,0,72,..,6,6,9,0,9,..,143,52,197,0,199,..,423,57,479,5,485,..,3198,640,3841,39,3877,..,30,8,36,1705,1745,5800,3227,648,3879,1742,11425
POA6003,..,7,0,7,0,7,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,42,0,46,0,46,..,56,0,59,0,59,..,62,14,76,3,78,..,31,11,42,0,42,..,61,52,104,0,105,..,7,0,11,0,11,..,0,0,0,0,0,..,16,0,16,0,16,..,11,3,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,20,7,20,3,22,..,17,0,14,0,14,..,10,0,10,0,10,..,10,0,10,0,10,..,4,0,4,0,4,..,44,3,45,0,45,..,60,3,59,0,66,..,9,0,6,0,6,..,20,0,22,0,22,..,0,0,0,0,0,..,40,16,56,0,60,..,93,14,98,0,98,..,779,206,982,10,988,..,5,3,11,641,653,1870,783,207,991,648,3509
POA6004,..,33,0,33,0,33,..,37,3,44,0,44,..,162,4,162,3,168,..,14,0,14,0,14,..,15,0,15,0,15,..,55,8,69,0,72,..,114,9,125,0,126,..,401,24,426,9,431,..,120,3,124,4,123,..,124,57,178,0,178,..,192,98,286,3,290,..,14,0,13,0,13,..,3,0,3,0,3,..,117,14,125,0,125,..,39,6,41,0,41,..,70,13,80,0,77,..,0,0,0,0,0,..,30,10,42,0,42,..,51,0,51,0,47,..,103,4,108,0,108,..,44,0,44,0,44,..,70,3,75,0,74,..,261,10,274,5,277,..,183,20,196,4,204,..,40,3,42,0,44,..,77,15,95,0,95,..,13,0,16,0,16,..,89,18,108,0,108,..,455,71,532,5,529,..,3424,555,3979,32,4012,..,26,7,36,1510,1543,5044,3456,556,4018,1534,10596
POA6005,..,27,4,29,3,34,..,11,0,12,0,14,..,49,0,50,0,50,..,8,0,10,0,10,..,9,0,13,0,13,..,13,0,12,0,12,..,49,9,58,0,55,..,137,17,151,0,158,..,99,14,112,8,122,..,40,14,50,0,57,..,65,25,89,0,89,..,3,0,9,0,8,..,0,0,0,0,0,..,63,7,74,0,75,..,21,0,23,0,24,..,15,6,20,0,24,..,0,0,0,0,0,..,17,3,23,0,23,..,24,0,24,0,24,..,22,0,26,0,26,..,20,0,20,0,20,..,14,0,14,0,14,..,81,0,82,0,82,..,110,4,115,0,122,..,32,0,30,0,30,..,11,3,16,0,16,..,11,3,15,0,15,..,22,3,30,0,30,..,237,32,262,13,272,..,1432,217,1651,32,1688,..,14,0,14,761,770,3167,1445,217,1663,794,5624
POA6006,..,70,25,98,0,101,..,3,0,3,0,3,..,16,0,16,0,16,..,3,0,10,0,10,..,0,0,0,0,0,..,11,0,11,0,11,..,8,0,8,0,8,..,40,0,45,0,45,..,365,111,482,8,491,..,26,6,30,0,30,..,34,10,39,0,39,..,99,29,125,0,130,..,10,0,10,0,10,..,3,0,11,0,11,..,33,0,31,0,31,..,14,0,14,0,14,..,0,0,0,0,0,..,30,8,36,0,35,..,9,0,9,0,9,..,10,0,10,0,10,..,22,0,22,0,22,..,4,0,4,0,4,..,38,0,38,0,38,..,64,10,66,0,66,..,3,0,3,0,3,..,14,4,19,0,19,..,6,3,9,0,9,..,155,42,193,0,193,..,176,23,200,0,205,..,1520,334,1858,20,1874,..,14,0,14,547,561,6311,1534,339,1868,567,8744
POA6007,..,33,9,42,0,42,..,3,5,10,0,10,..,41,0,42,0,41,..,6,0,3,0,3,..,17,3,14,0,14,..,6,0,6,0,6,..,40,3,45,0,45,..,109,12,124,0,123,..,180,31,214,6,215,..,53,10,59,0,59,..,23,4,27,0,27,..,6,0,9,0,9,..,0,0,0,0,0,..,20,3,23,0,23,..,28,0,25,0,25,..,9,0,8,0,8,..,0,0,0,0,0,..,14,3,19,0,19,..,7,0,7,0,7,..,5,0,5,0,5,..,4,0,4,0,4,..,3,0,3,0,3,..,24,0,24,0,24,..,39,7,51,0,51,..,0,0,0,0,0,..,10,5,16,0,16,..,0,0,0,0,0,..,34,8,46,0,46,..,178,19,198,3,199,..,1064,148,1212,15,1231,..,18,4,21,542,563,5341,1077,155,1233,556,7130
POA6008,..,37,3,38,0,38,..,27,0,32,0,32,..,35,0,40,3,43,..,13,0,13,3,15,..,18,3,21,0,21,..,16,3,19,0,19,..,38,7,42,0,42,..,152,11,162,4,171,..,119,8,126,3,125,..,114,37,153,0,154,..,55,18,74,0,74,..,8,0,8,0,8,..,0,0,0,0,0,..,57,8,62,0,62,..,39,7,44,0,47,..,48,11,58,0,58,..,0,0,0,0,0,..,25,11,37,0,37,..,19,0,24,0,24,..,40,3,43,0,43,..,22,0,24,0,24,..,21,5,31,0,31,..,99,13,113,0,113,..,111,12,125,0,126,..,39,0,37,0,37,..,33,3,40,0,40,..,16,0,18,0,18,..,42,15,55,0,55,..,303,41,348,3,353,..,2217,293,2505,25,2530,..,46,3,49,1092,1143,11470,2259,293,2557,1117,15144
POA6009,..,64,3,64,0,65,..,45,4,45,0,45,..,74,3,75,0,74,..,16,0,16,0,16,..,65,3,69,0,69,..,64,10,73,3,73,..,28,0,33,0,33,..,294,14,310,4,314,..,129,3,131,0,134,..,75,15,90,0,90,..,29,6,40,0,40,..,0,0,0,0,0,..,0,0,0,0,0,..,53,7,61,0,61,..,24,0,26,0,26,..,22,0,22,0,22,..,0,0,0,0,0,..,9,0,9,0,9,..,9,0,9,0,9,..,192,18,212,0,210,..,20,0,23,0,23,..,86,5,96,0,96,..,311,24,331,0,336,..,69,0,72,0,72,..,84,5,86,0,86,..,29,0,31,0,31,..,0,0,0,0,0,..,75,6,86,0,86,..,299,34,335,8,340,..,4036,409,4449,24,4474,..,38,3,40,797,841,13214,4076,416,4494,825,18534
POA6010,..,53,4,54,0,54,..,18,0,18,0,18,..,39,0,39,0,40,..,8,0,6,0,6,..,20,0,18,0,18,..,17,3,20,0,20,..,38,0,35,0,35,..,130,7,135,0,140,..,121,4,127,0,129,..,101,16,111,0,111,..,23,10,31,0,27,..,0,0,0,0,0,..,0,0,0,0,0,..,61,3,61,0,61,..,45,0,48,0,48,..,44,0,44,0,47,..,4,0,4,0,4,..,8,0,8,0,8,..,3,0,3,0,3,..,38,0,37,0,37,..,11,0,11,0,11,..,32,3,36,0,36,..,83,4,87,0,87,..,97,11,105,0,105,..,20,0,20,0,20,..,18,0,22,0,22,..,7,0,6,0,6,..,27,3,30,0,30,..,219,29,249,5,252,..,1833,176,2008,9,2022,..,34,0,31,1109,1148,13659,1864,175,2039,1126,16825
POA6011,..,46,0,46,0,46,..,3,3,4,0,4,..,7,3,9,0,9,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,13,0,13,..,28,4,29,0,29,..,81,3,81,0,81,..,13,3,20,0,16,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,13,0,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,11,0,11,0,11,..,0,0,0,0,0,..,6,0,6,0,6,..,16,0,16,0,16,..,28,3,24,0,24,..,6,0,6,0,6,..,9,0,9,0,9,..,4,0,4,0,4,..,7,0,10,0,10,..,84,7,95,0,95,..,618,39,654,8,660,..,16,0,20,571,589,7759,634,40,676,580,9007
