POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6000,247,288,538,327,286,612,0,0,0,46,57,104,0,0,0,938,969,1909,0,3,7,73,67,142,12,10,19,3,5,3,23,12,29,4,0,4,22,38,65,33,34,73,69,66,135,5,3,14,3,8,9,49,68,120,155,240,398,6,0,11,1777,1878,3653,181,146,325,174,124,293,25,19,45,0,0,3,18,21,39,21,13,29,35,34,70,2447,1890,4336,31,28,55,12,7,22,2482,1925,4408,1156,923,2081,6083,5339,11425
POA6003,50,78,130,98,84,186,0,0,0,13,18,25,0,0,0,304,304,616,0,0,0,24,30,57,0,0,0,0,0,4,4,4,4,0,0,0,12,12,19,3,3,9,20,11,32,0,3,3,3,3,7,14,17,27,30,48,78,0,3,3,530,541,1075,46,33,75,13,10,30,11,10,16,0,0,0,0,3,0,3,11,8,3,11,11,762,667,1431,14,5,16,0,3,6,776,680,1455,385,334,715,1822,1688,3509
POA6004,226,279,496,364,366,732,0,0,0,45,58,101,0,0,0,998,951,1951,8,6,10,68,66,131,11,13,25,5,6,8,13,9,23,3,6,5,31,33,72,20,32,48,78,76,154,4,3,8,6,7,15,66,64,129,125,146,272,0,0,4,1832,1836,3669,246,213,455,231,190,418,22,12,35,0,0,0,14,15,27,38,27,68,49,45,99,1958,1581,3538,18,9,28,7,9,16,1986,1597,3583,968,870,1843,5559,5036,10596
POA6005,69,100,169,222,208,431,0,0,0,22,14,32,0,0,0,521,522,1047,0,6,8,55,48,105,5,5,12,0,0,0,9,9,12,3,0,6,7,16,27,12,18,22,34,31,65,0,0,0,0,9,11,39,36,74,45,80,131,0,0,0,985,1008,1993,100,91,192,54,54,109,8,15,26,0,0,0,5,5,12,13,19,28,14,23,39,1116,883,1994,20,16,31,3,9,9,1142,904,2040,536,520,1058,2908,2717,5624
POA6006,80,139,222,307,385,692,0,0,0,24,24,51,0,0,0,1150,1225,2370,7,7,16,178,201,376,15,16,33,4,3,9,8,18,18,0,3,4,11,9,23,3,9,18,34,40,77,3,9,10,6,0,3,47,71,124,71,88,157,0,0,0,1872,2114,3981,30,23,58,40,31,67,24,25,54,0,0,0,4,4,10,18,16,39,27,23,46,1731,1558,3287,24,19,40,8,9,15,1759,1586,3342,486,492,976,4323,4425,8744
POA6007,67,72,140,297,399,696,0,0,0,19,24,48,0,0,0,711,909,1618,3,4,9,70,64,136,0,8,6,3,3,8,6,10,19,3,3,7,13,17,29,12,17,27,37,43,76,3,4,3,0,0,0,37,55,91,70,84,151,0,3,9,1286,1654,2933,54,48,96,22,24,52,20,19,41,0,0,0,6,3,12,10,21,34,22,23,44,1560,1381,2943,24,16,40,6,7,14,1599,1403,3000,416,409,827,3482,3653,7130
POA6008,134,186,323,940,1131,2068,0,0,0,65,76,137,0,0,0,1246,1540,2784,22,24,46,76,125,206,15,19,35,3,3,10,18,30,48,6,11,16,33,44,76,22,36,55,106,115,219,5,6,9,4,5,8,153,230,389,156,199,356,5,6,12,2869,3603,6471,95,107,201,65,76,145,32,39,67,0,0,3,3,13,12,29,38,65,34,47,82,3203,2819,6021,45,20,68,13,11,25,3268,2852,6118,852,887,1739,7348,7800,15144
POA6009,195,295,490,1434,1623,3055,0,0,0,93,83,172,0,0,4,1525,1802,3325,15,21,38,126,121,241,11,12,29,0,3,3,19,30,51,4,7,12,50,78,133,52,57,106,159,203,361,5,6,15,15,11,23,324,438,763,200,248,442,7,10,11,4036,4745,8778,158,165,324,250,206,454,61,57,120,0,0,3,15,20,31,35,38,74,55,58,110,3568,2998,6570,29,31,57,17,24,41,3621,3049,6667,836,752,1589,9212,9320,18534
POA6010,71,128,201,1561,1950,3514,0,0,0,56,62,119,0,3,3,1614,1937,3549,27,33,61,73,91,168,0,4,6,3,0,0,23,35,63,4,8,7,45,32,77,27,36,63,151,218,367,7,12,13,3,7,14,277,350,625,137,141,282,4,3,9,4023,4920,8947,69,75,146,55,53,111,30,36,68,0,0,0,13,6,19,35,43,81,47,52,97,2970,2398,5366,31,34,61,18,21,44,3021,2448,5469,880,916,1791,8200,8623,16825
POA6011,29,46,68,964,1138,2104,0,0,0,15,19,32,0,0,0,806,963,1773,5,4,4,64,57,115,3,3,3,0,0,0,15,9,28,0,0,0,13,25,43,19,15,36,77,123,197,0,0,0,0,0,0,108,152,257,50,80,132,3,0,5,2140,2592,4733,25,20,44,6,6,11,21,13,36,0,0,0,3,0,3,16,16,33,18,11,32,1633,1553,3179,12,10,18,5,10,13,1645,1566,3215,425,439,868,4313,4703,9007
