POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6000,37,30,65,79,79,157,11,10,23,12,15,29,100,111,211,39,43,80,11,13,21,22,18,35,71,69,146,41,47,89,83,120,206,7,14,25,62,64,134,0,0,0,202,252,454,213,229,440,161,128,290,21,28,47,124,127,250,4,0,3,522,509,1033,64,135,205,49,103,150,0,3,3,114,242,355,997,821,1814,2049,2035,4081
POA6003,8,5,12,33,20,54,3,13,16,0,8,5,38,38,75,13,22,35,3,4,4,4,0,3,17,27,49,18,9,22,22,35,57,0,7,7,10,24,36,0,0,0,51,72,117,33,48,81,39,28,69,3,9,7,37,38,74,0,0,0,110,122,233,17,13,35,6,14,22,0,0,0,28,29,58,352,303,656,600,597,1195
POA6004,24,20,44,37,40,77,15,22,33,11,20,33,66,78,146,32,25,50,33,25,60,25,26,55,87,75,162,37,39,77,77,104,188,10,11,20,46,84,126,0,3,3,172,240,413,190,219,407,130,131,260,15,26,38,92,95,191,3,3,4,432,475,904,57,53,107,51,73,123,0,0,0,103,124,226,835,744,1581,1711,1767,3476
POA6005,10,17,20,35,39,73,7,8,17,5,8,11,47,52,95,25,24,53,6,4,11,8,13,14,37,40,78,13,8,17,31,49,81,7,10,14,25,44,72,0,0,0,72,109,184,91,91,181,65,58,125,11,13,23,69,61,129,0,0,0,241,215,454,22,24,47,24,35,55,0,0,0,40,55,101,398,340,737,848,832,1682
POA6006,53,42,95,254,215,476,74,69,139,22,23,42,347,309,659,90,99,188,68,53,125,31,43,69,186,199,385,14,18,26,11,30,42,13,13,24,28,16,43,0,0,0,59,76,140,105,128,234,70,58,124,16,13,28,71,88,160,0,3,3,258,293,548,11,10,16,20,25,42,0,0,0,25,35,57,286,268,560,1219,1221,2440
POA6007,43,33,81,183,159,337,44,33,71,15,19,36,237,212,448,42,46,90,28,36,64,33,30,64,102,117,217,25,14,40,23,13,38,3,8,11,27,35,58,0,0,0,78,76,152,85,102,185,53,71,118,12,19,30,75,86,157,0,0,0,221,274,493,7,9,17,10,31,41,0,0,0,18,35,56,284,297,578,981,1047,2032
POA6008,107,93,204,434,422,861,33,42,76,79,55,129,549,514,1063,253,262,519,40,57,105,126,119,246,425,442,863,14,8,23,20,24,47,13,9,14,21,38,62,4,0,4,69,83,153,262,282,549,154,149,300,22,32,57,103,175,277,3,3,3,542,646,1188,13,13,27,32,51,83,0,0,0,43,66,109,555,622,1171,2293,2462,4756
POA6009,113,107,222,525,476,1000,95,82,177,189,193,377,805,752,1553,164,156,318,63,65,129,425,405,834,658,622,1277,31,17,47,12,10,30,14,9,29,19,28,50,0,0,0,84,66,152,1370,1332,2702,522,348,866,69,44,113,98,129,233,3,7,15,2063,1864,3930,12,22,36,21,35,59,0,0,0,38,55,94,470,440,910,4233,3909,8143
POA6010,102,86,192,399,341,733,114,127,239,200,169,371,714,634,1346,156,144,303,133,153,289,619,358,981,918,654,1571,20,12,33,9,9,24,21,4,24,26,55,78,0,0,0,74,83,159,411,369,785,95,119,217,40,46,88,95,144,239,0,5,10,649,681,1328,3,12,12,33,34,71,0,3,4,37,49,85,605,628,1230,3084,2819,5907
POA6011,58,45,102,213,203,415,14,23,38,124,164,285,359,379,736,64,41,103,35,40,74,265,394,660,359,480,837,5,3,10,6,11,15,9,8,14,12,18,32,0,0,0,34,36,68,177,164,343,34,51,87,13,26,34,54,80,132,0,0,0,280,327,604,9,4,19,8,26,31,0,0,0,16,36,55,305,303,608,1411,1610,3015
