POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,0,11,19,7,10,23,39,36,28,164,0,7,21,9,3,14,8,4,4,73,38,223,671,299,199,174,86,58,18,1771,223,1316,4369,1856,1083,895,492,215,92,10548
POA6003,0,0,10,4,3,5,13,9,3,50,0,0,0,0,3,3,0,5,4,16,13,77,291,113,64,47,18,23,8,651,46,339,1417,568,338,307,159,76,27,3273
POA6004,0,5,12,8,10,14,24,26,12,102,0,0,14,3,3,3,3,3,6,38,34,183,624,225,153,175,114,53,13,1566,198,1145,3807,1505,1085,1097,694,277,70,9880
POA6005,0,0,12,4,3,5,16,24,15,74,0,3,4,0,3,3,7,10,5,30,12,64,286,126,87,68,80,50,60,837,76,516,2085,876,570,442,380,188,115,5234
POA6006,3,0,6,4,18,20,61,139,110,362,0,0,0,3,0,6,0,29,22,68,17,41,126,87,106,101,69,64,49,663,161,545,1667,1360,1263,952,538,431,261,7175
POA6007,0,0,5,4,4,9,29,50,32,124,0,0,0,0,0,0,0,10,6,25,59,52,163,83,56,38,55,35,32,583,175,510,1791,1151,813,695,494,242,153,6031
POA6008,0,0,3,11,12,13,42,42,37,159,0,3,0,0,0,3,4,3,3,19,33,62,241,169,126,153,172,111,69,1126,271,907,2575,2146,1975,1865,1509,721,277,12243
POA6009,0,10,3,4,4,15,20,31,29,116,0,0,8,3,3,0,0,3,0,25,51,121,131,91,96,120,116,70,54,850,1055,2484,2129,1927,2185,2021,1732,854,433,14815
POA6010,0,0,6,0,4,9,21,32,36,118,0,0,0,0,3,11,0,5,0,20,55,64,162,151,161,176,160,137,106,1177,483,1033,1731,1837,2325,2077,1801,1139,642,13061
POA6011,0,0,3,3,0,0,8,23,36,65,0,0,0,0,0,0,0,0,0,3,29,43,108,59,105,94,63,38,26,565,220,509,1064,945,1342,1271,919,433,252,6958
POA6012,3,3,5,0,3,9,14,21,11,71,0,0,3,3,0,3,4,4,0,24,19,23,139,70,103,93,122,81,56,711,222,479,1181,1059,1293,1028,932,453,182,6825
POA6014,0,4,9,7,10,14,33,69,74,224,0,0,0,7,4,0,4,6,10,31,33,72,193,170,141,125,101,118,76,1017,438,1234,2826,3040,2815,2224,1400,1000,643,15613
POA6015,0,0,0,0,0,5,3,38,23,73,0,0,0,0,0,0,3,3,0,4,16,14,33,18,60,41,37,47,27,302,209,416,321,610,1142,835,560,567,265,4929
POA6016,3,3,3,10,13,31,56,82,56,246,0,3,5,0,7,3,16,12,10,55,25,47,167,105,64,51,66,49,48,616,193,603,1952,1713,1339,945,551,280,173,7749
POA6017,0,0,3,11,9,21,26,34,19,128,0,4,3,7,3,4,0,13,7,38,12,31,93,51,48,54,36,26,20,358,58,362,1315,626,384,369,256,149,76,3598
POA6018,3,5,20,21,30,55,138,260,162,705,0,0,4,8,12,18,7,22,7,85,84,116,474,357,302,264,226,270,289,2395,860,1991,6142,5544,5035,3921,2946,2117,1060,29604
POA6019,0,0,9,12,11,29,41,88,51,243,0,0,9,3,3,8,0,3,3,29,44,93,413,239,198,167,142,113,45,1456,381,1346,4618,3436,2803,2170,1556,979,346,17635
POA6020,0,0,4,14,5,32,90,84,51,278,0,0,3,3,4,4,3,3,3,24,33,27,98,121,118,183,165,90,39,877,517,1038,1763,2605,3048,3237,2615,932,340,16103
POA6021,3,12,16,20,44,110,379,434,161,1191,0,8,6,18,29,27,44,119,32,280,43,62,228,149,178,146,201,194,172,1376,484,1215,3256,2797,2579,2179,1896,1311,518,16230
POA6022,0,0,3,0,3,14,38,49,5,118,3,0,0,3,3,3,5,3,0,21,7,8,31,34,32,27,44,26,15,216,118,237,696,718,605,575,646,259,57,3914
