POA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
POA6000,55,111,100,41,17,20,11,5,0,371,17,19,30,8,3,17,4,0,0,97,6,45,52,29,19,29,18,6,3,218,5,36,71,28,26,42,46,15,3,275,10,41,83,32,21,27,31,13,8,273,8,39,102,29,16,17,20,11,3,236,7,44,108,41,24,13,9,4,3,245,3,50,164,50,27,22,16,12,3,336,0,46,238,59,37,30,7,6,0,422,3,22,207,76,35,36,3,3,0,382,0,16,196,89,33,31,7,5,0,374,0,13,158,76,28,22,8,0,0,306,0,16,321,180,98,57,11,0,3,691,0,3,147,152,116,58,22,0,0,498,21,100,365,167,106,100,45,23,6,937,136,593,2333,1052,607,534,274,108,32,5660,66,137,223,93,44,29,18,5,0,613,22,36,38,14,10,11,6,0,0,144,13,66,67,37,23,29,22,14,5,284,7,47,96,32,20,28,35,21,18,304
POA6003,11,11,20,8,3,6,8,3,0,75,10,4,6,0,3,3,3,0,0,29,0,13,14,7,3,9,5,3,3,65,0,19,30,10,9,11,11,11,3,103,0,13,22,14,6,6,5,6,3,88,3,6,24,9,4,12,5,3,0,73,0,13,37,7,4,5,3,3,0,77,0,13,56,29,22,3,5,0,0,130,0,8,80,22,17,9,4,3,0,147,0,6,68,22,15,9,0,0,0,117,0,3,56,16,8,9,5,0,0,103,0,0,35,20,12,12,3,0,0,80,0,7,83,48,30,22,4,0,0,192,0,3,29,43,21,12,3,0,0,117,8,41,143,66,40,31,15,9,0,345,35,157,713,319,200,160,88,38,9,1716,3,16,44,24,5,21,4,0,0,123,11,5,3,4,3,3,0,0,0,25,5,18,23,11,11,18,3,5,0,100,4,10,42,9,7,10,7,9,3,99
POA6004,70,80,83,35,21,27,24,5,0,347,17,15,15,10,3,6,7,3,0,79,8,43,44,19,17,20,14,8,3,173,6,35,53,19,16,24,35,32,5,230,3,52,75,18,18,24,45,19,6,269,3,31,88,24,10,20,28,13,7,222,5,41,97,22,18,16,20,10,0,236,4,50,138,45,27,26,30,6,3,332,0,37,202,52,28,37,18,4,3,385,0,19,162,54,23,36,10,3,0,309,0,15,160,56,40,22,13,0,0,309,0,10,134,43,30,39,8,3,0,262,0,13,266,150,108,72,29,5,0,646,0,5,132,155,144,120,34,12,0,602,30,88,344,132,78,97,58,32,4,853,140,540,1990,830,595,585,377,158,40,5265,60,100,215,102,58,50,22,10,0,617,15,24,38,14,11,12,13,0,0,124,17,49,54,26,18,31,23,9,3,230,4,36,79,13,15,21,45,22,14,255
POA6005,28,38,46,16,20,11,9,0,0,170,8,20,7,3,5,0,10,0,0,55,0,14,28,22,14,3,11,5,0,109,4,12,32,7,12,13,21,19,5,118,0,20,25,17,17,14,21,7,0,124,0,33,42,9,5,10,11,5,0,119,0,22,36,15,11,7,4,6,0,105,0,17,73,25,18,14,9,5,3,172,0,29,101,29,17,6,10,7,0,202,0,15,98,33,20,17,8,0,0,199,0,6,100,36,22,13,0,0,0,176,0,0,72,36,17,12,9,0,0,146,0,0,155,88,33,25,12,9,0,323,0,3,82,76,60,41,20,4,0,296,6,43,157,72,51,33,40,22,14,448,53,273,1053,489,317,229,208,98,27,2754,34,33,96,54,19,16,10,0,0,268,9,6,15,13,0,9,7,3,0,60,10,12,26,19,14,15,6,4,3,109,4,15,31,14,12,16,17,14,7,128
POA6006,82,23,23,20,26,31,14,10,8,233,37,26,14,7,5,11,4,4,0,102,13,34,31,16,19,12,14,17,11,166,4,24,31,19,12,24,36,50,19,224,10,13,30,20,19,25,36,24,19,189,9,23,37,14,16,30,17,10,3,162,0,31,41,18,14,13,16,14,0,159,3,30,79,31,23,28,14,5,3,208,0,22,80,45,37,36,18,10,3,254,0,14,75,56,43,32,14,0,3,236,0,6,76,52,69,27,9,4,0,241,0,3,57,52,46,23,12,0,0,191,0,3,131,109,110,69,13,3,0,434,0,0,69,172,132,70,21,3,0,465,11,9,70,49,62,44,38,27,20,331,174,256,832,678,641,477,286,173,83,3593,76,19,53,66,36,34,20,17,4,331,47,10,14,22,14,11,8,6,5,148,17,23,21,25,22,30,27,21,11,201,3,30,37,15,30,40,39,63,29,283
POA6007,59,27,25,15,13,7,9,4,0,155,17,13,12,7,7,9,10,8,3,76,13,39,22,5,7,10,13,7,3,117,0,8,28,12,14,16,20,22,10,129,3,22,25,12,9,8,25,8,11,126,3,30,33,17,9,19,30,6,3,152,0,9,34,7,8,13,13,3,0,98,3,17,48,26,16,15,11,0,0,145,0,22,97,38,22,23,19,3,0,219,0,9,107,35,17,19,14,4,0,202,0,9,110,50,30,31,8,0,0,237,0,0,71,36,15,28,11,0,0,157,0,3,123,118,75,54,18,3,0,395,0,0,77,162,116,79,19,0,0,456,14,27,98,46,33,19,24,20,8,289,119,238,901,593,400,339,233,90,44,2948,51,13,58,58,27,27,11,6,0,246,28,16,10,23,14,12,7,3,0,108,25,21,25,19,16,18,21,15,3,149,4,16,27,15,9,24,26,28,7,162
POA6008,153,54,32,30,29,42,26,13,5,381,99,37,12,10,19,8,5,10,3,212,27,67,43,17,14,33,32,17,7,255,4,38,36,14,25,31,57,32,10,256,7,31,41,26,21,43,71,35,13,283,3,42,53,19,25,23,60,39,5,269,0,26,35,25,28,25,60,17,9,223,0,24,77,28,25,36,49,24,6,272,0,28,126,62,34,51,61,32,3,385,0,21,116,51,40,46,42,13,0,328,0,12,131,65,52,62,50,12,4,387,0,8,110,71,49,51,25,9,0,322,0,11,172,203,180,128,52,14,0,767,0,3,143,332,341,242,78,17,4,1149,23,24,116,87,73,87,93,56,29,588,334,432,1247,1041,949,903,760,330,97,6088,165,48,103,178,85,68,55,16,11,732,102,45,27,40,34,24,26,9,3,312,29,59,50,45,33,43,33,26,3,323,9,42,36,38,27,43,73,52,27,340
POA6009,388,410,150,32,32,29,38,10,3,1096,198,161,37,5,7,9,10,8,0,444,96,205,92,13,17,18,22,19,12,489,44,110,59,15,10,11,49,16,16,335,20,105,61,28,15,14,45,56,28,371,16,78,120,39,16,22,47,27,16,363,7,41,70,28,11,29,40,28,10,269,9,32,75,34,28,29,44,35,3,289,3,49,74,43,39,45,58,40,14,367,0,24,59,42,43,49,46,31,5,297,0,12,76,43,46,52,58,27,0,316,0,5,49,40,44,49,46,13,5,244,0,6,104,114,120,148,93,40,10,626,0,3,61,363,571,407,179,34,16,1648,40,76,76,57,68,54,50,35,18,473,824,1326,1171,912,1060,957,825,407,157,7627,377,337,161,156,131,112,64,25,3,1365,254,153,34,34,44,29,37,12,3,601,119,209,65,33,35,44,48,26,9,595,32,110,43,37,42,39,56,36,11,418
POA6010,449,75,33,18,32,27,29,8,8,685,158,79,14,3,5,16,11,5,3,299,57,96,30,12,9,18,28,14,4,267,15,42,17,8,12,26,42,40,21,227,5,41,26,20,13,32,36,42,24,241,3,40,39,12,28,25,56,46,13,256,3,37,31,12,9,25,59,56,20,254,0,42,51,13,33,41,64,33,17,297,0,36,83,41,35,60,83,46,11,387,0,21,73,35,41,53,45,26,18,308,0,12,89,63,53,49,38,24,5,327,0,5,85,40,47,53,42,12,7,299,0,4,129,150,140,117,86,45,11,682,3,9,69,374,501,315,147,34,9,1467,41,31,96,90,96,91,76,57,17,595,740,576,861,900,1048,955,842,481,191,6595,278,54,76,131,145,87,59,21,14,858,164,64,22,30,38,37,38,14,14,422,49,77,33,34,48,66,66,42,16,416,17,48,33,40,36,59,64,70,38,415
POA6011,140,25,9,5,26,21,16,0,0,257,67,35,6,0,3,6,9,5,0,138,19,57,12,9,4,9,13,7,3,132,6,19,16,3,3,11,19,20,3,104,7,19,13,3,4,7,18,22,3,100,3,20,12,7,7,14,27,29,11,127,0,12,19,6,11,9,26,10,10,109,0,14,35,12,14,19,17,11,4,133,0,14,40,9,16,29,34,12,5,170,0,10,34,16,25,19,27,10,8,142,0,4,43,17,30,46,31,12,3,204,0,0,36,27,25,29,23,10,4,164,0,3,98,80,83,64,42,20,11,399,0,4,53,215,319,297,111,33,7,1042,23,18,53,29,54,53,37,15,3,297,270,257,499,456,637,636,467,214,76,3513,215,17,29,62,71,47,31,17,4,499,103,20,7,23,14,24,6,9,5,209,19,40,17,18,23,24,22,3,6,176,4,27,25,14,28,25,41,17,14,186
