POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,3,82,437,107,72,61,21,12,3,788,3,42,366,140,65,70,8,4,0,688,0,24,360,144,64,47,16,9,0,665,0,16,258,112,54,39,12,0,0,488,0,20,466,270,141,68,22,0,3,995,0,4,193,216,136,71,25,0,3,646,44,225,660,295,194,168,82,48,16,1728,298,1315,4376,1858,1083,895,492,215,92,10626
POA6003,0,25,163,45,26,15,10,3,0,285,0,12,130,34,28,16,3,0,0,216,0,11,100,33,17,18,9,0,0,186,0,0,69,30,25,11,0,0,0,137,0,5,133,78,39,37,6,0,0,298,0,3,43,56,36,17,5,0,3,167,14,71,293,114,60,42,26,18,4,653,69,339,1418,568,338,307,159,76,27,3291
POA6004,4,77,395,119,79,78,42,7,3,803,0,60,302,85,55,58,22,9,0,595,0,29,293,83,79,45,25,3,0,557,0,14,219,89,56,60,14,3,0,450,0,26,387,233,162,126,33,6,0,977,0,5,166,215,192,156,43,13,0,793,50,181,633,222,153,180,97,53,11,1578,278,1155,3815,1507,1082,1097,694,277,70,9971
POA6005,0,43,195,60,32,11,19,9,0,381,0,31,198,53,44,37,13,0,0,376,0,10,183,61,37,23,10,0,0,331,0,9,149,63,31,19,8,0,0,277,0,6,248,129,65,42,20,12,0,520,0,3,107,106,77,54,35,14,0,390,18,71,298,134,90,59,81,55,66,865,125,519,2086,876,570,437,380,188,115,5285
POA6006,0,43,192,102,105,66,37,11,3,574,0,23,187,93,90,51,25,5,3,471,0,10,142,110,110,55,15,3,0,447,0,8,92,108,76,43,17,0,0,345,0,3,209,189,199,112,24,3,0,733,0,3,99,234,176,91,22,4,0,631,36,39,134,95,108,99,69,59,53,690,348,545,1670,1360,1267,948,538,431,261,7365
POA6007,0,46,196,72,71,59,26,7,0,481,0,40,211,83,54,41,30,6,0,469,0,11,210,90,51,55,19,3,0,438,0,0,136,80,49,44,13,3,0,320,0,5,218,189,145,89,25,5,0,671,0,0,99,230,160,89,26,7,0,610,64,63,172,91,61,43,51,48,55,658,288,509,1790,1151,813,695,494,242,153,6148
POA6008,3,62,267,128,122,130,120,44,4,878,0,48,269,121,110,121,78,23,3,783,0,23,275,136,140,133,75,16,3,806,0,13,216,131,125,111,34,16,4,644,0,20,311,321,320,235,96,24,0,1326,0,3,172,465,457,322,98,26,3,1554,61,66,256,173,146,165,173,119,69,1228,686,904,2575,2146,1977,1865,1509,721,277,12661
POA6009,6,96,141,109,111,124,133,72,23,810,0,44,146,100,100,128,102,43,15,678,3,28,140,124,124,129,114,44,3,709,3,11,95,77,129,97,84,25,6,538,0,7,157,206,236,263,137,63,19,1096,0,11,107,538,779,543,238,61,27,2308,86,138,138,113,112,123,113,72,58,945,1697,2488,2137,1927,2185,2027,1735,854,433,15476
POA6010,3,63,161,113,108,163,165,83,44,900,0,44,168,87,136,128,93,41,38,736,0,19,158,126,141,143,70,42,21,722,0,9,141,89,117,111,75,24,16,583,0,4,221,235,291,218,133,75,26,1204,3,9,103,483,675,418,206,65,29,1988,79,77,171,168,189,186,168,136,108,1282,1311,1042,1729,1835,2322,2077,1802,1139,642,13899
POA6011,0,40,104,39,61,74,84,31,13,454,0,18,92,42,66,59,51,21,10,369,0,12,106,51,85,89,70,25,4,444,0,0,84,55,65,63,44,18,4,333,0,9,152,152,153,131,73,30,14,711,4,6,87,303,456,380,157,49,18,1451,46,52,111,62,113,106,72,31,25,625,653,509,1064,945,1342,1271,919,433,252,7394
