POA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
POA6000,37,19,0,0,62,20,136,188,97,9,9,188,98,593,820,504,56,20,558,365,2333,319,260,41,23,237,167,1052,181,145,28,9,129,113,607,110,128,24,14,151,106,534,42,52,16,10,93,51,274,13,24,7,0,38,26,108,6,6,0,0,13,9,32,1727,1240,184,91,1477,950,5660,56,21,3,3,57,28,157,221,142,28,6,204,126,728,639,507,136,93,380,290,2041,175,217,86,79,119,133,802,105,135,51,18,77,87,473,59,101,60,32,56,56,368,24,61,37,18,46,35,222,11,14,14,10,34,32,109,9,5,0,3,34,4,56,1297,1203,414,257,1005,788,4961,91,37,5,4,117,42,298,411,244,32,14,392,224,1315,1462,1015,196,111,938,658,4376,493,485,127,102,355,299,1858,287,279,74,32,207,202,1083,173,227,86,42,211,161,895,67,116,57,28,144,84,492,25,38,17,11,72,54,215,14,9,4,6
POA6003,8,3,0,0,13,8,35,57,16,7,0,35,41,157,251,136,13,0,160,148,713,115,57,15,8,59,60,319,50,50,11,0,49,46,200,32,53,6,3,42,28,160,17,26,4,0,25,12,88,0,7,3,3,9,12,38,0,0,0,0,4,0,9,537,342,55,16,407,353,1716,20,4,0,0,7,6,38,59,48,6,0,37,32,188,197,189,30,21,116,150,704,63,72,21,22,25,51,250,34,38,19,11,19,23,137,33,37,18,10,24,15,146,7,15,11,9,18,15,70,3,7,5,3,11,13,35,3,3,0,0,5,4,18,419,413,111,70,256,309,1583,29,7,0,0,23,11,69,114,66,11,0,72,71,339,453,330,47,21,272,299,1418,180,123,34,27,86,114,568,78,90,26,12,69,71,338,71,86,25,13,68,51,307,22,43,17,9,47,26,159,5,10,12,3,20,22,76,3,5,0,0
POA6004,50,9,3,0,55,26,140,173,64,14,3,206,91,540,670,385,48,21,543,323,1990,268,210,27,19,186,127,830,176,143,23,13,155,87,595,150,130,34,16,161,91,585,70,91,25,11,121,55,377,25,27,10,0,63,35,158,4,8,0,3,20,7,40,1589,1064,184,76,1502,846,5265,49,18,3,0,45,22,136,184,110,23,5,187,101,613,507,439,105,81,405,290,1824,160,195,70,64,99,96,677,99,158,66,29,57,77,487,79,161,79,38,78,81,514,28,79,61,34,61,43,317,11,16,22,14,33,24,112,3,3,0,3,27,3,39,1118,1182,423,268,990,728,4707,94,28,5,0,106,47,278,356,178,30,8,393,186,1155,1174,825,158,96,945,616,3815,423,408,93,81,285,219,1507,279,305,85,43,216,161,1082,230,287,116,50,237,170,1097,103,175,87,45,181,104,694,37,42,27,11,90,62,277,6,11,0,3
POA6005,28,5,0,0,17,5,53,98,36,10,3,85,42,273,413,232,19,7,233,151,1053,157,131,26,6,91,72,489,97,80,18,11,65,54,317,70,61,14,3,54,31,229,32,48,13,3,75,38,208,11,24,13,0,35,14,98,4,4,0,3,12,3,27,918,614,109,38,673,409,2754,23,5,0,0,30,5,75,80,54,6,5,66,28,246,325,311,63,39,152,145,1029,90,110,43,34,53,53,384,56,88,26,17,28,39,253,46,65,23,21,31,27,208,14,34,18,24,43,32,169,9,11,18,7,32,12,90,7,4,3,0,60,14,88,650,686,195,146,497,352,2537,49,12,0,0,45,11,125,181,90,12,6,157,70,519,737,542,81,48,385,293,2086,249,242,67,42,141,128,876,154,164,36,20,93,96,570,118,122,35,18,86,59,437,48,85,30,21,121,74,380,23,31,26,11,76,26,188,5,11,9,5
POA6006,74,18,0,0,75,8,174,122,41,3,0,72,11,256,350,210,22,14,164,73,832,223,250,58,16,88,49,678,193,227,56,12,113,49,641,129,166,44,20,81,36,477,70,81,22,8,79,23,286,32,34,15,11,65,22,173,14,10,3,3,41,15,83,1198,1031,216,88,771,288,3593,90,18,0,0,55,14,179,146,54,7,4,61,27,292,272,270,61,61,110,61,842,96,219,151,139,35,40,684,90,238,123,80,50,38,620,56,171,96,55,65,33,473,26,59,49,48,66,9,252,30,51,32,38,84,18,256,18,22,16,3,101,15,176,828,1105,524,432,626,263,3770,164,35,0,0,130,24,348,263,94,6,4,136,39,545,624,481,82,75,270,134,1670,317,464,205,156,129,86,1360,281,468,172,99,158,87,1267,189,334,133,77,145,70,948,100,139,67,54,142,32,538,63,93,42,50,144,44,431,25,30,21,7
POA6007,48,8,0,0,46,16,119,104,36,3,0,63,25,238,387,233,19,6,164,98,901,215,182,49,13,86,48,593,128,136,35,10,66,25,400,100,133,27,8,54,21,339,54,68,23,7,52,20,233,10,21,6,5,33,5,90,6,4,0,5,29,3,44,1056,817,168,56,590,262,2948,51,22,4,0,43,49,170,112,60,7,3,62,24,273,324,298,58,56,86,70,893,114,185,95,94,36,41,564,71,175,62,53,19,28,412,63,148,64,27,40,21,357,27,72,41,41,49,25,259,13,32,25,12,65,8,160,9,12,5,9,72,7,110,787,995,368,289,479,281,3196,101,26,4,4,89,63,288,217,95,12,6,124,50,509,706,531,78,62,251,168,1790,333,362,146,108,125,83,1151,201,313,98,58,87,57,813,166,281,90,33,88,43,695,81,141,68,46,101,46,494,25,59,35,18,102,17,242,18,13,3,8
POA6008,172,9,0,0,125,24,334,216,67,5,3,125,24,432,558,309,35,14,218,119,1247,327,375,72,29,141,95,1041,337,337,59,24,128,63,949,268,306,86,21,149,77,903,164,236,80,24,177,85,760,52,80,42,19,97,41,330,17,7,3,7,43,24,97,2096,1725,383,137,1196,542,6088,206,29,0,3,85,30,353,239,107,12,3,70,41,473,427,424,104,98,141,133,1329,179,344,194,246,62,79,1107,158,370,227,151,63,63,1033,153,346,188,97,100,79,960,72,212,166,108,117,71,747,24,89,45,50,118,65,390,11,22,11,16,91,31,185,1470,1940,956,780,848,592,6579,371,37,0,3,213,56,686,459,175,12,5,194,60,904,986,735,143,110,357,252,2575,502,715,265,281,207,171,2146,497,708,292,176,188,128,1977,418,657,271,119,250,160,1865,230,445,252,128,294,157,1509,74,166,87,71,212,104,721,23,31,11,25
POA6009,370,60,3,0,354,36,824,491,165,9,7,573,74,1326,469,259,28,12,326,70,1171,314,314,80,33,113,58,912,356,382,82,35,149,65,1060,294,378,84,23,130,52,957,198,282,119,39,136,52,825,80,112,62,20,103,26,407,23,22,22,6,60,23,157,2597,1971,482,173,1943,456,7627,429,77,7,0,325,40,873,480,214,25,9,384,53,1165,295,259,86,90,177,61,968,100,256,257,309,66,43,1023,100,367,338,246,41,34,1123,121,408,259,170,56,55,1073,57,272,262,182,81,51,912,36,100,91,82,83,45,451,36,37,25,24,117,35,275,1649,1991,1343,1107,1333,428,7848,799,140,9,0,676,74,1697,971,388,31,14,957,125,2488,756,523,115,96,502,135,2137,417,571,328,339,179,99,1927,455,750,412,274,190,97,2185,414,783,345,191,186,112,2027,255,550,379,225,220,111,1735,114,215,155,104,184,79,854,57,58,44,35
POA6010,329,27,0,0,346,33,740,293,74,4,3,176,32,576,342,213,17,5,188,92,861,319,311,58,26,101,89,900,355,376,75,26,146,79,1048,294,305,76,29,166,86,955,214,287,80,27,156,75,842,83,138,64,27,111,51,481,32,31,20,11,78,23,191,2265,1752,403,153,1470,553,6595,300,38,3,0,194,39,576,226,104,10,0,90,40,468,265,257,87,103,79,71,868,102,250,226,247,42,64,936,136,422,332,261,48,77,1277,144,382,264,175,77,76,1120,80,266,229,170,136,76,959,44,148,136,107,124,91,654,48,84,37,25,177,80,451,1349,1947,1319,1088,982,618,7303,630,65,4,0,539,71,1311,518,171,14,3,267,67,1042,613,470,107,104,270,168,1729,420,560,281,274,148,151,1835,487,795,404,290,196,159,2322,438,684,336,205,246,163,2077,297,552,308,194,292,152,1802,130,286,206,136,237,144,1139,82,112,58,36
POA6011,129,10,0,0,111,21,270,113,35,4,0,90,16,257,224,113,6,5,98,54,499,170,165,28,8,53,37,456,202,229,45,17,97,49,637,218,235,39,11,85,48,636,109,172,53,12,85,36,467,41,68,19,11,55,18,214,13,9,8,0,36,10,76,1219,1033,207,72,695,288,3513,221,24,0,0,118,19,387,119,53,3,0,52,23,255,220,157,38,39,50,53,565,66,135,107,144,22,27,492,67,216,193,160,19,51,708,66,229,168,91,42,42,635,29,145,120,84,39,34,456,12,45,54,42,42,18,220,17,32,13,11,74,28,171,829,1021,704,570,459,302,3876,355,30,3,0,230,39,653,234,84,12,0,136,44,509,445,270,48,46,144,110,1064,238,299,135,149,73,61,945,272,439,237,176,112,106,1342,282,461,206,99,131,97,1271,141,320,175,97,124,68,919,55,110,80,59,96,43,433,27,44,27,14
