POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA6000,45,16,92,3022,2442,595,343,2482,1737,10626
POA6003,12,3,27,949,757,167,89,662,661,3291
POA6004,41,11,70,2710,2252,605,349,2494,1567,9971
POA6005,72,17,115,1572,1301,298,183,1170,763,5285
POA6006,140,25,261,2029,2129,738,524,1399,544,7365
POA6007,104,12,153,1840,1816,530,354,1065,542,6148
POA6008,132,55,277,3562,3664,1337,916,2042,1134,12661
POA6009,176,59,433,4250,3967,1827,1282,3275,886,15476
POA6010,254,98,642,3616,3701,1724,1242,2446,1171,13899
POA6011,107,38,252,2048,2056,909,641,1155,589,7394
POA6012,48,65,182,1898,1931,816,562,1307,737,7248
POA6014,206,151,644,4348,4638,2107,1414,2614,1185,16307
POA6015,104,33,266,1315,1378,787,567,950,298,5302
POA6016,71,33,173,2082,2295,925,574,1534,600,8016
POA6017,36,16,76,952,922,291,195,936,355,3645
POA6018,413,256,1060,7999,8719,3587,2688,5568,2359,30924
POA6019,115,48,346,5320,5300,1841,1256,3071,1498,18281
POA6020,111,41,340,4127,4979,2564,1606,2679,920,16871
POA6021,147,186,518,3877,4280,1842,1560,3821,1399,16771
POA6022,15,15,57,885,1213,536,405,778,233,4047
POA6023,134,72,316,2896,3549,1785,1281,1918,591,12019
POA6024,116,32,218,2490,3242,1435,1093,1982,594,10830
POA6025,149,71,399,5990,7008,3175,2405,4331,1357,24270
POA6026,376,53,648,4326,5215,2459,1816,3588,801,18206
POA6027,272,82,532,8342,9696,4182,2988,6923,2091,34215
POA6028,53,33,136,4687,5046,2135,1519,3611,742,17748
POA6029,11,10,67,583,664,316,228,369,129,2286
POA6030,239,173,569,7070,8118,3448,2871,6794,2503,30803
POA6031,18,3,42,3002,3414,1383,1139,2602,764,12306
POA6032,0,0,0,45,43,17,5,34,17,170
POA6033,3,0,3,85,74,67,28,60,57,367
POA6034,0,0,3,317,395,117,89,197,138,1255
POA6035,26,88,129,1317,1680,814,752,1282,845,6687
POA6036,10,12,41,2781,3064,1178,1009,2366,1188,11592
POA6037,10,0,24,397,585,311,302,458,304,2362
POA6038,0,0,3,1132,1387,468,433,801,422,4639
POA6041,3,3,11,186,278,177,226,227,135,1227
POA6042,0,0,0,9,11,15,9,21,14,79
POA6043,0,0,8,27,48,25,38,33,40,208
POA6044,5,3,18,168,232,141,153,263,127,1078
POA6050,272,252,732,3706,3513,1359,868,2366,1418,13226
POA6051,46,17,129,3005,3110,895,606,2304,1025,10941
POA6052,93,26,216,2396,2604,1052,767,1635,727,9174
POA6053,160,158,444,2833,3621,1353,893,2280,982,11967
POA6054,187,52,383,3757,4589,1847,1479,3660,1379,16701
POA6055,68,35,169,3809,4413,1790,1484,3435,1729,16653
POA6056,323,191,795,6859,8284,3751,3202,7116,3010,32216
POA6057,68,31,179,3022,3675,1565,1422,2705,1091,13476
POA6058,76,64,198,2284,2705,1217,983,2310,869,10373
POA6059,287,96,673,4730,5121,2220,1792,4620,1255,19738
POA6060,323,153,747,5220,5534,1875,1371,4426,1732,20159
POA6061,166,66,404,6680,6901,2596,2345,9619,3204,31335
POA6062,301,160,742,6348,6699,2972,2430,6916,2102,27472
POA6063,54,6,113,2501,2571,1135,1043,3154,860,11270
POA6064,220,59,383,5237,5760,2548,2093,7480,1837,24950
POA6065,363,104,663,11381,13075,5446,4420,10493,2801,47622
POA6066,77,23,161,3479,3733,1637,1331,3891,906,14981
POA6067,0,0,0,3,4,0,3,3,5,24
POA6068,0,0,0,0,0,5,0,0,0,7
POA6069,68,143,294,6782,8050,3255,2914,5853,2180,29029
POA6070,14,6,37,617,925,466,332,377,173,2885
POA6071,10,10,45,576,892,444,335,389,165,2796
POA6072,3,0,11,128,184,110,93,107,119,747
POA6073,31,37,118,484,756,340,312,434,214,2543
POA6074,9,0,16,192,205,110,92,153,59,811
POA6076,184,104,519,3779,5087,2646,2176,3039,1290,18018
POA6077,7,9,26,280,288,167,139,292,71,1232
POA6078,0,0,8,174,192,110,76,150,73,778
POA6079,0,0,0,3,7,3,12,4,3,24
POA6081,24,4,51,845,1107,522,459,574,284,3785
POA6082,13,5,30,524,709,371,346,441,171,2573
POA6083,4,0,24,560,808,430,374,473,257,2905
POA6084,13,12,44,1263,1732,857,809,1117,764,6553
POA6090,0,0,0,0,0,0,0,0,0,6
POA6100,62,28,174,3447,3371,1081,833,2696,1200,12619
POA6101,109,83,288,3478,3718,1261,929,3075,1583,14043
POA6102,412,217,806,2754,2536,797,637,4017,1459,12202
POA6103,61,25,139,2171,2109,693,496,2230,1264,8963
POA6104,181,80,356,2682,3021,1055,871,2972,1467,12073
POA6105,118,66,322,2568,2869,1210,1003,3190,1416,12259
POA6106,0,0,0,3,0,0,0,0,10,18
POA6107,236,79,538,7923,8394,3409,2968,9920,2663,35279
POA6108,115,48,269,4073,4813,2130,1859,4683,1156,18709
POA6109,87,58,209,1826,2198,959,933,2841,919,9668
POA6110,268,159,611,6747,7860,3488,3124,7901,2652,31777
POA6111,101,119,339,3745,5009,2370,2121,3867,1580,18695
POA6112,235,128,581,9285,11386,4893,4541,9679,3407,43194
POA6121,7,3,15,532,667,294,306,458,121,2379
POA6122,63,15,108,2944,3580,1440,1451,2537,847,12799
POA6123,5,6,25,222,340,141,149,248,122,1219
POA6124,4,0,14,175,258,139,107,161,103,938
POA6125,6,7,30,492,664,316,355,449,281,2554
POA6126,0,0,0,35,54,40,33,60,347,579
POA6147,86,21,210,2779,3134,1297,1110,3322,760,12408
POA6148,288,88,576,3527,3868,1834,1473,3161,753,14623
POA6149,269,52,513,3763,4249,2156,1586,3006,591,15350
POA6150,150,189,482,2713,2895,1417,1059,2326,849,11267
POA6151,137,41,317,3836,3803,1535,1015,2658,1239,14080
POA6152,305,255,821,5751,6040,2248,1574,4433,1811,21854
POA6153,168,99,571,4225,4643,2123,1570,2954,1089,16596
POA6154,200,93,496,1892,2248,1090,789,1568,543,8130
POA6155,166,101,444,9670,10567,4871,4013,8731,2729,40593
POA6156,220,105,571,3250,3798,1709,1299,2421,995,13469
POA6157,128,142,465,2774,3302,1358,962,1875,859,11134
POA6158,43,67,170,1591,1746,769,569,872,486,6027
POA6159,13,27,62,791,848,332,176,415,358,2927
POA6160,65,48,190,1857,2069,719,389,1323,992,7343
POA6161,0,0,0,32,24,10,5,24,203,299
POA6162,134,38,274,2253,2697,1111,765,1675,736,9239
POA6163,498,358,1255,9594,11250,4781,3660,9355,3854,42499
POA6164,191,69,388,10752,12159,4948,3976,9199,2937,43970
POA6165,0,0,0,20,25,4,3,8,15,79
POA6166,38,24,121,1807,2023,976,756,1746,526,7837
POA6167,141,73,302,4048,4913,2174,2007,4658,2990,20790
POA6168,341,154,716,3672,4909,2174,1975,5274,2477,20476
POA6169,271,117,655,5451,7233,3540,3099,6185,2376,27887
POA6170,6,3,21,2183,2593,959,930,1993,724,9375
POA6171,44,14,100,5218,6333,2617,2375,4411,2088,23041
POA6172,32,108,180,2238,2665,1193,1152,2173,1006,10424
POA6173,14,5,36,2022,2371,1114,957,1690,547,8706
POA6174,0,3,16,658,760,348,313,486,233,2804
POA6175,4,3,14,591,757,369,364,516,179,2775
POA6176,5,0,8,220,301,139,118,180,123,1084
POA6180,13,3,12,846,1061,519,471,809,296,4001
POA6181,0,0,0,73,111,62,48,61,24,379
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,3,0,5,141,215,103,127,161,96,840
POA6208,104,33,231,1679,2345,1220,1263,2029,1014,9549
POA6209,16,13,46,268,394,194,224,423,160,1664
POA6210,946,412,2062,10523,14223,7033,6371,13324,5117,56587
POA6211,18,11,46,979,1431,822,830,1134,472,5666
POA6213,0,0,8,99,158,80,70,93,90,588
POA6214,3,3,6,82,128,65,78,83,58,495
POA6215,30,35,96,540,784,457,493,620,480,3375
POA6218,0,0,3,57,77,41,68,51,24,316
POA6220,45,13,97,690,845,507,516,799,481,3844
POA6221,0,0,5,68,44,28,31,71,113,351
POA6223,0,0,0,36,40,18,27,26,25,170
POA6224,6,3,17,161,239,126,118,198,104,941
POA6225,52,48,152,1209,1799,976,1040,1500,856,7377
POA6226,3,0,5,120,197,94,77,106,48,643
POA6227,0,3,6,114,167,92,96,63,48,579
POA6228,0,0,0,44,26,11,19,23,22,144
POA6229,0,0,0,29,38,21,29,32,25,176
POA6230,458,131,921,7052,9142,4264,3666,7146,3386,34651
POA6232,129,44,247,1738,2214,1108,1014,1735,714,8511
POA6233,54,30,166,2911,4048,2000,1836,2386,1218,14394
POA6236,4,4,18,339,441,268,231,243,152,1669
POA6237,7,4,30,365,578,309,277,301,142,1981
POA6239,38,13,91,622,891,533,498,567,452,3553
POA6240,0,0,0,15,29,16,13,28,3,111
POA6243,0,0,0,10,4,7,17,13,3,49
POA6244,13,13,37,213,287,164,180,211,122,1182
POA6251,0,0,7,53,78,56,48,39,45,318
POA6252,0,0,0,24,30,17,15,22,17,132
POA6253,4,3,9,74,170,95,75,69,58,537
POA6254,3,3,7,53,104,58,66,67,59,408
POA6255,29,12,80,510,882,526,444,517,353,3235
POA6256,0,0,3,68,87,40,40,41,34,313
POA6258,47,41,141,1012,1364,716,632,972,594,5295
POA6260,16,5,37,221,309,162,145,190,144,1169
POA6262,3,3,15,75,156,104,89,108,75,612
POA6271,6,4,31,473,712,376,345,448,257,2616
POA6275,0,3,18,166,298,187,189,162,130,1136
POA6280,278,218,768,4448,6043,3050,2645,4133,2269,22592
POA6281,18,11,74,1169,1617,833,670,779,495,5564
POA6282,5,0,7,191,314,220,117,124,88,1064
POA6284,6,11,21,286,486,260,219,203,187,1641
POA6285,51,11,104,1471,2142,1024,727,994,703,7057
POA6286,0,0,11,97,162,72,70,57,52,514
POA6288,0,7,9,73,99,65,66,77,49,431
POA6290,19,19,83,234,367,264,232,271,145,1516
POA6302,34,19,82,448,751,394,453,550,407,3009
POA6304,18,11,42,200,328,184,234,312,207,1459
POA6306,7,23,38,130,195,99,114,177,134,846
POA6308,11,3,26,197,309,170,160,286,186,1310
POA6309,0,0,3,40,48,31,38,34,41,234
POA6311,3,0,5,83,135,56,57,70,74,472
POA6312,54,29,132,760,944,457,431,755,511,3854
POA6313,0,0,0,49,58,23,30,35,47,248
POA6315,24,12,64,296,366,244,209,301,205,1629
POA6316,0,0,0,43,75,39,35,42,30,271
POA6317,42,21,95,619,669,371,333,807,535,3343
