POA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA6000,0,4,0,4,119,20,136,4,13,0,13,484,96,593,115,43,0,161,1815,354,2333,190,17,3,211,681,162,1052,84,4,0,89,412,107,607,20,23,0,43,387,101,534,3,19,0,20,202,45,274,0,10,0,10,77,22,108,0,0,0,0,22,6,32,415,127,5,551,4197,917,5660,0,9,0,14,124,24,157,8,33,0,47,554,128,728,168,69,6,243,1511,289,2041,190,30,9,224,447,132,802,53,18,0,69,319,84,473,6,41,3,49,255,54,368,3,31,0,36,157,31,222,0,3,0,3,77,34,109,0,0,0,0,51,4,56,436,241,18,689,3498,772,4961,0,15,0,14,244,41,298,9,45,3,60,1038,222,1315,282,114,3,402,3327,641,4376,387,43,7,439,1128,295,1858,135,21,3,157,732,192,1083,21,72,3,92,647,155,895,3,50,0,58,361,73,492,0,14,0,14,150,55,215,0,0,0,0
POA6003,0,0,0,0,29,8,35,0,0,0,3,115,43,157,24,10,0,37,530,145,713,44,3,0,47,207,64,319,30,3,0,28,131,35,200,7,3,0,10,127,28,160,0,4,0,4,74,15,88,0,0,0,0,27,8,38,0,0,0,0,9,0,9,110,26,3,139,1236,340,1716,0,3,0,3,27,6,38,3,10,0,11,142,35,188,38,14,0,52,498,145,704,57,10,4,71,126,52,250,24,9,0,25,82,23,137,3,11,0,13,117,16,146,0,6,0,6,49,10,70,0,8,0,8,22,11,35,0,0,0,0,13,4,18,119,58,7,184,1086,307,1583,0,3,0,3,57,11,69,5,10,0,15,253,74,339,64,25,0,92,1034,292,1418,99,16,4,121,335,114,568,52,11,0,58,213,63,338,7,13,0,16,241,45,307,0,9,0,12,124,22,159,0,5,0,5,45,15,76,0,0,0,0
POA6004,0,3,0,3,119,24,140,5,13,0,14,443,84,540,127,20,0,143,1518,324,1990,153,7,0,163,543,124,830,75,13,3,90,431,80,595,18,20,0,40,455,97,585,6,45,0,47,274,51,377,0,6,0,9,119,32,158,0,0,0,0,33,7,40,382,127,3,510,3936,822,5265,0,7,0,4,107,18,136,3,25,0,27,493,95,613,184,46,7,235,1308,280,1824,166,16,3,181,405,87,677,51,12,0,63,354,73,487,8,68,0,73,362,75,514,0,67,0,69,210,41,317,0,7,0,9,87,20,112,0,0,0,3,35,3,39,413,237,8,658,3354,697,4707,0,3,0,9,223,46,278,12,38,0,43,931,176,1155,307,62,6,375,2829,606,3815,317,26,3,344,950,210,1507,125,26,3,152,783,151,1082,28,90,0,112,814,168,1097,4,109,0,114,492,91,694,0,13,0,12,206,54,277,0,0,0,0
POA6005,0,0,0,0,47,5,53,0,7,0,10,225,37,273,53,13,0,69,838,149,1053,89,0,0,93,324,76,489,27,3,0,33,229,56,317,7,8,0,14,184,35,229,0,10,0,9,161,37,208,0,0,0,7,83,15,98,0,0,0,0,25,3,27,189,47,4,236,2100,416,2754,0,3,0,3,63,5,75,3,8,0,13,203,26,246,89,34,0,125,762,143,1029,75,19,3,96,232,55,384,22,7,4,37,180,37,253,4,23,0,27,164,21,208,3,27,0,31,104,35,169,0,3,0,9,70,10,90,0,3,0,3,71,10,88,194,129,12,336,1856,344,2537,0,7,0,7,110,11,125,7,16,0,20,433,69,519,141,54,4,195,1593,294,2086,168,18,6,190,556,127,876,51,12,4,72,410,91,570,12,30,0,40,341,55,437,3,37,0,35,269,75,380,3,8,0,10,151,28,188,0,3,0,3
POA6006,0,14,0,15,150,9,174,3,9,0,5,234,10,256,90,18,0,113,651,71,832,299,13,3,311,315,46,678,228,10,7,249,348,44,641,45,18,0,64,373,41,477,6,48,0,56,203,24,286,0,9,0,9,150,20,173,0,0,0,0,69,16,83,666,134,19,819,2491,284,3593,0,5,0,6,153,13,179,5,16,0,15,249,25,292,138,35,6,180,589,69,842,364,32,32,425,214,38,684,202,33,18,251,331,40,620,14,73,0,87,351,34,473,6,58,0,62,179,13,252,0,18,0,18,217,19,256,0,0,0,3,166,10,176,723,271,55,1053,2453,264,3770,0,18,0,24,306,24,348,7,16,0,27,483,44,545,226,53,5,294,1239,140,1670,663,42,36,741,536,82,1360,427,41,27,498,687,85,1267,53,92,0,152,726,70,948,12,108,0,120,383,34,538,0,25,0,29,366,40,431,0,0,0,3
POA6007,0,7,0,6,91,16,119,0,9,0,10,204,23,238,83,13,0,91,715,93,901,231,4,3,240,304,51,593,130,7,7,141,231,25,400,30,22,0,52,262,23,339,3,30,0,35,172,21,233,0,7,0,12,75,9,90,0,0,0,0,43,3,44,480,98,11,589,2103,263,2948,0,8,0,8,113,47,170,4,16,0,21,226,32,273,115,33,5,150,668,73,893,264,21,11,302,216,41,564,117,23,3,145,236,28,412,13,62,0,79,261,19,357,0,62,0,62,176,22,259,0,11,0,13,133,4,160,0,0,0,0,102,8,110,525,242,22,786,2140,274,3196,0,19,0,15,209,66,288,3,21,0,25,430,59,509,196,43,3,244,1389,161,1790,496,32,17,545,519,89,1151,251,25,6,292,465,54,813,44,82,0,130,524,40,695,4,92,0,97,348,45,494,0,22,0,28,208,12,242,0,0,0,0
POA6008,0,9,0,9,297,22,334,6,17,0,18,398,19,432,131,19,0,150,980,118,1247,481,22,17,511,437,90,1041,365,11,10,390,495,64,949,86,49,4,133,701,71,903,15,121,0,138,535,83,760,0,25,0,25,258,49,330,0,0,0,0,77,24,97,1079,273,29,1379,4169,539,6088,3,20,0,21,300,34,353,3,27,0,28,404,36,473,226,48,4,280,916,133,1329,623,32,41,694,334,84,1107,386,29,31,444,528,63,1033,23,144,5,171,708,78,960,7,202,0,212,469,65,747,0,46,0,43,276,65,390,0,6,0,6,143,33,185,1270,547,80,1897,4091,587,6579,3,29,0,34,601,57,686,8,42,0,46,801,61,904,356,67,4,425,1893,252,2575,1101,47,53,1204,773,170,2146,755,43,44,833,1018,127,1977,110,193,3,307,1409,153,1865,27,324,0,351,1005,150,1509,0,72,0,75,534,108,721,0,3,0,3
POA6009,0,29,0,32,759,33,824,4,27,0,33,1222,75,1326,118,24,3,146,951,69,1171,540,15,3,560,293,57,912,518,14,12,540,459,61,1060,107,47,3,162,742,57,957,21,187,0,210,567,50,825,3,48,0,48,332,29,407,0,0,0,3,132,18,157,1311,398,19,1724,5456,447,7627,3,41,0,50,789,39,873,7,40,0,46,1054,65,1165,199,36,3,237,670,61,968,717,24,36,779,197,42,1023,541,31,23,603,480,35,1123,53,176,3,232,782,58,1073,11,310,0,328,530,60,912,3,57,0,63,347,44,451,0,3,0,3,234,39,275,1538,729,65,2334,5080,435,7848,7,71,0,76,1552,71,1697,6,69,0,79,2277,135,2488,317,56,5,381,1619,134,2137,1262,38,39,1342,495,94,1927,1058,46,34,1136,943,105,2185,163,228,7,393,1521,114,2027,33,503,3,536,1096,107,1735,3,105,0,111,679,65,854,0,5,0,6
POA6010,0,26,0,26,675,34,740,0,19,0,20,527,31,576,105,19,0,119,647,91,861,497,16,17,527,283,87,900,477,13,7,491,472,82,1048,90,46,0,134,746,81,955,12,152,3,167,604,73,842,3,58,0,57,377,50,481,0,0,0,0,170,18,191,1181,340,29,1547,4500,550,6595,0,29,0,25,511,35,576,4,22,0,29,398,39,468,186,34,13,241,556,69,868,620,14,44,677,193,63,936,559,27,25,612,578,81,1277,49,154,3,203,842,79,1120,5,335,3,345,547,70,959,0,73,0,71,496,89,654,0,4,0,8,369,75,451,1423,693,94,2216,4493,599,7303,0,50,0,54,1191,73,1311,6,40,0,45,917,73,1042,290,52,16,364,1202,164,1729,1113,32,61,1212,483,146,1835,1031,42,34,1111,1050,167,2322,137,195,5,337,1585,159,2077,20,481,8,509,1156,136,1802,3,128,0,128,870,139,1139,0,4,0,8
POA6011,3,18,0,19,229,23,270,0,7,0,7,229,15,257,39,21,0,55,386,53,499,227,11,3,242,183,34,456,315,9,6,330,253,57,637,85,44,0,125,457,54,636,12,91,0,102,326,42,467,0,26,0,24,166,24,214,0,3,0,3,64,11,76,671,219,14,901,2300,309,3513,4,25,0,32,334,23,387,0,20,0,20,208,22,255,84,25,8,114,399,55,565,312,22,20,347,117,26,492,344,34,12,386,265,55,708,35,105,0,139,454,40,635,0,166,3,170,255,27,456,4,41,0,44,155,15,220,3,9,0,6,141,26,171,781,444,38,1261,2322,290,3876,7,42,0,47,565,44,653,0,27,0,27,445,43,509,118,49,8,172,778,106,1064,535,30,22,587,300,60,945,658,39,17,715,521,104,1342,117,145,0,264,906,95,1271,13,258,3,272,581,69,919,6,60,0,65,327,42,433,4,7,0,12
