POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6000,79,18,92,849,369,25,1240,7701,1690,10626
POA6003,22,3,27,226,89,11,326,2329,643,3291
POA6004,65,11,70,794,361,9,1170,7292,1511,9971
POA6005,94,12,115,381,168,12,568,3953,767,5285
POA6006,227,26,261,1396,406,74,1870,4944,547,7365
POA6007,149,5,153,1008,334,32,1371,4234,539,6148
POA6008,219,50,277,2352,819,110,3279,8260,1127,12661
POA6009,370,57,433,2853,1119,88,4062,10538,876,15476
POA6010,539,95,642,2608,1032,121,3760,8997,1147,13899
POA6011,207,31,252,1451,659,57,2170,4623,601,7394
POA6012,115,60,182,1362,505,52,1919,4619,705,7248
POA6014,494,146,644,3949,983,135,5069,10076,1162,16307
POA6015,234,29,266,1147,489,62,1697,3301,306,5302
POA6016,144,28,173,1941,393,65,2399,5038,573,8016
POA6017,60,16,76,513,180,11,708,2595,343,3645
POA6018,809,233,1060,6650,2168,231,9054,19574,2289,30924
POA6019,297,42,346,3395,1235,126,4756,12048,1472,18281
POA6020,296,39,340,3567,1780,164,5515,10486,871,16871
POA6021,338,171,518,3143,1236,82,4465,10977,1328,16771
POA6022,46,11,57,897,379,42,1315,2494,245,4047
POA6023,244,71,316,2936,1143,137,4214,7213,582,12019
POA6024,187,30,218,2344,1132,114,3587,6670,571,10830
POA6025,326,63,399,5362,2108,223,7688,15238,1344,24270
POA6026,594,52,648,3941,1689,166,5791,11635,775,18206
POA6027,454,79,532,6947,2832,291,10067,22120,2025,34215
POA6028,99,34,136,4398,1241,163,5799,11203,738,17748
POA6029,56,8,67,519,237,17,778,1380,127,2286
POA6030,408,160,569,7213,2147,303,9663,18731,2410,30803
POA6031,34,5,42,3728,842,128,4695,6857,757,12306
POA6032,0,0,0,21,16,0,41,107,20,170
POA6033,3,0,3,55,40,0,99,224,44,367
POA6034,3,0,3,367,80,8,453,676,129,1255
POA6035,39,88,129,1769,440,61,2278,3606,802,6687
POA6036,28,8,41,3379,727,129,4233,6204,1146,11592
POA6037,22,0,24,516,184,21,715,1367,279,2362
POA6038,0,0,3,1408,263,49,1715,2520,409,4639
POA6041,13,3,11,202,99,10,306,806,116,1227
POA6042,0,0,0,4,3,0,7,60,9,79
POA6043,8,0,8,28,18,0,47,127,37,208
POA6044,16,3,18,141,64,5,214,758,114,1078
POA6050,485,243,732,2087,834,81,3008,8835,1380,13226
POA6051,107,22,129,1720,546,48,2310,7598,1028,10941
POA6052,187,31,216,1910,538,77,2528,5950,700,9174
POA6053,287,151,444,2484,738,96,3315,7716,936,11967
POA6054,329,47,383,3264,1141,161,4561,10830,1308,16701
POA6055,135,37,169,4016,1041,128,5185,9776,1700,16653
POA6056,590,194,795,6014,2456,228,8697,20599,2919,32216
POA6057,150,30,179,2871,1081,128,4078,8376,1024,13476
POA6058,131,68,198,2024,811,61,2901,6633,842,10373
POA6059,569,94,673,3529,1432,105,5059,13461,1215,19738
POA6060,588,149,747,3367,1166,80,4615,13862,1687,20159
POA6061,322,68,404,5759,1627,141,7524,20792,3018,31335
POA6062,585,145,742,4873,1984,163,7025,18483,1964,27472
POA6063,103,11,113,2425,761,93,3273,7180,820,11270
POA6064,323,57,383,4852,1694,215,6770,16457,1727,24950
POA6065,573,88,663,12984,3249,440,16678,28283,2659,47622
POA6066,136,21,161,3036,1085,108,4231,9933,820,14981
POA6067,0,0,0,8,0,0,8,10,3,24
POA6068,0,0,0,0,0,0,0,7,0,7
POA6069,152,139,294,8588,2002,287,10885,16007,2140,29029
POA6070,35,3,37,698,277,33,1009,1723,159,2885
POA6071,37,4,45,576,235,34,843,1788,159,2796
POA6072,11,0,11,107,60,11,176,452,122,747
POA6073,77,38,118,479,230,14,718,1610,216,2543
POA6074,15,0,16,166,68,10,241,525,48,811
POA6076,403,110,519,3406,1728,154,5286,11491,1241,18018
POA6077,12,9,26,190,87,7,282,873,70,1232
POA6078,8,0,8,131,82,4,224,487,63,778
POA6079,0,0,0,0,3,0,10,18,3,24
POA6081,40,4,51,826,318,39,1183,2333,278,3785
POA6082,23,5,30,585,180,20,788,1601,176,2573
POA6083,21,0,24,553,183,22,759,1909,233,2905
POA6084,28,13,44,1401,475,48,1921,3887,742,6553
POA6090,0,0,0,0,0,0,0,3,3,6
POA6100,147,20,174,1982,646,88,2713,8724,1175,12619
POA6101,206,78,288,2406,652,82,3137,9348,1559,14043
