POA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA6000,..,10,344,292,143,149,94,38,8,1083,..,79,444,151,71,35,15,4,3,801,..,3,4,7,15,8,0,4,0,39,313,..,..,..,..,..,..,..,..,313,..,68,..,..,..,..,..,..,..,68,..,23,35,5,5,10,0,0,0,83,..,32,41,10,3,5,3,0,0,93,..,22,62,12,3,7,0,0,0,99,..,215,386,76,28,29,10,6,0,748,..,66,402,208,158,147,64,29,6,1088,6,25,44,26,8,5,4,0,0,128,325,554,1766,787,433,397,193,79,16,4545,..,32,437,267,142,140,78,20,0,1108,..,129,455,102,39,22,7,0,0,758,..,3,15,32,45,20,16,3,8,143,314,..,..,..,..,..,..,..,..,314,..,52,..,..,..,..,..,..,..,52,..,28,23,7,11,4,0,0,0,75,..,44,44,4,4,9,9,4,0,108,..,39,49,8,0,0,0,0,0,99
POA6003,..,4,92,81,43,53,36,14,3,319,..,22,154,44,20,24,8,0,0,272,..,0,0,0,3,7,0,0,0,13,86,..,..,..,..,..,..,..,..,86,..,20,..,..,..,..,..,..,..,20,..,3,9,3,0,0,0,0,0,20,..,13,14,4,0,0,0,0,0,37,..,5,28,3,0,0,0,0,0,42,..,50,140,34,14,11,7,3,0,263,..,8,84,69,62,27,33,11,5,291,0,4,4,4,0,0,0,0,0,16,83,139,533,240,143,126,80,29,9,1378,..,8,124,66,48,47,24,12,0,321,..,33,159,30,11,17,0,0,0,253,..,0,4,6,8,4,6,3,0,43,89,..,..,..,..,..,..,..,..,89,..,18,..,..,..,..,..,..,..,18,..,11,8,7,3,0,0,0,0,32,..,10,8,4,0,3,4,0,3,33,..,11,23,6,0,0,0,0,0,36
POA6004,..,21,394,262,220,233,169,58,6,1368,..,65,371,104,59,38,14,3,0,653,..,0,3,3,7,12,7,0,6,28,255,..,..,..,..,..,..,..,..,255,..,80,..,..,..,..,..,..,..,80,..,36,26,21,5,0,0,0,0,94,..,54,43,5,3,3,3,3,0,110,..,30,78,8,7,0,0,0,0,125,..,187,311,65,19,11,13,3,0,612,..,71,308,172,146,144,97,39,14,974,0,19,51,11,15,14,0,3,0,106,255,557,1582,647,482,454,297,108,23,4407,..,37,495,253,210,239,143,39,3,1415,..,120,361,77,46,25,5,3,0,635,..,0,19,33,35,22,15,4,0,129,281,..,..,..,..,..,..,..,..,281,..,58,..,..,..,..,..,..,..,58,..,43,35,7,4,0,0,0,0,83,..,65,50,8,3,9,3,8,3,155,..,31,57,9,0,0,0,0,0,92
POA6005,..,3,185,162,66,69,63,34,7,589,..,37,242,64,23,20,18,3,0,409,..,0,0,4,13,10,3,0,0,38,139,..,..,..,..,..,..,..,..,139,..,34,..,..,..,..,..,..,..,34,..,16,17,10,4,4,0,0,0,42,..,29,24,3,0,0,0,0,0,62,..,14,33,7,0,0,0,0,0,54,..,83,169,33,15,8,5,3,0,312,..,33,181,111,102,77,62,34,11,605,0,17,33,6,17,3,7,3,0,74,138,271,878,390,246,187,154,75,17,2353,..,6,251,116,71,74,51,20,3,597,..,60,233,46,20,11,3,0,0,383,..,0,12,15,24,15,8,4,0,75,156,..,..,..,..,..,..,..,..,156,..,29,..,..,..,..,..,..,..,29,..,3,11,3,0,4,0,0,0,27,..,19,21,10,0,3,0,0,0,63,..,17,36,7,0,0,0,0,0,51
POA6006,..,3,145,342,338,256,153,89,32,1357,..,31,172,103,78,47,13,0,0,435,..,0,4,4,14,8,5,6,5,45,689,..,..,..,..,..,..,..,..,689,..,153,..,..,..,..,..,..,..,153,..,86,60,19,24,14,3,0,0,209,..,18,27,13,5,4,5,4,0,80,..,8,38,5,3,0,0,0,0,53,..,81,207,42,20,14,3,0,0,378,..,15,66,74,83,75,54,41,13,416,0,9,18,13,3,14,3,0,3,69,695,409,739,608,570,426,240,141,58,3886,..,5,209,395,335,226,118,79,6,1375,..,31,176,95,74,35,4,0,0,423,..,3,15,39,58,34,5,25,13,182,620,..,..,..,..,..,..,..,..,620,..,179,..,..,..,..,..,..,..,179,..,51,52,7,13,4,0,0,0,138,..,20,27,3,9,3,7,20,9,91,..,26,26,4,4,0,0,0,0,60
POA6007,..,3,177,275,188,176,125,51,15,1005,..,25,215,83,62,40,5,6,0,438,..,0,0,8,15,9,6,6,3,48,494,..,..,..,..,..,..,..,..,494,..,102,..,..,..,..,..,..,..,102,..,53,30,9,5,6,0,0,0,105,..,15,27,3,3,3,4,0,0,52,..,8,20,0,0,0,0,0,0,34,..,66,178,35,13,11,4,0,0,310,..,13,114,84,79,55,38,19,17,420,4,4,18,17,4,3,5,0,0,59,498,293,783,522,371,309,193,72,33,3076,..,11,219,290,192,161,107,34,7,1024,..,42,225,76,57,29,9,0,0,432,..,0,9,27,40,34,3,13,8,133,426,..,..,..,..,..,..,..,..,426,..,108,..,..,..,..,..,..,..,108,..,25,32,12,10,9,4,0,0,93,..,16,18,3,0,9,5,5,0,61,..,12,26,0,0,0,0,0,0,41
POA6008,..,7,243,563,502,468,397,168,37,2394,..,42,290,107,104,65,46,9,3,674,..,0,0,10,38,29,11,3,3,91,1153,..,..,..,..,..,..,..,..,1153,..,331,..,..,..,..,..,..,..,331,..,108,96,14,18,6,0,0,0,239,..,45,18,5,4,9,0,0,3,90,..,11,32,5,3,3,3,0,0,57,..,110,198,20,17,17,10,4,0,384,..,38,169,159,136,173,173,78,19,937,24,21,34,18,4,7,3,7,0,116,1172,715,1086,911,826,779,648,271,64,6467,..,7,354,623,574,459,338,95,17,2475,..,63,290,123,97,62,25,3,4,670,..,3,22,83,131,72,28,11,7,349,1100,..,..,..,..,..,..,..,..,1100,..,332,..,..,..,..,..,..,..,332,..,71,69,12,3,3,0,0,0,167,..,39,27,3,4,16,13,15,5,126,..,19,22,6,0,3,0,0,0,51
POA6009,..,7,221,602,769,690,629,286,73,3270,..,34,113,61,43,53,27,14,0,344,..,0,0,3,23,28,14,6,0,75,1509,..,..,..,..,..,..,..,..,1509,..,640,..,..,..,..,..,..,..,640,..,163,154,40,17,8,3,0,0,383,..,59,48,3,8,8,6,3,11,139,..,58,54,5,3,0,3,0,0,127,..,413,294,51,22,4,7,5,0,799,..,53,88,52,68,77,54,44,29,470,6,35,20,11,8,4,3,5,0,93,1517,1464,991,834,965,871,743,360,119,7861,..,8,298,735,824,679,558,199,36,3329,..,50,113,48,64,34,15,0,0,330,..,3,16,61,119,75,25,14,20,327,1428,..,..,..,..,..,..,..,..,1428,..,555,..,..,..,..,..,..,..,555,..,130,111,26,4,3,3,0,0,284,..,64,29,5,7,21,25,18,12,175,..,65,31,4,0,3,0,0,0,107
POA6010,..,0,166,563,702,603,558,303,98,2992,..,28,138,76,68,65,43,19,3,437,..,3,0,10,24,24,13,5,3,77,1432,..,..,..,..,..,..,..,..,1432,..,647,..,..,..,..,..,..,..,647,..,183,132,25,19,14,0,0,0,372,..,60,19,8,3,7,8,3,0,109,..,21,13,4,0,4,0,0,0,44,..,91,125,32,9,10,10,6,0,287,..,47,79,50,89,105,109,78,44,595,12,28,29,7,6,12,9,6,3,113,1447,1112,696,773,922,840,745,425,158,7114,..,6,278,630,817,624,495,239,41,3130,..,43,154,73,79,56,28,11,0,445,..,0,9,73,179,104,21,16,17,434,1227,..,..,..,..,..,..,..,..,1227,..,538,..,..,..,..,..,..,..,538,..,123,111,11,12,13,0,0,0,266,..,42,25,3,5,14,16,16,14,142,..,21,11,3,0,4,0,0,0,41
POA6011,..,0,74,260,403,403,309,144,39,1614,..,11,95,65,55,43,25,3,3,303,..,0,0,4,21,22,7,3,4,56,754,..,..,..,..,..,..,..,..,754,..,304,..,..,..,..,..,..,..,304,..,90,73,14,10,4,0,0,0,193,..,22,16,0,0,0,3,0,3,46,..,10,9,0,0,0,0,0,0,20,..,24,87,18,8,3,4,0,0,150,..,22,48,44,55,69,43,33,17,326,0,10,9,4,4,5,10,0,0,56,754,494,413,413,555,551,401,183,60,3822,..,3,126,310,460,379,254,99,19,1655,..,22,116,62,50,29,21,3,0,298,..,0,11,24,64,49,11,6,10,181,725,..,..,..,..,..,..,..,..,725,..,292,..,..,..,..,..,..,..,292,..,79,52,6,8,8,3,0,0,151,..,23,9,0,3,3,10,7,3,63,..,7,20,0,0,0,0,0,0,30
POA6012,..,4,143,293,379,276,239,107,23,1462,..,27,102,46,38,52,15,8,3,291,..,3,0,7,18,18,4,3,3,52,618,..,..,..,..,..,..,..,..,618,..,286,..,..,..,..,..,..,..,286,..,71,46,14,16,7,0,0,0,153,..,27,9,3,5,7,0,0,0,58,..,5,15,0,0,0,0,0,0,28,..,30,61,15,16,3,8,3,0,133,..,19,58,51,66,86,96,45,20,449,12,8,11,10,6,4,9,0,3,55,627,479,448,445,548,447,379,171,50,3588,..,3,199,339,423,268,200,74,9,1511,..,31,121,48,38,42,14,4,0,305,..,4,15,44,74,42,14,8,16,214,739,..,..,..,..,..,..,..,..,739,..,308,..,..,..,..,..,..,..,308,..,62,50,7,10,8,0,0,0,131,..,22,11,0,5,8,10,7,0,70,..,14,19,0,0,0,0,0,0,29
POA6014,..,19,413,941,934,678,426,228,107,3756,..,37,235,138,106,82,36,12,3,659,..,0,4,12,31,30,6,5,5,95,2151,..,..,..,..,..,..,..,..,2151,..,621,..,..,..,..,..,..,..,621,..,226,163,28,13,19,3,0,0,457,..,53,41,7,3,10,8,3,4,132,..,19,41,12,3,7,0,0,0,84,..,84,149,28,16,15,9,5,0,303,..,43,170,135,115,159,115,67,45,844,20,26,31,20,9,9,10,5,3,117,2169,1141,1241,1323,1242,1004,609,335,168,9229,..,29,574,1108,930,644,346,196,57,3889,..,67,257,118,120,59,26,5,0,663,..,8,29,118,139,75,18,26,25,423,1934,..,..,..,..,..,..,..,..,1934,..,549,..,..,..,..,..,..,..,549,..,181,99,12,15,8,3,0,0,322,..,53,34,8,3,25,27,16,12,178,..,23,46,11,3,0,0,0,0,84
POA6015,..,0,21,188,426,331,201,194,69,1428,..,3,15,17,32,28,6,10,3,111,..,0,0,5,8,12,0,3,0,32,665,..,..,..,..,..,..,..,..,665,..,295,..,..,..,..,..,..,..,295,..,92,50,3,10,8,4,0,0,176,..,22,7,0,4,3,0,5,0,39,..,8,9,3,3,0,0,0,0,24,..,16,29,4,4,3,4,0,0,65,..,9,8,11,11,11,14,25,31,115,0,9,3,4,3,7,0,0,0,18,666,459,134,239,500,402,229,232,106,2971,..,0,40,265,470,293,218,154,29,1471,..,10,25,31,32,16,6,4,0,118,..,3,5,23,40,20,9,10,10,122,570,..,..,..,..,..,..,..,..,570,..,335,..,..,..,..,..,..,..,335,..,86,30,4,7,3,0,0,0,131,..,17,0,0,0,0,8,6,0,42,..,4,3,3,0,0,0,0,0,16
