POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,..,218,330,59,21,8,7,4,0,644,..,77,223,141,83,71,62,38,19,716,5,23,55,17,4,19,3,0,0,133,319,645,1628,629,353,289,180,73,29,4141,..,42,781,561,286,290,174,57,3,2191,..,209,901,253,109,61,24,3,3,1558,..,7,17,44,58,30,16,11,7,181,627,..,..,..,..,..,..,..,..,627,..,122,..,..,..,..,..,..,..,122,..,57,63,11,15,14,0,0,0,157,..,79,81,9,6,12,6,4,0,201,..,60,110,19,3,4,0,0,0,201,..,437,717,134,49,32,21,6,0,1396,..,146,626,348,241,221,125,72,27,1802,10,50,96,44,18,20,5,3,0,257,637,1203,3387,1417,781,683,372,150,46,8687
POA6003,..,74,112,19,0,4,3,0,0,212,..,19,92,58,27,39,28,19,8,280,0,4,4,6,0,6,0,0,0,25,89,180,537,198,106,122,61,32,11,1337,..,13,210,148,91,101,59,21,3,645,..,55,317,77,33,38,3,0,0,525,..,0,4,10,15,10,8,3,0,54,177,..,..,..,..,..,..,..,..,177,..,35,..,..,..,..,..,..,..,35,..,18,21,7,3,0,0,0,0,45,..,28,24,9,3,4,4,0,3,66,..,18,55,8,0,0,0,0,0,80,..,120,258,55,16,12,6,8,0,470,..,28,174,124,84,71,60,21,11,575,0,9,13,5,4,3,0,0,0,39,172,318,1069,439,253,245,137,59,23,2717
POA6004,..,176,254,34,11,7,10,0,0,496,..,71,193,130,79,99,83,40,9,715,3,22,30,17,5,10,3,4,0,95,286,619,1498,566,394,407,262,93,19,4154,..,58,894,510,434,473,308,101,11,2783,..,187,728,179,106,68,21,6,0,1294,..,0,20,39,40,37,21,4,4,160,536,..,..,..,..,..,..,..,..,536,..,139,..,..,..,..,..,..,..,139,..,78,60,25,11,0,0,0,0,178,..,120,92,16,6,8,9,11,3,263,..,64,137,15,10,0,0,0,0,222,..,360,566,102,35,17,22,3,0,1104,..,146,507,302,224,239,173,74,22,1687,3,38,84,26,14,21,4,9,0,203,539,1181,3081,1211,874,866,564,202,45,8563
POA6005,..,79,133,16,3,5,3,0,0,248,..,42,142,92,70,68,53,35,20,521,5,14,38,9,12,6,3,0,3,84,155,278,883,321,209,184,126,59,29,2240,..,11,438,278,137,144,118,50,9,1185,..,101,471,118,47,36,18,3,0,797,..,0,14,18,30,26,14,4,3,111,289,..,..,..,..,..,..,..,..,289,..,67,..,..,..,..,..,..,..,67,..,23,25,14,8,5,0,0,0,64,..,56,50,15,0,7,0,0,0,124,..,24,66,9,3,0,0,0,0,106,..,156,300,47,25,16,11,8,0,558,..,77,323,198,179,141,109,62,33,1126,4,29,65,12,28,3,11,3,3,159,296,547,1757,712,453,371,284,130,47,4596
POA6006,..,94,164,19,8,7,3,3,3,302,..,21,77,62,65,91,79,77,67,541,5,9,23,10,3,5,5,3,4,76,628,443,765,636,575,416,223,207,106,3990,..,6,351,734,673,479,271,170,35,2731,..,58,343,201,157,83,21,0,0,860,..,3,20,37,74,48,13,27,20,233,1310,..,..,..,..,..,..,..,..,1310,..,332,..,..,..,..,..,..,..,332,..,140,109,31,45,22,3,0,0,342,..,38,53,13,10,8,15,24,9,168,..,34,60,3,10,3,0,0,0,113,..,175,368,63,29,23,7,6,3,677,..,35,146,138,150,163,127,122,84,959,11,19,46,22,8,21,11,3,5,143,1314,848,1505,1244,1142,843,468,354,155,7871
POA6007,..,88,164,26,12,5,9,0,0,313,..,19,77,79,55,85,68,54,39,480,10,13,27,7,0,3,3,3,0,68,428,338,803,516,376,329,213,116,53,3184,..,16,397,569,382,339,234,83,15,2035,..,66,437,157,115,67,19,5,0,870,..,0,10,34,49,45,10,14,17,181,921,..,..,..,..,..,..,..,..,921,..,217,..,..,..,..,..,..,..,217,..,80,68,21,19,11,4,0,0,202,..,32,43,9,3,12,10,7,0,118,..,27,45,0,4,3,0,0,0,79,..,158,344,60,26,15,12,0,3,621,..,35,193,162,134,139,110,73,51,904,13,15,45,27,6,11,12,3,0,126,929,632,1583,1042,746,641,408,190,90,6255
POA6008,..,156,167,23,12,15,20,3,0,404,..,48,168,120,119,215,203,162,71,1109,23,18,41,10,6,17,19,3,5,149,1124,753,1159,1008,957,862,649,295,111,6916,..,12,599,1192,1081,922,739,265,53,4864,..,106,581,235,205,127,68,14,3,1341,..,6,22,91,166,97,36,14,7,442,2250,..,..,..,..,..,..,..,..,2250,..,657,..,..,..,..,..,..,..,657,..,180,162,27,18,11,0,0,0,404,..,85,47,8,7,20,19,17,8,216,..,31,60,12,0,3,4,0,0,111,..,262,370,43,29,38,26,7,3,784,..,86,329,278,252,386,382,241,88,2045,44,38,73,26,11,27,24,9,5,262,2295,1463,2246,1916,1781,1642,1298,569,175,13381
POA6009,..,296,120,18,6,13,8,5,0,460,..,60,78,56,47,126,179,156,113,823,3,38,24,8,5,19,14,3,5,123,1430,1266,819,966,1072,974,829,405,179,7941,..,18,518,1337,1591,1367,1183,487,106,6602,..,87,222,115,112,84,43,13,0,675,..,4,16,64,146,99,37,19,23,407,2941,..,..,..,..,..,..,..,..,2941,..,1200,..,..,..,..,..,..,..,1200,..,295,261,62,21,13,6,0,0,666,..,118,75,9,14,30,27,25,18,317,..,122,83,14,3,6,3,0,0,230,..,707,417,71,25,12,16,9,3,1258,..,117,163,107,121,203,234,200,143,1292,14,73,45,21,8,29,23,8,3,214,2947,2736,1809,1795,2038,1840,1573,761,293,15796
POA6010,..,84,78,9,3,16,9,11,3,220,..,24,77,48,72,172,275,256,238,1160,5,36,21,5,12,12,22,15,8,130,1239,914,769,863,1174,1015,871,565,330,7734,..,11,439,1194,1521,1226,1055,544,139,6127,..,65,290,147,146,122,64,33,3,882,..,8,16,82,196,125,35,21,26,508,2663,..,..,..,..,..,..,..,..,2663,..,1182,..,..,..,..,..,..,..,1182,..,309,243,37,31,20,0,0,0,643,..,99,43,9,11,22,27,19,20,255,..,36,28,7,0,9,3,0,0,81,..,179,202,44,17,29,21,19,6,503,..,70,162,98,155,275,380,331,280,1758,19,59,46,14,18,26,25,14,13,240,2682,2024,1471,1635,2092,1856,1614,986,482,14844
POA6011,..,46,94,10,7,3,3,0,0,156,..,19,46,39,43,80,98,76,76,473,6,11,22,7,7,11,6,0,3,74,731,505,490,457,640,568,404,192,119,4109,..,3,203,572,864,784,559,239,58,3276,..,35,212,125,103,76,42,6,3,604,..,4,12,31,88,68,20,10,16,237,1477,..,..,..,..,..,..,..,..,1477,..,598,..,..,..,..,..,..,..,598,..,171,119,17,14,13,4,0,0,342,..,45,27,0,5,3,15,8,9,107,..,14,27,0,0,5,0,0,0,51,..,66,182,26,13,3,7,0,0,311,..,43,96,76,94,151,147,105,94,803,3,21,33,14,18,21,18,3,3,127,1485,1003,905,867,1199,1118,812,375,176,7933
