POA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA6000,131,0,0,0,0,3,0,27,157,569,12,0,0,0,0,0,139,728,874,37,8,5,0,0,0,177,1105,642,99,44,3,3,0,0,140,934,283,71,55,14,4,0,0,73,504,131,49,47,12,3,5,0,57,299,101,41,48,15,6,0,0,49,255,80,28,45,22,3,0,3,40,222,40,33,59,22,12,0,0,31,199,34,22,44,27,13,0,0,24,165,30,30,43,16,7,4,0,16,148,13,3,20,14,8,5,3,14,74,14,3,11,8,9,0,3,15,57,0,4,6,9,3,3,5,10,48,0,6,16,18,7,3,5,10,56,2943,427,447,189,79,32,29,820,4961
POA6003,29,0,0,0,0,0,0,7,38,153,4,0,0,0,0,0,34,188,276,9,3,0,0,0,0,75,365,232,30,10,0,0,0,0,69,334,81,24,14,3,0,0,0,36,158,42,17,12,4,3,0,0,18,93,29,11,16,7,0,0,0,16,75,26,7,4,9,3,0,0,10,60,33,8,17,9,4,0,0,7,81,15,5,17,11,0,0,3,9,62,11,5,21,5,8,0,0,9,50,3,4,0,3,0,0,0,6,15,3,0,3,4,3,0,0,7,31,0,0,0,3,0,0,0,3,8,0,3,3,3,0,3,0,4,18,926,130,127,64,20,5,5,300,1583
POA6004,103,0,0,0,0,0,0,26,136,498,3,0,0,0,0,0,105,613,771,44,8,0,0,0,0,174,1006,528,118,36,0,0,0,0,136,818,230,81,26,5,0,0,0,59,400,138,42,46,9,0,0,0,43,275,78,48,51,19,7,0,0,39,237,69,44,73,18,7,3,0,31,254,66,31,68,51,17,5,0,43,277,29,44,75,31,17,0,3,37,238,38,9,68,37,13,3,0,19,190,12,4,48,20,7,4,0,23,123,6,6,23,12,6,0,0,10,73,10,5,7,11,4,0,4,3,41,4,3,10,11,4,3,0,3,39,2576,489,545,222,89,21,12,746,4707
POA6005,59,0,0,0,0,0,0,13,75,204,4,0,0,0,0,0,32,246,444,25,3,0,0,0,0,89,570,327,55,14,3,3,0,0,60,465,149,28,33,5,0,0,0,34,246,71,23,25,0,0,0,0,27,142,66,17,20,4,0,0,0,16,118,46,24,20,8,3,0,0,22,132,28,21,30,4,8,0,0,11,104,28,16,31,14,0,0,0,13,104,14,14,25,15,6,3,0,19,99,11,3,22,11,0,4,0,13,71,11,5,11,8,5,0,0,8,55,3,0,10,10,3,0,0,7,36,5,6,13,17,8,4,3,27,88,1465,241,256,102,41,15,10,397,2537
POA6006,156,0,0,0,0,0,0,24,179,249,5,0,0,0,0,0,34,292,369,17,5,0,0,0,0,50,442,238,65,52,10,6,0,0,27,399,124,88,108,31,0,0,0,21,366,63,62,127,39,5,0,0,21,312,78,50,94,61,8,3,0,16,312,74,54,102,38,8,0,0,30,311,61,38,83,32,13,0,0,32,262,41,26,69,42,10,5,0,24,213,26,22,42,35,5,3,5,15,153,8,12,33,25,15,3,0,13,99,13,12,36,31,19,0,11,15,145,14,3,29,31,14,9,5,14,106,13,13,37,37,25,15,4,26,176,1527,466,820,405,129,32,31,357,3770
POA6007,122,0,0,0,0,0,0,53,170,231,9,0,0,0,0,0,37,273,405,13,3,0,0,0,0,47,471,276,81,22,9,0,0,0,34,422,127,50,86,27,0,0,0,26,310,85,41,78,20,6,0,0,13,253,81,22,66,28,6,0,0,12,223,63,28,52,28,5,3,0,13,194,40,21,68,30,4,3,0,3,184,43,20,60,28,9,0,0,15,181,31,29,54,30,12,0,0,12,168,18,4,22,23,9,4,0,9,91,14,15,22,21,9,3,5,8,94,10,3,15,14,14,3,8,5,66,11,15,32,18,17,5,3,15,110,1558,347,587,270,86,27,11,317,3196
POA6008,316,0,0,0,0,0,0,35,353,421,3,0,0,0,0,0,47,473,595,44,9,0,0,0,0,82,723,348,113,67,10,5,0,0,59,605,191,107,169,49,7,0,0,42,569,108,100,193,83,12,0,0,41,535,106,87,201,81,11,3,0,23,513,139,74,173,82,10,8,3,30,520,110,52,175,79,20,4,0,45,492,88,58,166,84,29,3,0,40,473,76,48,149,91,22,9,9,40,438,46,23,105,83,31,3,3,24,312,34,22,55,64,20,5,3,34,238,31,9,28,37,12,3,3,14,151,40,14,34,25,23,8,5,29,185,2658,761,1523,772,198,49,36,580,6579
POA6009,821,0,0,0,0,0,0,57,873,1077,5,0,0,0,0,0,82,1165,463,29,9,3,0,0,0,41,548,216,79,80,15,5,0,0,25,419,96,86,189,77,9,0,0,16,480,65,58,229,130,32,6,0,24,539,55,54,252,163,29,4,3,18,580,54,56,239,132,38,5,0,18,538,64,58,226,138,27,7,3,32,559,74,34,190,135,36,7,5,32,515,61,53,191,136,44,9,10,25,521,50,27,133,114,39,7,0,20,387,26,13,83,66,36,7,4,16,258,25,12,43,53,32,14,7,12,194,30,15,57,65,40,12,15,34,275,3173,601,1927,1221,358,82,49,450,7848
POA6010,516,0,0,0,0,0,0,59,576,412,4,0,0,0,0,0,53,468,350,28,12,0,0,0,0,42,439,222,81,72,22,4,0,0,27,431,79,82,143,64,5,0,0,22,398,60,83,222,102,19,7,0,45,541,72,82,269,161,41,3,0,43,670,74,78,249,137,30,3,4,37,607,61,71,234,131,35,3,3,48,591,69,56,202,112,38,7,4,37,535,56,54,211,120,39,14,3,34,529,51,28,145,114,45,14,3,25,423,32,22,99,109,43,10,10,36,356,32,14,60,81,48,18,10,33,299,42,23,94,106,91,27,17,60,451,2115,710,2023,1263,447,97,57,601,7303
POA6011,351,0,0,0,0,0,0,33,387,222,0,0,0,0,0,0,32,255,244,14,4,0,0,0,0,26,284,173,44,25,9,0,0,0,32,282,67,37,64,44,3,0,0,15,234,37,28,90,70,21,0,0,11,254,35,42,131,94,33,3,0,25,366,45,31,128,73,24,7,3,24,338,48,40,122,73,19,8,3,25,332,42,26,109,68,32,9,0,18,303,31,18,103,69,11,0,0,19,253,16,14,69,68,23,8,4,10,205,7,3,35,43,28,6,4,9,137,6,3,19,25,20,0,7,0,85,19,14,38,52,23,12,9,16,171,1338,309,937,695,232,47,30,297,3876
