POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6000,1499,2895,3,13,14,68,4,15,351,1187,370,1283,10,30,34,106,56,163,98,296,468,1577,0,3,5,19,3,8,67,159,72,187,5,18,29,59,68,145,106,227,179,417,70,142,2210,5036
POA6003,465,907,0,3,12,35,4,13,106,337,116,386,3,12,13,29,19,60,33,98,148,487,0,0,0,0,3,3,20,43,20,44,0,4,10,23,21,40,32,62,54,109,20,49,685,1552
POA6004,1629,3156,3,8,12,52,4,19,347,1103,367,1188,14,46,54,178,80,232,151,455,511,1645,0,0,6,27,4,6,57,124,62,156,3,12,23,59,64,130,93,200,158,356,89,196,2396,5342
POA6005,827,1577,0,0,5,36,0,0,162,555,174,589,7,24,22,66,18,51,46,136,214,723,0,0,6,13,0,0,41,86,45,102,0,4,19,42,50,92,69,137,112,237,45,99,1199,2642
POA6006,884,1734,10,36,73,332,12,55,615,2282,706,2704,40,153,95,315,130,431,262,904,969,3608,0,4,9,23,4,6,74,169,88,204,8,34,36,79,99,214,145,329,231,531,52,102,2135,5980
POA6007,868,1666,3,12,39,168,3,13,434,1617,482,1812,26,118,68,223,65,202,162,537,641,2351,0,0,9,36,0,3,59,148,72,188,9,17,25,54,78,174,110,248,178,429,44,85,1733,4537
POA6008,1653,3202,13,60,139,619,15,47,996,3704,1159,4426,57,248,188,635,159,483,412,1360,1568,5792,0,12,27,83,3,14,170,419,206,522,17,57,87,189,137,278,242,525,444,1050,68,146,3739,10177
POA6009,1590,3098,19,110,266,1209,16,72,1144,4573,1447,5962,127,517,314,1113,297,897,741,2525,2188,8485,3,12,37,129,0,0,105,278,140,416,31,101,92,202,143,297,264,594,403,1014,92,195,4286,12797
POA6010,1649,3196,24,107,265,1185,26,97,1014,3959,1326,5349,126,493,316,1087,248,743,687,2317,2010,7664,3,19,51,168,8,27,137,341,202,555,31,94,96,213,175,374,306,682,509,1238,72,162,4241,12257
POA6011,939,1811,13,84,142,651,6,26,524,2113,686,2869,71,286,156,534,164,492,398,1318,1084,4182,3,12,16,60,3,10,83,211,106,288,16,52,42,105,72,143,137,294,239,581,30,71,2298,6640
POA6012,864,1676,4,29,143,665,8,16,512,1989,663,2700,54,220,144,521,120,348,323,1100,991,3796,0,0,34,99,4,23,79,198,117,323,17,46,51,107,87,180,155,333,269,653,36,75,2161,6201
POA6014,1881,3667,21,96,277,1260,15,71,1725,6707,2041,8133,149,599,291,1000,309,941,746,2541,2786,10670,4,26,44,143,3,7,182,465,234,650,33,102,74,174,179,383,289,662,520,1308,94,191,5276,15837
POA6015,664,1296,4,33,155,718,7,41,416,1689,586,2480,84,348,167,577,129,397,381,1323,966,3804,0,0,19,52,0,0,57,145,70,200,13,28,25,67,49,98,79,191,152,392,18,44,1807,5533
POA6016,944,1857,10,66,117,511,4,27,870,3255,1008,3855,45,192,93,327,117,365,262,888,1272,4743,0,4,22,61,4,8,113,306,136,375,12,40,41,87,90,188,144,318,276,695,67,136,2555,7426
POA6017,486,958,0,7,10,41,8,27,239,826,261,906,8,28,22,78,22,78,53,181,316,1086,0,3,0,11,4,4,53,128,59,148,0,3,9,19,62,127,72,145,132,296,51,120,983,2460
POA6018,3987,7733,34,178,435,1937,64,274,2826,10648,3359,13044,233,963,495,1698,586,1799,1318,4463,4679,17505,13,41,104,336,24,70,430,1086,560,1531,75,224,186,435,494,1025,760,1688,1321,3219,177,366,10158,28825
POA6019,2525,4858,21,93,185,805,26,111,1382,5102,1608,6119,99,399,249,839,274,811,621,2055,2231,8172,12,53,41,130,9,26,294,719,354,922,29,94,107,237,238,491,378,822,731,1740,109,221,5594,14993
POA6020,2410,4717,23,110,305,1361,34,167,1490,5825,1851,7455,211,846,331,1159,579,1761,1116,3769,2971,11225,3,11,39,127,12,52,195,499,252,685,29,85,87,195,203,422,318,696,563,1380,60,124,6011,17437
POA6021,2167,4295,18,104,212,953,35,172,1335,5022,1606,6251,113,485,215,734,522,1661,855,2878,2456,9127,12,57,39,136,11,19,209,548,271,770,41,134,87,197,308,644,431,976,703,1742,113,248,5442,15406
POA6022,595,1163,3,19,55,249,8,43,361,1380,429,1684,31,123,42,140,117,377,189,635,618,2318,3,5,14,46,4,13,71,181,94,251,14,37,33,80,86,176,130,295,220,544,17,39,1447,4061
POA6023,1514,2973,14,83,225,1019,28,140,1263,4985,1537,6226,141,565,252,853,417,1288,806,2703,2337,8930,3,19,36,120,8,27,144,355,198,529,30,97,59,134,161,334,252,569,447,1099,59,127,4358,13127
POA6024,1549,3058,24,135,144,664,48,187,975,3678,1185,4666,76,319,129,435,336,1034,535,1790,1726,6455,4,20,32,90,5,25,172,460,220,589,29,90,50,121,236,488,316,697,535,1287,56,109,3859,10912
POA6025,3310,6444,58,296,380,1721,71,321,2166,8268,2675,10607,264,1094,437,1517,743,2286,1448,4895,4127,15504,8,37,82,255,28,101,402,1050,514,1444,65,207,130,296,408,870,600,1371,1119,2813,103,215,8654,24977
POA6026,2315,4549,39,210,317,1429,77,323,1514,5917,1953,7877,261,1077,357,1246,752,2329,1369,4646,3322,12524,15,65,65,213,11,42,226,593,319,912,55,152,91,202,277,585,420,941,740,1861,49,109,6424,19046
POA6027,4369,8562,88,494,516,2342,145,640,2721,10389,3477,13855,386,1553,553,1834,1158,3588,2089,6973,5563,20830,18,82,112,363,35,130,509,1325,673,1905,101,314,183,412,574,1205,851,1937,1526,3838,170,368,11632,33594
POA6028,1883,3692,76,403,440,1897,107,441,1662,6480,2279,9221,307,1247,461,1592,739,2295,1508,5130,3781,14352,18,69,67,225,15,51,242,648,333,994,50,145,101,235,226,509,375,886,713,1884,59,136,6438,20062
POA6029,301,596,0,14,57,237,4,24,196,773,261,1052,25,95,53,199,59,166,137,457,396,1513,0,3,6,20,0,0,18,42,29,66,6,17,10,20,25,48,40,82,61,150,12,25,779,2274
POA6030,3481,6821,104,557,574,2660,195,906,2667,10168,3536,14294,316,1326,468,1570,863,2641,1652,5540,5186,19833,43,218,140,492,67,236,798,2284,1047,3229,120,379,204,461,522,1111,848,1951,1899,5180,151,334,10719,32174
POA6031,1271,2482,53,305,256,1170,86,373,1518,5843,1915,7693,119,487,175,588,285,909,583,1980,2499,9676,19,79,50,203,37,124,324,885,431,1296,39,126,74,178,183,388,295,696,722,1989,56,111,4547,14255
POA6032,24,45,0,3,0,4,4,12,8,26,11,53,0,5,0,8,6,25,12,37,25,86,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,3,0,3,8,11,0,3,52,146
POA6033,43,80,0,14,5,35,3,15,18,61,26,129,7,40,11,28,12,55,31,117,59,242,0,0,0,4,0,3,0,6,5,9,3,3,0,0,3,3,4,6,7,18,0,0,105,343
POA6034,177,340,0,16,20,95,3,17,156,580,185,708,12,37,14,40,27,81,46,158,235,862,0,0,3,13,0,3,46,113,50,122,3,3,3,11,13,19,14,33,65,160,0,3,475,1366
POA6035,849,1656,20,116,92,410,44,213,731,2749,891,3491,40,151,54,173,140,418,231,749,1125,4237,4,24,31,114,12,44,189,519,238,707,8,27,34,75,102,214,142,316,378,1020,18,35,2369,6951
POA6036,1122,2174,46,259,257,1180,83,362,1288,4925,1681,6730,107,434,158,530,216,688,486,1651,2168,8386,12,64,91,319,45,158,375,1048,521,1589,40,119,88,187,156,326,276,631,795,2222,63,138,4153,12918
POA6037,318,620,7,38,23,118,17,86,197,754,254,998,8,34,21,70,67,220,105,329,356,1325,0,3,5,28,9,27,51,155,72,217,0,10,11,29,28,60,42,99,111,307,3,6,788,2261
POA6038,603,1183,3,24,68,322,25,120,650,2356,756,2821,22,84,55,170,72,215,146,470,899,3291,3,10,13,34,9,23,142,362,161,432,3,15,25,60,44,102,76,174,234,607,17,39,1767,5117
POA6041,224,442,3,14,13,63,3,17,78,319,100,407,8,21,10,34,37,110,56,164,153,571,3,8,3,13,0,6,26,60,29,83,0,0,4,6,9,18,9,24,40,112,4,4,424,1131
POA6042,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,4,0,3,16,34
POA6043,34,65,0,0,4,8,0,0,10,49,15,57,0,0,0,0,3,8,3,8,20,66,0,0,0,0,0,0,4,5,4,5,0,0,0,0,3,3,3,3,3,11,0,0,56,137
POA6044,185,360,0,6,7,33,4,19,50,195,70,245,0,6,8,32,11,31,21,69,89,320,0,0,0,0,0,8,10,36,16,44,0,0,0,4,17,39,19,43,40,86,6,5,318,766
POA6050,1586,3097,15,94,142,624,11,57,852,3254,1027,4030,116,471,254,882,235,736,608,2084,1632,6118,0,8,19,59,5,14,128,296,154,379,19,52,51,108,145,293,211,457,369,828,74,150,3658,10200
POA6051,1571,3041,4,40,56,244,11,52,762,2710,837,3046,18,88,69,229,106,301,192,621,1032,3672,0,0,12,50,8,16,174,411,196,474,8,25,51,98,127,246,184,372,377,843,84,165,3071,7726
POA6052,1090,2121,8,32,97,425,9,50,819,3053,936,3550,63,269,157,536,195,613,414,1415,1352,4968,6,30,30,115,10,27,134,325,178,500,17,62,64,142,179,378,267,583,446,1078,61,124,2943,8292
POA6053,1581,3106,10,69,129,564,12,50,1071,3957,1220,4637,77,317,151,502,202,638,426,1453,1651,6097,0,8,35,115,10,29,181,437,223,587,14,54,62,135,207,441,288,628,510,1219,95,199,3833,10614
POA6054,1992,3936,27,163,192,895,52,235,1294,4878,1568,6169,122,508,168,563,412,1278,693,2351,2263,8524,18,77,52,187,43,140,383,1002,488,1411,42,137,105,240,412,900,559,1274,1046,2683,119,255,5423,15397
POA6055,2159,4240,42,229,217,1016,75,347,1788,6593,2125,8187,100,387,186,622,350,1099,636,2109,2762,10295,12,68,41,156,15,77,277,751,351,1048,36,114,61,144,226,484,323,743,675,1791,86,176,5680,16508
POA6056,3846,7549,85,460,349,1616,139,627,2197,8356,2770,11058,226,948,313,1046,938,2972,1480,4968,4254,16022,37,176,119,430,71,265,788,2139,1014,3017,76,243,190,400,815,1722,1081,2362,2091,5381,220,457,10408,29405
POA6057,1747,3416,41,239,184,867,75,332,1094,4193,1395,5637,103,405,114,388,447,1403,663,2200,2056,7837,12,43,50,170,25,86,303,815,380,1113,43,125,65,141,287,620,390,884,770,2001,64,127,4632,13387
POA6058,1349,2626,33,185,116,546,70,319,771,2918,989,3973,75,329,68,240,320,1003,467,1574,1459,5547,8,51,55,193,24,69,220,610,301,918,35,107,41,90,233,505,309,701,607,1617,65,137,3480,9927
POA6059,2449,4850,43,238,296,1339,41,179,1408,5381,1783,7143,199,848,332,1158,578,1821,1106,3833,2886,10973,8,39,43,142,20,80,288,735,364,993,40,126,115,265,374,790,528,1180,896,2174,121,270,6353,18260
POA6060,2817,5550,19,79,132,610,19,103,1428,5134,1604,5923,85,347,153,523,243,754,485,1625,2089,7550,3,11,36,126,14,51,327,763,382,955,30,99,124,273,339,687,495,1066,874,2023,142,308,5925,15428
POA6061,3426,6907,76,453,349,1833,95,448,2434,9207,2950,11935,167,731,248,840,525,1697,940,3269,3889,15206,24,138,111,426,71,273,773,2119,982,2951,80,270,177,392,744,1612,998,2278,1981,5231,330,720,9631,28063
POA6062,3514,7004,55,322,372,1739,89,390,1915,7232,2433,9680,229,953,326,1144,872,2809,1428,4907,3858,14587,22,88,81,292,35,125,433,1131,574,1643,73,230,157,361,566,1218,797,1808,1376,3447,188,410,8936,25449
POA6063,1062,2146,43,244,210,1014,73,342,978,3976,1304,5579,115,488,147,505,377,1232,634,2231,1939,7812,11,46,49,172,37,123,222,620,317,962,31,119,74,159,267,574,365,851,685,1815,74,161,3764,11925
POA6064,2348,4718,117,715,418,2156,128,609,1881,7502,2547,10981,237,1027,278,968,834,2676,1351,4672,3896,15655,31,136,128,497,75,282,564,1602,794,2512,94,327,144,343,656,1473,892,2141,1682,4651,176,377,8104,25400
POA6065,5348,10555,150,849,944,4325,289,1291,5498,21093,6884,27549,502,2071,708,2436,1382,4413,2586,8917,9472,36472,34,159,169,584,71,242,848,2219,1113,3199,126,394,243,540,613,1336,980,2269,2090,5470,202,423,17113,52918
POA6066,1489,2956,70,429,279,1362,93,418,1145,4449,1585,6651,218,913,263,947,569,1832,1056,3688,2638,10339,27,146,82,315,30,104,311,891,446,1455,69,231,92,224,319,712,477,1172,925,2624,80,169,5134,16082
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6069,3391,6642,85,503,578,2698,172,788,3605,13856,4442,17842,255,1031,320,1051,575,1814,1151,3900,5591,21741,29,154,150,554,72,267,801,2247,1056,3213,75,230,144,320,380,820,593,1372,1644,4588,102,206,10726,33172
POA6070,426,834,4,45,65,268,3,27,285,1098,359,1434,32,127,55,185,76,228,158,539,521,1974,0,0,11,18,3,4,47,113,54,137,7,12,15,37,41,93,65,142,122,283,7,14,1075,3108
POA6071,396,786,8,62,50,228,19,84,219,847,297,1215,33,131,66,207,94,272,187,619,485,1832,3,9,5,17,0,0,30,77,40,105,10,22,18,40,50,100,73,156,109,263,7,13,1004,2898
POA6072,105,210,3,26,17,59,0,3,44,174,65,263,11,37,5,21,31,93,45,151,105,413,0,0,0,7,3,6,3,11,10,25,0,4,3,4,8,24,11,31,25,60,0,3,233,681
POA6073,392,782,9,54,42,185,16,69,164,627,231,934,20,75,25,89,86,257,132,419,363,1354,6,12,10,30,0,3,34,97,53,145,6,19,11,35,33,69,48,118,100,262,4,13,864,2415
POA6074,122,232,0,14,15,61,7,20,61,229,81,322,10,48,5,27,29,102,51,178,130,494,0,0,6,13,3,8,15,32,19,55,0,4,4,10,10,22,18,42,39,94,0,4,288,826
POA6076,2627,5151,51,271,326,1474,78,350,1267,5032,1720,7124,180,729,290,996,602,1848,1068,3572,2791,10697,15,53,54,170,20,69,198,521,275,807,54,163,89,217,265,536,405,915,681,1720,60,125,6163,17698
POA6077,173,355,0,6,16,87,11,55,67,264,94,419,26,123,20,68,49,147,95,339,195,760,0,0,3,11,0,3,5,12,13,27,3,12,7,7,16,25,23,49,27,75,0,3,403,1193
POA6078,102,199,6,30,8,56,9,36,44,189,66,309,13,45,6,33,33,101,47,181,121,490,0,0,0,0,0,0,9,21,9,21,0,0,4,12,7,18,16,32,23,56,3,9,245,746
POA6079,5,12,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17
POA6081,528,1016,16,86,77,343,21,101,328,1267,443,1797,47,190,52,181,131,404,235,771,673,2565,0,4,14,38,8,20,45,118,66,187,8,15,12,26,59,118,75,165,140,350,9,17,1350,3953
POA6082,368,711,5,20,49,210,11,59,208,844,270,1129,24,100,37,131,87,263,147,500,419,1630,3,15,15,58,4,27,48,121,70,213,10,31,7,11,38,82,54,126,131,340,9,13,921,2695
POA6083,461,893,12,48,58,252,17,60,197,754,273,1109,31,133,52,175,104,313,189,626,471,1730,0,0,11,24,0,8,25,78,39,113,3,8,9,20,27,49,40,84,82,201,10,20,1021,2849
POA6084,905,1770,21,128,125,574,52,220,512,2033,717,2959,60,234,94,320,214,626,370,1188,1082,4144,3,22,25,68,5,22,109,282,142,405,10,42,16,32,68,139,96,216,237,616,11,25,2241,6553
POA6090,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
POA6100,1797,3511,8,34,69,326,22,77,897,3182,999,3627,46,178,106,342,175,542,323,1061,1320,4686,0,3,15,52,9,22,134,330,158,401,17,53,65,141,143,300,229,496,387,898,148,300,3655,9396
POA6101,1795,3511,18,86,110,470,23,90,1061,3890,1208,4540,39,155,121,399,142,429,303,985,1508,5528,3,32,37,130,11,44,207,518,253,718,27,86,64,137,209,448,299,669,559,1388,160,344,4025,10771
POA6102,1062,2148,9,62,57,280,17,80,569,2119,660,2548,34,149,55,193,106,333,192,676,850,3215,4,30,24,69,9,34,135,348,172,483,8,32,49,103,135,279,197,420,363,903,166,358,2445,6627
POA6103,1149,2230,6,50,52,243,22,87,547,1997,627,2374,22,96,57,193,90,300,174,584,795,2962,0,8,13,57,5,33,117,289,143,389,13,45,31,69,146,306,191,416,332,807,95,195,2375,6195
POA6104,1417,2804,18,106,95,464,49,203,804,3016,970,3793,47,216,102,340,236,738,385,1290,1353,5080,7,26,29,114,18,65,206,568,261,774,14,46,55,122,228,502,298,673,563,1439,107,223,3439,9553
POA6105,1388,2765,33,174,117,550,36,173,958,3666,1136,4564,64,266,76,251,240,753,377,1270,1511,5839,3,30,43,153,21,69,238,641,308,896,23,76,54,121,277,596,357,793,660,1692,107,226,3661,10519
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,3834,7707,92,573,467,2273,119,537,3268,12403,3944,15786,191,820,352,1196,732,2354,1272,4364,5222,20146,28,152,93,342,54,197,541,1489,719,2172,75,230,175,401,561,1224,808,1853,1530,4027,361,774,10946,32660
POA6108,2280,4549,67,385,305,1477,90,393,1540,5977,2000,8239,172,726,234,812,655,2068,1057,3606,3058,11839,16,60,80,291,32,107,334,923,455,1386,51,172,80,182,394,856,523,1219,983,2601,105,231,6432,19218
POA6109,1006,2014,38,254,134,674,40,183,805,3110,1019,4221,63,272,79,258,227,717,365,1254,1383,5474,7,35,32,136,20,102,232,652,294,928,15,60,51,120,215,468,280,649,576,1569,61,132,3022,9191
POA6110,3389,6730,124,716,487,2350,158,731,3056,11830,3819,15621,271,1169,323,1086,876,2762,1469,5016,5287,20645,34,158,124,464,64,259,785,2233,1010,3122,77,267,153,335,567,1233,801,1834,1811,4955,181,394,10674,32717
POA6111,2361,4637,65,361,223,1061,92,438,1410,5462,1789,7322,145,598,217,707,611,1884,971,3193,2756,10517,13,71,69,243,36,118,440,1170,553,1591,58,180,119,246,382,771,555,1202,1111,2794,95,196,6322,18140
POA6112,5009,9912,121,697,596,2811,203,938,4816,18439,5738,22890,277,1174,438,1467,1040,3269,1756,5906,7494,28799,33,172,147,548,101,350,1210,3308,1486,4386,109,351,196,427,791,1711,1097,2488,2589,6871,269,586,15359,46162
POA6121,295,594,14,88,47,209,24,115,196,784,286,1189,42,161,33,106,112,340,177,609,462,1793,0,4,6,18,3,4,26,69,37,97,8,16,8,19,28,54,42,91,73,190,8,15,845,2597
POA6122,1621,3173,52,340,198,950,87,411,1647,6333,1984,8026,104,433,114,376,314,983,529,1794,2514,9818,13,67,37,128,31,112,311,899,398,1204,20,71,47,99,155,336,219,506,616,1704,52,108,4803,14804
POA6123,163,325,4,34,19,71,10,42,112,446,139,596,9,38,10,38,42,136,63,211,207,805,0,3,0,0,3,12,12,36,18,49,3,12,4,9,28,57,36,70,52,122,0,0,426,1263
POA6124,132,262,3,8,8,43,5,27,79,320,97,403,14,52,11,25,31,83,53,165,151,566,0,0,0,3,3,13,19,51,22,64,3,4,8,15,14,32,23,51,46,116,6,7,331,950
POA6125,401,803,12,52,52,238,20,110,169,666,252,1064,18,74,31,111,96,292,149,473,400,1539,0,0,5,13,3,17,37,86,42,113,0,0,11,21,32,64,43,88,84,198,4,14,887,2556
