POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA6000,171,85,30,22,16,8,6,338,29,13,3,0,5,3,0,51,43,13,4,3,3,0,0,64,78,33,15,4,7,12,4,154,0,0,0,0,0,0,0,0,314,138,44,28,33,24,12,606,11,10,5,9,7,10,3,61,6,4,7,0,3,3,0,21,5,0,0,5,0,0,0,18,10,5,7,4,7,3,3,38,0,0,0,0,0,0,0,4,31,23,27,17,20,19,10,145,345,158,74,51,55,45,26,746
POA6003,18,23,6,6,4,3,0,66,8,8,0,0,0,0,0,18,11,8,6,3,4,0,0,27,32,17,10,3,7,3,3,74,0,0,0,0,0,0,0,0,70,45,23,16,18,9,3,178,0,5,3,4,0,5,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,12,0,3,4,4,3,34,73,55,30,15,18,8,10,210
POA6004,225,75,25,17,18,20,18,393,15,3,3,4,3,3,0,32,33,4,3,0,6,3,0,52,27,13,7,10,18,6,4,82,0,3,0,0,0,0,0,5,293,97,41,35,39,35,22,559,11,11,17,5,10,6,7,73,0,3,0,0,0,4,0,10,8,0,0,3,0,0,3,14,3,3,3,3,3,0,0,17,0,0,0,0,0,0,0,0,22,20,19,16,15,13,6,114,320,119,55,45,60,45,30,673
POA6005,77,36,12,10,11,10,3,166,24,11,3,0,0,0,0,34,11,4,3,0,0,0,0,19,33,13,3,3,7,0,0,62,0,0,0,0,0,0,0,0,144,65,18,12,22,10,8,283,4,3,0,3,10,7,3,34,0,0,0,4,0,0,0,4,0,3,0,0,3,3,0,11,10,4,4,3,0,0,0,23,0,0,0,0,0,0,0,3,14,18,3,12,17,11,3,74,161,82,25,24,37,20,8,358
POA6006,88,105,42,25,37,23,8,327,59,57,26,23,18,17,3,205,50,55,29,12,23,7,5,172,241,238,99,56,84,26,14,770,0,0,3,0,0,0,0,0,446,451,198,120,156,77,36,1480,4,7,0,3,4,3,0,36,3,9,9,8,3,7,3,40,4,0,3,3,7,3,0,19,4,14,11,6,8,11,3,70,0,0,0,0,0,0,0,0,19,35,28,24,30,25,9,162,458,479,231,141,183,104,42,1640
POA6007,90,84,41,18,28,21,5,280,53,39,28,8,8,16,3,161,77,58,15,6,4,8,4,168,131,117,40,21,39,22,14,375,0,0,0,0,0,0,0,0,353,293,118,51,76,57,30,987,7,10,9,8,4,0,0,29,3,3,6,0,10,0,5,26,3,7,3,3,7,6,0,23,3,27,8,5,11,3,4,63,0,0,0,0,0,0,0,0,13,47,30,16,24,8,9,150,364,340,144,65,103,70,41,1134
POA6008,262,237,130,83,97,31,20,867,80,100,53,57,51,20,13,379,96,86,49,27,29,13,6,308,270,238,132,72,119,70,29,927,0,0,0,0,3,0,0,5,711,664,364,234,301,139,71,2482,14,26,22,22,22,18,3,129,10,11,28,16,17,8,3,94,7,12,9,9,11,0,0,48,10,33,24,20,27,16,11,151,0,0,0,0,0,0,0,3,37,79,86,69,79,43,22,426,741,748,449,309,376,190,91,2914
POA6009,246,370,230,122,183,113,65,1333,96,121,66,55,64,42,27,463,90,129,75,51,47,44,21,461,259,400,258,154,207,110,80,1469,0,0,0,0,0,0,0,3,686,1017,634,386,506,304,196,3733,15,20,17,14,35,32,11,138,6,17,9,7,15,3,3,56,8,10,10,3,12,3,6,42,12,24,27,17,37,22,10,156,0,0,0,0,4,0,0,7,36,64,63,49,99,56,40,405,726,1088,692,432,608,358,233,4132
POA6010,150,198,151,108,161,101,56,915,91,78,62,42,82,46,19,409,92,103,63,46,48,31,23,406,311,446,280,179,223,130,59,1631,0,6,0,0,3,0,0,10,642,833,555,369,513,309,152,3365,3,8,16,22,35,22,16,116,0,15,9,9,11,7,3,61,3,16,8,11,13,3,7,63,19,39,35,28,50,25,19,232,4,3,0,0,0,0,0,6,34,80,82,71,108,58,43,480,678,915,630,445,622,369,191,3849
POA6011,65,98,60,48,52,27,10,356,54,65,37,36,44,20,7,260,41,51,42,28,38,23,14,230,178,241,177,107,139,91,42,984,0,0,0,0,0,0,0,4,337,456,318,211,271,161,64,1835,3,3,3,3,8,6,0,30,0,14,15,9,8,4,4,45,3,8,9,6,13,0,7,37,7,14,22,14,32,14,9,117,0,0,3,0,0,0,0,3,15,38,52,36,52,20,17,241,359,496,372,252,329,185,83,2071
