POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6000,422,32,11,3,0,0,0,468
POA6003,136,13,3,0,0,0,0,148
POA6004,469,38,9,3,0,0,0,511
POA6005,205,12,3,0,0,0,0,214
POA6006,897,54,20,3,0,0,0,969
POA6007,592,40,9,4,0,0,0,641
POA6008,1480,65,17,9,0,0,3,1568
POA6009,2080,67,29,9,0,0,0,2188
POA6010,1857,113,25,10,0,0,0,2010
POA6011,1011,49,19,0,0,0,0,1084
POA6012,910,51,23,3,0,0,3,991
POA6014,2625,101,41,16,0,0,3,2786
POA6015,902,43,18,4,0,0,3,966
POA6016,1201,44,11,6,0,0,3,1272
POA6017,277,27,6,3,0,0,0,316
POA6018,4284,262,90,30,0,0,11,4679
POA6019,2027,143,43,6,0,0,4,2231
POA6020,2714,164,66,12,4,0,7,2971
POA6021,2261,105,64,17,4,0,8,2456
POA6022,534,41,26,8,0,3,3,618
POA6023,2141,123,50,13,0,0,11,2337
POA6024,1525,114,51,23,3,0,6,1726
POA6025,3697,254,129,27,4,0,19,4127
POA6026,3028,179,87,16,0,0,13,3322
POA6027,4914,381,188,43,8,3,21,5563
POA6028,3393,224,125,27,0,0,7,3781
POA6029,374,19,9,0,0,0,0,396
POA6030,4437,389,271,61,8,9,18,5186
POA6031,2167,161,135,21,9,5,13,2499
POA6032,18,3,0,0,0,0,0,25
POA6033,52,3,3,0,0,0,0,59
POA6034,203,14,18,0,0,0,0,235
POA6035,960,86,59,11,3,0,4,1125
POA6036,1867,139,129,17,9,3,9,2168
POA6037,303,28,25,0,0,0,3,356
POA6038,792,61,43,4,0,0,3,899
POA6041,133,8,3,5,0,0,0,153
POA6042,0,0,0,0,0,0,0,0
POA6043,16,0,0,0,0,0,0,20
POA6044,75,3,4,0,0,0,3,89
POA6050,1521,77,27,5,3,0,5,1632
POA6051,944,65,17,7,3,0,3,1032
POA6052,1232,82,23,6,0,0,8,1352
POA6053,1487,117,31,6,0,0,5,1651
POA6054,1958,169,90,18,4,3,9,2263
POA6055,2451,181,77,35,4,0,14,2762
POA6056,3562,359,209,79,8,6,36,4254
POA6057,1744,178,99,20,4,0,14,2056
POA6058,1193,138,87,29,6,3,8,1459
POA6059,2632,158,62,27,7,3,10,2886
POA6060,1919,102,45,12,4,3,5,2089
POA6061,3420,254,137,55,4,4,16,3889
POA6062,3448,225,114,56,5,0,14,3858
POA6063,1671,106,81,61,5,0,5,1939
POA6064,3339,258,174,88,5,6,29,3896
POA6065,8384,565,361,116,10,3,32,9472
POA6066,2292,189,102,43,3,6,13,2638
POA6067,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0
POA6069,4848,371,276,61,3,8,30,5591
POA6070,473,27,14,0,0,0,3,521
POA6071,434,35,15,3,3,0,0,485
POA6072,85,14,6,0,0,0,0,105
POA6073,316,20,11,4,5,0,5,363
POA6074,113,8,3,0,0,0,0,130
POA6076,2462,193,88,30,5,0,10,2791
POA6077,162,14,12,9,0,0,0,195
POA6078,103,7,4,3,0,0,0,121
POA6079,0,0,0,0,0,0,0,0
POA6081,588,49,27,6,0,0,3,673
POA6082,353,41,20,3,0,0,0,419
POA6083,428,32,6,0,0,0,3,471
POA6084,926,82,55,12,0,0,3,1082
POA6090,0,0,0,0,0,0,0,0
POA6100,1201,82,26,12,0,0,4,1320
POA6101,1349,94,47,9,0,0,12,1508
POA6102,761,53,32,11,0,0,0,850
POA6103,706,52,27,9,0,0,7,795
POA6104,1178,99,48,26,0,0,0,1353
POA6105,1341,96,50,15,0,0,12,1511
POA6106,0,0,0,0,0,0,0,0
POA6107,4669,261,169,85,9,6,23,5222
POA6108,2651,215,116,48,4,4,24,3058
POA6109,1199,93,53,26,3,5,7,1383
POA6110,4572,347,242,80,11,6,26,5287
POA6111,2311,224,149,48,3,3,22,2756
POA6112,6499,509,327,90,19,7,41,7494
POA6121,400,40,13,6,0,0,0,462
POA6122,2110,198,157,27,6,3,15,2514
POA6123,166,19,19,3,0,0,0,207
POA6124,136,11,4,0,0,0,0,151
POA6125,340,31,14,10,0,0,5,400
POA6126,28,0,0,0,0,0,0,29
POA6147,1650,113,53,38,0,0,4,1865
POA6148,2229,101,47,32,0,0,8,2410
POA6149,2473,136,52,27,4,0,8,2703
POA6150,1618,75,25,20,0,0,3,1742
POA6151,1628,80,24,6,0,0,5,1739
POA6152,2276,156,34,26,0,0,3,2499
POA6153,2399,124,49,10,3,0,9,2590
POA6154,1216,67,29,7,3,0,0,1325
POA6155,7457,345,169,120,12,3,17,8122
POA6156,1939,127,57,16,3,0,3,2145
POA6157,1415,84,35,6,0,0,6,1550
POA6158,870,65,20,3,0,0,0,949
POA6159,253,28,3,5,0,0,4,296
POA6160,530,49,14,5,3,0,0,601
POA6161,3,0,0,0,0,0,0,6
POA6162,1070,78,41,3,0,0,3,1195
POA6163,4878,368,158,48,0,0,19,5478
POA6164,7448,496,333,82,12,3,20,8402
POA6165,3,0,0,0,0,0,0,7
POA6166,1210,67,40,15,0,0,4,1339
POA6167,2474,245,171,50,7,0,29,2973
POA6168,1660,228,122,30,3,8,21,2078
POA6169,3255,397,253,47,7,3,37,3997
POA6170,1470,103,79,26,5,0,8,1689
POA6171,3870,319,298,36,5,6,20,4558
POA6172,1551,169,121,34,3,0,18,1886
POA6173,1781,150,97,8,4,0,7,2047
