POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA6000,18,4,10,6,36,9,4,0,0,16,9,3,4,0,20,6,0,7,0,15,25,11,15,3,50,23,13,13,3,49,66,10,15,3,89,46,25,14,11,94,62,25,15,3,107,62,15,7,11,103,83,23,14,6,125,88,31,9,3,131,214,60,16,7,303,148,26,14,3,189,124,37,0,0,163,111,40,8,3,157,231,74,7,3,321,155,63,16,0,228,6,8,3,0,11,1499,468,179,70,2210
POA6003,5,0,0,0,10,0,0,0,0,3,4,0,3,0,12,3,0,3,0,4,4,3,7,0,19,8,0,0,0,7,26,0,7,3,36,18,9,4,4,32,29,12,3,0,43,18,4,0,0,30,32,5,3,0,34,25,5,5,3,39,77,11,7,3,98,45,15,0,3,59,42,14,0,0,51,29,11,5,0,37,65,38,0,0,102,34,28,3,0,70,5,0,0,0,12,465,148,54,20,685
POA6004,27,3,13,7,52,9,3,7,0,14,10,3,8,0,20,0,0,4,0,9,21,9,6,5,36,25,4,5,4,40,60,8,13,8,89,49,24,9,3,89,100,15,19,15,146,98,18,3,11,127,80,25,6,8,120,90,29,10,0,138,201,59,11,5,279,172,22,10,3,210,105,34,3,3,143,123,53,4,3,184,267,124,10,7,401,177,82,18,5,286,8,6,0,0,12,1629,511,158,89,2396
POA6005,12,0,8,3,23,3,0,0,0,4,0,0,8,0,9,4,0,6,0,11,11,0,12,0,26,10,0,7,3,21,28,4,11,5,44,24,4,5,7,44,32,14,6,3,54,54,16,11,3,81,37,12,3,8,55,44,14,5,6,70,86,29,16,3,132,71,18,5,0,94,66,6,0,3,75,63,35,3,0,98,165,39,7,3,218,94,24,10,3,124,5,0,0,0,9,827,214,112,45,1199
POA6006,16,5,6,0,31,6,0,0,0,5,3,0,8,0,11,4,3,11,0,9,25,4,5,0,33,19,4,8,0,31,58,10,11,3,82,30,20,24,4,77,46,17,22,0,87,52,35,22,8,118,33,29,11,0,77,31,30,19,7,86,114,120,21,8,267,63,106,15,9,192,59,81,7,3,148,63,88,6,3,160,196,303,8,0,507,68,106,17,3,195,14,3,3,0,17,884,969,231,52,2135
POA6007,8,5,4,0,18,11,0,0,0,10,3,0,4,0,7,4,0,3,0,4,13,4,6,0,18,13,8,9,3,23,39,7,16,0,55,22,10,18,3,51,36,10,22,6,74,42,15,12,3,77,27,22,8,3,65,34,19,7,0,65,108,69,26,8,209,89,52,7,3,146,85,42,8,0,135,54,74,18,0,147,199,234,10,0,443,83,76,17,5,178,13,0,0,0,13,868,641,178,44,1733
POA6008,19,6,17,0,45,4,0,5,4,16,4,0,6,3,23,5,5,6,0,19,27,4,15,4,55,17,7,18,6,43,67,14,20,3,95,48,23,25,4,96,105,20,37,6,173,87,44,39,0,171,69,36,32,5,144,76,51,19,0,155,188,142,62,7,409,170,115,21,6,306,129,94,10,4,232,126,194,35,3,351,346,609,26,3,986,145,196,43,8,388,12,12,5,0,30,1653,1568,444,68,3739
POA6009,33,14,20,9,76,3,7,8,3,18,14,3,4,4,25,3,6,10,5,26,21,7,4,8,41,24,22,22,3,64,54,22,31,9,115,63,25,19,3,115,95,47,21,9,172,99,42,33,7,183,67,35,20,4,131,85,44,26,5,160,150,129,33,11,322,131,112,21,10,268,96,102,5,0,209,81,209,38,3,333,408,1029,40,7,1482,143,318,46,5,517,16,19,3,0,37,1590,2188,403,92,4286
POA6010,17,8,23,3,50,10,0,4,3,17,9,0,8,0,26,6,0,14,0,16,15,0,17,3,42,21,6,23,0,49,68,5,27,3,112,61,19,41,4,117,111,21,40,4,175,129,45,30,0,211,87,36,37,4,163,80,49,24,5,163,157,134,52,12,353,113,126,28,3,270,111,110,10,3,237,103,232,30,4,369,378,870,32,5,1285,151,323,71,3,552,22,19,3,0,48,1649,2010,509,72,4241
POA6011,8,4,10,0,25,3,0,3,0,7,0,0,8,0,12,0,0,12,0,12,11,0,5,3,20,3,0,16,0,21,34,4,8,3,52,27,6,10,3,48,35,10,14,0,68,52,14,15,3,83,37,16,14,3,66,34,24,11,3,71,77,61,24,3,163,78,46,9,3,136,59,47,7,0,116,74,99,14,0,191,310,549,20,0,878,90,185,33,0,306,13,13,4,0,26,939,1084,239,30,2298
