POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6000,34,103,138,11,20,27,17,77,93,8,111,117,50,121,172,44,102,147,79,90,170,83,153,240,100,183,286,104,188,293,125,193,314,129,156,283,312,358,666,191,49,242,169,37,200,163,214,377,338,56,398,237,124,355,12,46,52,2196,2380,4571
POA6003,3,26,31,3,11,9,8,26,38,7,38,47,15,51,69,13,23,31,29,37,60,30,48,78,33,65,102,29,72,97,34,55,93,37,43,82,97,116,211,60,14,77,56,14,75,43,52,96,107,20,127,73,44,113,6,15,23,682,773,1456
POA6004,45,112,156,18,26,47,18,78,89,8,99,106,34,127,158,41,84,126,75,83,162,83,113,197,143,172,314,117,163,281,116,156,280,129,142,275,279,294,573,219,41,265,149,30,179,177,229,404,428,45,476,287,96,379,12,51,64,2377,2144,4525
POA6005,18,62,78,4,20,26,11,68,76,10,73,79,24,97,121,23,64,85,36,60,99,40,88,130,50,114,161,75,93,165,55,112,169,65,95,163,144,171,308,102,34,136,83,19,98,97,126,228,224,18,241,127,61,191,9,17,30,1193,1387,2581
POA6006,26,36,65,7,15,26,4,37,42,11,84,93,30,154,190,23,67,93,75,67,141,71,74,147,83,94,178,105,82,190,74,68,141,80,73,156,271,123,386,190,29,218,156,16,170,163,82,243,524,35,558,193,77,267,17,35,53,2113,1244,3359
POA6007,20,34,53,7,17,21,4,42,48,7,64,66,15,103,119,18,61,85,57,44,97,48,77,125,70,77,145,74,83,158,62,91,154,64,64,128,197,147,348,150,36,186,137,15,152,150,92,244,457,34,490,176,86,259,13,26,38,1728,1182,2911
POA6008,39,89,129,14,35,53,18,105,124,13,172,185,49,229,285,37,132,171,96,123,214,90,134,220,164,187,354,166,148,317,140,157,293,150,138,280,400,282,681,313,28,343,240,17,261,356,229,586,1004,43,1051,392,82,472,28,72,95,3712,2402,6113
POA6009,63,141,208,19,59,73,20,89,111,20,75,95,37,157,193,61,131,192,102,115,221,102,118,222,164,131,293,182,112,296,128,109,239,156,86,239,331,138,467,266,16,286,208,6,213,334,143,479,1497,23,1517,517,69,587,37,36,71,4249,1765,6012
POA6010,49,61,111,12,27,38,17,67,90,19,137,155,36,252,283,46,170,218,104,137,238,113,148,263,172,139,309,211,113,319,158,113,268,164,94,254,352,165,518,267,17,284,237,8,245,360,170,534,1293,25,1322,549,48,594,50,92,138,4202,1977,6182
POA6011,24,21,45,7,13,22,6,26,34,6,47,56,17,69,84,17,63,83,54,52,101,43,67,107,61,82,145,76,62,145,62,65,127,71,45,115,163,105,261,132,8,138,115,7,119,180,127,311,892,25,915,316,55,368,29,22,50,2280,950,3227
