POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA6000,960,2423,856,130,36,4402,170,4571
POA6003,206,812,315,56,16,1402,56,1456
POA6004,809,2485,922,128,54,4392,133,4525
POA6005,422,1460,538,75,25,2516,67,2581
POA6006,262,1220,1304,335,146,3266,95,3359
POA6007,225,1308,992,227,98,2852,56,2911
POA6008,540,2811,2057,408,158,5978,141,6113
POA6009,380,1819,2503,794,380,5882,131,6012
POA6010,322,2190,2495,705,324,6033,152,6182
POA6011,98,1003,1377,454,221,3152,75,3227
POA6012,263,1170,1236,367,175,3211,92,3312
POA6014,405,2772,2886,844,396,7302,264,7573
POA6015,78,449,984,391,259,2165,55,2221
POA6016,277,1508,1432,315,140,3676,95,3770
POA6017,180,991,521,101,43,1839,77,1921
POA6018,710,4571,6199,1685,745,13906,374,14278
POA6019,355,3216,3745,947,369,8637,188,8826
POA6020,206,1754,3465,1212,698,7335,127,7465
POA6021,447,2467,2966,952,485,7323,208,7536
POA6022,50,561,828,248,147,1830,46,1876
POA6023,107,1237,2497,795,457,5093,93,5186
POA6024,138,1412,2202,733,342,4829,92,4919
POA6025,263,2820,4826,1718,935,10558,203,10766
POA6026,243,2011,3312,1313,739,7611,150,7769
POA6027,465,4134,6101,2339,1317,14352,331,14686
POA6028,118,1579,3253,1360,773,7083,106,7191
POA6029,24,229,468,154,87,960,28,990
POA6030,437,4136,5318,1939,946,12772,349,13121
POA6031,108,1318,2440,822,412,5100,111,5209
POA6032,3,7,20,17,16,61,3,62
POA6033,0,13,43,24,38,118,5,122
POA6034,7,192,258,66,29,553,19,566
POA6035,64,976,1217,412,151,2819,86,2910
POA6036,170,1751,2111,569,244,4850,129,4980
POA6037,28,284,411,174,100,998,34,1027
POA6038,31,729,1004,234,68,2061,50,2110
POA6041,5,115,201,119,79,520,17,538
POA6042,0,6,13,7,3,28,3,29
POA6043,0,28,32,18,7,86,5,90
POA6044,18,133,189,79,44,470,22,487
POA6050,450,2214,2023,622,310,5626,153,5776
POA6051,610,2690,1658,395,146,5491,153,5645
POA6052,304,1592,1649,430,193,4163,128,4295
POA6053,384,2035,2220,589,231,5453,157,5612
POA6054,570,2808,2757,922,478,7530,240,7776
POA6055,173,1843,3228,1011,554,6810,166,6980
POA6056,916,4661,5075,2041,1344,14034,460,14495
POA6057,135,1650,2276,1027,651,5734,164,5895
POA6058,181,1469,1740,708,434,4533,139,4674
POA6059,536,3148,3301,1083,632,8701,266,8966
POA6060,803,4650,3451,781,313,9997,274,10268
POA6061,1072,5549,4857,1357,666,13500,594,14100
POA6062,549,3835,4593,1615,912,11517,353,11867
POA6063,165,1207,1757,786,430,4347,152,4499
POA6064,547,3047,3692,1718,938,9942,342,10287
POA6065,426,5056,9253,3315,1740,19790,410,20201
POA6066,172,1490,2388,1127,714,5892,128,6022
POA6067,0,0,0,0,0,0,0,0
POA6068,0,0,4,0,0,3,0,3
POA6069,237,3427,5875,1871,916,12325,260,12588
POA6070,11,268,584,253,145,1261,21,1283
POA6071,10,220,491,258,195,1181,14,1198
POA6072,4,43,111,59,55,274,7,278
POA6073,58,289,419,198,150,1116,40,1151
POA6074,5,53,117,82,80,333,9,341
POA6076,201,1809,3030,1439,1077,7546,163,7711
POA6077,16,90,118,106,146,477,17,494
POA6078,5,25,79,68,97,273,11,281
POA6079,0,0,4,3,0,11,0,11
POA6081,20,235,648,294,320,1518,32,1546
POA6082,10,210,402,230,209,1066,30,1093
POA6083,12,152,391,267,318,1139,35,1177
POA6084,25,392,961,544,540,2467,86,2550
POA6090,0,0,0,0,0,0,0,0
POA6100,475,2524,1953,523,219,5697,179,5878
POA6101,486,2463,2360,597,243,6149,215,6367
POA6102,680,1843,1319,459,271,4574,249,4829
POA6103,363,1733,1320,338,155,3914,163,4080
POA6104,338,1810,1985,583,319,5034,186,5216
POA6105,371,1950,1886,574,333,5112,254,5369
POA6106,0,0,0,0,0,0,0,0
POA6107,715,4698,5605,1955,1185,14162,458,14616
POA6108,307,2456,3071,1245,717,7793,218,8014
POA6109,269,1443,1357,529,403,4010,141,4152
POA6110,654,4222,5295,1984,1156,13316,394,13713
POA6111,346,2455,3105,1269,911,8084,226,8306
POA6112,818,5576,7992,2661,1552,18594,561,19157
POA6121,4,83,261,213,320,877,16,894
POA6122,59,1130,2516,999,661,5366,111,5473
POA6123,4,86,199,100,107,493,10,503
POA6124,0,78,147,100,68,391,15,408
POA6125,13,181,331,214,266,1005,34,1038
POA6126,0,21,29,14,27,94,3,99
POA6147,237,1861,2024,747,392,5265,158,5426
POA6148,278,1967,2579,933,454,6209,133,6345
POA6149,174,1715,2746,1128,568,6332,119,6445
POA6150,104,1025,1751,784,423,4085,75,4160
POA6151,404,2659,2435,612,301,6411,155,6569
POA6152,560,3694,3757,1030,492,9535,237,9776
POA6153,270,2397,3027,1010,525,7236,156,7393
POA6154,247,1177,1604,419,209,3651,92,3740
POA6155,253,3637,7121,2788,1571,15370,259,15624
POA6156,308,1996,2582,758,397,6049,149,6198
POA6157,361,2089,2193,554,246,5435,145,5581
POA6158,121,861,1145,361,163,2650,60,2712
POA6159,82,509,526,151,55,1318,42,1357
POA6160,414,1515,1009,228,86,3258,126,3380
POA6161,20,3,0,0,0,23,15,37
POA6162,366,1638,1571,447,201,4219,150,4370
POA6163,1206,6504,7135,2500,1240,18589,685,19273
POA6164,469,4948,8697,2797,1499,18418,378,18796
POA6165,0,4,3,8,4,21,0,22
POA6166,91,811,1373,566,381,3224,81,3304
POA6167,520,2957,3348,1152,626,8601,278,8879
POA6168,761,3842,2953,983,472,9007,367,9372
POA6169,556,4097,4829,1752,905,12140,392,12529
POA6170,115,1243,1704,553,279,3892,93,3983
POA6171,136,2777,4791,1390,650,9745,197,9946
POA6172,106,1168,1819,690,338,4129,117,4241
POA6173,31,784,1721,635,300,3467,70,3543
POA6174,26,347,519,195,113,1199,33,1231
POA6175,13,275,536,222,101,1150,29,1181
POA6176,3,97,174,94,71,431,12,441
POA6180,17,570,764,251,138,1742,37,1778
POA6181,0,5,52,40,48,140,3,143
POA6182,0,0,0,0,0,0,0,0
POA6207,3,63,125,80,64,336,6,346
POA6208,108,1381,1605,646,395,4134,133,4270
POA6209,34,218,235,118,119,717,27,750
POA6210,1333,10048,9367,3009,1522,25281,899,26178
POA6211,32,736,1103,391,184,2451,69,2515
POA6213,6,61,88,53,40,243,9,256
POA6214,4,39,77,49,41,210,4,217
POA6215,33,368,507,271,202,1387,68,1452
POA6218,0,35,56,28,21,143,0,142
POA6220,67,426,582,279,221,1572,80,1647
POA6221,0,25,26,20,18,87,3,91
POA6223,0,6,19,18,18,68,3,72
POA6224,14,119,150,66,58,401,20,425
POA6225,169,950,1194,556,372,3248,140,3389
POA6226,0,33,98,60,58,246,8,254
POA6227,0,36,116,62,37,246,8,252
POA6228,0,11,22,15,13,55,3,63
POA6229,3,36,24,11,8,81,3,80
POA6230,926,5460,6134,1959,901,15382,517,15900
POA6232,94,1104,1582,597,270,3654,96,3751
POA6233,111,1640,2831,1059,546,6188,156,6337
POA6236,5,113,273,165,135,695,12,708
POA6237,9,131,320,196,161,822,24,849
POA6239,37,399,601,267,201,1511,41,1546
POA6240,0,6,21,10,7,46,0,46
POA6243,0,4,7,4,3,19,0,25
POA6244,20,132,194,95,102,545,25,570
POA6251,3,39,47,28,20,144,6,147
POA6252,0,13,28,12,4,54,0,54
POA6253,7,84,93,41,24,254,10,263
POA6254,11,72,76,29,16,203,9,210
POA6255,52,476,599,222,156,1511,49,1554
POA6256,0,25,46,30,26,132,10,139
POA6258,134,682,905,392,256,2370,96,2467
POA6260,20,158,182,79,59,500,18,522
POA6262,7,87,96,63,23,271,14,292
POA6271,18,311,469,213,128,1142,45,1181
POA6275,15,140,216,87,43,506,21,523
POA6280,387,3362,3871,1401,720,9735,342,10078
POA6281,40,706,1151,329,136,2360,80,2436
POA6282,6,83,218,96,43,441,13,448
POA6284,11,169,327,131,53,693,27,720
POA6285,73,987,1358,478,197,3091,83,3171
POA6286,3,56,92,55,18,220,11,231
POA6288,0,48,72,41,28,185,6,190
POA6290,26,252,290,86,43,693,36,732
POA6302,42,432,492,228,153,1343,57,1399
POA6304,14,189,210,122,96,633,29,661
POA6306,20,101,118,52,71,361,25,386
POA6308,35,163,195,98,108,592,29,614
POA6309,0,25,31,23,17,96,3,100
POA6311,0,57,78,31,37,202,5,211
POA6312,105,594,550,226,162,1641,82,1729
POA6313,0,26,36,19,22,94,5,101
POA6315,35,218,261,103,110,730,39,770
POA6316,0,24,46,24,25,118,15,130
POA6317,81,405,485,227,138,1335,71,1410
POA6318,5,20,62,30,36,162,12,175
POA6320,5,46,45,34,46,181,5,186
POA6321,11,47,60,32,29,173,5,181
POA6322,3,19,33,17,16,85,3,89
POA6323,0,105,159,75,48,393,14,407
POA6324,50,348,441,210,156,1206,59,1264
POA6326,3,25,56,36,53,169,3,172
POA6327,0,24,23,26,14,85,7,94
POA6328,0,30,48,26,48,149,3,152
POA6330,601,4138,4904,1852,1184,12684,492,13176
POA6333,65,691,902,305,164,2131,60,2192
POA6335,11,72,101,36,38,255,7,266
POA6336,0,22,31,29,26,111,7,124
POA6337,9,38,62,38,25,170,9,184
POA6338,3,54,95,58,30,241,7,253
POA6341,0,25,40,23,18,105,3,105
POA6343,0,14,19,17,24,82,4,80
POA6346,11,55,86,36,55,238,3,243
POA6348,15,122,114,43,20,313,21,332
POA6350,4,42,35,22,20,125,5,134
POA6351,0,5,12,6,9,29,0,31
POA6352,0,14,25,9,13,56,6,70
POA6353,18,73,84,47,46,278,20,292
POA6355,8,38,45,27,32,155,3,153
POA6356,0,10,12,10,13,42,0,45
POA6357,0,4,12,3,4,24,0,24
POA6358,0,5,13,8,13,36,0,41
POA6359,3,32,51,23,24,130,13,149
POA6361,0,6,18,10,6,40,0,41
POA6363,0,3,14,10,10,39,3,41
POA6365,8,52,71,36,39,207,12,217
POA6367,15,41,31,22,26,130,3,135
POA6368,0,3,8,9,12,31,0,29
POA6369,15,74,85,40,35,236,10,255
POA6370,7,46,61,37,27,173,4,178
POA6372,0,9,14,3,15,38,3,42
POA6373,0,4,5,12,10,28,0,33
POA6375,27,117,117,55,53,364,10,378
POA6383,12,126,126,58,44,368,20,382
POA6384,0,0,4,0,4,10,0,10
POA6385,0,0,4,4,4,9,0,9
POA6386,0,12,10,0,12,36,4,36
POA6390,26,138,237,113,74,587,29,619
POA6391,13,79,133,65,59,344,15,358
POA6392,3,46,75,35,28,184,11,194
POA6393,0,4,17,15,5,44,3,51
POA6394,0,28,59,36,49,173,4,175
POA6395,34,152,218,73,114,589,26,609
POA6396,0,29,36,20,27,112,10,120
POA6397,4,9,8,6,3,33,3,40
POA6398,9,75,93,20,11,209,15,220
POA6401,183,908,901,395,277,2668,109,2777
POA6403,0,18,19,12,8,60,0,62
POA6405,0,26,49,13,26,115,3,118
POA6407,14,103,139,48,46,351,16,366
POA6409,9,34,49,22,26,132,3,137
POA6410,27,115,119,49,49,362,30,392
POA6411,0,12,12,8,16,43,0,44
POA6412,0,0,3,3,4,17,0,19
POA6413,0,3,7,4,6,22,0,25
POA6414,0,0,5,5,9,22,4,24
POA6415,83,311,412,155,90,1046,53,1096
POA6418,27,90,97,45,18,275,12,285
POA6419,0,3,8,8,7,21,0,22
POA6420,3,3,10,5,14,35,0,35
POA6421,0,7,16,15,4,40,3,46
POA6422,0,0,4,4,3,16,0,16
POA6423,0,7,29,8,14,56,4,55
POA6424,0,5,8,8,5,27,0,27
POA6425,0,0,19,3,6,31,0,35
POA6426,13,105,101,58,36,317,18,334
POA6427,0,0,0,0,0,0,0,0
POA6428,0,5,3,3,3,15,0,16
POA6429,37,108,108,41,31,318,26,350
POA6430,319,2258,2952,1157,585,7276,259,7536
POA6431,81,56,16,12,8,171,12,183
POA6432,136,764,844,341,193,2285,98,2377
POA6434,7,3,3,3,6,21,6,27
POA6436,4,14,12,3,3,38,5,41
POA6437,7,61,38,6,0,116,3,122
POA6438,27,74,49,10,16,181,10,190
POA6440,40,63,47,12,0,168,6,175
POA6442,28,251,330,136,72,815,29,846
POA6443,25,108,89,23,26,265,46,307
POA6445,3,6,15,8,14,54,0,58
POA6446,0,3,15,11,7,32,0,39
POA6447,0,8,18,11,14,50,0,50
POA6448,0,25,30,25,27,107,10,113
POA6450,228,1278,1739,690,446,4382,214,4601
POA6452,0,0,0,0,0,0,0,0
POA6460,11,94,106,43,26,276,17,293
POA6461,3,74,73,40,19,207,0,211
POA6462,0,7,13,7,10,37,7,45
POA6463,0,0,0,0,0,7,0,8
POA6465,0,0,9,0,4,13,0,13
POA6466,0,3,11,4,5,28,0,26
POA6467,0,0,3,4,3,11,0,11
POA6468,0,19,28,15,14,75,6,80
POA6470,0,0,3,0,0,9,0,9
POA6472,0,15,23,9,18,63,0,66
POA6473,0,0,7,8,6,16,0,13
POA6475,6,49,69,16,28,159,4,162
POA6476,0,0,5,5,8,25,0,21
POA6477,0,30,34,11,26,99,4,107
POA6479,3,56,67,30,36,190,9,202
POA6480,0,4,5,0,5,12,0,12
POA6484,0,10,3,0,0,14,0,14
POA6485,20,58,72,18,29,198,7,203
POA6487,0,4,9,6,3,16,0,16
POA6488,0,33,19,15,11,82,0,79
POA6489,0,9,10,11,0,38,3,37
POA6490,0,21,41,13,12,88,4,97
POA6501,0,55,84,85,85,303,9,316
POA6502,6,80,173,91,46,399,22,419
POA6503,7,154,283,126,134,700,43,744
POA6504,3,12,17,13,14,59,0,59
POA6505,0,12,7,7,12,42,4,49
POA6506,0,0,5,4,7,21,0,21
POA6507,0,28,66,40,37,176,9,184
POA6509,3,12,22,12,9,53,0,53
POA6510,43,209,224,108,102,684,29,718
POA6511,5,54,79,37,15,193,12,206
POA6512,0,9,15,8,7,39,0,36
POA6513,0,14,22,20,12,74,3,73
POA6514,3,78,101,52,15,256,7,262
POA6515,3,26,39,28,26,125,5,129
POA6516,21,220,274,101,47,663,32,697
POA6517,3,42,63,23,25,155,8,162
POA6518,3,25,36,8,19,82,3,87
POA6519,4,63,83,31,25,209,10,216
POA6521,0,24,36,29,46,136,5,141
POA6522,5,45,71,26,33,174,3,180
POA6525,50,408,512,247,126,1344,66,1404
POA6528,0,36,40,30,28,139,5,145
POA6530,696,3792,4323,1590,852,11253,445,11697
POA6532,25,414,897,429,323,2095,74,2165
POA6535,15,160,228,98,86,593,31,621
POA6536,39,252,213,69,31,599,24,622
POA6537,19,151,118,38,20,355,16,372
POA6556,16,117,251,142,161,683,20,702
POA6558,3,57,91,62,46,261,15,268
POA6560,22,131,171,63,83,477,19,492
POA6562,8,84,179,96,86,446,14,463
POA6564,0,26,53,26,18,129,0,129
POA6566,38,334,446,233,178,1218,66,1286
POA6567,0,45,51,39,22,160,10,174
POA6568,0,24,27,12,23,83,4,92
POA6569,3,27,32,16,18,100,6,111
POA6571,0,9,14,9,3,32,0,32
POA6572,0,0,11,3,5,22,0,19
POA6574,0,8,8,7,6,27,3,28
POA6575,4,5,11,13,9,47,3,49
POA6603,17,134,175,72,36,430,17,452
POA6605,0,0,9,0,3,16,0,16
POA6606,3,25,25,11,17,73,0,76
POA6608,0,7,19,9,8,51,0,50
POA6609,11,70,135,41,28,282,14,296
POA6612,0,17,20,13,9,57,5,61
POA6613,0,3,8,3,3,20,0,20
POA6614,0,0,0,0,3,9,0,9
POA6616,0,9,6,6,7,22,0,24
POA6620,11,26,40,15,20,110,12,120
POA6623,13,87,80,23,23,224,16,235
POA6625,0,0,9,3,6,16,0,16
POA6627,3,3,0,3,10,18,0,17
POA6628,0,0,3,7,3,9,0,9
POA6630,20,61,57,31,28,199,9,205
POA6631,0,3,7,0,0,14,0,12
POA6632,0,0,9,6,5,15,0,17
POA6635,11,28,12,5,5,55,3,60
POA6638,19,47,43,12,17,134,10,143
POA6639,0,6,13,5,9,32,3,38
POA6640,3,24,19,9,0,59,8,67
POA6642,30,83,52,23,13,205,16,219
POA6646,25,40,25,10,5,92,5,95
POA6701,165,590,591,231,147,1723,126,1852
POA6705,19,24,11,3,3,53,7,60
POA6707,22,276,312,159,102,865,75,939
POA6710,25,105,102,37,17,287,20,314
POA6711,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0
POA6713,3,50,150,71,48,324,10,330
POA6714,164,1213,2024,852,423,4671,193,4865
POA6716,12,97,84,21,6,221,4,229
POA6718,68,48,43,27,7,191,24,212
POA6720,24,203,343,115,59,742,28,764
POA6721,42,368,554,235,109,1295,71,1369
POA6722,152,785,1113,459,201,2707,151,2857
POA6725,446,1011,1094,396,209,3145,203,3348
POA6726,100,589,650,246,91,1677,92,1769
POA6728,403,519,402,114,67,1501,102,1605
POA6731,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0
POA6740,95,122,60,30,14,323,27,348
POA6743,217,623,615,209,147,1813,111,1923
POA6751,26,352,381,114,66,934,38,978
POA6753,95,417,514,161,83,1266,55,1322
POA6754,10,150,155,44,31,384,12,398
POA6758,9,13,9,0,3,35,8,37
POA6760,15,50,26,10,12,111,26,135
POA6762,27,16,7,3,0,49,0,50
POA6765,160,131,68,24,14,394,36,426
POA6770,246,179,85,25,23,565,50,615
