POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6000,..,1808,1808,1510,356,1866,407,145,556,201,46,245,45,18,64,22,18,42,2196,2380,4571
POA6003,..,573,573,454,128,583,129,37,170,79,18,98,14,9,20,3,3,11,682,773,1456
POA6004,..,1683,1683,1639,292,1933,481,96,582,192,46,237,47,18,62,17,10,27,2377,2144,4525
POA6005,..,1127,1127,877,184,1061,203,51,255,87,20,110,16,3,22,9,0,14,1193,1387,2581
POA6006,..,962,962,971,146,1112,456,91,552,493,39,526,163,8,170,32,3,33,2113,1244,3359
POA6007,..,904,904,950,161,1115,346,90,437,317,23,339,99,0,100,17,0,17,1728,1182,2911
POA6008,..,2045,2045,1875,243,2111,779,75,854,751,36,790,251,5,258,56,3,58,3712,2402,6113
POA6009,..,1293,1293,1725,215,1939,803,153,960,1065,74,1136,519,27,541,136,6,144,4249,1765,6012
POA6010,..,1757,1757,1887,149,2030,820,54,877,950,21,971,431,3,433,115,0,114,4202,1977,6182
POA6011,..,799,799,1039,95,1133,429,39,460,489,8,495,259,9,261,70,0,74,2280,950,3227
POA6012,..,1041,1041,981,94,1072,408,23,432,483,5,494,228,0,229,46,0,44,2142,1165,3312
POA6014,..,2096,2096,2021,188,2211,1056,52,1106,1421,14,1430,589,7,593,129,0,132,5212,2355,7573
POA6015,..,398,398,704,15,719,277,8,290,484,4,489,268,3,270,55,3,60,1792,430,2221
POA6016,..,1051,1051,990,140,1129,561,42,600,722,18,741,200,5,204,46,0,50,2515,1254,3770
POA6017,..,832,832,547,87,639,240,19,259,116,6,123,43,0,43,18,4,26,964,955,1921
POA6018,..,3624,3624,4452,410,4869,2156,149,2308,2398,48,2446,808,14,816,216,3,220,10028,4248,14278
POA6019,..,2645,2645,2849,415,3261,1175,141,1320,1121,50,1174,340,12,345,81,6,85,5553,3269,8826
POA6020,..,1408,1408,2584,108,2690,1129,20,1151,1501,5,1511,565,0,563,136,0,136,5918,1550,7465
POA6021,..,1926,1926,2348,191,2542,1177,63,1240,1208,19,1231,446,12,452,144,4,149,5319,2213,7536
POA6022,..,407,407,661,34,692,306,12,316,305,5,308,100,0,104,43,0,46,1418,452,1876
POA6023,..,813,813,1631,59,1688,877,13,889,1245,5,1249,445,0,445,99,0,99,4297,892,5186
POA6024,..,953,953,1738,114,1850,839,31,873,815,9,823,302,4,303,110,3,114,3808,1107,4919
POA6025,..,1998,1998,3610,210,3820,1797,49,1848,2063,19,2078,802,8,809,214,0,214,8490,2280,10766
POA6026,..,1371,1371,2483,74,2557,1338,18,1359,1701,3,1704,598,3,598,175,0,175,6300,1468,7769
POA6027,..,2752,2752,4764,347,5114,2551,100,2651,2718,41,2760,1029,18,1041,353,8,368,11413,3270,14686
POA6028,..,793,793,1998,68,2060,1401,24,1423,1975,5,1974,723,0,725,224,0,224,6310,881,7191
POA6029,..,192,192,312,23,335,143,7,147,220,3,225,73,0,75,15,0,15,762,222,990
POA6030,..,2295,2295,3956,285,4240,2432,37,2470,2538,20,2551,1040,3,1046,519,0,522,10480,2645,13121
POA6031,..,644,644,1388,98,1486,1070,23,1101,1212,12,1224,514,0,513,243,0,247,4431,778,5209
POA6032,..,10,10,19,0,22,10,0,11,11,0,11,5,0,5,3,0,3,45,16,62
POA6033,..,20,20,28,3,36,22,0,21,26,0,24,18,0,18,11,0,11,102,24,122
POA6034,..,86,86,195,10,200,118,4,120,114,0,114,40,0,40,4,0,4,467,96,566
POA6035,..,513,513,935,66,998,515,7,524,546,0,546,205,0,211,118,0,122,2319,584,2910
POA6036,..,790,790,1345,94,1444,952,23,970,1089,5,1092,473,0,473,206,0,206,4064,915,4980
POA6037,..,228,228,331,17,349,166,4,168,171,0,170,80,0,80,32,0,28,777,254,1027
POA6038,..,330,330,674,41,717,434,8,445,417,4,422,151,0,151,52,0,52,1729,380,2110
POA6041,..,113,113,222,13,241,62,3,66,63,0,65,36,0,36,22,0,22,411,129,538
POA6042,..,14,14,15,0,16,3,0,3,0,0,0,0,0,0,0,0,0,17,12,29
POA6043,..,37,37,29,0,36,11,0,11,13,0,13,0,0,0,3,0,3,55,34,90
POA6044,..,147,147,206,15,223,47,0,47,37,3,42,14,3,16,8,6,11,311,177,487
