POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6000,636,1502,277,634,207,507,486,1137,388,738,617,1074,2372,4257,0,0,3379,6071,7,8,0,0,11,12,10,36,32,63,44,86,4571,8851,1120,..,5692,8851
POA6003,225,569,76,123,238,514,314,638,175,313,348,595,371,640,0,0,896,1555,0,0,0,0,0,0,4,3,4,3,20,33,1456,2796,291,..,1752,2796
POA6004,128,296,13,16,349,817,362,834,154,257,497,1017,3363,6349,0,3,4018,7629,0,0,0,3,0,0,11,9,13,15,7,17,4525,8792,1188,..,5716,8792
POA6005,196,448,121,212,189,361,308,575,103,159,518,919,1442,2505,0,0,2066,3581,0,4,0,0,0,0,0,0,3,3,8,17,2581,4620,637,..,3222,4620
POA6006,2260,5837,275,528,417,943,693,1471,182,285,106,152,98,132,3,3,384,574,0,0,0,0,0,0,6,15,6,15,12,30,3359,7926,546,..,3901,7926
POA6007,1422,3582,159,303,626,1325,788,1627,210,321,207,334,266,415,0,0,676,1068,0,0,0,0,0,0,14,26,18,29,3,8,2911,6315,380,..,3286,6315
POA6008,2962,7897,271,537,976,1951,1242,2493,507,868,618,959,758,1235,0,0,1888,3061,0,0,0,0,0,0,7,13,7,13,18,34,6113,13490,993,..,7108,13490
POA6009,4021,12016,326,701,555,1289,879,1992,496,1014,307,572,288,557,0,0,1097,2154,0,0,0,0,0,0,0,0,0,0,9,21,6012,16178,820,..,6832,16178
POA6010,3750,10516,607,1151,670,1550,1281,2704,390,560,300,422,433,755,0,0,1122,1739,0,3,0,3,0,0,3,8,7,14,29,64,6182,15040,976,..,7161,15040
POA6011,2210,6167,147,296,320,704,463,1001,151,275,306,477,86,125,0,0,551,875,0,0,0,0,0,0,3,8,3,8,4,14,3227,8057,673,..,3899,8057
