POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6000,193,94,268,9,4,567,177,113,736,3,6,1036,104,147,1687,7,22,1967,12,13,149,0,0,172,91,79,350,3,5,535,5,6,28,0,0,43,7,3,48,0,0,68,8,6,10,0,4,26,231,256,2278,16,33,2805,3,3,18,0,4,26,32,14,78,12,3,140,636,486,3379,32,44,4571
POA6003,63,59,64,0,5,181,67,67,226,0,4,368,48,97,409,3,6,561,0,46,35,0,0,84,26,35,115,0,0,173,3,3,7,0,0,13,7,3,7,0,0,18,0,3,3,0,0,5,81,185,578,3,6,852,3,3,3,0,0,6,6,3,26,0,3,40,225,314,896,4,20,1456
POA6004,46,119,505,0,0,679,29,111,876,0,0,1021,18,71,1803,3,0,1891,0,21,184,0,0,209,22,34,445,3,3,502,3,0,33,0,0,40,3,0,55,0,0,63,3,3,27,0,0,25,46,125,2542,8,4,2727,3,0,15,0,0,20,3,3,76,0,3,91,128,362,4018,13,7,4525
POA6005,73,45,236,0,3,361,40,95,361,0,0,494,28,102,970,0,3,1100,0,7,126,0,0,137,46,47,276,0,0,374,0,8,4,0,0,7,0,0,15,0,0,23,0,3,13,0,0,16,79,164,1404,0,3,1653,4,3,5,0,4,17,3,5,53,0,0,62,196,308,2066,3,8,2581
POA6006,820,143,25,0,0,990,854,251,94,0,3,1206,282,141,171,4,4,599,12,43,38,0,0,84,206,69,43,0,3,322,5,10,3,0,0,20,10,4,0,0,0,19,12,4,0,0,0,17,523,277,258,4,5,1065,13,11,3,0,0,21,58,15,5,3,0,72,2260,693,384,6,12,3359
POA6007,505,164,70,0,3,738,508,249,107,5,0,866,206,240,327,13,0,781,7,28,6,0,0,37,141,91,89,0,0,320,0,4,8,0,0,13,5,9,17,0,0,28,8,0,5,0,0,20,373,371,443,8,0,1197,7,3,36,0,0,52,29,11,20,0,0,55,1422,788,676,18,3,2911
POA6008,1260,342,240,0,3,1850,1013,290,281,3,3,1590,366,347,771,3,3,1484,11,51,250,0,3,315,237,159,222,0,0,619,0,0,26,0,0,23,11,18,15,0,0,44,10,3,10,0,0,23,632,585,1293,3,9,2515,11,5,24,0,0,45,50,22,47,0,4,115,2962,1242,1888,7,18,6113
POA6009,1950,258,241,0,0,2442,1238,143,111,0,0,1494,503,267,439,0,3,1209,0,4,41,0,0,48,221,100,150,0,0,470,5,30,31,0,0,71,10,16,37,0,0,65,15,18,9,0,0,43,759,442,708,0,4,1912,17,24,14,0,0,56,59,13,24,0,0,104,4021,879,1097,0,9,6012
POA6010,1735,523,268,0,4,2533,1301,316,131,3,4,1757,292,206,359,0,0,860,59,81,35,0,0,176,176,94,126,0,0,402,3,5,13,0,0,22,87,10,5,0,5,114,15,9,10,0,3,29,633,407,551,0,12,1602,22,3,133,0,3,160,55,27,44,0,6,131,3750,1281,1122,7,29,6182
POA6011,1084,178,102,0,3,1370,687,102,74,0,0,863,205,108,248,0,0,562,3,0,0,0,0,3,140,59,104,0,0,309,3,0,0,0,0,3,8,0,0,0,0,10,7,0,3,0,0,18,372,169,356,0,3,903,17,5,3,0,0,18,51,10,10,0,0,67,2210,463,551,3,4,3227
