POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA6000,12,4,25,0,3,45,0,3,13,0,0,12,3,0,3,0,0,5,0,0,11,0,0,11,4,8,14,0,0,28,9,3,62,0,0,79,17,12,119,0,0,148,26,25,207,0,0,259,22,11,119,3,0,152,50,28,80,0,0,161,26,19,59,0,0,105,3,0,15,0,0,17,177,113,736,3,6,1036
POA6003,5,3,9,0,0,12,3,3,3,0,0,7,0,0,3,0,0,0,0,0,4,0,0,3,3,0,16,0,0,23,4,3,33,0,0,40,4,10,34,0,0,48,11,17,60,0,3,88,4,10,32,0,0,55,17,13,21,0,0,52,17,4,8,0,0,37,5,0,9,0,0,16,67,67,226,0,4,368
POA6004,3,4,42,0,0,49,0,0,12,0,0,14,0,3,11,0,0,11,0,0,11,0,0,18,0,4,32,0,0,35,4,11,85,0,0,95,6,11,111,0,0,128,4,16,202,0,0,220,6,10,129,0,0,138,5,16,128,0,0,156,4,26,88,0,0,117,0,3,33,0,0,38,29,111,876,0,0,1021
POA6005,3,3,17,0,0,27,0,0,8,0,0,9,0,0,3,0,0,5,0,4,5,0,0,12,0,0,13,0,0,13,3,4,50,0,0,60,8,14,55,0,0,75,6,20,82,0,0,106,5,16,54,0,0,70,6,16,48,0,0,67,8,10,20,0,0,35,0,4,14,0,0,17,40,95,361,0,0,494
POA6006,47,8,5,0,0,61,8,4,0,0,0,11,12,10,0,0,0,18,22,4,3,0,0,26,20,6,0,0,0,29,75,19,21,0,0,112,71,26,17,0,0,118,122,56,21,0,0,196,98,44,15,0,0,148,185,54,5,0,0,242,165,24,3,0,3,194,33,4,0,0,0,38,854,251,94,0,3,1206
POA6007,28,10,4,0,0,43,3,6,0,0,0,11,12,0,0,0,0,12,7,6,0,0,0,20,18,8,7,0,0,37,42,31,20,0,0,92,33,22,12,0,0,63,71,42,32,3,0,146,55,34,9,0,0,96,95,37,8,0,0,143,138,35,3,0,0,174,16,8,4,0,0,33,508,249,107,5,0,866
POA6008,73,26,8,0,0,107,14,7,7,0,0,22,16,5,3,0,0,20,19,5,6,0,0,35,27,3,4,0,0,37,67,36,21,0,0,128,72,12,49,0,0,134,117,44,65,3,0,232,76,38,52,0,0,166,170,59,34,0,0,257,329,48,22,0,0,398,30,9,11,0,0,49,1013,290,281,3,3,1590
POA6009,125,6,7,0,0,141,16,0,0,0,0,24,14,3,0,0,0,17,22,9,3,0,0,32,23,8,4,0,0,31,67,8,11,0,0,91,52,7,9,0,0,62,87,20,22,0,0,126,70,13,12,0,0,94,137,26,17,0,0,179,553,34,14,0,0,607,77,7,3,0,0,85,1238,143,111,0,0,1494
POA6010,108,29,6,0,0,142,18,3,0,0,0,21,15,4,3,0,0,20,21,7,0,0,0,33,36,10,3,0,0,53,77,26,15,0,0,115,57,32,26,0,0,120,141,40,29,0,0,216,88,33,17,0,0,138,166,50,16,0,0,238,494,73,13,0,0,579,65,13,3,0,0,77,1301,316,131,3,4,1757
POA6011,67,10,9,0,0,83,11,0,3,0,0,19,10,5,0,0,0,14,11,0,0,0,0,11,15,0,4,0,0,17,42,6,3,0,0,52,32,0,15,0,0,48,63,18,11,0,0,92,21,3,10,0,0,38,73,13,8,0,0,88,311,31,10,0,0,354,38,10,0,0,0,57,687,102,74,0,0,863
POA6012,61,5,3,0,0,69,8,0,3,0,0,12,9,3,5,0,0,16,13,3,6,0,0,21,16,4,9,0,0,27,42,4,22,0,0,67,27,18,23,0,0,63,72,14,22,0,0,114,59,11,9,0,0,75,132,11,3,0,0,146,272,9,0,0,0,279,54,3,0,0,0,63,749,89,103,0,0,943
POA6014,141,9,11,0,0,167,37,9,10,0,0,52,21,0,5,0,0,31,43,7,17,0,0,68,48,19,22,0,0,88,143,31,68,0,0,238,105,37,75,0,0,219,237,49,48,0,3,340,168,35,10,0,0,213,364,46,17,0,0,426,622,32,5,0,0,662,90,4,7,0,0,108,2029,276,296,0,5,2609
POA6015,60,4,0,0,0,65,13,0,0,0,0,13,7,0,0,0,0,12,9,0,0,0,0,9,17,0,0,0,0,16,40,0,0,0,0,40,30,0,0,0,0,30,69,0,0,0,0,71,38,0,0,0,0,38,68,3,0,0,0,76,249,5,3,0,0,260,36,0,0,0,0,39,636,18,9,0,0,664
POA6016,50,13,11,0,0,76,15,4,3,0,0,22,18,0,3,0,0,20,23,4,12,0,0,37,35,3,11,0,0,52,95,27,32,0,0,158,87,32,30,0,0,152,146,50,40,0,0,239,105,42,10,0,0,164,195,41,8,0,0,252,202,21,3,0,0,221,39,7,10,0,0,56,1018,247,167,3,3,1441
POA6017,3,14,3,0,0,18,0,7,0,0,0,11,0,8,8,0,0,15,3,7,7,0,0,15,6,17,12,0,0,31,17,50,35,0,0,102,9,76,31,0,0,115,12,97,17,0,0,126,22,35,10,0,0,64,11,30,3,0,0,45,0,13,0,0,0,11,0,6,0,0,0,13,87,354,114,0,3,555
POA6018,231,61,3,0,0,297,61,22,0,0,0,94,49,16,0,0,0,66,82,29,5,0,0,118,116,43,3,0,0,164,330,127,14,0,0,470,320,141,27,0,0,483,638,308,25,0,0,979,456,273,9,0,0,739,752,230,6,0,0,992,663,96,0,0,3,767,134,39,3,0,0,178,3845,1396,89,0,10,5335
POA6019,92,62,9,0,0,163,24,22,7,0,0,49,18,13,0,0,0,32,32,34,4,0,0,68,49,43,3,0,0,92,111,116,31,0,0,253,144,164,34,0,0,349,262,275,31,0,0,570,196,193,24,0,6,419,344,188,11,0,4,546,285,107,15,0,6,412,50,37,14,0,0,100,1608,1245,186,0,18,3053
POA6020,143,24,0,0,0,165,48,11,0,0,0,61,42,10,0,0,0,50,72,14,0,0,0,80,71,7,0,0,0,80,229,38,4,0,0,263,198,37,3,0,0,237,358,77,3,0,0,434,257,45,0,0,0,305,425,44,0,0,0,473,439,44,0,0,3,492,115,17,0,0,0,125,2394,353,18,0,5,2768
POA6021,114,34,0,0,0,149,35,13,0,0,0,53,35,7,0,0,0,39,58,25,0,0,0,81,64,32,0,0,0,93,174,98,0,0,0,274,210,146,0,0,5,358,271,232,3,0,0,504,234,117,0,0,0,346,309,56,0,0,0,365,249,22,0,0,0,267,81,20,0,0,0,107,1818,802,12,0,3,2635
POA6022,35,3,0,0,0,33,11,3,0,0,0,9,15,0,0,0,0,13,28,0,0,0,0,30,29,4,0,0,0,32,75,10,0,0,0,78,99,14,0,0,0,115,161,26,0,0,0,185,105,8,0,0,0,112,84,3,0,0,0,88,25,0,0,0,0,23,31,3,0,0,0,33,693,67,0,0,0,761
POA6023,154,9,0,0,0,158,56,3,0,0,0,56,27,0,0,0,0,27,70,4,0,0,0,70,90,0,0,0,0,85,207,3,0,0,0,212,208,13,0,0,0,219,422,12,0,0,0,430,338,10,0,0,0,351,434,5,0,0,0,441,170,0,0,0,0,175,85,6,0,0,0,91,2271,65,0,0,0,2337
