POA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA6000,16,3,0,0,0,0,17,4,0,0,0,0,0,8,5,0,0,0,0,0,10,3,3,0,0,0,0,6,0,0,0,0,0,0,4,8,0,0,0,3,0,10,7,4,0,0,0,0,14,13,3,4,0,0,0,18,27,3,0,0,3,0,30,26,5,0,0,0,0,36,19,8,3,0,0,0,28,55,13,5,3,0,0,82,25,10,0,0,0,0,36,23,14,0,0,0,0,40,35,15,3,0,0,0,57,81,23,3,0,7,5,121,20,12,9,3,3,0,42,22,9,9,0,0,0,41,3,4,0,0,0,0,11,392,136,47,11,21,7,613
POA6003,3,0,0,0,3,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,8,0,0,0,0,0,6,4,0,0,0,3,0,6,8,0,0,0,0,0,10,5,0,0,0,0,0,10,3,3,0,0,0,0,8,14,6,4,0,0,0,27,9,0,0,0,0,0,9,7,0,0,0,0,3,9,12,5,0,0,0,0,17,19,14,0,0,0,0,30,9,7,0,0,0,0,11,5,9,0,0,0,0,20,6,0,0,0,0,0,4,115,52,14,0,9,4,198
POA6004,12,0,5,0,6,0,28,3,0,0,0,0,0,7,7,0,0,0,0,0,7,5,0,0,0,0,0,5,5,0,0,0,5,0,12,10,0,0,0,0,0,13,16,3,0,0,0,0,24,17,5,0,0,0,0,27,22,4,3,0,0,3,31,21,3,4,0,4,0,35,23,8,0,0,0,0,38,39,10,5,0,0,0,53,15,9,0,0,0,0,26,22,6,4,0,0,0,33,40,18,0,0,0,0,54,66,28,16,6,4,0,113,31,4,5,3,0,0,43,27,9,11,0,3,4,53,10,4,5,0,0,0,17,391,115,57,12,28,10,617
POA6005,7,3,0,0,0,0,11,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,4,3,0,0,0,0,0,9,9,0,0,0,0,0,10,3,0,0,0,3,0,6,8,0,0,0,0,0,11,9,0,0,0,0,0,11,6,0,0,0,0,0,10,19,3,0,0,0,0,25,8,3,0,0,0,0,15,13,6,0,0,0,0,19,17,3,0,0,0,0,21,30,9,0,0,0,0,37,7,3,4,0,0,0,13,7,7,0,0,0,0,16,3,0,0,0,0,0,5,165,40,9,5,12,0,236
POA6006,9,13,0,0,5,0,39,3,4,0,0,0,0,4,3,5,4,0,0,0,9,6,0,3,0,0,0,7,6,7,4,0,0,0,17,8,7,5,0,3,0,24,6,13,6,0,0,0,31,7,27,10,0,0,0,43,12,18,4,3,0,0,43,17,12,5,0,0,0,36,9,16,5,0,0,0,31,27,46,12,5,0,0,85,16,15,3,4,0,0,34,14,22,3,0,0,0,42,32,44,10,3,3,0,92,70,111,24,9,6,3,217,41,58,4,3,0,0,105,19,42,4,0,0,0,70,4,19,7,3,0,0,30,298,473,119,37,31,10,959
POA6007,14,9,4,0,0,0,23,0,0,0,0,0,0,3,9,0,0,0,3,0,11,7,0,0,0,4,0,11,3,3,0,0,0,0,9,12,11,0,3,3,0,26,9,4,3,3,0,0,23,13,10,3,0,4,0,35,8,3,0,3,3,0,23,4,7,5,0,0,0,20,7,16,0,0,3,0,26,19,21,4,3,5,0,49,9,4,0,0,0,0,20,10,4,0,0,0,0,16,24,26,3,7,4,0,61,39,50,11,3,4,0,112,25,47,12,3,3,0,87,34,37,6,0,0,0,72,4,11,3,0,0,0,21,244,267,64,29,35,6,638
POA6008,33,16,4,8,5,0,65,7,6,3,0,0,0,18,0,3,0,3,3,0,12,4,6,0,0,0,0,12,4,6,9,3,3,0,23,6,4,4,0,6,0,22,17,16,5,4,9,0,45,18,7,12,11,4,0,50,14,12,5,0,5,0,41,15,15,7,3,3,0,46,16,11,4,3,5,0,33,29,41,12,5,7,0,100,10,14,3,3,0,0,33,10,26,7,0,0,0,47,31,30,9,3,3,0,76,48,128,23,17,8,3,223,49,91,11,0,7,0,163,43,124,32,3,4,0,203,10,9,7,0,3,0,31,367,572,152,64,72,11,1236
POA6009,36,35,26,6,3,0,114,3,3,0,0,0,0,11,4,4,6,0,0,0,16,4,6,5,3,0,0,12,8,8,5,3,0,0,26,8,5,4,0,0,0,23,11,18,17,4,4,0,50,14,10,5,0,3,0,33,8,9,11,3,4,0,30,8,7,5,4,0,0,24,7,3,0,0,0,0,15,14,28,15,4,3,0,71,3,10,6,0,0,0,27,3,16,8,3,0,0,35,11,23,13,0,3,0,51,33,82,35,6,6,0,165,29,91,29,3,3,0,163,45,259,94,4,14,8,421,18,34,19,6,0,0,80,282,654,299,46,56,11,1351
POA6010,39,30,14,5,5,3,99,0,5,5,0,0,0,15,9,3,0,0,0,0,13,10,3,0,0,3,0,18,9,6,8,0,0,0,24,11,18,8,0,4,0,41,13,8,9,3,3,0,46,14,13,12,0,8,0,46,14,14,5,3,5,0,49,13,8,6,3,3,3,36,7,14,7,0,3,0,26,28,51,24,4,7,0,112,5,12,6,0,3,3,33,11,23,12,5,3,0,48,20,33,18,4,12,0,80,40,113,42,3,8,3,212,42,101,43,7,4,3,207,61,203,56,13,8,4,346,9,32,14,4,0,4,60,356,705,292,65,87,17,1519
POA6011,23,18,10,3,4,0,60,4,0,0,0,0,0,5,12,8,0,0,0,0,15,8,0,0,0,0,0,4,0,0,3,0,0,0,7,9,0,0,0,0,0,9,3,12,3,3,0,0,20,9,5,0,0,0,0,12,3,0,8,0,0,0,13,5,9,4,0,0,0,17,0,3,0,0,3,0,6,13,25,9,3,3,0,52,3,4,0,3,3,0,10,5,3,4,0,0,0,13,3,3,3,0,0,0,18,28,31,14,0,3,0,78,24,47,14,3,4,0,92,40,151,42,11,5,0,245,7,15,16,3,3,0,43,195,334,135,35,31,4,729
