POA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA6000,7,12,16,0,9,20,66,0,22,0,0,0,0,24,6,76,13,4,0,0,100,14,30,24,17,3,0,88,19,7,20,0,0,0,48,60,5,25,7,0,0,102,196,3,54,0,9,0,261,610,0,148,3,8,3,776,601,4,132,0,7,0,741,249,0,68,0,6,0,320,104,0,18,0,4,0,132,43,0,6,0,3,0,49,12,0,3,0,0,0,22,15,0,4,0,3,0,23,25,4,10,3,4,0,55,1967,172,535,43,68,26,2805
POA6003,3,5,3,4,3,3,22,0,12,0,0,0,0,12,0,38,3,3,0,0,39,0,3,9,4,0,0,23,3,3,3,0,0,0,8,13,0,11,0,0,0,28,90,4,35,0,0,0,130,214,13,43,0,3,0,275,134,0,44,0,4,0,182,74,0,17,0,0,0,90,16,0,6,0,0,0,20,6,0,3,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0,0,0,10,4,5,5,3,0,0,21,561,84,173,13,18,5,852
POA6004,16,9,34,0,3,12,76,0,10,3,0,0,0,12,3,106,11,4,0,4,122,14,40,24,23,0,0,102,19,5,12,3,3,0,36,77,6,31,0,7,0,115,141,17,76,0,11,0,244,547,3,101,3,5,0,657,478,0,77,0,9,4,569,259,0,37,0,4,3,304,132,0,30,0,3,0,173,89,0,14,0,6,0,111,42,0,9,0,0,0,46,55,0,14,0,0,0,78,28,7,34,0,10,0,76,1891,209,502,40,63,25,2727
POA6005,0,12,14,0,0,6,36,0,14,4,0,0,0,17,3,67,6,4,0,0,90,11,14,9,3,0,0,37,19,3,14,0,0,0,44,72,4,48,3,0,0,130,142,3,39,0,3,0,188,307,0,93,0,4,0,395,305,0,72,0,0,0,381,152,0,39,0,3,0,191,27,0,7,0,0,0,38,15,0,3,0,0,0,23,11,0,3,0,0,0,12,20,0,6,0,0,0,29,15,9,10,0,0,0,37,1100,137,374,7,23,16,1653
POA6006,0,7,18,3,0,10,37,0,7,0,3,0,0,13,0,45,4,3,0,0,56,7,8,13,3,0,0,32,18,3,10,0,0,0,33,40,4,14,4,0,3,66,61,3,35,4,0,0,107,140,0,83,0,6,0,230,171,0,69,0,7,0,240,96,0,36,0,0,0,132,34,0,8,0,0,0,49,22,0,4,0,0,0,28,4,0,0,0,0,0,4,3,0,10,0,0,0,12,4,4,15,3,0,0,26,599,84,322,20,19,17,1065
POA6007,0,3,14,0,0,13,32,0,3,0,0,0,0,9,3,19,9,0,3,0,37,3,4,5,0,0,0,21,19,0,8,3,0,0,29,50,5,23,0,4,0,80,100,0,57,0,9,0,162,178,0,65,0,6,0,250,208,0,69,0,3,0,282,106,0,44,0,0,0,150,57,0,8,0,0,0,74,20,0,11,0,0,0,30,16,0,0,0,0,0,18,12,0,3,0,0,0,13,4,3,7,3,0,4,21,781,37,320,13,28,20,1197
POA6008,0,21,44,0,3,21,91,0,30,3,4,0,0,39,0,176,13,5,0,0,194,10,39,19,11,4,3,85,29,16,15,0,3,0,57,78,5,27,0,14,0,126,151,6,72,0,10,0,239,309,3,104,0,7,0,419,330,0,114,0,0,0,452,246,0,78,0,3,0,328,131,0,47,0,3,0,180,69,0,28,0,0,0,96,43,0,16,0,0,0,59,70,0,23,0,3,0,92,13,5,24,4,0,0,52,1484,315,619,23,44,23,2515
POA6009,8,0,44,3,3,29,86,0,3,0,6,3,0,13,4,3,12,3,0,0,23,8,17,16,3,0,0,51,8,3,24,0,0,0,37,36,3,19,9,9,0,78,123,6,54,11,18,4,210,233,9,76,22,12,3,357,219,0,62,9,6,0,303,169,0,37,5,6,0,216,93,0,28,0,0,0,128,83,0,24,0,0,0,108,63,0,6,0,0,0,72,140,0,34,0,5,0,179,18,0,21,0,0,4,49,1209,48,470,71,65,43,1912
POA6010,4,6,41,3,6,29,86,0,19,0,3,0,0,21,0,90,10,0,8,0,104,6,28,12,3,5,0,49,11,3,17,3,5,0,33,37,15,16,0,30,0,91,83,9,40,0,24,0,148,140,4,72,0,9,0,227,138,0,63,4,4,0,210,121,0,40,0,3,0,171,69,0,24,0,0,0,101,71,0,19,0,0,0,90,43,0,9,0,0,0,49,125,0,44,0,0,0,167,15,13,17,8,15,3,59,860,176,402,22,114,29,1602
POA6011,0,0,22,0,0,11,35,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,8,0,0,0,5,5,0,5,0,0,0,8,22,0,14,0,0,0,38,40,0,25,0,0,0,69,72,0,36,0,3,0,119,98,0,51,0,0,0,151,67,0,31,0,0,0,100,44,0,37,0,0,0,84,43,0,24,0,0,0,74,35,0,3,0,0,0,42,123,0,41,0,0,0,158,3,0,3,0,4,0,16,562,3,309,3,10,18,903
