POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6000,535,443,2968,13,29,3996,67,27,327,5,13,438,32,15,79,10,6,140,636,486,3379,32,44,4571
POA6003,188,275,787,4,11,1267,26,35,81,0,3,154,7,6,19,0,3,40,225,314,896,4,20,1456
POA6004,119,332,3560,8,5,4027,7,21,379,3,0,412,3,3,78,0,3,88,128,362,4018,13,7,4525
POA6005,163,277,1773,0,8,2227,30,21,236,0,5,288,4,9,49,0,0,68,196,308,2066,3,8,2581
POA6006,1944,600,311,3,7,2870,261,79,67,0,3,412,54,13,4,3,0,77,2260,693,384,6,12,3359
POA6007,1276,727,564,18,3,2589,116,45,97,0,0,256,34,14,20,0,0,58,1422,788,676,18,3,2911
POA6008,2784,1142,1544,7,9,5487,131,79,294,0,0,512,53,20,50,0,4,118,2962,1242,1888,7,18,6113
POA6009,3811,758,942,0,10,5519,147,103,132,0,0,383,59,19,29,0,0,111,4021,879,1097,0,9,6012
POA6010,3517,1133,875,7,23,5554,175,112,223,0,0,506,53,29,27,0,6,121,3750,1281,1122,7,29,6182
POA6011,2073,420,477,0,3,2976,90,37,56,0,0,188,42,8,13,0,0,66,2210,463,551,3,4,3227
POA6012,1873,412,595,0,0,2886,103,93,159,0,0,356,34,17,23,0,0,71,2010,524,776,0,0,3312
