POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6000,0,21,178,292,76,16,12,33,636,0,16,104,111,24,5,0,9,277,0,19,80,90,14,0,0,4,207,0,32,186,209,40,5,0,13,486,8,114,202,58,0,0,0,8,388,24,254,286,36,0,0,3,13,617,11,721,1401,175,8,4,0,50,2372,0,0,0,0,0,0,0,0,0,46,1087,1886,276,10,4,5,74,3379,3,4,10,4,0,0,0,12,32,3,14,16,3,0,0,0,3,44,53,1159,2281,783,125,28,19,131,4571
POA6003,0,6,52,121,39,4,3,7,225,0,34,28,8,7,0,0,0,76,0,17,78,124,23,0,0,3,238,0,49,104,131,24,5,0,3,314,3,63,88,10,0,0,0,9,175,5,91,222,14,3,0,0,7,348,3,108,223,33,0,0,0,6,371,0,0,0,0,0,0,0,0,0,13,269,530,62,6,0,0,19,896,0,4,0,0,0,0,0,0,4,0,0,6,6,0,0,0,3,20,14,322,689,317,64,4,7,34,1456
POA6004,0,12,19,66,22,4,0,3,128,0,0,10,0,3,0,0,0,13,0,16,56,159,92,19,0,4,349,0,15,67,159,89,19,0,4,362,0,43,70,39,0,0,0,8,154,5,91,279,106,3,0,0,14,497,65,789,1681,742,21,4,0,46,3363,0,0,0,0,0,0,0,0,0,77,930,2032,888,19,4,0,65,4018,0,3,3,3,0,0,0,0,13,0,0,0,0,0,0,0,3,7,77,957,2119,1126,140,28,3,80,4525
POA6005,0,10,71,75,31,7,3,3,196,0,13,76,23,3,0,0,5,121,0,23,58,100,4,0,0,3,189,0,34,135,127,8,0,0,5,308,3,35,41,13,0,0,0,4,103,0,183,198,113,0,0,0,22,518,24,448,760,165,8,6,0,23,1442,0,0,0,0,0,0,0,0,0,31,666,1006,293,11,6,0,48,2066,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,0,8,35,706,1213,502,53,11,6,57,2581
POA6006,0,25,366,1178,553,78,15,50,2260,0,40,101,116,6,0,0,7,275,0,17,68,267,55,6,0,3,417,0,57,171,384,58,8,3,15,693,3,77,39,57,0,0,0,3,182,0,31,74,3,0,0,0,0,106,0,82,8,0,0,0,0,0,98,0,0,0,0,0,0,0,0,3,3,192,124,60,0,0,0,7,384,0,0,0,3,3,0,0,3,6,0,0,3,8,3,0,0,0,12,5,276,668,1625,615,81,16,70,3359
POA6007,0,11,248,717,360,61,7,29,1422,0,12,66,70,6,0,0,3,159,0,42,170,366,37,3,0,8,626,0,59,236,436,45,4,0,12,788,0,50,138,10,3,0,0,0,210,0,49,131,13,0,0,0,8,207,0,162,85,7,0,0,0,7,266,0,0,0,0,0,0,0,0,0,4,269,353,31,3,0,0,16,676,0,4,11,0,0,0,0,0,18,0,0,0,3,0,0,0,0,3,5,334,845,1190,401,63,7,59,2911
POA6008,4,38,504,1383,798,178,28,45,2962,0,29,106,117,11,0,0,4,271,6,48,298,529,81,0,0,10,976,6,82,404,646,92,0,0,11,1242,10,170,260,58,6,0,0,10,507,26,273,265,43,3,0,0,17,618,0,262,398,76,3,0,0,24,758,0,0,0,0,0,0,0,0,0,40,701,917,176,10,0,0,47,1888,0,3,0,0,0,0,0,0,7,0,3,6,5,0,0,0,4,18,45,821,1831,2205,898,177,25,107,6113
POA6009,0,21,291,1050,1699,734,172,51,4021,0,13,158,132,14,0,0,3,326,0,41,160,296,48,3,0,12,555,0,53,320,424,66,6,0,14,879,0,145,250,85,3,0,0,13,496,15,116,134,40,3,0,0,5,307,0,15,112,143,11,3,0,5,288,0,0,0,0,0,0,0,0,0,13,273,502,265,19,7,3,21,1097,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,19,350,1108,1741,1783,748,179,90,6012
POA6010,0,27,327,1380,1459,436,75,51,3750,0,45,182,324,43,3,0,13,607,0,11,118,360,150,25,0,10,670,0,53,294,686,196,27,4,24,1281,0,87,272,16,0,0,0,14,390,0,138,122,28,0,0,0,9,300,0,48,292,78,3,0,0,8,433,0,0,0,0,0,0,0,0,0,0,277,680,124,9,0,0,30,1122,0,0,0,0,3,0,0,0,7,0,4,3,10,8,0,0,6,29,0,359,1313,2205,1661,465,81,110,6182
POA6011,0,24,221,776,793,297,64,40,2210,0,13,57,58,8,0,0,5,147,0,0,73,204,41,3,0,3,320,0,13,125,262,50,5,0,8,463,0,20,89,34,0,0,0,6,151,14,91,166,28,3,0,0,4,306,0,14,56,17,0,0,0,0,86,0,0,0,0,0,0,0,0,0,13,128,309,82,5,0,0,10,551,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,14,162,656,1126,846,301,72,63,3227
