POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6000,5660,4961,10626,2644,1691,4334,723,930,1656,165,137,306,304,259,561,3840,3012,6849,952,1193,2146,7.9,8.6,8.2,67.8,60.7,64.5,62.4,55.6,59.3,578,468,1044,118,143,261,1465,1383,2844,464,457,919,674,340,1018,36,38,69,58,76,137,772,450,1225,3064,2635,5696,1919,1792,3711,1157,962,2127,3724,3352,7077
POA6003,1716,1583,3291,770,590,1354,251,298,551,48,46,92,76,70,141,1143,999,2136,242,291,538,6.6,7,6.6,66.6,63.1,64.9,62.3,59,60.7,140,139,275,34,63,101,430,379,808,150,158,305,172,105,278,9,19,22,13,29,40,201,145,345,910,836,1746,517,511,1022,432,401,831,985,918,1900
POA6004,5265,4707,9971,2451,1646,4096,650,834,1484,170,144,309,310,242,556,3577,2866,6442,907,1174,2080,8.7,8.4,8.6,67.9,60.9,64.6,62.1,55.7,59.1,551,478,1030,88,138,224,1423,1421,2844,463,462,930,532,233,764,25,26,55,56,72,122,621,326,942,2865,2558,5419,1762,1679,3447,1094,944,2041,3444,3179,6630
POA6005,2754,2537,5285,1320,963,2280,326,433,756,75,73,146,157,124,277,1876,1588,3463,487,624,1115,8.4,7.8,8,68.1,62.6,65.5,62.5,57.9,60.2,295,228,521,54,90,144,786,810,1597,208,229,442,281,111,395,18,18,35,31,37,76,331,168,506,1496,1439,2934,913,841,1755,639,581,1215,1767,1674,3438
POA6006,3593,3770,7365,1827,1178,3005,496,1014,1514,72,116,189,167,115,282,2568,2424,4989,794,1127,1912,6.5,4.7,5.7,71.5,64.3,67.7,66.7,61.2,63.9,272,285,555,112,181,293,944,1074,2015,304,337,639,516,224,739,30,25,57,41,70,111,586,322,908,3208,3287,6493,713,762,1481,2048,2200,4248,1736,1734,3471
POA6007,2948,3196,6148,1559,1157,2718,420,739,1158,66,104,172,138,107,245,2186,2106,4291,516,840,1358,6.3,5.1,5.7,74.2,65.9,69.8,69.4,62.6,65.8,321,342,663,92,145,238,919,1032,1951,249,328,576,343,160,505,20,21,46,35,54,91,390,242,637,2341,2434,4772,743,814,1551,1283,1396,2679,1694,1775,3476
POA6008,6088,6579,12661,2878,1934,4812,918,1573,2486,132,191,329,258,215,470,4186,3912,8101,1431,2157,3589,6.2,5.5,5.8,68.8,59.5,64,64.5,56.2,60.2,959,807,1764,203,368,567,1920,2171,4090,442,571,1011,496,246,740,26,33,63,70,107,177,587,382,974,5188,5424,10612,1380,1536,2918,2946,3165,6116,3455,3629,7081
POA6009,7627,7848,15476,2751,1460,4208,1319,2004,3325,192,225,415,411,366,778,4681,4055,8730,2576,3433,6014,8.8,9,8.9,61.4,51.7,56.4,55.9,47,51.4,1363,975,2344,198,325,526,2551,2619,5175,427,634,1061,318,186,506,19,54,70,46,101,153,380,346,728,6572,6816,13388,1956,1869,3820,3861,4198,8056,4524,4328,8853
POA6010,6595,7303,13899,2803,1525,4327,1019,1904,2917,134,156,292,215,220,434,4175,3799,7976,1931,2975,4909,5.1,5.8,5.4,63.3,52,57.4,60,49.1,54.2,858,692,1552,164,358,524,1976,2264,4235,491,775,1269,490,225,715,20,44,59,62,153,214,571,424,995,6127,6448,12575,1318,1348,2666,3588,4059,7648,3707,3624,7323
POA6011,3513,3876,7394,1652,909,2556,548,1026,1572,70,113,185,115,89,205,2387,2128,4512,872,1503,2372,4.8,4.2,4.5,67.9,54.9,61,64.6,52.8,58.3,483,362,849,96,168,270,1249,1336,2583,265,396,662,253,124,373,12,21,36,41,74,111,303,219,520,3195,3446,6642,709,824,1537,2092,2216,4308,1717,1994,3713
