POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6000,1157,962,2127,331,298,624,135,101,238,130,129,256,111,77,187,28,21,52,1425,1193,2620,11,10,16,15,13,29,17,11,27,0,0,0,1869,1552,3424,1464,1469,2931,60,42,100,3724,3352,7077,963,805,1773,5847,5126,10971
POA6003,432,401,831,101,73,168,25,26,51,27,20,45,30,22,53,9,7,15,437,399,836,3,4,7,3,0,6,8,5,12,0,0,0,538,486,1023,330,351,679,13,12,27,985,918,1900,363,324,684,1777,1641,3421
POA6004,1094,944,2041,349,302,652,114,102,213,91,86,175,96,77,175,41,36,75,1248,1090,2336,12,8,19,11,6,21,10,12,19,3,5,8,1622,1420,3041,1427,1427,2850,51,33,85,3444,3179,6630,844,718,1560,5387,4846,10229
POA6005,639,581,1215,151,121,269,53,47,105,57,52,111,61,52,116,18,12,23,724,692,1418,8,6,14,8,5,15,9,8,16,0,0,0,940,884,1819,629,633,1263,40,42,88,1767,1674,3438,422,361,781,2824,2614,5440
POA6006,2048,2200,4248,156,151,303,57,51,106,48,46,93,23,33,52,14,6,16,1095,1081,2176,0,3,6,7,4,12,6,15,14,0,0,0,1238,1234,2477,277,294,578,63,59,122,1736,1734,3471,276,257,528,4063,4194,8257
POA6007,1283,1396,2679,171,189,363,39,45,84,38,60,96,26,26,55,22,9,32,972,1007,1980,5,3,12,9,3,17,8,0,4,0,0,0,1121,1167,2288,380,406,789,22,12,32,1694,1775,3476,280,306,587,3258,3478,6739
POA6008,2946,3165,6116,523,539,1061,121,128,254,120,146,267,75,71,147,26,43,67,1665,1723,3386,7,15,19,11,12,20,14,8,22,0,0,0,2030,2146,4177,847,897,1741,50,45,97,3455,3629,7081,520,575,1094,6920,7377,14294
POA6009,3861,4198,8056,719,669,1390,141,117,258,127,133,259,85,84,174,47,57,102,1846,1796,3646,8,3,12,11,8,21,18,9,23,0,0,0,2277,2217,4493,1489,1403,2899,39,38,78,4524,4328,8853,434,417,852,8819,8940,17763
POA6010,3588,4059,7648,418,412,828,109,107,220,84,88,173,96,80,172,23,25,51,2179,2172,4349,0,3,9,20,6,29,18,15,32,0,0,0,2527,2509,5038,707,659,1369,51,44,100,3707,3624,7323,522,609,1130,7808,8288,16098
POA6011,2092,2216,4308,317,317,641,70,86,156,65,67,131,41,41,77,11,4,18,841,998,1834,0,3,0,7,5,11,3,9,10,0,0,0,1037,1208,2240,347,426,773,19,40,53,1717,1994,3713,297,305,606,4102,4519,8624
