POA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
POA6000,10,152,1300,611,324,189,47,11,4,2644,25,128,336,96,50,64,25,3,0,723,0,9,49,29,13,12,5,3,0,128,0,8,10,10,4,3,0,0,0,39,37,297,1704,746,388,269,74,15,4,3538,3,22,70,48,26,26,0,0,0,203,18,31,25,11,6,3,8,0,0,97,21,55,94,60,33,31,8,0,0,304,56,351,1799,805,427,300,80,12,4,3840,67,150,187,85,81,140,146,77,22,952,15,86,347,161,106,95,41,16,9,875,136,593,2333,1052,607,534,274,108,32,5660,9,152,899,323,187,103,21,4,0,1691,37,187,407,133,80,67,26,3,0,930,0,7,54,21,7,8,6,0,0,106,0,3,9,4,8,0,3,0,0,34,46,350,1366,482,274,177,50,6,0,2758,0,18,50,33,15,5,0,0,0,137,18,32,50,14,5,10,0,0,0,118,15,49,100,45,27,14,3,0,0,259
POA6003,3,47,374,180,96,52,14,0,0,770,7,35,121,35,28,17,6,0,0,251,0,0,14,3,6,3,0,0,0,33,0,0,12,0,0,3,0,0,0,15,11,81,516,218,132,79,25,4,0,1070,0,3,17,8,8,14,0,0,0,48,8,7,10,0,0,0,0,0,0,26,8,10,19,8,8,13,0,0,0,76,16,93,540,232,142,93,24,4,0,1143,15,18,36,26,15,41,51,24,9,242,7,41,140,64,37,28,10,5,0,331,35,157,713,319,200,160,88,38,9,1716,3,52,330,100,57,42,4,0,0,590,14,57,127,41,26,21,11,0,0,298,3,3,11,3,3,4,0,0,0,34,0,6,8,0,0,0,0,0,0,17,19,117,474,146,81,72,19,0,0,930,0,5,14,14,4,4,0,0,0,44,0,7,9,0,4,0,0,0,0,27,0,14,27,14,8,5,0,0,0,70
POA6004,3,158,1111,497,341,272,60,10,0,2451,23,131,259,83,51,47,48,7,0,650,0,6,39,20,17,14,3,3,0,111,0,9,21,8,13,3,0,0,0,52,28,305,1436,612,421,338,110,16,0,3268,0,19,66,44,34,33,9,0,0,207,16,27,26,11,5,4,8,0,0,99,21,46,96,54,40,38,12,0,0,310,47,350,1530,667,456,379,125,22,0,3577,73,117,142,41,69,116,205,111,31,907,19,79,316,124,73,89,46,32,7,782,140,540,1990,830,595,585,377,158,40,5265,9,171,793,282,221,150,27,0,0,1646,29,135,343,111,78,90,44,4,0,834,3,11,43,24,11,16,8,0,0,107,0,7,15,3,5,0,0,0,0,41,43,329,1187,422,309,258,77,3,0,2621,3,17,57,33,8,4,0,0,0,121,11,28,42,19,11,3,3,0,0,119,16,47,101,55,18,12,3,0,0,242
POA6005,3,92,635,286,156,115,25,8,0,1320,13,65,115,53,29,27,23,5,3,326,0,7,25,9,10,5,7,0,0,53,0,4,12,3,3,0,0,0,0,22,14,157,783,351,195,147,54,13,3,1718,0,9,36,30,32,6,6,0,0,113,3,15,15,7,0,0,0,0,0,38,3,27,46,29,32,6,8,0,0,157,18,186,830,384,230,153,61,12,3,1876,25,52,80,34,39,52,113,73,18,487,5,39,145,71,50,28,31,14,3,390,53,273,1053,489,317,229,208,98,27,2754,0,93,521,152,112,62,15,0,0,963,14,66,174,74,37,42,17,3,0,433,0,0,25,5,7,5,0,0,0,45,3,4,19,3,3,0,0,0,0,31,23,163,739,233,154,111,36,8,0,1464,0,3,26,11,7,0,0,0,0,55,8,10,22,9,7,3,0,0,0,70,13,15,45,21,15,3,0,0,0,124
POA6006,12,102,535,485,427,229,45,0,0,1827,51,83,128,70,59,71,42,7,0,496,0,3,15,13,6,4,0,0,0,42,0,0,10,3,10,0,3,0,0,30,64,185,681,569,498,310,87,5,0,2396,5,15,22,19,26,24,3,0,0,113,15,12,7,0,5,4,0,0,0,51,23,26,29,20,31,31,5,0,0,167,86,208,716,591,534,340,91,9,0,2568,83,36,56,45,70,100,169,146,75,794,4,12,63,40,42,35,23,15,12,234,174,256,832,678,641,477,286,173,83,3593,5,90,441,236,268,123,16,4,0,1178,63,127,183,255,205,139,39,7,0,1014,4,4,38,32,9,7,3,0,0,88,0,3,3,5,4,3,0,0,0,19,76,218,664,521,488,271,55,4,0,2307,0,5,18,8,8,9,0,0,0,44,17,7,14,10,11,9,0,0,0,68,21,8,33,22,15,11,0,0,0,115
POA6007,4,63,590,405,275,182,36,0,0,1559,28,86,109,63,39,40,38,3,0,420,0,5,23,19,7,5,0,0,0,54,0,0,6,7,0,0,0,0,0,13,38,154,729,492,319,234,73,6,0,2046,4,6,25,28,12,19,0,0,0,89,12,13,13,3,3,0,0,0,0,44,13,23,38,31,14,19,0,0,0,138,53,175,766,523,336,248,75,6,0,2186,55,43,44,21,41,63,135,76,43,516,8,25,89,47,29,19,22,4,3,247,119,238,901,593,400,339,233,90,44,2948,0,96,514,228,183,122,15,5,0,1157,46,108,150,172,114,101,52,3,0,739,0,3,34,22,13,10,4,0,0,78,4,4,15,4,3,0,0,0,0,25,52,205,707,420,308,229,69,3,0,1997,8,4,23,7,3,3,0,0,0,50,10,9,15,8,10,3,3,0,0,57,21,17,34,15,16,3,3,0,0,107
POA6008,4,114,799,751,637,454,102,9,0,2878,109,161,143,83,99,141,152,30,0,918,3,6,22,14,16,11,9,3,0,90,3,3,18,3,9,3,3,0,0,45,114,295,984,856,761,616,262,43,3,3927,0,16,37,40,38,32,8,0,0,182,23,16,16,3,9,3,7,3,0,82,24,39,50,42,52,35,13,3,0,258,141,329,1037,901,812,649,274,41,3,4186,172,83,106,58,84,182,417,253,76,1431,18,21,109,81,56,67,72,32,21,470,334,432,1247,1041,949,903,760,330,97,6088,6,143,701,355,407,276,43,3,0,1934,110,166,215,328,338,275,125,10,0,1573,6,6,52,37,18,14,11,0,0,150,0,3,11,8,8,6,0,3,0,41,128,323,980,726,777,574,182,10,0,3698,0,7,30,31,14,4,0,0,0,94,27,21,11,28,10,6,3,0,0,122,30,29,41,63,30,14,3,0,0,215
POA6009,13,122,462,621,786,558,180,11,0,2751,192,373,179,100,94,150,170,57,7,1319,20,25,17,7,15,18,10,5,0,113,8,24,16,10,6,3,5,0,0,78,237,543,679,737,898,728,356,72,6,4269,5,20,27,20,37,24,3,0,0,139,81,112,47,12,5,7,11,0,0,276,88,139,76,33,45,30,12,0,0,411,322,683,757,770,944,755,369,75,8,4681,481,584,351,93,64,151,412,307,133,2576,20,59,63,50,56,49,39,25,13,369,824,1326,1171,912,1060,957,825,407,157,7627,8,123,315,278,383,286,65,3,0,1460,239,343,194,363,387,312,137,29,0,2004,24,29,30,27,17,29,6,0,0,158,19,16,3,6,5,3,3,3,0,64,292,514,540,675,788,632,220,38,0,3683,7,19,21,22,15,7,0,0,0,94,76,81,45,22,32,9,3,0,0,273,80,99,67,47,44,19,6,0,0,366
POA6010,13,129,543,662,764,489,172,20,0,2803,147,227,108,59,98,155,179,53,6,1019,6,15,17,13,9,18,3,0,0,84,5,7,6,14,4,12,7,0,0,48,171,379,674,743,881,672,365,74,6,3960,7,10,26,28,33,17,8,0,0,126,30,24,7,3,4,7,5,3,0,94,37,36,34,31,35,23,10,3,0,215,206,411,703,773,914,694,373,80,6,4175,507,129,68,47,56,188,411,362,167,1931,20,31,90,80,84,77,64,41,10,494,740,576,861,900,1048,955,842,481,191,6595,3,105,399,251,412,282,56,4,0,1525,180,190,187,359,439,359,161,22,0,1904,10,9,42,22,17,13,8,0,0,113,3,0,11,7,5,10,4,0,0,36,192,307,639,638,874,665,234,32,0,3579,6,6,19,17,29,13,0,0,0,79,27,27,13,22,32,16,9,0,0,139,34,31,32,40,59,28,9,0,0,220
POA6011,0,52,324,346,461,360,101,12,0,1652,75,104,64,33,52,95,90,26,7,548,0,0,8,15,7,14,7,0,0,55,0,7,3,3,4,0,3,0,0,22,78,167,397,394,522,472,196,37,7,2269,0,10,16,8,18,15,0,0,0,72,21,5,3,0,6,3,4,3,0,50,23,19,18,7,18,21,4,3,0,115,100,184,415,401,548,496,198,44,7,2387,161,60,31,27,45,94,236,153,69,872,15,17,50,29,48,50,27,15,3,259,270,257,499,456,637,636,467,214,76,3513,3,78,309,158,193,127,30,3,0,909,109,97,97,151,260,218,75,14,3,1026,0,3,24,21,10,18,8,0,0,81,6,3,7,5,3,4,0,0,0,29,117,186,430,341,469,370,114,14,3,2041,0,7,8,5,12,3,0,0,0,28,17,8,9,10,7,6,3,0,0,59,17,16,19,15,18,10,3,0,0,89
