POA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,66,397,1466,525,302,198,51,11,0,3012,76,199,292,153,91,117,144,74,52,1193,23,121,281,126,84,58,31,27,7,756,157,728,2041,802,473,368,222,109,56,4961,17,308,2199,933,506,290,65,12,4,4334,63,311,746,222,128,127,44,9,0,1656,0,19,100,54,26,22,7,3,0,235,5,18,21,13,13,3,3,0,0,77,84,651,3067,1225,668,449,124,21,4,6291,5,47,125,81,49,35,3,3,0,340,33,61,71,26,11,8,6,0,0,217,39,102,191,108,59,43,11,3,0,561,116,751,3261,1331,728,491,131,26,4,6849,137,351,479,236,171,250,292,151,71,2146,41,209,630,284,186,153,70,43,15,1630,298,1315,4376,1858,1083,895,492,215,92,10626
POA6003,21,126,500,154,96,72,18,0,0,999,11,23,63,43,17,55,45,31,14,291,6,31,142,50,27,14,4,6,4,294,38,188,704,250,137,146,70,35,18,1583,4,95,706,274,154,99,17,0,0,1354,18,99,245,76,50,41,21,3,0,551,3,3,28,10,10,10,0,0,0,62,0,6,20,3,0,5,0,0,0,30,32,200,995,362,217,148,42,4,0,1997,0,8,27,25,19,13,0,0,0,90,7,15,21,0,4,3,0,0,0,52,7,27,48,25,24,15,0,0,0,141,36,225,1036,385,237,169,42,4,0,2136,20,43,96,70,37,97,101,57,17,538,13,69,283,114,61,43,17,16,3,623,69,339,1418,568,338,307,159,76,27,3291
POA6004,55,373,1288,474,323,266,83,3,0,2866,62,146,255,120,95,168,202,90,35,1174,14,95,277,89,67,75,36,18,3,668,136,613,1824,677,487,514,317,112,39,4707,15,333,1902,775,557,421,84,8,0,4096,56,264,604,196,129,138,91,13,0,1484,0,13,83,48,22,29,10,3,0,220,0,20,37,11,17,3,4,0,0,95,73,631,2625,1028,728,593,191,24,0,5888,4,32,121,78,39,45,9,0,0,332,31,63,72,26,13,14,11,0,0,222,30,94,192,110,55,52,19,0,0,556,105,722,2817,1137,783,651,201,23,0,6442,135,260,402,160,165,286,408,204,61,2080,34,168,595,211,139,163,82,45,11,1456,278,1155,3815,1507,1082,1097,694,277,70,9971
POA6005,30,181,785,254,172,116,37,9,0,1588,30,37,112,81,45,72,96,75,79,624,9,28,134,46,34,22,29,7,8,322,75,246,1029,384,253,208,169,90,88,2537,4,182,1154,440,264,178,43,6,0,2280,29,127,293,123,67,64,45,10,3,756,0,3,52,16,13,4,4,0,0,99,3,11,26,6,4,0,0,0,0,49,37,325,1524,585,349,250,93,18,3,3189,0,12,62,38,42,8,6,3,0,172,16,30,30,14,7,3,4,0,0,102,18,40,92,52,49,9,10,3,0,277,51,365,1619,638,400,265,98,17,3,3463,58,85,191,115,83,124,217,149,96,1115,12,62,282,120,87,50,65,20,12,712,125,519,2086,876,570,437,380,188,115,5285
POA6006,93,235,701,546,503,287,57,10,0,2424,80,38,81,104,86,156,190,235,160,1127,6,28,61,34,35,31,7,12,12,223,179,292,842,684,620,473,252,256,176,3770,21,185,979,720,692,355,55,0,0,3005,113,205,306,326,261,207,81,13,0,1514,3,5,45,39,17,18,3,0,0,135,3,4,18,5,17,4,3,0,0,57,131,401,1351,1091,983,585,144,16,0,4705,6,14,37,27,33,36,3,0,0,162,39,19,26,10,13,15,4,0,0,122,43,35,58,45,53,46,4,3,0,282,176,440,1413,1138,1036,627,145,14,0,4989,164,74,139,145,157,260,363,383,236,1912,10,34,122,79,79,58,24,29,23,460,348,545,1670,1360,1267,948,538,431,261,7365
POA6007,66,221,743,442,318,238,71,3,0,2106,56,27,85,87,67,104,168,148,102,840,45,26,69,37,28,18,25,4,8,258,170,273,893,564,412,357,259,160,110,3196,10,157,1107,636,451,307,48,5,0,2718,75,186,259,234,156,147,89,5,0,1158,3,7,50,37,18,13,4,0,0,137,4,3,16,5,0,0,0,0,0,36,87,354,1434,914,625,463,146,8,0,4039,9,13,47,41,18,16,0,0,0,142,23,22,25,11,13,7,4,0,0,99,32,36,74,51,29,24,4,0,0,245,121,387,1508,966,658,487,153,8,0,4291,104,68,127,109,106,170,303,226,146,1358,62,56,155,78,53,37,44,7,5,504,288,509,1790,1151,813,695,494,242,153,6148
POA6008,154,353,1024,790,807,587,184,17,0,3912,184,80,182,243,180,304,501,325,155,2157,13,34,122,73,54,70,64,49,23,506,353,473,1329,1107,1033,960,747,390,185,6579,11,258,1506,1109,1045,733,140,11,0,4812,222,328,360,406,438,416,279,42,0,2486,11,20,76,48,32,27,19,3,0,241,3,10,23,13,22,13,5,3,0,88,245,617,1964,1579,1536,1193,440,54,4,7628,4,29,72,70,54,36,8,0,0,276,52,40,31,32,23,14,9,3,0,199,56,67,100,106,80,51,19,3,0,470,293,683,2057,1687,1612,1237,459,55,4,8101,359,169,284,305,256,483,914,583,232,3589,26,54,229,156,106,144,132,80,48,978,686,904,2575,2146,1977,1865,1509,721,277,12661
POA6009,371,613,608,717,837,650,220,37,0,4055,478,495,307,270,249,369,641,380,251,3433,25,55,57,40,35,53,50,27,28,363,873,1165,968,1023,1123,1073,912,451,275,7848,17,247,774,895,1164,846,242,16,0,4208,439,717,371,464,476,467,305,91,7,3325,37,51,51,38,31,43,18,5,0,273,34,39,22,20,19,7,5,4,0,144,524,1054,1219,1408,1692,1362,574,108,6,7951,6,43,47,39,56,34,5,0,0,229,163,199,99,31,35,14,9,0,0,548,170,239,144,77,91,47,13,3,0,778,698,1293,1360,1486,1777,1409,590,110,8,8730,956,1081,651,362,312,519,1052,690,379,6014,44,113,115,81,89,102,86,50,44,731,1697,2488,2137,1927,2185,2027,1735,854,433,15476
POA6010,226,338,669,677,929,691,236,32,0,3799,318,90,132,202,266,360,651,552,394,2975,25,34,67,56,78,71,63,66,59,525,576,468,868,936,1277,1120,959,654,451,7303,13,233,945,916,1181,772,235,27,0,4327,325,420,294,411,544,513,337,78,4,2917,11,27,56,36,27,33,13,0,0,201,9,3,16,20,9,19,9,5,0,88,362,680,1310,1381,1752,1335,592,105,6,7538,14,14,45,39,60,34,8,0,0,207,64,49,18,29,32,20,15,3,0,235,76,64,65,67,91,49,18,3,0,434,437,745,1375,1454,1848,1386,615,108,6,7976,823,221,197,249,325,544,1061,918,563,4909,50,64,157,137,156,148,127,113,70,1016,1311,1042,1729,1835,2322,2077,1802,1139,642,13899
POA6011,127,196,448,357,479,377,120,19,3,2128,242,34,67,112,175,214,317,192,153,1503,15,20,53,23,52,43,20,13,13,249,387,255,565,492,708,635,456,220,171,3876,3,128,628,503,659,485,131,15,0,2556,180,202,155,192,312,318,163,41,9,1572,0,3,25,37,13,29,16,0,0,131,6,12,15,6,11,7,4,3,0,50,195,346,826,735,992,841,315,55,11,4312,0,20,28,8,25,14,0,0,0,98,36,21,10,9,14,12,5,5,0,106,37,34,37,20,36,27,6,5,0,205,226,386,865,757,1027,868,324,60,11,4512,400,91,99,141,214,309,547,348,222,2372,29,35,100,56,103,88,49,25,19,505,653,509,1064,945,1342,1271,919,433,252,7394
