POA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA6000,23,7,0,0,32,3,0,6,38,3,0,39,62,7,0,0,73,0,0,0,73,3,0,72,21,0,0,0,24,0,0,0,23,0,0,23,3,0,0,0,3,0,0,0,3,0,0,3,111,16,0,0,124,6,0,7,134,6,0,140,0,0,0,0,4,0,0,0,4,0,0,3,7,0,0,0,9,3,0,3,12,0,0,13,9,3,0,0,13,3,0,3,20,0,0,17,119,17,3,0,135,8,0,12,147,10,0,161,76,18,3,3,98,4,3,5,102,35,0,137,0,0,0,0,0,0,0,0,0,0,7,7,194,30,8,3,231,9,3,18,247,39,7,295,22,0,3,0,25,0,0,0,28,0,0,25,26,5,0,0,34,0,0,0,40,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,49,10,3,0,61,5,0,6
POA6003,9,5,0,0,11,0,0,0,11,0,0,11,16,0,0,0,19,0,0,0,17,0,0,17,4,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,33,0,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,25,9,0,0,33,5,0,5,36,0,0,36,17,3,0,0,18,0,0,0,24,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0,0,54,3,0,3,55,4,0,64,12,3,0,0,12,0,0,0,12,0,0,12,12,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,26,0,0,0
POA6004,25,3,3,0,32,0,0,0,35,3,0,37,38,4,0,0,50,0,0,0,50,3,0,55,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,81,10,7,0,95,3,0,3,96,9,0,112,15,0,0,0,15,0,0,0,17,0,0,17,9,0,0,0,5,0,0,0,5,0,0,5,20,3,0,0,18,0,0,0,24,0,0,24,98,15,7,0,115,3,0,3,121,9,0,133,102,17,3,6,118,10,4,12,129,8,0,145,0,0,0,0,0,0,0,0,0,0,0,0,194,28,8,6,239,11,4,16,252,23,0,277,11,5,0,0,12,3,0,3,19,3,0,20,19,3,0,0,24,0,0,0,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,41,3,0,3
POA6005,15,4,0,0,16,3,0,3,16,3,0,21,25,5,0,0,29,0,0,0,35,0,0,35,7,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,52,6,0,0,54,0,0,0,58,3,0,62,4,0,0,0,4,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,6,0,0,6,54,6,0,0,61,4,0,4,71,3,0,75,54,7,0,0,62,4,0,4,60,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,111,14,3,0,123,5,0,5,130,10,0,139,12,0,0,0,12,0,0,0,12,3,0,11,16,0,0,0,19,0,0,0,19,0,0,19,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,34,0,0,0
POA6006,43,8,0,0,52,0,0,3,57,3,0,63,153,13,0,0,171,0,0,0,171,0,0,173,47,4,7,0,54,0,0,0,60,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,249,33,4,0,284,3,0,4,289,5,0,299,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,12,0,0,0,12,0,0,12,259,33,4,0,293,3,0,4,297,5,0,305,103,4,0,3,105,3,0,3,108,10,0,118,0,0,0,0,0,0,0,0,0,0,0,0,357,36,6,3,403,9,0,8,409,12,0,425,65,17,0,0,87,0,0,3,90,3,0,92,209,14,3,0,221,0,0,0,222,4,0,225,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,277,32,3,0,319,0,0,3
POA6007,39,9,3,0,46,5,0,5,51,3,0,56,111,12,0,0,125,0,0,0,124,0,0,131,28,0,4,0,33,0,0,0,31,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,176,26,5,0,210,4,0,4,215,7,0,217,6,0,0,0,6,4,0,4,6,0,0,6,3,0,0,0,7,3,0,3,7,0,0,7,11,0,0,0,9,5,0,5,12,0,0,12,185,26,4,0,214,6,0,6,224,7,0,235,78,14,5,0,98,0,3,3,103,3,0,105,0,0,0,0,0,0,0,0,0,0,0,0,265,36,10,0,317,8,3,14,329,10,0,341,39,8,0,0,50,7,0,7,58,8,0,61,118,10,0,0,132,3,0,3,134,0,0,134,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,160,22,0,0,181,10,0,10
POA6008,73,16,7,0,91,0,0,0,91,6,0,99,197,13,0,0,212,0,3,5,211,0,0,215,61,5,9,0,72,3,0,3,72,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,331,35,8,0,375,4,3,5,378,15,0,395,4,0,0,0,4,0,0,0,4,0,0,4,11,0,0,0,11,0,0,0,11,0,0,11,17,0,0,0,17,0,0,0,16,0,0,16,347,35,8,0,389,7,3,7,399,15,0,409,230,16,4,0,253,5,0,6,260,4,0,263,0,0,0,0,0,0,0,0,0,0,0,0,576,48,13,0,636,15,3,19,659,16,0,675,101,16,0,0,117,3,0,3,122,9,0,131,202,33,3,0,236,0,0,0,233,0,0,239,17,0,0,0,14,0,0,0,14,0,0,14,7,0,0,0,7,0,0,0,7,3,0,12,323,43,4,0,372,3,0,5
POA6009,71,16,0,3,90,0,0,0,85,4,0,91,217,29,0,0,245,4,0,4,245,10,0,253,31,5,6,0,36,0,0,0,40,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,314,48,6,5,366,5,0,5,372,13,0,390,3,0,0,0,3,0,0,0,3,0,0,6,12,4,0,0,12,0,0,3,16,3,0,17,17,4,0,0,20,0,0,3,23,3,0,28,325,52,6,5,386,4,0,10,397,18,0,409,171,20,10,0,197,6,0,7,202,38,0,245,0,0,0,0,0,0,0,0,0,0,0,3,496,73,11,6,583,14,4,19,599,52,0,656,173,31,0,3,202,9,0,9,219,5,0,222,329,39,0,0,370,4,0,4,371,15,0,392,11,3,0,0,14,0,0,0,14,0,0,14,0,0,0,4,3,0,0,0,3,0,0,3,515,71,0,4,592,19,0,19
POA6010,49,9,0,0,61,3,0,9,65,11,0,75,248,22,0,3,272,0,0,0,272,4,4,283,40,0,3,0,43,0,0,0,43,0,0,43,3,0,0,0,6,0,0,0,6,0,0,6,341,30,6,3,388,3,0,9,389,15,4,405,5,0,0,0,5,0,0,0,3,0,0,3,11,0,0,0,11,0,0,0,11,0,0,16,17,0,0,0,17,0,0,0,19,0,0,21,360,30,6,3,399,6,0,7,409,17,4,427,165,3,0,0,176,0,0,4,174,5,0,184,0,0,0,0,0,0,0,0,0,0,0,0,527,37,5,3,573,6,0,9,585,23,4,607,132,13,3,0,152,10,0,10,158,7,0,170,294,20,3,3,317,3,0,3,319,8,0,326,5,0,4,0,12,0,0,0,12,0,0,12,3,0,0,0,3,0,0,0,3,0,0,3,433,39,5,4,480,12,0,12
POA6011,33,7,0,0,33,0,0,0,33,10,0,41,99,14,0,0,109,0,0,0,109,3,0,112,27,4,0,0,38,0,0,0,38,0,0,38,0,0,0,0,3,0,0,0,3,0,0,3,164,17,0,0,185,0,0,0,185,7,0,197,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,167,17,0,0,185,0,0,0,185,7,0,196,109,9,5,0,121,0,0,0,123,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,276,24,3,3,312,0,0,0,307,10,0,325,71,15,0,0,87,0,0,0,87,13,0,103,160,11,0,0,174,0,0,0,174,7,0,175,9,0,0,0,9,0,0,0,9,0,0,9,4,0,0,3,7,0,0,0,7,0,0,7,243,26,0,3,274,0,0,0
