POA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA6000,69,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,3,0,3,5,0,0,5,50,10,3,0,66,5,0,5,74,4,0,77,30,0,0,3,35,0,0,0,35,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,87,9,3,0,98,5,0,5,111,20,0,129,13,3,0,0,14,3,0,3,15,0,0,19,4,0,0,0,6,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,17,3,0,5,18,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,20,3,0,3,20,3,0,23,12,0,0,0
POA6003,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,24,3,0,0,30,0,0,0,31,0,0,31,9,0,0,0,9,0,0,0,9,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,42,0,0,0,38,3,0,44,12,0,0,0,11,0,0,0,11,0,0,15,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,0,0,19,0,0,18,7,0,0,0
POA6004,43,5,0,53,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,3,3,0,0,3,9,0,0,0,9,0,0,3,8,0,0,8,43,6,0,0,46,4,0,3,51,5,0,59,21,4,0,0,27,0,0,0,27,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,62,10,0,0,76,4,0,3,78,12,0,92,10,3,0,0,7,0,0,0,7,3,0,13,3,0,0,0,7,0,0,0,7,3,0,7,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,17,0,0,0,17,3,0,21,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,0,0,0,20,0,0,0,17,3,0,25,3,3,0,0
POA6005,34,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,5,0,0,0,5,0,0,5,30,3,0,0,40,0,0,0,40,3,0,40,15,0,0,0,14,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,44,3,3,0,57,0,0,0,57,7,0,57,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,10,0,0,0,13,0,0,12,4,0,0,0
POA6006,322,4,0,325,3,0,0,0,3,0,0,0,3,0,0,3,11,0,0,3,9,0,0,0,9,0,0,14,14,0,0,3,17,0,0,0,17,0,0,17,292,32,3,3,328,0,0,3,334,3,0,338,74,6,0,3,78,0,0,0,77,6,0,85,0,0,0,0,0,0,0,0,0,0,0,0,359,39,3,3,408,3,0,6,414,11,0,421,31,3,3,0,42,6,0,3,49,5,0,50,76,11,0,0,86,0,0,0,86,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,13,6,0,131,6,0,3,138,5,0,137,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,5,0,0,5,111,13,6,0,136,8,0,10,139,5,0,147,18,3,0,0
POA6007,196,8,0,201,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,167,22,0,0,192,10,0,10,204,8,0,205,57,4,0,0,67,0,0,0,67,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,230,22,0,0,254,10,0,10,263,10,0,275,21,7,0,0,26,6,0,6,27,0,0,32,46,4,0,0,54,4,0,4,54,0,0,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,7,0,0,81,6,0,6,85,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,72,7,0,0,86,6,0,6,91,0,0,88,20,0,0,0
POA6008,380,14,0,393,8,0,0,0,8,0,0,0,8,0,0,8,17,0,0,0,17,0,0,0,17,0,0,16,27,0,0,0,27,0,0,0,27,0,0,26,351,43,4,0,399,3,0,5,411,15,0,423,177,10,3,0,195,4,0,3,194,12,0,207,0,0,0,0,0,0,0,0,0,0,0,0,527,54,5,5,591,9,3,8,602,29,0,628,55,16,0,0,74,6,0,6,76,8,0,87,125,16,0,3,139,4,4,4,148,3,3,153,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,185,25,0,3,218,8,4,15,230,7,3,242,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,7,0,0,7,14,0,0,0,14,0,0,0,14,0,0,14,196,28,0,3,230,8,4,15,242,7,3,258,65,12,0,0
POA6009,610,19,0,630,14,3,0,0,12,3,0,3,21,0,0,21,17,5,0,0,22,0,0,4,21,3,0,24,30,11,0,0,35,4,0,9,38,3,0,40,542,76,0,4,623,23,0,27,653,19,0,673,226,23,3,3,250,6,6,7,256,26,0,285,0,0,0,0,0,0,0,0,0,0,0,4,761,103,4,11,878,31,4,37,909,48,3,960,117,13,0,3,138,5,0,12,144,13,0,162,210,14,0,0,225,4,3,8,234,9,0,246,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,7,0,0,0,7,0,0,7,333,32,3,7,373,14,4,17,392,31,0,419,7,0,0,0,10,0,0,0,10,0,0,10,14,3,0,0,17,0,3,3,16,0,0,17,15,3,0,0,19,0,3,3,26,0,0,24,350,36,3,7,396,14,7,15,411,32,0,445,125,10,0,0
POA6010,493,18,0,506,5,0,0,0,11,3,0,3,11,0,0,11,23,0,0,0,23,3,0,3,24,0,0,24,31,0,0,0,29,7,0,7,32,0,0,32,458,39,5,5,512,19,0,19,529,19,0,541,184,11,3,4,207,5,0,3,208,10,0,224,0,0,0,0,0,0,0,0,0,0,0,0,648,49,10,8,719,18,0,22,737,23,0,763,105,12,0,0,123,0,0,0,124,3,0,131,202,18,3,0,216,4,0,4,222,4,0,221,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,306,34,3,0,343,8,0,8,346,6,0,356,3,0,0,0,4,0,0,0,8,0,0,8,13,0,0,0,13,0,0,0,13,0,0,12,21,0,0,0,19,0,0,0,22,0,0,19,328,34,3,3,362,5,0,5,370,6,0,378,105,9,0,3
POA6011,274,14,0,286,3,0,0,0,3,0,0,0,3,0,0,3,14,0,0,0,14,0,0,0,14,0,0,14,11,0,0,0,11,0,0,0,11,0,0,11,258,26,0,3,286,0,0,0,286,14,0,301,99,4,0,0,107,7,0,7,112,11,0,118,3,0,0,0,3,0,0,0,3,0,0,7,359,37,5,3,400,7,0,7,402,23,0,428,58,5,0,0,66,0,0,0,71,3,0,74,92,5,0,0,103,0,0,0,103,3,0,106,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,153,13,0,0,177,0,0,0,178,5,0,181,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,5,0,0,5,162,13,0,0,177,0,0,3,180,5,0,188,85,3,3,3
