POA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
POA6000,13,0,0,0,13,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,30,3,0,3,34,4,0,43,9,0,0,0,9,0,0,0,9,3,0,6,6,3,0,0,6,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,12,0,0,0,15,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,12,0,0,0,15,3,0,15,3,0,0,0,5,0,0,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,15,0,0,0,16,5,0,24,3,0,0,0,6,0,0,0,6,0,0,6,7,0,0,0,11,0,3,3,17,3,0,14
POA6003,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,25,0,0,0,25,0,0,26,3,0,0,0,3,0,0,0,3,3,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,9,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,9,3,0,5,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,9,3,0,14,4,0,0,0,4,0,0,0,4,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4
POA6004,5,6,0,6,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,24,6,0,6,27,3,0,33,11,0,0,0,11,0,0,0,11,0,0,14,6,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,17,0,0,17,3,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,0,27,0,0,0,25,0,0,25,16,3,0,0,16,0,0,0,16,3,0,22,6,0,0,0,6,0,0,0,6,0,0,6
POA6005,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,17,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,12,0,0,12,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,4,0,0,4
POA6006,25,0,0,0,25,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,130,19,6,0,155,8,0,10,166,9,0,170,25,9,0,0,35,3,0,3,36,0,0,41,45,3,0,0,49,3,0,3,53,0,0,53,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,77,12,0,0,88,6,0,6,93,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,12,0,0,88,6,0,6,93,0,0,97,6,3,0,0,9,0,0,0,9,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,84,16,0,0,99,6,0,6,107,3,0,112,52,3,0,0,58,3,0,3,59,7,0,63,49,5,3,0,51,3,0,3,56,0,0,61
POA6007,15,0,0,0,15,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,92,9,0,0,102,6,0,6,109,5,0,109,15,3,0,0,22,0,0,0,23,0,0,24,20,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,38,0,0,0,37,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,38,0,0,0,37,0,0,42,7,0,0,0,10,0,0,0,10,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,44,0,0,0,42,7,0,50,20,3,0,0,27,3,0,3,26,0,0,29,19,7,0,0,25,0,0,0,25,0,0,25
POA6008,76,0,0,0,76,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,265,39,0,3,303,8,4,15,314,9,3,330,38,8,0,0,50,3,0,3,47,4,0,56,78,10,0,0,89,3,0,3,93,4,0,96,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,128,17,0,4,147,3,0,3,155,13,0,160,6,0,0,0,9,0,0,0,9,0,0,9,5,0,0,0,5,0,0,0,5,0,0,5,11,0,0,0,14,0,0,0,14,0,0,14,137,21,0,4,159,3,0,3,166,13,0,178,33,4,0,0,37,0,0,0,38,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,168,22,0,4,195,8,0,8,202,14,0,215,90,8,0,0,97,3,0,3,97,10,0,105,92,12,0,0,102,4,0,6,105,3,0,112
POA6009,135,0,0,0,136,8,0,145,0,0,0,0,0,0,0,0,0,3,3,4,481,46,0,7,533,17,7,20,554,39,4,593,81,4,0,0,86,8,3,6,97,11,0,99,134,4,0,0,135,4,0,6,144,12,0,154,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,4,0,0,4,211,8,3,4,231,8,3,14,241,17,0,260,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,10,0,0,0,10,0,0,10,8,0,0,0,12,0,0,0,11,0,0,11,222,11,3,4,241,10,3,15,251,17,0,273,68,0,0,0,68,0,0,0,72,8,0,80,0,0,0,0,0,0,0,0,0,0,0,3,294,14,3,4,311,12,3,15,327,28,0,354,94,7,0,0,106,0,0,0,110,5,0,113,171,17,0,0,190,7,3,13,199,13,0,212
POA6010,113,3,0,5,122,10,0,130,0,0,0,0,3,0,0,0,3,0,0,3,429,38,3,3,481,9,0,14,489,14,0,509,71,13,0,0,83,5,0,5,83,3,0,89,122,13,0,0,134,9,0,9,146,4,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,25,0,0,217,12,0,12,225,5,0,235,12,0,0,0,12,0,0,0,12,0,0,10,9,0,0,0,9,0,0,0,10,0,0,10,20,0,0,0,20,0,0,0,22,0,0,19,209,25,0,0,232,10,0,10,246,5,0,250,66,7,0,0,68,5,0,5,73,7,0,77,0,0,0,0,3,0,0,0,3,0,0,3,271,36,0,0,306,11,0,11,323,9,0,333,100,13,0,0,115,4,0,3,122,7,0,127,169,33,0,0,199,0,0,0,204,8,0,209
POA6011,97,0,0,0,97,8,0,102,0,0,0,0,0,0,0,0,0,0,3,3,247,22,6,5,277,0,0,3,279,10,3,288,41,8,0,0,52,0,0,0,55,0,0,57,72,8,0,0,74,0,0,0,76,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,15,0,0,132,0,0,0,129,5,0,132,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,7,0,0,0,4,0,0,4,119,15,0,0,138,0,0,4,137,5,0,138,45,6,0,0,51,3,0,3,53,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,162,21,0,0,185,3,0,7,187,9,0,199,42,4,0,0,45,0,0,0,48,4,0,53,95,7,0,0,105,0,0,0,106,4,0,105
