POA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA6000,7,0,0,0,7,4,0,12,73,10,3,0,82,8,0,5,92,10,0,103,109,29,4,0,142,4,4,9,145,19,0,166,19,0,0,0,25,0,0,0,23,0,0,25,5,0,0,0,5,0,4,4,9,0,0,9,209,37,7,0,254,8,3,16,271,27,0,301,0,3,0,0,3,7,0,7,5,0,0,7,9,0,0,0,13,6,0,6,14,0,0,18,14,4,0,0,15,9,0,9,27,0,0,24,220,44,10,0,268,18,3,28,295,31,0,324,126,25,3,3,157,4,3,5,167,55,0,220,0,0,0,0,0,0,0,0,0,0,5,5,343,67,14,4,432,21,12,34,461,86,9,552
POA6003,0,0,0,0,0,3,0,3,34,6,0,0,43,0,0,0,43,4,0,49,45,3,3,0,47,0,0,0,50,0,0,50,3,3,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,86,14,3,0,98,0,0,0,99,4,0,106,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,9,85,14,3,0,105,3,0,3,105,4,0,115,34,3,0,0,42,0,0,0,38,8,0,50,0,0,0,0,0,0,0,0,0,0,0,0,125,19,3,0,140,5,0,5,150,13,0,165
POA6004,16,3,0,3,16,0,0,19,80,13,3,0,95,7,0,7,105,19,0,120,83,17,3,0,98,0,0,0,102,9,0,110,22,3,3,0,25,0,0,0,25,0,0,25,0,0,0,0,3,0,0,0,5,0,0,3,175,31,9,0,221,11,0,11,231,31,0,263,23,0,0,0,24,3,0,3,25,0,0,25,9,0,0,0,5,4,0,4,14,0,0,14,25,3,0,0,31,3,0,5,36,0,0,36,206,39,9,0,251,19,0,18,268,31,0,295,137,30,4,4,179,17,4,16,196,12,0,207,0,0,0,0,0,0,0,0,0,0,0,0,341,68,19,5,434,32,6,33,465,42,0,506
POA6005,4,0,0,0,4,0,0,6,32,3,0,0,40,3,0,3,43,10,0,55,48,10,3,0,65,0,0,0,66,0,0,67,14,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,101,17,5,0,121,5,0,5,127,7,0,134,6,0,0,0,6,3,0,3,5,0,0,5,8,0,0,0,13,0,0,0,13,0,0,13,11,0,0,0,18,3,0,3,17,0,0,17,110,19,9,0,135,10,0,10,143,7,0,150,79,6,7,0,97,3,0,3,99,3,0,109,0,0,0,0,0,0,0,0,0,0,0,0,189,28,10,0,232,12,0,12,244,18,0,261
POA6006,25,0,0,0,25,3,0,32,253,48,9,0,311,16,5,16,329,17,0,346,563,55,6,0,629,8,0,7,632,10,0,641,57,3,3,0,69,0,0,0,73,0,0,70,4,0,0,0,4,0,0,0,4,0,0,4,877,111,19,0,1010,27,3,25,1034,29,0,1065,10,0,0,0,10,0,0,0,10,0,0,10,21,0,0,3,21,3,0,3,25,0,0,25,27,0,0,3,31,3,0,3,37,0,0,36,909,110,19,3,1044,24,3,30,1073,27,0,1100,219,15,0,6,235,6,0,6,237,35,0,271,0,0,0,4,4,0,0,0,4,0,0,4,1123,126,18,8,1279,29,3,36,1317,64,0,1381
POA6007,26,0,0,0,26,3,0,24,167,30,3,0,197,17,3,22,222,15,0,234,323,38,0,0,364,11,0,11,374,0,0,377,38,0,3,0,42,0,0,0,40,0,0,41,0,0,0,0,0,3,0,3,4,0,0,4,534,67,8,0,608,34,3,30,638,16,0,659,8,0,0,0,8,4,0,4,9,0,0,9,15,0,0,0,16,3,0,3,14,0,0,14,18,0,0,0,21,5,0,5,23,0,0,23,550,67,7,0,627,38,3,38,663,16,0,681,193,24,8,0,225,4,3,9,231,23,0,255,0,0,0,0,0,0,0,0,0,0,0,0,747,92,11,0,850,42,3,46,890,43,0,937
POA6008,57,3,0,3,55,5,0,63,410,65,6,3,479,18,0,18,502,47,0,548,760,91,3,3,855,10,11,19,876,11,3,895,92,10,9,0,106,3,0,3,108,0,0,109,11,0,0,5,12,0,0,0,12,3,0,21,1263,166,18,9,1455,39,11,46,1501,66,3,1571,30,3,0,0,30,0,0,0,30,0,0,30,40,3,0,0,43,0,0,0,47,0,0,48,68,4,0,0,77,0,0,0,78,0,0,79,1335,169,18,9,1533,40,11,49,1580,68,3,1646,554,51,9,3,617,15,3,22,639,29,0,671,0,0,0,0,0,0,0,0,0,0,3,3,1892,220,22,18,2150,55,8,68,2219,99,3,2317
POA6009,157,7,0,7,162,9,0,169,640,94,3,8,743,29,5,36,774,47,0,822,1183,128,4,0,1319,32,6,35,1355,58,4,1419,54,8,13,0,68,0,0,0,72,0,0,71,0,6,0,17,23,0,0,0,23,0,0,23,1876,237,19,26,2152,66,14,75,2226,107,4,2337,26,9,0,0,37,3,0,3,39,0,0,45,52,17,0,0,71,3,5,9,80,6,0,83,81,23,0,0,104,8,5,13,117,7,0,127,1963,254,19,26,2256,69,16,87,2345,109,4,2462,780,75,14,7,873,16,4,20,893,97,3,995,3,0,0,7,7,0,0,0,7,3,6,13,2746,329,25,37,3135,84,21,109,3244,206,15,3471
POA6010,115,3,0,3,113,20,0,136,565,84,5,3,655,29,4,27,683,48,0,733,1156,118,7,8,1292,23,0,23,1312,34,4,1345,48,3,8,0,63,0,0,0,63,0,0,63,5,3,0,0,12,0,0,0,12,0,0,12,1774,208,18,18,2018,49,4,51,2066,81,0,2154,32,0,0,3,34,3,0,3,44,0,0,43,68,0,0,0,71,3,0,3,75,3,0,73,103,0,0,3,107,11,0,11,112,5,0,120,1878,209,18,23,2127,52,4,59,2185,87,0,2271,672,44,14,5,739,15,5,20,760,50,0,807,3,0,0,0,8,0,0,0,8,0,0,8,2555,256,34,32,2870,72,3,76,2946,136,0,3084
POA6011,51,3,0,5,53,4,0,57,283,45,4,0,338,6,0,5,341,36,0,377,578,53,0,3,629,3,0,3,635,19,0,649,43,6,3,0,49,0,0,0,49,0,0,51,15,0,0,3,13,0,0,0,13,0,0,13,910,105,5,5,1031,6,0,7,1043,47,0,1091,10,0,0,0,10,0,0,0,8,0,0,8,29,0,0,0,32,0,0,0,32,0,0,32,36,0,0,0,37,0,0,0,36,0,0,36,944,109,5,5,1072,6,3,16,1081,47,0,1131,452,36,14,7,512,7,0,6,523,36,0,558,6,0,0,0,6,0,0,0,6,0,3,9,1407,146,17,11,1587,16,6,21,1609,88,3,1702
