POA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
POA6000,0,3,0,4,6,3,0,16,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,3,4,11,4,0,29,7,0,4,7,4,4,7,32,3,6,5,3,5,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,13,6,11,9,5,66,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,4,3,0,0,0,0,7,13,8,15,11,11,11,5,72,18,10,5,4,3,5,0,50,0,0,0,0,0,0,0,0,30,19,23,16,10,16,8,122,3,3,7,12,9,4,5,46
POA6003,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,0,4,3,0,0,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,4,3,0,0,12,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,25,0,3,3,4,3,4,0,16
POA6004,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,3,4,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,11,3,8,3,3,9,5,0,33,3,6,3,3,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,16,13,9,7,13,6,61,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,3,5,0,0,0,0,8,7,13,13,9,9,14,7,75,7,5,6,5,9,3,3,31,0,0,0,0,0,0,0,0,20,22,17,9,13,16,10,107,8,8,3,3,9,5,0,34
POA6005,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,6,0,0,3,4,0,6,21,0,7,0,4,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,3,10,6,3,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,7,6,13,3,5,5,6,3,45,7,5,4,3,3,0,0,22,0,0,0,0,0,0,0,0,11,17,4,7,10,6,3,60,6,0,0,3,9,5,6,27
POA6006,0,3,3,4,3,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,4,4,0,19,0,7,10,4,12,11,4,52,6,6,9,4,6,8,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,21,21,12,17,22,4,102,0,0,0,0,0,0,0,7,0,3,0,0,0,3,0,12,0,3,0,6,0,3,0,17,11,23,19,13,16,20,5,112,3,4,3,5,6,4,3,30,0,0,0,0,0,0,0,0,19,30,26,15,24,25,5,146,0,9,15,9,15,19,4,66
POA6007,0,3,3,6,8,3,4,26,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,6,8,3,4,25,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,9,4,6,8,3,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,6,8,3,4,32,5,11,10,6,7,8,4,42,0,16,11,0,9,0,0,37,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,28,17,6,14,4,4,81,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,0,3,0,5,0,0,5,8,25,23,6,17,4,4,88,3,14,4,6,4,0,0,24,0,0,0,0,0,0,0,0,15,38,24,6,22,9,9,118,8,14,8,7,9,4,6,64
POA6008,0,3,11,11,13,8,6,52,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,11,9,15,9,6,60,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,10,16,18,14,6,65,0,3,0,3,0,0,3,12,0,0,0,0,0,0,0,0,0,12,14,18,20,12,10,79,12,20,28,28,30,18,3,129,6,17,28,18,15,10,6,109,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,25,38,56,44,52,29,14,246,0,5,6,7,0,0,0,16,0,5,3,0,0,0,0,14,0,14,10,8,3,0,0,31,25,49,61,49,51,29,13,273,12,15,14,12,11,5,0,74,0,0,0,0,0,0,0,0,33,66,79,57,61,32,14,345,14,23,34,39,43,22,12,178
POA6009,0,3,4,6,14,3,3,35,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,8,12,4,7,45,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,7,10,8,12,4,7,51,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,10,10,5,13,4,7,58,3,15,12,13,44,27,6,119,11,22,22,17,15,13,6,106,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,15,32,41,34,59,32,22,228,3,3,0,0,3,0,0,12,4,0,3,0,3,4,3,14,4,5,3,0,6,3,3,27,20,38,37,34,62,40,27,257,17,19,10,8,18,12,7,93,0,0,0,0,0,0,0,0,36,61,53,36,83,55,30,346,3,17,16,20,54,25,14,149
POA6010,0,3,4,3,8,5,3,32,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,10,13,5,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,7,10,13,5,4,41,0,0,3,6,3,0,0,11,0,0,0,0,0,0,0,0,0,6,13,11,11,5,4,54,5,18,20,17,29,18,10,128,7,27,17,19,36,12,16,141,0,0,0,0,4,6,0,7,0,0,0,0,0,0,0,0,17,48,43,36,69,36,26,277,0,0,0,0,3,7,0,11,0,3,3,3,3,0,4,17,0,5,5,4,5,4,4,30,17,56,48,40,72,43,31,305,11,24,14,22,18,15,10,111,0,0,0,0,0,0,0,0,33,77,66,63,98,53,40,425,7,24,28,18,40,26,18,158
POA6011,0,0,10,3,5,3,3,25,0,4,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,4,4,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,12,4,4,4,8,44,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,5,10,5,9,4,7,50,0,10,18,8,13,3,0,48,4,19,12,16,20,11,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,26,17,33,15,3,136,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,11,8,27,27,24,36,15,3,145,9,9,10,6,8,3,5,49,0,0,0,0,0,0,0,0,15,39,41,26,43,18,13,193,0,9,22,11,20,7,10,76
