POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6000,294,117,57,44,12,0,1044,7,105,77,35,29,8,3,0,261,276,1568,534,212,151,67,18,10,2844,114,370,170,109,93,49,8,3,919,165,387,163,127,98,48,23,8,1018,20,18,11,10,8,8,0,0,69,22,41,28,16,22,7,3,0,137,201,452,200,149,124,66,25,9,1225,20,49,13,10,11,11,0,0,112,282,689,297,210,182,92,58,18,1821,912,3732,1587,849,656,323,125,38,8225
POA6003,69,36,30,17,0,0,275,0,43,26,8,20,0,0,0,101,63,453,155,66,45,22,5,0,808,31,136,52,37,34,20,3,0,305,50,102,45,40,23,11,4,0,278,13,4,0,0,3,0,0,0,22,3,12,6,0,10,7,3,0,40,68,127,54,44,36,17,4,0,345,9,17,4,0,4,0,0,0,34,86,291,124,72,53,18,19,10,668,259,1189,475,264,221,92,39,6,2533
POA6004,276,128,90,44,17,3,1030,7,92,44,29,29,18,3,0,224,288,1433,465,252,236,128,33,12,2844,103,351,140,117,132,71,21,3,930,94,275,102,106,103,62,22,0,764,10,17,5,5,7,5,4,0,55,10,41,18,18,20,13,3,0,122,119,330,128,133,130,74,29,4,942,13,31,19,5,10,4,5,0,91,239,639,219,154,184,108,55,11,1597,789,3335,1299,819,806,437,148,33,7667
POA6005,127,63,40,21,10,0,521,5,71,28,22,15,6,0,0,144,135,842,302,133,103,56,27,3,1597,43,148,94,72,44,32,4,3,442,43,138,65,58,36,31,11,3,395,15,10,5,3,3,3,0,0,35,3,24,12,9,10,12,4,0,76,60,171,87,77,49,44,19,6,506,6,21,3,10,7,3,3,0,52,83,294,131,95,67,90,57,60,887,356,1797,763,463,318,251,122,76,4146
POA6006,166,134,74,24,17,0,555,6,69,68,72,46,19,3,0,293,143,689,527,343,214,78,26,0,2015,39,144,130,127,108,59,19,5,639,84,191,123,123,112,55,44,15,739,20,14,5,16,4,3,0,0,57,14,16,18,29,22,11,5,4,111,113,216,142,172,137,64,51,19,908,3,10,7,7,6,0,3,5,47,65,135,93,112,98,64,60,57,698,373,1400,1143,969,689,313,173,90,5156
POA6007,201,110,69,46,12,0,663,3,73,56,48,34,17,4,0,238,151,774,456,250,189,96,36,7,1951,34,144,103,93,110,62,23,6,576,56,168,86,65,66,32,20,13,505,13,12,3,10,0,3,0,0,46,3,17,18,19,15,12,4,0,91,77,195,106,98,83,48,19,10,637,0,12,6,6,6,3,0,0,41,117,163,93,60,55,67,59,66,680,391,1580,1024,673,549,341,150,89,4791
POA6008,474,391,285,197,53,5,1764,9,114,117,132,127,56,10,3,567,317,1206,828,688,542,364,121,17,4090,42,183,163,178,178,167,83,18,1011,88,161,117,127,99,87,47,12,740,23,3,5,3,8,4,0,7,63,7,15,29,31,37,44,9,3,177,113,184,153,165,148,131,63,23,974,6,22,13,20,20,17,16,8,125,103,247,189,132,178,187,151,90,1281,621,2283,1935,1706,1469,1129,495,164,9813
POA6009,495,507,422,292,126,27,2344,18,63,108,132,114,70,17,8,526,833,1051,838,927,709,533,214,61,5175,148,86,114,173,186,214,104,39,1061,94,85,71,77,82,57,22,24,506,29,3,10,4,12,9,3,0,70,12,3,19,21,38,35,23,3,153,138,88,92,103,132,103,48,23,728,22,14,15,17,27,27,14,6,148,213,125,92,111,131,141,100,76,994,1407,1870,1749,1966,1720,1373,628,248,10967
POA6010,327,431,276,185,91,37,1552,11,62,97,132,117,74,30,6,524,327,786,749,875,711,462,222,110,4235,45,93,145,245,276,244,154,65,1269,68,148,100,136,103,86,55,14,715,21,10,3,4,13,8,11,3,59,11,13,23,34,29,57,26,22,214,105,168,129,173,140,149,91,37,995,3,9,13,21,14,38,18,15,129,142,161,169,184,194,178,185,121,1338,633,1482,1625,2062,1727,1330,793,391,10045
POA6011,161,229,195,92,33,13,849,3,39,50,72,64,23,8,6,270,182,532,446,533,458,283,107,48,2583,21,54,72,126,165,129,75,28,662,35,78,55,62,59,45,34,9,373,4,3,4,6,7,11,4,0,36,4,11,14,22,21,27,11,6,111,50,86,70,90,91,80,42,16,520,3,4,4,9,17,19,5,7,70,83,110,58,116,106,75,43,29,635,348,945,859,1171,1098,697,320,146,5580
