POA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA6000,15,98,32,18,13,6,5,0,193,3,103,64,17,13,0,0,0,207,54,427,187,93,92,49,14,3,916,16,116,38,29,24,11,7,3,243,3,22,9,5,3,3,0,0,42,20,100,46,14,27,4,3,0,215,0,24,17,13,8,11,0,0,84,59,318,160,85,57,19,5,0,698,50,184,83,41,57,18,5,0,439,25,86,35,17,13,10,0,0,176,24,82,35,14,12,3,0,0,177,0,5,3,0,0,0,0,0,11,4,11,12,12,3,5,0,0,52,115,369,173,114,106,49,26,10,967,388,1961,890,482,410,191,71,19,4413,22,81,27,14,6,3,0,0,152,8,31,28,3,6,0,0,0,72,14,81,27,11,3,3,3,0,151,7,31,15,7,0,0,0,0,67,0,14,3,3,0,0,0,0,20,40,211,73,30,25,20,5,0,407,14,67,39,27,28,18,5,0,195,102,422
POA6003,3,23,9,3,0,5,0,0,44,3,22,14,0,3,0,0,0,48,23,104,45,25,30,5,5,0,242,5,35,13,10,3,6,0,0,66,0,3,0,3,6,0,0,0,11,6,31,7,6,4,3,0,0,56,0,10,6,5,7,7,0,0,34,15,88,45,27,16,7,0,0,197,3,59,28,15,14,8,0,0,132,5,32,15,5,4,3,0,0,70,9,31,9,11,5,0,0,0,66,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,14,48,146,66,38,29,8,6,0,343,119,588,261,148,121,56,19,3,1323,9,20,11,0,0,0,3,0,40,4,8,8,3,3,0,0,0,20,0,20,3,3,0,0,0,0,26,0,12,10,3,0,0,0,0,25,0,6,0,0,0,0,0,0,9,9,67,15,7,8,4,3,0,117,6,24,12,11,10,8,3,0,79,27,129
POA6004,12,70,26,29,26,15,4,0,181,11,88,53,17,12,0,3,0,187,64,387,171,113,112,58,19,3,935,18,83,27,25,28,16,8,0,205,3,14,3,9,3,6,0,0,37,10,90,36,13,21,12,3,0,199,0,20,9,10,11,7,4,0,61,55,354,140,106,73,49,9,3,790,21,106,55,41,56,28,7,3,311,9,45,14,3,6,4,0,3,87,20,82,29,8,7,4,0,0,157,3,6,0,0,0,0,0,0,13,3,8,6,7,3,3,0,0,36,116,345,125,81,99,58,30,6,855,354,1706,703,455,455,269,94,21,4054,21,70,21,12,9,3,3,0,144,4,38,10,7,3,0,0,0,62,12,96,38,8,4,0,0,0,164,4,33,15,6,3,3,0,0,65,6,14,0,0,3,0,0,0,24,43,168,48,36,49,32,7,0,390,10,40,28,29,57,23,7,0,191,95,461
POA6005,14,48,25,18,8,0,3,0,109,10,63,31,8,0,3,0,0,121,20,205,80,56,28,34,9,3,441,10,49,14,13,5,9,3,0,101,0,14,3,0,3,0,0,0,26,10,49,19,6,14,6,5,0,117,0,9,7,6,12,3,5,0,37,28,148,90,41,37,21,4,0,373,22,87,46,30,31,9,12,0,225,4,33,7,8,0,4,0,0,67,7,29,13,12,4,8,0,0,75,0,0,0,0,0,4,0,0,10,0,9,12,0,3,3,3,0,28,47,154,76,49,36,40,20,13,443,175,890,422,258,184,150,70,13,2167,10,60,10,7,3,0,0,0,92,3,15,12,0,4,0,0,0,36,15,43,19,10,3,0,3,0,90,3,17,11,9,0,0,0,0,40,0,9,4,0,0,0,0,0,10,16,141,39,29,15,12,10,3,275,3,39,22,20,14,20,3,0,118,26,196
POA6006,3,33,32,33,15,5,3,0,122,6,31,33,24,3,6,0,0,105,32,154,122,87,85,49,19,8,560,14,64,43,37,33,12,21,3,229,3,11,8,13,0,3,0,0,35,9,34,34,27,19,8,0,0,138,0,15,16,22,31,8,4,0,92,17,113,120,91,56,34,8,0,445,14,71,55,51,34,14,14,0,251,26,60,26,15,18,6,3,0,159,10,23,16,17,15,0,3,0,88,0,0,0,0,0,0,0,0,3,0,5,4,4,5,0,0,0,21,26,69,52,67,43,35,27,14,339,174,682,555,495,364,183,93,32,2581,7,40,31,22,8,3,0,0,120,0,5,10,11,3,0,0,0,24,7,16,16,6,6,0,11,4,72,3,15,8,3,3,0,0,0,38,4,12,8,4,0,0,0,0,20,28,115,77,67,53,15,9,3,376,5,45,53,60,49,19,13,8,255,28,178
POA6007,9,49,37,26,22,14,5,0,152,4,38,37,16,6,3,0,0,98,23,169,100,57,52,35,15,8,464,9,59,39,31,19,10,3,0,178,3,14,10,6,3,5,3,0,38,10,65,42,35,22,18,3,0,196,3,14,14,9,19,5,5,0,65,12,117,94,71,51,23,11,3,378,19,73,63,38,25,13,7,0,231,10,50,18,8,14,6,0,0,113,6,16,11,14,5,0,0,0,58,3,3,0,0,0,0,0,0,6,0,9,4,10,9,0,0,0,28,33,99,53,24,22,28,16,10,282,147,784,514,336,273,167,55,18,2289,10,46,30,14,13,5,0,0,116,0,4,11,4,3,0,0,0,24,7,37,29,4,3,3,5,3,87,4,26,16,6,3,0,0,0,56,0,7,7,0,4,0,0,0,21,28,161,93,68,66,37,17,4,473,5,49,39,29,48,27,13,5,216,36,178
POA6008,24,79,58,76,68,48,20,3,376,11,43,42,37,18,12,0,0,156,53,204,210,145,130,107,47,14,900,17,67,34,45,48,36,25,3,277,10,19,10,6,9,11,9,0,71,13,116,88,84,76,40,21,3,447,10,14,17,24,35,31,9,5,147,38,209,223,189,143,104,37,3,956,29,141,99,81,96,94,21,3,568,19,45,29,33,16,12,4,0,159,13,27,18,17,9,6,0,3,91,0,3,0,4,3,3,0,0,8,3,5,6,12,9,4,5,4,41,49,120,95,71,82,87,47,26,574,285,1086,921,826,737,594,253,62,4769,37,68,54,65,29,10,5,0,279,0,12,20,8,9,3,0,0,64,10,51,52,26,8,3,6,0,156,9,26,26,23,11,4,4,0,93,3,16,9,8,3,0,0,0,48,57,285,163,175,166,121,74,37,1078,11,52,59,93,125,105,39,5,492,52,216
POA6009,113,157,67,78,91,75,37,10,620,13,28,29,24,19,3,3,0,116,165,243,160,182,149,108,56,24,1083,14,42,31,39,38,27,9,7,202,12,25,17,15,8,11,11,3,104,35,115,124,152,134,143,68,15,779,7,12,5,17,34,35,11,4,121,103,150,197,274,187,122,62,13,1100,70,115,100,111,111,93,44,13,667,32,37,22,14,17,10,4,0,135,8,13,9,4,4,10,3,0,43,20,0,0,0,0,0,0,0,23,6,7,6,12,5,3,3,4,43,101,68,56,54,55,48,26,18,421,701,1000,825,969,848,682,331,106,5459,145,139,64,65,43,39,14,3,516,3,11,9,14,10,0,0,0,52,37,44,41,33,16,6,4,3,189,13,16,17,17,11,9,0,0,90,11,25,16,13,6,3,0,0,70,64,172,201,213,199,170,72,26,1116,11,46,59,101,162,162,49,20,618,148,143
POA6010,24,46,40,69,54,46,17,13,306,3,30,23,29,10,4,3,0,97,49,134,157,186,155,120,78,18,896,16,52,37,45,44,44,15,8,260,3,10,15,19,12,9,19,4,86,14,55,83,105,96,83,57,29,522,6,14,21,29,34,33,25,6,170,64,138,173,257,184,147,66,17,1050,24,87,101,89,104,85,32,12,536,20,30,14,12,14,9,6,0,106,6,17,13,9,10,6,3,0,59,0,0,0,0,0,0,0,0,0,5,9,15,12,12,8,3,0,58,66,90,93,93,85,71,46,19,568,305,708,781,954,811,663,365,132,4720,44,55,47,47,40,21,12,13,267,5,9,18,18,8,3,0,0,54,12,24,32,29,11,3,4,4,118,7,29,11,14,17,6,0,0,93,4,7,8,10,9,3,0,0,43,37,159,148,252,219,164,112,57,1145,11,46,82,138,187,138,78,34,709,41,165
POA6011,21,24,34,34,32,25,10,4,193,0,9,12,4,12,4,0,0,40,21,79,68,73,104,68,32,11,462,7,39,24,32,36,15,8,3,173,0,3,11,3,16,6,6,0,53,8,48,49,71,71,39,26,7,324,0,6,8,7,21,15,7,4,68,37,96,108,192,123,82,25,7,659,19,45,43,75,71,63,15,6,331,16,20,10,12,11,10,0,0,80,0,12,4,8,3,7,0,0,34,0,0,0,0,0,0,0,0,0,0,3,6,3,9,0,3,0,20,41,58,34,51,49,33,22,7,291,171,436,416,564,563,362,169,48,2729,16,32,26,20,30,10,0,7,126,0,0,3,6,6,0,0,0,13,6,7,10,7,10,0,3,5,48,10,15,17,20,8,8,0,0,81,3,12,4,6,3,4,0,0,32,25,130,82,126,110,65,48,32,624,8,28,32,79,117,94,28,13,401,29,104
