POA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
POA6000,157,63,49,27,10,3,843,62,300,109,66,33,21,4,0,603,50,103,35,26,8,6,0,0,232,28,96,34,12,8,3,0,0,181,11,3,0,0,0,0,0,0,15,13,21,16,8,4,4,0,0,60,149,315,129,91,63,31,28,10,828,521,1773,694,360,241,138,59,21,3812,39,176,63,29,16,15,5,0,343,8,133,90,23,11,0,0,0,272,62,506,220,110,92,53,18,3,1063,27,151,60,35,23,12,7,3,313,3,32,9,5,3,3,0,0,60,61,311,113,45,49,25,9,0,616,14,95,52,44,38,29,7,3,283,162,746,317,154,106,45,16,3,1542,113,484,191,110,92,37,11,3,1036,76,188,73,38,20,12,0,0,411,52,182,68,30,16,9,0,0,356,11,13,0,0,0,0,0,0,32,14,35,27,15,7,9,0,0,110,265,687,304,203,174,85,57,17,1793,912,3732,1587,849
POA6003,47,16,20,3,3,0,251,19,88,25,15,17,8,0,0,174,8,47,16,7,3,0,0,0,80,11,31,11,5,4,0,0,0,63,0,0,0,3,0,0,0,0,6,0,7,3,3,3,0,0,0,15,37,144,55,24,17,12,10,4,303,137,601,212,109,95,39,22,4,1213,12,49,20,8,0,5,3,0,87,7,29,22,3,6,0,0,0,69,24,122,45,26,31,5,5,0,267,8,51,21,10,3,6,0,0,92,0,12,0,5,6,0,0,0,21,17,91,22,13,15,8,3,0,174,6,34,17,11,20,15,3,0,112,40,213,94,46,39,12,3,3,450,20,151,53,32,28,20,0,0,303,20,76,33,9,6,3,0,0,151,19,64,22,19,9,0,0,0,126,0,0,0,3,0,0,0,0,9,0,8,5,0,3,0,0,0,30,85,285,124,64,42,22,20,3,645,259,1189,475,264
POA6004,187,104,75,29,5,0,957,42,224,96,45,46,24,6,0,499,25,77,21,4,3,4,4,0,146,26,84,27,17,14,7,0,0,180,8,3,3,0,0,0,0,0,22,9,14,3,7,7,3,0,0,44,126,293,94,72,74,42,18,3,725,430,1627,598,358,351,168,59,11,3614,34,142,52,39,32,19,9,0,331,15,125,61,29,13,3,3,0,246,80,485,211,121,114,62,21,7,1097,18,118,46,30,28,20,8,0,268,5,29,3,4,9,6,0,0,62,53,259,84,52,73,47,13,0,589,14,63,35,32,64,33,10,4,256,150,817,327,210,148,71,12,6,1745,64,337,152,83,102,52,10,3,810,40,119,39,11,9,10,4,3,231,46,169,58,25,25,9,0,0,339,12,8,3,3,0,0,0,0,27,12,26,12,15,10,6,0,0,78,240,640,217,155,171,96,48,3,1580,789,3335,1299,819
POA6005,82,48,31,16,7,0,414,20,142,46,24,22,14,3,0,277,22,57,22,6,12,0,0,0,120,13,33,7,8,5,0,0,0,71,3,0,0,0,0,0,0,0,7,3,10,4,3,4,3,0,0,24,35,140,54,41,23,35,27,51,415,180,905,342,207,136,103,53,54,1980,24,101,41,18,9,0,3,0,198,14,83,42,10,4,3,0,0,153,34,243,100,63,32,38,18,3,530,15,67,27,20,5,9,3,3,148,0,20,11,0,3,0,0,0,33,24,194,61,37,34,18,8,3,390,3,53,28,28,20,21,6,0,163,53,346,173,98,69,37,8,0,786,43,226,94,50,49,18,11,0,500,27,93,30,17,10,5,0,0,180,25,64,23,22,8,8,3,0,151,8,3,0,3,0,4,0,0,13,4,21,15,3,4,8,3,0,53,86,296,131,91,61,84,55,56,856,356,1797,763,463
POA6006,146,100,51,26,10,6,534,29,102,119,91,64,27,7,0,440,20,79,45,37,17,3,0,0,205,17,32,20,17,10,3,3,3,106,0,0,0,0,0,0,0,0,3,4,8,7,3,3,3,0,0,35,40,70,41,46,58,27,33,36,351,201,717,586,478,328,130,84,59,2573,14,75,66,57,21,9,3,0,241,6,35,38,38,7,6,0,0,132,40,168,143,96,93,47,24,15,627,22,87,52,43,35,12,21,3,268,3,20,8,15,0,4,0,0,56,38,151,115,95,76,21,8,3,514,6,59,70,84,78,28,16,9,345,45,287,270,194,108,55,17,6,975,41,174,169,148,103,42,17,3,693,44,136,72,52,29,13,5,0,360,31,61,38,34,26,6,3,3,197,3,0,0,0,3,0,0,0,6,4,21,14,10,8,3,3,0,60,66,139,92,112,103,64,58,53,696,373,1400,1143,969
POA6007,109,89,53,26,4,4,497,35,128,85,51,46,29,16,5,385,13,48,34,9,7,6,0,0,119,13,34,20,16,9,7,0,0,104,0,0,0,0,0,0,0,0,0,3,11,10,4,3,4,0,0,33,79,68,43,34,20,30,39,50,361,241,796,515,336,277,174,91,73,2507,19,97,66,41,29,14,3,0,273,7,43,40,21,10,3,0,0,123,24,205,129,64,57,38,13,7,547,14,88,48,34,26,13,3,0,238,4,19,14,3,4,3,3,0,56,43,231,135,100,87,52,17,4,666,10,65,49,39,62,35,15,5,278,49,294,206,161,103,45,13,7,879,49,195,144,90,74,46,16,5,625,22,98,46,20,21,8,3,0,228,24,53,33,27,15,6,4,0,159,0,5,0,0,0,0,0,0,10,3,17,8,13,12,3,0,0,58,113,171,91,58,45,56,51,64,649,391,1580,1024,673
POA6008,246,181,118,67,18,8,910,45,222,180,160,130,112,23,4,885,33,76,60,39,29,19,7,7,266,15,31,24,16,9,12,3,3,117,0,0,0,0,0,0,0,0,7,6,11,22,12,16,4,5,0,68,61,129,95,64,80,68,61,32,583,338,1195,1010,879,735,538,248,95,5043,60,154,113,146,97,60,21,0,655,9,58,66,43,29,10,4,0,212,67,257,255,166,138,111,47,14,1057,24,91,59,73,58,43,30,3,373,12,35,22,16,12,11,14,0,122,71,399,248,257,245,162,97,42,1525,17,71,74,118,161,143,49,10,636,93,421,472,368,258,171,60,9,1862,80,364,280,247,230,206,45,8,1453,55,116,86,76,50,31,8,7,426,23,60,42,34,18,15,4,4,207,4,4,0,0,3,3,0,0,15,10,17,24,29,18,11,8,4,112,107,246,191,130,160,161,104,59,1160,621,2283,1935,1706
POA6009,213,233,149,90,31,16,1023,97,132,181,185,172,118,56,27,960,39,44,45,34,25,30,15,3,230,21,21,21,14,15,10,5,6,111,5,3,0,0,0,3,4,0,15,5,10,16,22,12,14,11,0,83,95,58,48,45,60,53,40,37,436,706,867,924,1000,873,694,303,145,5507,258,293,131,140,136,115,56,11,1134,23,37,40,39,22,3,3,0,163,211,295,197,212,165,112,55,24,1271,31,60,49,53,47,34,10,6,293,30,53,30,25,11,18,13,0,175,95,285,327,362,334,312,142,43,1899,19,56,68,122,199,192,62,25,736,252,292,409,507,329,208,87,23,2127,170,255,279,300,280,213,99,40,1632,70,82,65,54,40,39,16,3,362,27,29,28,23,16,16,10,6,155,23,3,0,0,0,3,4,0,33,18,18,22,27,18,11,12,7,127,195,124,105,99,118,102,61,57,852,1407,1870,1749,1966
POA6010,219,244,131,105,54,37,995,49,125,134,181,147,117,50,27,831,24,50,40,36,33,27,17,10,232,18,25,21,30,17,10,9,3,126,0,0,0,0,0,0,0,0,0,5,7,17,19,22,6,6,4,79,74,75,74,84,86,72,89,72,628,329,766,845,1108,918,665,427,262,5324,66,95,81,113,89,62,33,28,572,5,31,34,49,19,3,3,0,155,55,160,194,214,167,126,80,25,1018,25,78,50,64,56,50,15,8,351,6,18,23,31,16,14,18,3,123,49,217,232,361,317,247,165,89,1670,10,68,101,170,222,165,110,41,883,108,308,386,509,320,251,116,54,2047,79,212,231,266,255,198,79,43,1364,42,80,57,43,46,36,19,13,342,27,39,33,34,28,17,12,5,186,0,0,0,0,0,0,0,0,3,13,14,32,32,31,15,13,4,136,144,166,169,178,167,141,134,90,1196,633,1482,1625,2062
POA6011,133,130,72,40,18,11,526,20,72,66,118,95,59,17,14,466,14,31,26,24,26,15,5,4,140,9,14,14,10,9,3,5,4,69,0,0,0,0,0,0,0,0,3,7,11,14,9,8,3,3,0,52,42,56,26,51,40,29,17,12,277,178,509,443,606,533,333,147,98,2852,36,59,59,52,64,38,14,8,316,3,9,13,7,16,3,0,0,55,26,86,80,80,108,68,38,18,508,21,59,42,53,45,22,8,4,250,0,13,15,6,20,11,10,0,83,34,180,133,196,186,100,79,38,942,8,35,42,86,136,108,42,14,472,63,192,235,320,200,120,46,16,1189,41,116,110,197,169,126,33,18,799,24,52,42,40,34,22,10,4,217,6,21,14,16,13,6,4,7,101,0,0,0,0,0,0,0,3,3,7,11,18,21,14,3,4,0,80,83,109,59,106,89,66,36,19,569,348,945,859,1171
