POA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,656,323,125,38,8225
POA6003,221,92,39,6,2533
POA6004,806,437,148,33,7667
POA6005,318,251,122,76,4146
POA6006,689,313,173,90,5156
POA6007,549,341,150,89,4791
POA6008,1469,1129,495,164,9813
POA6009,1720,1373,628,248,10967
POA6010,1727,1330,793,391,10045
POA6011,1098,697,320,146,5580
POA6012,805,670,297,118,5215
POA6014,1744,1009,614,356,11989
POA6015,702,423,368,157,3718
POA6016,637,312,112,76,5744
POA6017,204,120,57,19,2431
POA6018,2735,1796,1139,568,21158
POA6019,1608,1004,617,177,13320
POA6020,2355,1672,538,155,11372
POA6021,1234,838,516,233,10008
POA6022,351,331,121,29,2508
POA6023,1442,1022,329,154,8031
POA6024,1003,925,281,77,6763
POA6025,2716,1691,535,176,15553
POA6026,2224,1083,491,315,11121
POA6027,3666,1902,706,201,21475
POA6028,1723,647,251,66,10927
POA6029,269,191,92,38,1573
POA6030,2102,1186,731,335,18018
POA6031,680,294,79,20,7466
POA6032,26,9,0,0,106
POA6033,26,26,3,0,192
POA6034,35,17,3,0,836
POA6035,454,391,207,99,4097
POA6036,550,304,106,19,6970
POA6037,221,164,82,7,1401
POA6038,192,112,24,3,3179
POA6041,143,129,50,6,633
POA6042,14,13,0,0,38
POA6043,21,28,6,3,110
POA6044,153,119,52,11,605
POA6050,1353,825,431,445,9304
POA6051,820,492,165,63,7873
POA6052,854,440,242,76,6106
POA6053,1105,555,323,258,7960
POA6054,1403,873,408,165,9848
POA6055,1119,614,302,78,10602
POA6056,2695,1824,904,376,17694
POA6057,1044,716,348,77,7368
POA6058,851,490,266,110,5558
POA6059,1667,1138,834,267,11629
POA6060,1425,859,599,345,13544
POA6061,1672,1029,584,141,17630
POA6062,2154,1537,840,317,15691
POA6063,829,412,121,30,5734
POA6064,1668,990,460,182,11875
POA6065,3017,1790,891,274,28048
POA6066,1258,524,232,68,7450
POA6067,0,0,0,0,15
POA6068,0,0,0,0,0
POA6069,1659,953,442,193,17160
POA6070,401,335,123,13,2031
POA6071,403,258,92,31,1838
POA6072,118,72,24,3,508
POA6073,282,251,118,67,1559
POA6074,96,76,25,3,502
POA6076,2070,1800,933,264,11384
POA6077,149,89,32,11,637
POA6078,90,58,9,0,431
POA6079,3,0,4,0,14
POA6081,454,291,70,25,2367
POA6082,286,169,60,16,1546
POA6083,388,209,75,12,1789
POA6084,663,368,122,24,3885
POA6090,0,0,0,0,3
POA6100,1028,520,208,66,8820
POA6101,978,542,253,138,9583
POA6102,561,449,410,517,7669
POA6103,604,281,172,69,5998
POA6104,873,560,312,146,7318
POA6105,780,520,329,120,7204
POA6106,4,4,0,0,15
POA6107,1976,1201,587,240,21370
POA6108,1526,988,455,109,10197
POA6109,631,402,243,80,4920
POA6110,2109,1318,736,286,17342
POA6111,1822,1268,469,192,10673
POA6112,2767,1629,824,259,25406
POA6121,226,113,30,5,1273
POA6122,745,381,117,37,7488
POA6123,106,44,16,15,633
POA6124,92,68,21,7,595
POA6125,261,168,86,18,1467
POA6126,57,44,11,0,477
POA6147,967,578,284,66,6967
POA6148,1466,1045,632,328,9379
POA6149,1981,1196,483,284,9931
POA6150,1297,922,484,291,7384
POA6151,1617,1034,377,174,10156
POA6152,2130,1317,699,484,14738
POA6153,2031,1376,711,338,11629
POA6154,798,555,390,245,5467
POA6155,3421,1885,650,215,25185
POA6156,1222,807,559,261,8760
POA6157,1133,771,452,257,7588
POA6158,849,454,214,102,4362
POA6159,384,349,136,48,2233
POA6160,841,571,263,89,5318
POA6161,37,16,6,0,259
POA6162,1094,623,225,70,6158
POA6163,3945,2256,1256,596,25861
POA6164,2785,1272,500,181,27270
POA6165,11,4,0,0,40
POA6166,720,427,199,50,4492
POA6167,1303,778,429,133,11852
POA6168,1793,1315,828,293,11145
POA6169,2496,1557,883,333,15743
POA6170,483,244,71,10,5903
POA6171,1249,747,285,45,14248
POA6172,722,354,210,126,5862
POA6173,432,204,65,15,5344
POA6174,164,86,52,4,1677
POA6175,164,105,49,5,1663
POA6176,86,55,12,5,684
POA6180,256,203,82,9,2386
POA6181,52,11,0,0,227
POA6182,0,0,0,0,0
POA6207,100,47,10,3,479
POA6208,804,753,439,103,4970
POA6209,164,122,57,13,772
POA6210,4963,4249,2669,981,31001
POA6211,599,547,203,20,3309
POA6213,59,49,17,0,308
POA6214,32,32,5,5,263
POA6215,307,225,153,61,1811
POA6218,38,24,6,0,168
POA6220,328,254,130,36,2021
POA6221,22,15,8,0,193
POA6223,12,7,8,0,103
POA6224,75,60,23,9,454
POA6225,673,448,199,73,3800
POA6226,62,25,5,0,366
POA6227,40,32,14,3,345
POA6228,3,10,4,0,66
POA6229,12,15,3,0,75
POA6230,3228,1954,859,323,20219
POA6232,610,392,288,151,4722
POA6233,1364,844,306,80,8420
POA6236,238,114,39,4,999
POA6237,294,127,26,9,1182
POA6239,410,285,139,51,2053
POA6240,17,10,6,0,58
POA6243,3,6,0,0,17
POA6244,125,101,45,14,600
POA6251,42,21,0,0,173
POA6252,17,11,4,0,71
POA6253,109,83,23,3,352
POA6254,51,22,20,0,205
POA6255,422,386,124,35,1944
POA6256,44,24,10,0,193
POA6258,485,300,163,58,2641
POA6260,118,93,33,8,606
POA6262,79,58,29,0,340
POA6271,216,178,61,14,1430
POA6275,161,142,44,8,632
POA6280,2150,1700,901,393,12940
POA6281,582,476,189,42,3831
POA6282,158,100,32,3,748
POA6284,179,87,36,19,1142
POA6285,767,389,155,46,4735
POA6286,73,49,19,0,330
POA6288,51,27,3,3,240
POA6290,197,206,100,44,887
POA6302,383,352,148,36,1710
POA6304,177,133,86,14,779
POA6306,61,60,35,25,406
POA6308,149,93,39,12,634
POA6309,27,27,6,4,132
POA6311,33,42,16,3,256
POA6312,381,242,127,47,2132
POA6313,38,13,6,0,137
POA6315,174,113,53,27,777
POA6316,23,14,7,0,137
POA6317,265,161,105,47,1664
POA6318,51,22,9,3,235
POA6320,44,21,24,3,224
POA6321,36,20,14,0,185
POA6322,25,21,11,0,104
POA6323,109,98,37,0,464
POA6324,321,213,95,42,1628
POA6326,38,31,7,0,199
POA6327,29,13,3,3,119
POA6328,39,24,3,3,178
POA6330,3073,2123,1053,454,16876
POA6333,672,595,244,61,3134
POA6335,58,29,6,8,310
POA6336,21,13,0,0,123
POA6337,40,11,9,3,220
POA6338,60,37,21,0,324
POA6341,17,22,4,0,116
POA6343,15,8,3,0,114
POA6346,59,42,16,3,333
POA6348,87,77,20,7,406
POA6350,27,19,8,0,105
POA6351,4,0,0,0,33
POA6352,14,6,3,0,88
POA6353,52,28,15,3,330
POA6355,32,12,5,0,157
POA6356,7,0,0,0,46
