POA_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA6000,21,97,13,7,7,0,3,0,3,153,26,100,19,4,13,3,0,8,3,170,92,313,159,18,40,18,22,43,10,718,25,51,77,0,18,3,4,22,0,200,6,11,3,0,3,0,0,5,0,31,15,130,8,17,0,0,0,4,0,179,3,41,0,6,3,3,0,0,0,72,152,208,22,32,80,26,12,39,7,579,48,149,17,44,38,12,3,11,4,326,24,66,12,16,5,13,3,8,0,142,14,0,89,16,3,3,4,15,0,150,0,0,3,0,0,0,0,0,0,6,4,9,0,0,4,3,3,0,0,32,0,17,4,6,7,3,3,11,6,60,436,1195,422,169,216,97,62,167,43,2804,21,45,8,10,7,9,3,3,0,103,4,18,5,5,7,0,0,5,0,43,10,47,8,8,7,4,3,8,0,95,4,35,5,4,0,4,0,0,0,61,0,9,0,0,0,0,0,3,0,14
POA6003,0,28,0,3,0,0,0,0,0,34,8,24,7,3,3,3,0,3,3,45,33,67,45,7,9,5,3,21,0,192,8,9,19,5,0,0,0,3,0,51,4,0,3,0,0,0,0,0,0,16,0,30,0,6,0,0,0,3,0,48,4,18,0,0,0,3,0,0,0,28,55,45,5,11,17,19,7,14,4,176,10,54,3,22,3,3,0,11,0,106,15,23,7,3,4,4,0,0,0,55,6,0,35,4,3,0,7,3,0,56,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,0,0,0,3,0,0,3,0,3,16,140,313,122,72,49,35,19,58,15,829,7,16,0,5,0,0,0,3,0,36,0,3,3,0,4,0,0,0,0,14,4,7,8,3,0,3,0,0,0,21,3,14,4,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3
POA6004,15,75,14,11,7,9,3,7,0,138,25,93,21,9,9,3,0,3,3,161,147,318,142,16,26,15,28,34,6,732,29,32,59,3,12,3,7,12,0,150,7,3,3,0,0,0,4,3,0,24,7,124,7,18,0,4,3,9,0,164,9,34,7,3,3,0,0,0,0,51,181,228,42,32,74,39,11,39,11,663,42,89,13,26,30,15,4,13,8,243,5,23,12,5,3,5,0,5,0,56,21,3,73,19,0,3,3,8,0,131,0,0,0,3,0,0,3,0,0,4,3,7,3,3,3,0,0,0,0,21,3,8,13,0,0,0,4,10,10,57,498,1031,400,151,164,101,67,152,40,2607,4,57,3,12,9,3,0,0,0,86,4,19,8,4,0,7,0,3,0,37,15,65,9,3,3,5,0,4,0,106,3,18,8,0,8,9,0,3,3,55,0,3,4,5,0,0,0,3,0,22
POA6005,6,52,3,3,9,8,3,3,0,83,17,58,8,0,3,5,3,9,0,104,42,167,65,10,22,3,11,10,3,334,12,21,23,3,7,0,3,3,0,78,3,7,3,0,0,0,0,0,0,15,4,78,3,8,0,0,0,0,0,96,0,19,0,5,3,0,3,0,0,30,80,132,12,9,34,29,6,12,4,316,28,86,5,24,16,12,4,11,0,187,8,14,8,5,5,0,3,7,0,48,12,4,35,9,0,4,0,3,0,67,0,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,4,22,3,0,8,3,0,0,0,0,3,13,215,647,180,73,101,58,39,61,16,1396,6,34,6,8,3,12,0,0,0,67,0,10,0,0,3,0,0,3,0,16,13,32,4,3,3,0,3,0,0,58,7,12,0,3,7,3,0,0,0,32,0,0,3,0,4,0,0,0,0,13
POA6006,12,69,7,0,7,5,0,3,0,100,18,47,11,3,4,0,4,0,0,87,90,139,124,10,21,9,17,16,4,427,28,49,74,3,6,0,3,7,0,184,4,7,5,3,0,0,0,4,0,28,7,84,6,13,3,6,0,0,0,123,11,53,4,4,0,0,0,0,0,75,114,149,13,5,43,29,8,13,7,383,34,91,15,19,21,10,0,4,0,195,17,58,14,9,12,3,0,5,0,122,10,3,38,3,0,4,0,5,0,73,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,3,0,0,19,5,6,5,0,0,0,0,3,3,36,356,767,312,81,122,79,48,66,20,1854,17,43,10,13,8,7,0,0,0,97,3,11,0,0,3,0,0,0,0,24,9,21,3,0,8,0,0,3,0,41,5,23,3,0,5,0,0,0,0,30,6,7,6,0,0,0,0,0,0,18
POA6007,18,75,7,6,3,4,0,5,0,124,19,50,8,0,6,0,0,7,0,82,61,157,74,8,19,5,17,16,3,361,22,35,60,0,11,8,7,8,0,154,3,15,0,0,3,0,0,6,0,30,9,129,10,16,3,3,0,7,0,174,7,30,0,3,0,4,3,0,0,50,89,129,19,14,32,21,10,7,3,327,26,98,3,27,19,8,3,5,0,193,12,42,8,7,8,3,7,5,0,88,5,0,29,7,0,0,3,3,0,50,0,0,3,0,0,0,0,0,0,5,3,13,0,3,0,0,3,0,0,27,0,0,0,7,0,0,0,5,4,14,285,775,219,89,113,58,48,60,24,1674,11,60,5,4,10,4,0,0,0,84,4,4,0,0,8,0,0,3,0,15,7,37,6,0,6,4,0,3,0,65,3,23,6,0,7,4,0,0,0,44,3,9,4,0,0,0,0,0,0,18
POA6008,64,163,9,10,10,3,0,5,4,270,22,63,16,7,5,3,3,7,3,118,155,313,108,17,22,15,7,31,4,671,35,74,54,5,12,3,3,6,4,198,7,17,8,5,3,4,0,0,0,39,21,312,10,11,4,3,0,4,0,366,20,72,7,3,3,0,0,5,0,101,254,351,14,16,59,52,3,9,8,771,67,266,14,28,40,13,4,8,9,443,10,67,16,13,11,10,3,3,0,133,8,9,36,10,4,0,0,3,0,64,0,0,0,0,0,0,0,0,0,4,3,10,0,0,7,0,3,0,0,29,6,11,8,4,0,6,0,0,8,52,667,1723,296,120,170,116,37,80,45,3250,21,120,9,14,22,9,0,4,0,193,8,22,0,0,7,0,0,3,0,39,10,51,11,3,17,5,0,3,0,101,3,45,11,3,9,0,0,0,0,72,3,17,3,7,3,0,0,0,0,32
POA6009,64,198,11,24,9,17,3,10,5,341,11,46,12,3,4,0,7,0,0,76,169,302,65,11,32,25,28,29,3,652,45,41,30,3,7,8,0,4,6,152,15,16,10,5,0,0,0,0,0,41,19,537,4,13,3,0,3,5,6,602,11,53,0,5,6,4,5,4,0,82,289,316,4,25,57,53,14,24,17,794,69,312,15,21,31,17,5,13,11,495,9,43,9,3,7,6,3,8,0,88,11,0,20,3,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,13,0,0,4,0,0,0,0,24,6,3,3,0,0,0,0,5,11,29,732,1877,186,116,158,133,61,99,51,3411,20,132,10,29,24,25,0,9,0,243,3,7,0,0,5,4,0,0,0,26,9,44,7,3,11,8,0,3,0,87,12,18,6,0,6,8,0,0,0,45,3,12,0,5,0,0,0,0,0,35
POA6010,51,115,9,11,6,8,0,3,9,205,17,45,9,0,3,0,0,3,3,83,167,239,98,24,27,12,18,22,11,623,43,58,43,10,15,8,5,8,6,188,11,22,11,0,3,0,0,0,0,49,35,332,7,12,4,3,0,4,5,405,21,68,4,5,6,4,0,4,0,115,297,348,7,19,53,65,8,10,15,815,88,235,3,29,21,11,3,7,3,405,12,34,13,8,0,6,3,4,0,85,10,0,23,8,0,4,0,3,0,48,0,0,0,0,0,0,0,0,0,0,13,11,3,7,0,3,0,3,0,41,9,7,8,7,0,5,0,0,9,42,775,1515,229,140,145,128,36,70,61,3103,21,91,7,12,20,3,3,3,0,160,6,19,0,3,9,0,0,0,0,42,13,34,7,3,5,3,0,0,0,73,8,37,3,0,6,10,0,0,0,68,4,8,4,5,3,5,0,0,0,28
POA6011,42,75,8,0,10,3,0,3,3,142,10,14,3,0,0,3,0,0,0,25,117,113,42,4,17,3,4,7,0,314,33,45,38,0,7,5,0,3,0,138,13,10,3,0,3,0,0,4,0,39,14,234,3,6,0,0,0,0,4,270,8,23,0,0,3,0,0,0,0,43,224,182,3,11,25,48,3,9,21,535,42,168,3,10,6,6,0,4,4,247,8,20,7,7,3,4,0,5,0,62,7,0,12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,6,6,0,3,0,0,0,0,17,3,3,4,0,0,0,0,3,4,20,527,892,137,51,79,81,20,46,46,1880,8,46,8,7,10,4,0,3,0,91,3,0,0,0,3,0,0,0,0,10,3,22,0,0,3,0,0,0,0,26,9,46,5,0,7,0,0,0,3,63,3,5,0,4,0,0,0,0,0,16
