POA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
POA6000,17,202,5,36,18,10,0,10,0,301,12,81,4,15,15,8,0,3,0,144,129,180,16,62,176,38,0,29,6,636,50,189,11,79,67,22,3,21,4,439,22,52,13,24,19,15,0,7,0,152,16,3,43,22,17,12,3,9,0,127,0,0,0,0,0,3,0,3,0,9,5,15,3,11,4,0,0,3,0,40,3,7,3,12,6,7,0,7,6,52,294,885,132,294,345,125,7,112,30,2212,39,144,16,20,16,8,5,0,3,248,31,115,25,6,18,3,0,14,3,215,102,356,170,27,45,25,19,45,10,813,29,89,82,3,17,9,4,20,0,255,6,20,3,5,3,3,0,8,0,48,30,330,10,52,20,12,0,13,3,475,17,128,7,26,17,14,3,8,0,217,279,392,38,96,251,62,12,65,14,1213,99,343,23,125,103,27,4,35,12,764,46,115,19,38,25,27,3,12,0,294
POA6003,4,57,5,13,5,4,0,3,3,94,7,37,0,8,9,0,0,0,0,68,39,65,5,24,35,19,3,4,0,194,8,62,3,24,21,9,0,8,3,136,11,18,0,5,7,6,0,3,0,66,3,0,20,7,10,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,97,284,44,95,102,55,5,30,11,729,5,50,0,5,3,0,0,3,0,74,7,26,5,4,7,3,0,3,3,61,34,72,50,13,9,7,3,28,0,212,8,20,22,5,3,4,0,3,0,78,4,0,3,0,0,0,0,0,0,15,8,86,3,20,5,3,3,4,3,141,9,59,0,8,9,6,0,0,0,90,90,113,12,35,59,35,4,14,6,376,19,113,8,41,25,8,0,17,3,247,27,47,10,11,17,10,3,6,0,122
POA6004,15,197,6,46,15,3,0,6,4,293,10,69,0,16,17,6,0,3,0,133,135,231,13,74,163,51,0,40,10,731,60,137,24,53,52,12,0,22,3,351,22,30,4,19,13,9,0,8,0,98,17,8,46,26,11,10,3,9,0,134,0,0,0,8,0,0,0,0,0,13,0,6,0,0,4,4,0,0,3,27,0,3,8,5,6,5,0,6,7,40,292,838,130,279,304,122,4,111,41,2128,21,132,16,19,13,11,3,7,3,228,27,111,27,8,12,8,0,10,3,202,163,381,151,18,32,24,28,39,9,837,37,47,65,3,14,6,7,19,3,206,7,9,8,3,0,4,4,5,0,44,17,324,14,62,17,6,3,8,5,457,22,102,7,19,20,6,0,3,0,181,319,456,56,108,240,94,12,82,25,1390,98,222,36,78,77,29,5,32,15,593,23,48,19,26,16,15,0,14,3,163
POA6005,11,165,4,20,4,9,0,8,3,222,6,51,0,17,6,0,0,3,0,81,55,94,4,24,87,20,0,15,4,305,20,105,3,38,34,8,0,5,0,224,5,34,5,17,17,14,0,8,0,95,13,3,16,16,8,6,0,0,0,63,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,11,138,553,44,142,180,73,3,46,18,1192,11,87,9,6,12,16,3,5,0,148,21,74,8,0,7,5,3,5,0,117,48,203,74,10,29,3,12,13,3,389,15,37,25,4,18,3,3,3,4,113,3,7,8,0,5,0,0,5,0,31,14,239,10,29,4,9,0,7,3,312,4,67,0,22,10,0,3,3,0,112,134,224,16,34,123,48,6,29,6,616,56,191,11,60,52,21,4,17,5,410,14,51,14,22,23,9,3,12,0,144
POA6006,17,214,6,37,15,12,0,3,3,307,17,133,4,21,17,3,0,3,0,197,87,138,7,28,115,31,0,11,3,417,45,192,4,50,50,3,0,3,0,353,14,82,9,10,23,15,0,4,4,165,6,6,26,22,17,4,0,6,0,86,0,0,0,0,0,0,0,0,0,3,5,10,0,4,5,3,0,4,3,28,6,7,0,3,3,3,0,0,5,27,228,882,82,186,268,88,3,46,20,1798,29,110,22,16,15,11,0,3,0,201,22,57,9,3,7,3,4,5,0,107,94,159,127,10,28,10,17,18,3,476,33,71,75,3,11,4,3,7,0,216,8,19,11,3,0,0,0,4,0,48,25,300,17,45,20,18,0,3,3,435,27,180,5,27,15,4,0,3,4,271,201,290,16,31,159,58,8,25,11,799,85,280,17,74,66,12,0,4,3,545,31,146,20,25,32,19,0,10,4,293
POA6007,13,281,9,34,14,11,0,0,0,372,16,108,3,11,5,3,3,0,0,153,97,143,5,26,77,35,0,9,7,401,20,169,3,36,44,9,0,6,7,292,11,43,5,13,11,6,0,5,0,90,7,3,24,13,11,9,0,3,0,71,0,0,0,0,0,0,0,3,0,3,6,6,0,0,4,0,0,0,0,21,3,0,3,0,4,3,0,0,5,21,200,881,79,147,206,84,5,33,14,1646,24,131,12,11,15,9,0,5,0,205,21,55,8,3,10,0,0,4,0,99,70,193,82,8,28,9,18,21,3,423,28,60,65,0,22,9,7,7,0,202,5,24,3,0,3,4,0,6,0,46,29,415,15,55,21,13,0,5,3,552,24,139,4,13,11,11,6,0,0,205,192,270,25,38,113,61,11,18,12,730,47,270,12,60,60,18,7,14,3,482,19,89,16,18,19,8,7,3,0,175
POA6008,38,572,12,66,41,7,0,3,5,737,40,193,0,25,23,11,0,0,0,288,139,218,10,38,155,52,0,11,12,639,76,327,15,66,84,25,0,11,8,606,21,92,3,12,25,24,0,3,0,190,10,3,18,21,17,10,0,4,0,87,0,0,0,4,0,0,0,0,0,3,14,20,0,3,5,3,0,0,0,44,0,17,8,7,3,3,0,0,4,42,387,1691,94,258,414,146,3,39,34,3077,79,278,20,20,28,13,0,10,5,463,28,89,19,5,14,4,3,5,3,159,163,366,123,17,37,18,7,33,4,766,35,123,67,5,20,8,3,6,4,270,10,31,5,7,6,4,0,4,0,73,57,884,15,75,44,9,0,12,10,1109,62,261,5,23,26,11,0,5,0,389,395,571,25,50,211,107,3,15,20,1407,140,589,24,90,125,38,4,14,20,1043,38,159,24,21,32,27,3,8,0,317
POA6009,27,557,9,36,67,8,0,3,8,710,31,185,3,21,47,3,0,4,6,300,121,222,9,32,149,57,0,4,8,610,65,305,10,44,106,22,0,7,3,556,17,54,9,17,15,5,3,0,0,118,8,3,7,26,10,6,0,4,0,62,0,0,0,0,0,0,0,0,0,5,5,12,0,3,7,3,0,0,0,42,3,11,0,3,6,0,0,0,11,39,325,1567,71,225,462,154,4,43,38,2885,86,328,24,51,36,41,3,22,7,585,20,49,11,6,9,4,7,0,0,104,179,344,75,10,44,34,29,29,6,745,55,64,31,3,13,16,0,7,6,197,12,31,13,9,0,0,3,3,0,76,52,1093,11,52,68,12,3,8,13,1315,43,234,4,31,53,9,5,6,6,383,413,533,11,60,203,115,14,25,27,1405,132,620,19,66,139,34,5,19,13,1050,24,100,14,21,20,13,6,8,0,211
POA6010,38,519,4,50,61,6,5,3,9,688,34,251,5,45,42,12,0,0,5,391,159,197,7,34,163,58,0,0,8,633,70,267,4,53,65,29,0,10,3,504,14,54,7,11,31,16,0,0,4,145,14,5,28,12,10,8,0,7,0,82,0,0,0,0,0,0,0,0,0,0,9,14,5,0,11,3,0,0,0,40,3,11,0,3,4,4,0,0,6,41,393,1507,90,241,427,171,10,24,30,2893,72,198,22,29,30,13,3,4,9,372,27,64,6,4,15,0,0,3,5,124,183,276,106,29,34,20,19,22,11,697,50,94,45,10,24,20,5,6,6,258,15,24,10,6,4,7,0,0,0,76,72,844,14,65,60,14,5,5,9,1093,56,321,12,48,43,16,4,4,5,507,453,540,16,54,216,121,8,10,21,1454,156,505,9,88,88,38,3,15,9,909,29,88,18,21,31,27,3,5,4,224
POA6011,34,328,0,26,28,8,0,0,3,423,27,121,0,24,18,7,0,0,3,205,100,129,3,17,88,25,0,0,5,368,28,185,3,27,41,12,0,5,4,302,8,50,0,7,7,9,0,0,0,78,9,0,8,8,3,8,0,0,0,38,0,0,0,0,0,0,0,0,0,0,6,8,3,4,5,3,0,0,0,31,3,10,0,3,3,3,0,0,0,15,233,945,38,123,213,73,0,14,24,1665,52,114,16,9,16,13,0,3,5,237,16,14,3,0,3,3,0,0,0,33,114,129,42,10,17,9,4,8,0,346,46,89,42,0,10,8,0,3,3,204,19,22,4,4,3,0,0,3,0,55,44,562,3,31,26,8,0,0,10,693,36,145,3,26,20,8,0,3,3,247,318,317,13,32,109,70,3,15,24,904,71,346,9,36,48,22,0,5,15,546,24,71,12,13,9,11,0,5,0,138
