POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6000,26,6,130,40,17,23,9,21,5,277,0,0,6,3,0,3,0,4,0,12,11,23,4,11,10,3,3,3,0,73,7,29,12,13,8,10,3,24,14,108,727,2081,553,458,556,221,73,277,73,5018
POA6003,12,0,50,15,9,4,3,3,0,109,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,5,0,0,0,22,0,3,0,7,3,0,3,0,0,22,229,600,173,168,154,93,28,89,25,1558
POA6004,35,11,124,41,18,15,3,20,0,267,4,0,0,11,0,0,3,3,0,15,5,17,5,3,8,4,0,0,6,47,4,11,17,12,4,5,4,12,16,97,786,1874,534,427,473,223,73,261,85,4732
POA6005,23,4,51,21,8,7,0,3,0,126,0,0,0,0,0,0,0,5,0,7,3,19,0,0,3,0,0,0,4,33,3,0,8,3,0,0,0,0,8,27,359,1202,221,216,285,129,41,108,33,2589
POA6006,18,11,66,24,17,7,0,11,0,158,0,0,0,0,0,0,0,0,0,3,6,17,0,3,7,4,3,3,3,49,10,13,5,7,0,5,0,8,10,55,588,1648,393,272,390,165,50,113,33,3652
POA6007,17,7,54,16,12,6,3,8,0,119,0,0,3,0,0,0,0,3,0,9,9,14,0,4,6,0,3,3,0,40,3,0,5,6,3,3,0,4,6,34,488,1654,292,238,313,148,54,95,41,3324
POA6008,20,9,49,31,18,12,0,4,0,148,0,0,0,4,3,3,0,0,0,7,14,27,0,4,8,3,3,3,4,71,11,28,14,7,3,12,0,3,11,87,1052,3413,393,375,586,262,39,125,83,6326
POA6009,15,7,30,23,10,7,0,4,0,93,0,0,0,0,0,0,0,0,0,3,11,23,0,4,11,4,0,0,0,60,11,15,3,3,5,0,0,3,17,65,1059,3442,251,336,614,291,72,143,88,6294
POA6010,26,3,47,21,10,13,0,3,0,129,0,0,0,0,0,0,0,0,0,0,17,30,5,7,9,3,0,3,0,77,16,19,8,6,9,13,0,3,14,85,1174,3023,316,383,570,304,46,96,86,5995
POA6011,10,0,19,11,10,8,0,3,0,63,0,0,0,0,0,0,0,0,0,0,13,16,9,4,3,3,0,0,3,47,5,10,4,3,3,3,0,5,4,35,763,1841,177,167,290,155,20,56,75,3548
