POA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
POA6000,3,3,0,0,0,0,0,0,0,6,6,73,0,0,3,0,0,0,0,90,88,235,14,12,25,7,4,14,3,397,0,3,0,0,0,0,0,0,0,3,17,51,7,4,4,3,3,0,0,86,7,5,0,0,0,0,0,0,0,15,189,680,75,53,111,40,10,56,21,1230,0,3,0,0,0,0,0,0,0,4,25,45,33,19,11,5,0,8,0,148,36,33,34,28,18,9,9,21,0,184,47,39,232,36,32,24,25,44,10,501,3,5,3,4,3,4,0,3,0,22,6,4,4,12,0,0,0,3,0,31,5,13,7,7,0,0,0,7,0,40,4,18,5,7,3,3,0,4,10,46,436,1195,422,169,216,97,62,167,43,2804,3,4,0,3,0,0,0,0,0,11,3,48,0,0,0,0,0,0,0,55,48,163,6,18,31,12,0,4,3,286,0,3,0,0,0,0,0,0,0,9
POA6003,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,22,16,42,0,5,16,3,0,3,4,96,0,0,0,0,0,0,0,0,0,3,3,15,0,0,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,4,66,193,23,25,16,17,3,23,0,371,0,0,0,0,0,0,0,0,0,0,11,10,9,9,0,3,3,5,0,48,18,11,17,8,3,5,0,9,0,74,15,9,63,14,7,3,8,12,0,133,0,0,0,4,0,0,0,0,0,9,4,0,0,3,0,0,0,0,0,12,0,0,3,0,0,3,0,0,0,15,3,3,4,0,0,0,0,4,3,16,140,313,122,72,49,35,19,58,15,829,0,3,0,0,0,0,0,0,0,4,0,16,0,0,3,0,0,0,0,15,17,50,0,4,6,4,3,6,4,93,0,0,0,0,0,0,0,0,0,3
POA6004,0,6,0,0,0,0,0,0,0,3,7,46,0,0,0,0,0,0,4,60,80,224,13,9,30,12,3,13,4,392,0,4,0,0,0,0,0,0,0,10,10,32,0,0,3,0,0,0,0,48,3,3,0,3,0,0,0,0,0,16,225,598,88,51,81,44,12,52,15,1178,0,0,0,0,0,0,0,3,0,8,55,36,18,14,10,7,10,16,0,164,39,27,55,32,19,10,7,16,3,208,48,27,190,18,20,15,22,33,5,374,3,0,0,7,0,0,3,3,0,13,7,3,18,3,0,3,3,3,0,40,3,11,5,5,0,3,0,3,0,38,7,12,11,5,3,0,5,10,5,54,498,1031,400,151,164,101,67,152,40,2607,0,3,0,0,3,0,0,0,0,3,7,30,0,0,3,0,0,0,0,45,54,151,3,16,43,10,0,10,6,294,0,6,0,0,0,0,0,0,0,11
POA6005,0,4,0,0,0,0,0,0,0,7,3,41,0,0,0,0,0,0,0,43,28,115,4,8,17,3,3,7,0,195,0,3,0,0,0,0,0,0,0,8,11,25,0,0,0,0,0,0,0,32,3,8,0,0,0,0,0,0,0,7,99,400,31,23,51,21,8,21,9,665,0,0,0,0,0,0,0,0,0,0,22,12,6,5,6,4,3,5,0,62,18,20,22,6,5,13,4,12,0,94,26,11,104,16,10,8,10,11,3,202,0,0,0,3,0,0,4,0,0,15,5,0,0,7,3,0,3,6,0,22,3,5,0,0,0,0,0,0,5,24,6,6,6,0,3,0,0,3,0,23,215,647,180,73,101,58,39,61,16,1396,0,9,0,0,0,0,0,0,0,13,0,17,0,0,3,0,0,0,0,19,19,88,5,9,16,6,0,4,0,145,0,4,0,0,0,0,0,0,0,4
POA6006,4,5,0,0,0,0,0,0,0,12,5,44,0,0,0,0,0,0,0,46,44,89,6,3,8,5,0,0,0,170,0,3,0,0,0,0,0,0,0,3,17,45,0,0,5,0,0,0,0,73,3,13,0,0,0,0,0,0,0,21,165,460,35,31,69,37,12,18,5,829,0,0,0,0,0,0,0,0,0,3,20,51,22,10,8,3,6,0,0,115,30,33,29,4,11,3,5,8,0,119,49,18,197,18,11,17,20,29,4,362,6,0,0,3,0,0,3,4,0,18,4,3,5,4,3,3,3,3,0,32,0,5,8,0,0,0,0,0,0,13,5,8,3,0,0,3,4,0,4,29,356,767,312,81,122,79,48,66,20,1854,0,3,0,0,0,0,0,0,0,5,6,44,0,0,3,0,0,0,0,51,29,132,3,4,16,0,0,0,0,191,3,7,0,0,3,0,0,0,0,16
POA6007,3,5,0,0,0,0,0,0,0,7,4,59,0,0,0,0,0,0,0,67,48,109,4,7,15,4,4,4,5,197,4,7,0,0,0,0,0,0,0,8,18,32,0,0,3,0,0,0,0,52,4,10,0,0,0,0,0,0,0,14,138,458,46,32,59,27,15,18,9,794,0,0,0,0,0,0,0,0,0,0,13,33,17,9,3,0,6,5,0,87,17,27,25,16,11,7,8,3,0,111,36,26,113,20,13,15,17,29,3,267,0,0,3,0,0,0,0,0,0,11,3,0,10,3,3,0,3,0,0,24,3,3,0,3,3,0,0,0,0,17,0,13,4,5,3,0,0,3,0,28,285,775,219,89,113,58,48,60,24,1674,0,7,0,0,0,0,0,0,0,8,4,56,0,0,0,0,0,0,0,61,33,153,4,7,7,7,0,0,4,212,0,4,0,0,3,0,0,0,0,14
POA6008,0,3,0,0,0,0,0,0,0,3,22,208,0,0,3,0,0,0,0,236,156,297,16,6,23,6,0,5,11,524,5,13,0,0,0,0,0,0,0,20,30,69,7,4,6,0,0,0,3,119,7,11,0,4,3,0,0,0,0,24,295,947,58,49,96,59,5,29,15,1554,0,0,0,0,0,0,0,0,0,3,33,57,24,7,5,14,0,0,3,145,40,37,17,14,14,15,0,11,3,149,49,25,158,23,14,11,14,19,4,319,3,3,0,0,0,4,0,6,0,15,8,11,3,0,9,4,0,4,0,39,5,18,6,0,10,3,0,0,0,46,10,20,7,3,0,3,8,6,3,49,667,1723,296,120,170,116,37,80,45,3250,3,11,0,0,3,0,0,0,0,18,17,143,0,6,4,0,0,0,0,175,76,250,8,10,38,14,0,0,9,402,7,18,0,0,3,0,0,0,0,33
POA6009,0,11,0,0,0,0,0,0,0,14,41,339,0,3,8,0,3,0,3,397,181,267,10,18,29,14,6,16,4,550,6,26,0,0,0,3,0,0,0,33,34,63,0,0,12,3,0,0,0,111,3,8,3,0,0,0,0,0,0,17,341,1049,48,63,75,72,29,48,25,1750,0,0,0,0,0,0,0,0,0,5,25,46,17,3,7,11,3,6,3,118,30,26,12,12,11,7,8,5,0,108,40,14,87,7,11,11,11,15,3,202,0,0,0,0,0,5,0,0,0,10,10,0,0,3,3,3,4,4,0,25,10,22,0,0,3,0,0,0,3,33,6,11,3,3,4,3,0,3,5,38,732,1877,186,116,158,133,61,99,51,3411,5,11,0,0,3,0,0,0,0,15,14,185,0,0,6,3,0,0,0,214,77,256,5,14,37,12,0,6,10,410,3,12,0,0,8,0,0,0,0,26
POA6010,3,7,0,0,0,0,0,0,0,12,25,151,0,0,0,0,0,0,0,178,150,241,11,0,26,5,4,3,5,447,10,10,0,0,3,0,0,0,0,18,25,51,3,3,6,4,0,0,0,90,3,9,0,0,0,0,0,0,0,13,391,865,52,44,81,63,15,22,29,1553,0,0,0,0,0,0,0,0,0,0,45,69,12,13,13,18,4,3,4,169,31,37,13,22,9,17,3,12,3,139,65,26,133,43,4,13,10,21,12,321,0,3,0,4,0,0,0,0,0,8,3,10,5,5,3,3,3,3,0,42,13,17,3,0,0,0,0,0,0,28,11,19,5,3,4,4,3,4,5,65,775,1515,229,140,145,128,36,70,61,3103,3,16,0,0,0,0,0,0,0,22,4,111,0,0,11,0,0,0,0,135,62,214,0,10,30,10,0,0,3,331,0,17,0,0,0,0,0,0,0,24
POA6011,3,12,0,0,0,0,0,0,0,14,11,98,0,0,0,0,0,0,0,116,96,130,3,0,10,5,4,0,12,259,6,4,0,0,0,0,0,0,0,12,16,39,0,0,0,0,0,0,0,61,0,3,0,0,0,0,0,0,0,7,273,534,24,23,43,45,4,14,25,985,0,0,0,0,0,0,0,0,0,0,38,31,16,6,3,8,0,0,0,96,23,16,11,5,10,9,0,4,3,79,41,11,76,9,3,7,4,16,3,173,0,0,0,0,0,0,0,0,0,9,8,3,3,3,0,3,0,3,0,27,9,9,0,0,0,0,3,0,0,24,8,9,3,0,0,0,0,3,6,29,527,892,137,51,79,81,20,46,46,1880,0,3,0,0,0,0,0,0,0,8,3,51,0,0,3,0,0,0,0,61,37,142,3,4,14,0,0,0,3,205,0,13,0,0,0,0,0,0,0,19
