POA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA6000,13,50,3,4,13,3,0,0,3,92,3,13,0,0,3,0,0,0,0,22,129,509,33,123,136,52,4,53,7,1038,0,0,0,0,0,0,0,0,0,3,17,32,10,12,23,6,0,3,0,108,23,28,27,44,52,17,3,10,3,202,23,11,41,51,55,19,0,21,4,228,0,0,3,3,8,3,0,0,0,14,13,3,0,12,14,5,0,4,0,43,4,3,3,13,4,3,0,5,0,37,9,12,6,17,8,5,0,10,0,59,294,885,132,294,345,125,7,112,30,2212,3,12,0,3,0,0,0,0,0,19,12,121,0,3,3,0,0,0,0,141,134,400,21,26,54,20,3,15,6,685,0,7,0,0,0,0,0,0,0,12,33,99,10,7,17,5,3,4,3,180,10,19,0,0,0,0,0,0,0,36,320,1188,108,172,250,90,13,106,28,2273,3,4,0,0,0,0,0,0,0,5
POA6003,7,23,0,3,7,0,0,0,0,41,3,4,0,0,0,0,0,0,0,13,48,159,14,39,34,15,0,9,4,316,0,0,0,0,0,0,0,0,0,0,5,10,3,4,8,7,0,0,0,42,4,6,14,17,9,14,0,0,3,66,3,9,14,13,22,10,0,7,0,76,0,0,0,3,6,0,0,0,0,12,0,3,0,10,4,0,0,0,0,22,3,0,0,4,3,0,0,0,0,15,0,0,0,4,3,0,0,0,0,16,97,284,44,95,102,55,5,30,11,729,0,4,0,0,0,0,0,0,0,5,6,30,0,0,0,0,0,0,0,42,39,92,3,5,24,15,3,4,5,188,0,0,0,0,0,0,0,0,0,3,8,41,0,6,5,0,0,0,0,62,7,9,0,3,0,0,0,0,0,21,107,351,30,68,54,29,6,32,5,684,0,0,0,3,0,0,0,0,0,3
POA6004,12,42,0,0,8,4,0,0,3,75,3,10,3,4,3,0,0,0,0,23,140,506,49,110,120,56,0,54,17,1048,0,0,0,0,0,3,0,0,0,4,10,30,9,18,25,9,0,6,0,111,28,27,23,61,32,10,3,14,3,205,19,18,34,32,36,15,0,12,0,166,5,0,0,3,4,3,0,0,0,17,13,3,3,12,10,9,0,4,0,44,0,3,0,7,5,3,0,4,0,24,3,8,0,15,4,3,0,4,7,49,292,838,130,279,304,122,4,111,41,2128,0,8,0,0,3,0,0,0,0,9,15,78,0,0,3,0,0,0,5,101,137,375,18,26,66,27,3,22,12,687,3,13,0,3,0,0,0,0,0,27,23,72,0,4,13,4,0,0,3,119,10,12,3,4,7,0,0,0,0,42,371,1099,139,164,206,102,18,106,26,2226,0,0,0,0,0,3,0,3,0,12
POA6005,3,33,0,3,3,0,0,0,0,48,3,13,0,0,3,0,0,0,0,20,72,342,13,59,78,37,0,20,10,640,0,0,0,0,0,0,0,0,0,0,9,21,6,4,9,5,0,6,0,63,16,12,5,27,21,14,0,4,0,94,14,4,11,24,19,9,0,4,0,83,0,0,0,3,3,0,0,0,0,9,7,3,0,3,10,0,0,0,0,23,0,0,0,4,0,0,0,6,0,16,0,3,0,3,3,3,0,3,3,19,138,553,44,142,180,73,3,46,18,1192,0,8,0,0,0,0,0,0,0,11,4,54,0,0,3,0,0,0,0,67,47,201,7,20,37,7,3,5,0,338,0,5,0,0,0,0,0,0,0,8,7,55,0,4,9,0,0,0,0,84,5,19,0,0,5,0,0,0,0,23,166,742,51,81,133,60,14,41,22,1305,0,0,0,0,0,0,0,0,0,0
POA6006,15,68,4,8,14,4,0,0,0,109,8,16,3,3,7,0,0,0,0,31,120,514,22,68,99,39,0,19,10,893,0,0,0,0,0,0,0,0,0,3,7,36,4,17,30,14,0,0,4,114,19,21,5,36,31,10,0,6,0,125,10,20,30,44,34,14,0,3,0,161,3,0,0,4,3,3,0,5,0,22,4,3,3,3,17,0,0,0,0,39,0,3,0,0,4,3,0,0,0,13,4,9,0,7,8,0,0,0,5,24,228,882,82,186,268,88,3,46,20,1798,5,8,0,0,0,0,0,0,0,17,14,87,0,0,3,0,0,0,0,102,74,224,9,12,22,10,0,3,7,359,3,13,0,0,3,0,0,0,0,14,25,112,4,7,21,0,0,0,0,181,7,31,3,3,5,3,0,0,0,51,289,971,56,100,170,72,9,38,15,1725,0,3,0,0,0,0,0,0,0,7
POA6007,6,60,0,3,5,3,0,0,0,82,5,14,0,3,4,0,0,0,0,29,93,498,22,50,82,30,3,11,7,805,0,0,0,0,0,0,0,0,0,4,14,36,4,16,30,5,0,3,0,110,13,21,11,30,25,15,0,7,0,126,14,9,24,21,28,8,0,0,0,110,0,0,4,0,3,0,0,0,0,10,0,3,4,7,12,5,0,0,0,37,4,0,0,4,0,0,0,0,0,12,4,9,0,0,3,0,0,7,3,27,200,881,79,147,206,84,5,33,14,1646,5,16,0,0,0,0,0,0,0,22,9,113,0,0,0,0,0,0,0,128,78,258,4,10,24,8,4,4,9,409,4,13,0,0,3,3,0,0,0,24,26,98,0,7,5,3,0,0,0,136,15,23,0,3,5,0,0,0,0,43,232,955,71,79,140,56,19,30,19,1601,0,0,0,0,0,0,0,0,0,4
POA6008,31,138,4,3,22,5,0,0,0,204,9,25,0,0,3,0,0,0,0,36,174,966,30,106,185,61,5,17,19,1559,0,0,0,0,0,0,0,0,0,4,26,67,4,22,36,13,0,3,0,162,17,27,5,39,44,14,0,0,3,151,13,16,23,53,43,19,3,9,0,181,3,0,0,0,6,5,0,3,0,17,8,6,4,11,17,11,0,3,0,61,4,6,3,3,4,3,0,3,0,24,7,10,5,14,10,4,0,0,3,51,387,1691,94,258,414,146,3,39,34,3077,3,16,0,0,3,0,0,0,0,20,35,353,0,4,10,0,0,0,3,408,236,549,20,14,55,17,0,11,15,922,11,37,3,0,7,0,0,0,0,54,65,204,6,6,33,5,0,0,4,328,17,38,3,4,3,0,0,0,0,62,475,1914,83,157,280,118,8,49,34,3116,0,0,0,0,0,0,0,0,0,3
POA6009,29,100,0,12,19,3,0,0,0,164,3,10,0,0,4,0,0,0,0,20,155,866,34,105,234,84,4,20,11,1517,0,0,0,0,0,0,0,0,0,0,12,62,0,22,45,12,0,0,3,164,14,19,7,26,36,7,0,3,0,106,12,11,13,34,15,14,0,4,4,105,5,0,0,6,13,6,0,0,0,28,6,0,3,7,21,6,0,0,0,45,0,16,0,4,7,0,0,0,0,30,6,13,6,3,11,3,0,0,6,44,325,1567,71,225,462,154,4,43,38,2885,5,18,0,0,3,0,0,0,0,29,55,525,3,3,14,3,4,0,3,614,251,525,14,29,69,29,6,24,16,959,15,34,0,0,9,5,0,0,0,60,63,165,0,12,29,5,0,0,0,278,5,18,3,0,3,0,0,0,0,31,498,1916,81,165,306,154,38,73,34,3265,0,0,0,0,0,0,0,0,0,5
POA6010,34,112,3,11,17,6,0,0,3,185,9,18,0,3,3,0,0,0,0,32,181,864,27,93,201,75,7,9,8,1468,0,0,0,0,0,0,0,0,0,0,34,84,7,34,59,21,0,0,3,244,22,37,11,22,38,15,0,3,4,152,9,7,34,35,34,20,0,4,0,142,0,3,0,5,8,5,0,0,0,25,12,3,0,12,18,3,0,0,0,55,7,9,0,3,7,3,0,0,0,27,11,16,0,3,6,8,0,0,4,46,393,1507,90,241,427,171,10,24,30,2893,10,28,0,0,0,0,0,0,0,34,32,261,0,0,8,0,0,0,3,310,214,458,13,15,53,12,4,4,8,775,7,27,0,0,4,0,0,0,0,47,57,166,4,16,23,13,0,0,3,276,7,30,0,3,6,3,0,0,0,47,578,1731,73,142,273,137,17,32,37,3021,0,0,0,0,0,0,0,0,0,0
POA6011,11,64,0,4,7,4,0,0,0,95,0,5,0,0,0,0,0,0,0,10,115,564,8,55,100,40,0,9,18,906,0,0,0,0,0,0,0,0,0,3,19,42,6,9,28,6,0,0,3,115,18,24,7,12,21,7,0,0,0,84,15,14,9,18,10,4,0,0,0,77,0,4,0,3,0,4,0,0,0,9,4,8,0,8,7,3,0,0,0,35,3,7,0,0,3,0,0,0,0,20,10,12,0,4,4,3,0,0,0,28,233,945,38,123,213,73,0,14,24,1665,3,12,3,0,0,0,0,0,0,22,15,155,0,0,3,0,0,0,3,175,126,270,4,9,21,8,4,0,17,459,8,16,0,0,0,0,0,0,0,26,29,102,0,4,11,9,0,3,0,153,0,13,3,0,0,0,0,0,0,20,384,1092,36,80,144,83,4,20,40,1888,0,0,0,0,0,0,0,0,0,3
