POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6000,42,73,39,29,30,13,3,13,3,251,60,57,56,74,72,31,13,26,6,389,72,51,275,88,84,47,28,63,13,722,4,4,5,7,8,4,0,8,0,43,17,5,11,19,10,8,0,6,0,75,12,18,7,12,8,3,3,12,0,77,7,28,8,23,15,4,0,12,11,110,727,2081,553,458,556,221,73,277,73,5018
POA6003,18,24,10,11,8,7,3,4,0,89,17,24,30,29,11,14,3,6,3,142,18,15,76,26,27,14,8,24,3,208,0,0,4,5,6,0,0,0,0,16,4,3,0,7,3,0,5,3,0,34,3,3,3,4,4,3,0,4,3,26,0,3,4,6,5,0,0,4,3,32,229,600,173,168,154,93,28,89,25,1558
POA6004,67,65,32,32,37,14,10,18,0,275,65,50,81,93,49,22,8,25,5,411,66,46,223,46,50,33,23,49,8,546,7,0,0,8,11,3,3,8,0,32,16,8,16,16,10,8,3,6,3,89,10,19,5,13,5,6,0,8,0,64,10,16,6,13,11,6,5,14,13,103,786,1874,534,427,473,223,73,261,85,4732
POA6005,28,32,16,5,15,15,3,9,0,127,33,28,22,37,25,24,4,16,0,188,36,22,109,35,31,18,12,14,3,284,0,0,0,5,3,0,4,3,0,21,10,8,3,9,8,0,3,6,0,43,3,13,0,7,0,0,0,8,4,39,6,11,8,4,11,3,0,4,6,45,359,1202,221,216,285,129,41,108,33,2589
POA6006,28,90,29,23,34,12,6,3,4,229,49,49,33,43,41,21,5,10,0,245,60,41,229,62,52,24,18,38,4,527,3,0,3,8,7,4,3,7,0,39,12,7,10,9,22,3,3,3,0,68,6,13,8,0,4,3,0,0,0,33,10,14,9,4,8,3,4,3,9,57,588,1648,393,272,390,165,50,113,33,3652
POA6007,22,65,19,23,28,9,7,5,0,190,32,46,41,42,37,21,7,11,0,237,49,30,139,40,39,28,17,27,3,375,0,0,11,0,3,3,0,0,0,22,6,6,9,12,17,7,3,4,0,64,9,11,0,7,3,3,0,0,0,26,4,22,3,5,4,0,0,4,4,52,488,1654,292,238,313,148,54,95,41,3324
POA6008,59,127,29,28,39,18,0,4,3,310,55,70,25,49,53,27,0,12,6,305,60,44,186,70,59,31,13,29,4,498,3,6,0,3,13,3,0,9,0,35,17,18,8,10,24,9,0,5,0,101,12,27,4,0,8,4,0,3,0,69,12,31,12,15,10,10,8,6,10,98,1052,3413,393,375,586,262,39,125,83,6326
POA6009,38,109,18,20,52,22,3,9,9,282,40,39,19,35,48,21,10,10,0,217,50,29,95,42,26,27,11,21,7,306,4,0,3,6,13,6,0,0,0,37,15,6,3,7,22,11,4,5,0,69,11,34,5,4,6,0,0,3,0,65,10,22,6,6,18,7,0,7,11,87,1059,3442,251,336,614,291,72,143,88,6294
POA6010,81,153,26,43,66,37,4,4,9,415,57,77,21,40,45,31,3,9,7,293,75,32,163,78,34,40,9,21,13,469,0,5,3,4,8,9,0,3,0,33,16,10,6,23,18,7,3,3,0,91,18,23,3,4,12,4,0,0,3,61,24,33,8,11,6,13,3,4,15,110,1174,3023,316,383,570,304,46,96,86,5995
POA6011,59,67,19,13,36,17,0,0,3,209,34,34,19,15,24,18,0,4,6,160,56,20,82,27,16,14,4,15,3,247,3,4,0,3,0,4,0,0,0,18,11,16,0,8,13,4,0,3,3,55,8,22,4,0,3,3,3,0,0,46,18,20,3,6,4,4,0,3,3,64,763,1841,177,167,290,155,20,56,75,3548
POA6012,35,46,15,32,43,21,4,7,3,206,39,35,22,38,20,10,0,11,0,171,55,23,115,47,32,20,10,31,4,338,5,0,3,4,0,5,0,0,0,25,11,6,3,13,16,4,3,3,0,59,14,17,0,0,4,3,3,4,3,42,12,16,9,3,11,11,0,11,3,69,611,1448,232,254,328,155,36,98,50,3210
POA6014,79,180,46,61,66,31,15,26,3,514,96,87,59,83,73,51,13,35,10,490,120,55,333,111,101,35,23,54,18,846,4,3,4,8,18,10,3,9,0,61,11,13,5,14,28,16,4,10,3,108,14,36,8,17,8,7,0,3,0,96,8,34,11,6,27,6,3,19,8,119,1386,3764,629,586,826,360,114,312,86,8064
POA6015,38,60,7,8,32,9,0,0,3,160,20,21,11,18,25,12,0,3,0,107,43,11,64,17,12,15,5,12,0,175,0,0,3,3,0,3,0,0,0,13,12,4,0,4,9,8,0,0,7,36,7,7,0,0,3,0,0,0,0,25,7,14,5,9,7,3,0,3,5,60,506,1126,121,99,220,106,9,40,44,2270
POA6016,53,81,24,32,34,10,16,17,0,268,50,64,42,54,48,27,12,43,3,345,67,45,248,63,55,41,29,33,14,595,0,7,0,7,7,5,3,5,0,36,10,6,8,26,22,5,3,15,0,98,4,12,4,4,4,3,0,10,0,40,7,17,5,4,8,5,3,3,8,56,602,1766,422,349,394,211,105,260,39,4144
POA6017,9,23,17,16,15,8,0,8,0,95,18,37,22,51,19,13,8,29,0,199,30,14,143,49,41,19,24,28,3,347,0,3,3,3,3,4,0,4,0,24,3,6,4,14,12,3,0,3,0,50,7,6,4,5,0,5,0,4,0,33,3,8,0,10,6,3,3,5,0,46,170,462,240,222,205,111,70,153,16,1644
POA6018,175,275,115,101,141,60,24,28,6,934,202,235,159,195,179,72,19,38,15,1123,290,172,1237,254,293,172,120,158,40,2737,19,10,16,28,42,26,12,12,3,156,51,35,32,49,91,49,7,17,5,339,21,56,15,18,24,11,3,6,5,168,28,52,23,33,49,23,16,18,26,273,2190,5752,1842,1111,1596,710,264,411,168,14036
POA6019,103,199,71,81,84,36,4,13,10,599,149,150,111,142,117,59,15,33,12,793,210,99,865,176,162,103,75,143,21,1864,16,8,9,17,21,12,0,11,0,101,29,29,20,40,51,24,13,18,3,227,27,32,13,19,18,14,4,16,0,135,29,36,14,19,27,21,7,4,6,162,1475,3542,1296,840,946,499,176,346,100,9227
POA6020,124,232,65,78,92,56,7,13,8,676,104,99,69,87,83,54,16,16,8,529,231,79,649,174,160,99,72,74,25,1563,6,7,16,16,26,10,3,9,0,87,26,24,22,29,64,30,8,11,3,218,21,11,6,6,16,6,3,9,0,79,28,52,7,12,21,15,3,7,14,166,1347,2958,938,570,838,406,142,185,115,7493
POA6021,87,105,52,56,70,39,20,20,6,462,99,88,96,110,129,54,36,39,10,658,166,62,774,163,169,104,120,127,26,1718,12,10,9,8,19,15,7,7,0,77,24,20,17,39,57,20,3,11,0,196,11,16,8,10,20,8,11,11,0,95,12,18,25,19,26,23,0,11,13,157,826,2069,1147,579,809,438,236,317,92,6512
POA6022,12,40,14,14,24,5,4,0,3,124,24,30,24,38,33,12,3,10,0,162,47,24,246,60,52,31,25,35,7,527,4,3,0,0,12,3,3,3,0,27,0,9,4,14,15,4,0,3,0,56,3,3,4,0,3,3,0,0,0,19,4,3,6,4,10,3,0,3,10,41,182,551,328,181,205,81,50,61,22,1671
POA6023,71,149,46,58,85,34,9,11,3,470,69,96,49,63,81,44,7,19,11,434,145,76,536,145,123,59,66,74,21,1247,4,6,7,18,19,9,0,9,0,69,17,13,8,34,53,15,6,5,0,152,8,22,3,8,13,0,0,4,0,62,14,24,15,21,13,10,4,6,9,110,861,2096,762,494,636,256,104,171,74,5460
POA6024,40,92,40,53,47,22,5,8,0,318,64,80,61,69,89,21,10,10,0,411,133,91,621,149,140,76,91,120,32,1450,8,3,9,21,18,16,3,3,3,88,5,17,18,37,32,17,3,11,3,141,10,11,8,5,18,3,3,0,0,67,3,21,11,19,16,15,9,10,3,112,530,1433,862,463,548,235,144,198,71,4473
