POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6000,48,140,27,16,7,365,99,27,303,52,51,20,549,12,5,37,14,18,4,85,11,5,53,25,60,6,159,32,7,83,30,39,20,208,850,222,2273,646,845,181,5018
POA6003,23,47,6,8,3,124,20,14,92,14,20,4,166,3,0,17,7,3,3,32,5,0,12,14,13,0,49,7,0,27,15,12,5,66,238,86,684,235,259,56,1558
POA6004,34,135,25,18,3,290,81,25,300,64,34,20,537,12,0,35,11,13,4,73,9,3,37,17,47,7,110,39,8,93,24,29,24,214,800,180,2226,695,661,163,4732
POA6005,28,79,17,13,3,192,66,16,185,35,19,13,339,4,0,30,6,8,3,51,10,0,30,16,30,3,93,8,5,45,10,15,11,86,411,116,1305,319,349,77,2589
POA6006,73,198,45,27,7,437,85,38,266,60,52,10,512,10,3,50,13,14,3,97,12,0,34,20,57,0,129,14,4,57,14,20,11,123,474,253,1725,482,635,90,3652
POA6007,40,144,32,15,7,329,105,39,329,78,38,20,612,4,9,34,12,3,3,64,6,5,26,21,36,3,103,21,5,62,18,19,3,120,555,203,1601,431,459,79,3324
POA6008,123,297,51,24,3,807,248,80,683,103,57,34,1207,14,6,71,8,8,3,114,16,4,41,19,42,3,130,48,13,97,20,21,15,214,1357,448,3116,612,636,166,6326
POA6009,80,360,48,36,14,949,399,94,800,106,31,35,1462,17,6,51,14,6,0,97,22,7,32,10,28,0,106,55,12,116,24,23,24,242,1600,364,3265,499,413,153,6294
POA6010,114,370,73,43,10,832,267,65,588,117,40,23,1097,12,8,53,12,11,0,95,17,5,50,24,45,0,149,33,10,98,43,28,17,232,1125,370,3021,709,593,168,5995
POA6011,39,157,29,15,12,352,168,40,405,54,19,19,703,9,0,26,8,9,0,58,6,3,22,14,11,3,63,25,10,66,23,17,9,148,660,200,1888,374,326,103,3548
POA6012,62,201,41,19,5,429,119,39,281,50,46,22,557,9,9,36,9,9,0,65,10,3,33,19,29,0,92,28,4,69,16,21,10,149,573,193,1539,373,426,110,3210
POA6014,139,439,82,52,16,970,271,111,836,173,114,35,1535,24,18,67,17,19,7,154,32,6,66,33,76,7,224,52,13,127,41,42,19,290,1385,523,3921,1015,1011,207,8064
POA6015,34,134,17,14,12,269,114,27,207,38,11,18,416,4,0,21,7,4,0,37,3,0,16,6,21,0,50,11,3,46,12,18,9,100,426,139,1130,266,223,84,2270
POA6016,88,214,47,45,7,472,112,49,300,77,57,14,609,4,10,42,7,5,0,74,10,5,41,29,51,6,134,12,3,58,34,36,7,148,564,288,1852,612,731,96,4144
POA6017,23,57,14,10,7,129,11,5,116,51,46,10,251,3,0,6,3,4,0,21,0,0,7,19,49,0,70,5,3,21,9,19,9,63,167,55,627,295,419,77,1644
POA6018,288,846,179,171,38,1816,300,166,1072,270,210,63,2075,26,10,97,43,61,12,254,41,9,131,83,279,8,558,45,9,175,87,137,58,517,1672,856,5777,2070,3231,439,14036
POA6019,202,480,121,88,24,1097,167,95,694,178,126,32,1302,14,11,81,24,36,10,176,16,15,98,54,155,12,345,37,16,128,43,101,25,349,1012,542,3767,1404,2186,303,9227
POA6020,142,550,123,128,19,1162,114,77,516,179,128,29,1041,0,4,48,28,30,6,123,10,6,50,41,118,3,230,24,9,70,38,90,21,268,764,435,2975,1216,1870,242,7493
POA6021,78,297,83,97,27,657,110,48,390,154,160,33,894,5,7,46,19,21,10,104,9,10,50,55,166,4,297,21,5,60,52,92,24,252,583,252,2311,1121,1991,249,6512
POA6022,39,121,35,39,4,251,21,13,107,52,52,12,250,0,0,9,3,4,0,24,3,5,20,5,56,3,86,3,0,9,7,20,7,42,83,93,541,288,614,55,1671
POA6023,117,391,100,91,19,850,78,66,336,155,121,29,783,6,4,33,19,24,7,95,9,3,38,33,107,8,201,14,8,60,40,71,15,207,528,339,2034,915,1464,171,5460
POA6024,81,299,66,104,19,639,48,42,282,137,148,33,688,7,3,22,12,22,3,65,10,3,31,21,105,0,169,11,3,25,21,81,13,149,287,222,1375,730,1679,178,4473
POA6025,172,614,176,207,34,1384,130,63,673,303,299,61,1527,3,6,58,27,47,3,145,10,9,60,68,279,15,438,22,10,86,82,173,50,430,740,461,3373,1801,3793,412,10588
POA6026,145,520,153,194,25,1157,74,52,422,256,211,33,1061,13,3,51,18,33,3,116,8,7,49,61,206,11,350,19,0,53,42,130,18,264,486,356,2418,1457,2693,236,7649
POA6027,238,824,251,319,45,1925,144,104,842,493,480,88,2151,10,6,67,35,64,12,195,18,9,91,118,402,24,664,29,9,111,107,272,55,580,910,596,4182,2680,5675,574,14614
POA6028,115,445,137,157,26,999,94,63,471,243,254,41,1160,7,7,23,21,35,5,94,10,3,42,54,254,3,365,18,3,59,59,157,27,319,525,321,2311,1557,3144,304,8164
POA6029,23,62,15,8,3,139,25,11,76,14,6,4,141,0,0,11,6,7,0,21,3,3,6,3,18,0,35,4,0,7,4,8,6,39,120,56,424,166,229,34,1033
POA6030,151,403,181,256,48,1137,98,67,576,418,491,86,1733,4,3,32,39,68,5,150,15,0,48,90,401,15,567,15,8,63,74,267,74,501,530,357,2456,2202,5432,570,11553
POA6031,48,194,97,108,7,493,56,46,321,251,260,29,958,0,0,14,5,22,4,54,8,3,23,64,213,8,321,5,0,38,33,101,29,204,247,162,1236,1090,2520,231,5487
POA6032,0,4,0,0,0,8,3,0,6,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,6,3,3,19,11,33,3,65
POA6033,0,9,7,0,0,16,0,0,6,0,7,0,17,0,0,0,0,0,0,3,0,0,0,0,8,0,8,0,0,0,0,4,4,11,0,0,27,16,49,5,110
