POA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA6000,0,6,10,3,3,0,0,0,0,28,0,4,192,74,47,22,7,0,0,349,0,4,44,21,14,17,9,3,0,113,0,4,20,7,4,0,4,0,0,36,0,25,147,72,38,19,4,0,0,309,0,8,35,13,14,9,0,0,0,78,4,28,94,32,15,10,4,3,0,192,14,91,232,59,28,22,0,0,0,442,0,6,53,18,15,18,0,0,0,110,0,7,19,11,3,3,0,0,0,42,0,8,54,29,14,5,3,0,0,108,0,3,28,8,6,11,3,0,0,58,3,27,287,155,54,37,6,0,0,570,5,17,49,26,17,5,0,0,0,126,0,13,103,39,41,30,6,0,0,234,3,4,69,40,33,16,8,0,0,180,0,14,113,49,12,25,5,0,0,214,0,9,29,9,6,7,0,0,0,58,0,8,44,14,14,15,3,3,0,95,0,23,73,47,22,10,6,0,0,189
POA6003,0,0,0,0,0,0,0,0,0,0,0,3,28,19,13,3,0,0,0,70,0,0,23,5,8,3,0,0,0,42,0,0,3,0,4,0,0,0,0,8,0,8,51,20,8,3,0,0,0,91,0,0,11,6,0,3,0,0,0,23,0,10,26,13,6,3,0,0,0,70,3,26,98,16,12,3,0,0,0,161,0,0,5,11,10,3,0,0,0,31,0,0,9,4,4,0,0,0,0,21,0,0,22,8,0,0,3,0,0,30,0,3,8,5,3,6,0,0,0,23,0,11,74,38,15,8,9,0,0,155,0,7,20,11,0,3,4,0,0,39,0,3,23,14,15,12,0,0,0,70,0,0,21,11,5,3,4,0,0,53,0,6,31,9,10,9,0,0,0,56,0,3,13,11,6,0,0,0,0,32,0,3,12,4,4,4,0,0,0,29,0,8,25,5,8,6,0,0,0,58
POA6004,0,0,6,0,0,5,0,0,0,11,0,12,164,67,61,30,5,0,0,336,0,9,45,28,16,17,8,0,0,134,0,3,9,14,11,4,0,0,0,37,0,27,153,64,33,33,17,0,0,329,0,5,19,15,15,15,0,0,0,69,4,34,72,29,18,19,8,0,0,186,18,92,220,48,13,15,3,0,0,411,0,9,44,15,29,17,7,0,0,124,0,3,18,8,7,7,0,0,0,43,0,10,54,15,14,15,3,0,0,122,0,6,23,3,13,13,4,0,0,61,0,23,235,117,62,51,18,0,0,507,4,16,68,23,14,8,3,0,0,130,0,10,57,41,35,25,3,0,0,167,0,7,43,24,14,23,8,0,0,114,0,11,84,41,21,26,5,0,0,186,3,5,20,20,3,3,0,0,0,60,0,7,24,10,12,9,0,0,0,59,0,16,85,29,28,14,11,3,0,188
POA6005,0,0,3,0,0,0,3,0,0,11,0,5,76,39,27,9,0,0,0,156,0,4,28,11,11,8,0,0,0,69,0,0,16,9,0,0,0,0,0,26,0,18,72,31,17,5,0,0,0,148,0,0,14,13,3,0,3,0,3,39,3,19,40,19,13,4,0,0,0,90,9,42,77,23,11,3,3,0,0,160,0,0,27,11,7,9,4,0,0,57,0,3,20,3,0,0,0,0,0,37,0,5,25,10,11,5,3,0,0,65,0,3,18,3,5,5,0,0,0,38,0,21,143,72,30,22,9,0,0,294,0,10,35,6,5,3,5,0,0,60,0,6,51,25,16,10,0,4,0,115,5,4,21,18,15,17,0,0,0,81,0,7,48,24,14,15,5,0,0,111,0,6,16,6,0,3,0,0,0,35,0,5,15,10,5,11,3,0,0,51,0,3,38,18,8,7,3,0,0,72
POA6006,0,3,3,0,3,0,3,0,0,17,0,6,59,53,34,20,3,0,0,174,0,3,28,27,20,24,10,0,0,112,0,4,12,9,4,4,0,0,0,32,6,28,102,70,53,25,13,0,0,295,0,0,15,13,16,7,0,0,0,45,11,25,57,24,24,15,5,0,0,163,20,34,59,25,19,6,3,0,0,169,3,3,26,27,21,21,3,0,0,95,0,7,23,7,3,0,0,0,0,44,0,5,29,23,21,8,5,0,0,83,5,3,10,19,12,4,0,0,0,60,0,18,96,116,84,61,13,0,0,388,0,3,16,13,18,12,0,0,0,63,0,3,36,34,44,29,3,0,0,144,7,7,33,30,37,26,5,0,0,144,0,11,34,33,32,27,0,0,0,145,3,10,17,14,15,6,4,0,0,61,0,7,17,3,15,13,0,0,0,59,0,8,31,20,31,8,10,3,0,113
POA6007,0,0,9,3,0,0,0,0,0,11,0,4,52,59,33,12,0,0,0,164,0,5,32,17,10,8,3,0,0,77,0,0,6,8,9,8,0,0,0,33,4,19,87,37,32,10,3,0,0,192,0,0,19,10,3,11,3,0,0,52,12,12,33,14,9,14,3,0,0,104,15,33,63,16,8,4,0,0,0,138,0,4,28,17,15,5,3,0,0,68,0,0,27,5,7,3,3,0,0,49,0,0,26,29,12,16,0,0,0,78,0,3,12,7,14,9,0,3,0,48,0,10,124,98,48,27,24,0,0,328,3,3,19,19,13,6,3,0,0,71,0,6,53,24,24,33,3,0,0,140,0,6,30,25,18,29,4,0,0,119,0,15,55,52,40,22,11,0,0,194,0,9,7,9,6,5,0,0,0,46,0,8,21,12,7,6,0,0,0,54,0,4,28,21,13,4,3,0,0,81
POA6008,0,0,3,3,3,3,7,4,0,21,0,12,86,91,77,42,10,0,0,327,3,7,22,42,30,26,6,0,0,142,0,0,15,20,11,7,0,0,0,51,3,22,88,74,53,36,8,0,0,284,0,5,19,19,23,8,3,0,0,73,30,43,51,26,25,18,12,0,0,217,42,50,68,29,15,16,5,3,0,224,0,9,21,16,21,20,4,0,0,91,0,4,12,20,15,13,4,0,0,66,0,12,42,45,38,30,15,0,0,187,0,11,22,16,17,28,19,5,0,109,3,30,198,182,161,122,60,13,0,768,0,4,18,25,20,7,5,4,0,85,0,8,49,42,47,43,14,3,0,208,10,21,62,49,61,75,40,3,0,313,3,12,123,86,92,77,19,4,0,421,7,14,16,13,7,13,11,0,0,85,0,13,19,18,13,9,4,0,0,74,6,10,49,33,28,32,13,3,0,171
POA6009,5,5,0,0,6,10,7,3,0,41,0,16,49,80,99,67,19,0,0,326,8,3,16,19,32,23,17,0,0,122,0,0,8,10,15,12,5,0,0,44,3,26,36,41,67,34,11,3,0,218,4,8,8,15,18,7,8,4,0,77,53,86,51,24,25,29,11,0,0,285,57,120,47,17,20,13,7,0,0,274,6,9,18,17,17,14,4,0,0,90,7,10,7,6,8,7,7,0,0,53,4,8,27,51,56,32,3,3,0,185,3,11,14,20,36,32,18,5,0,143,4,56,107,141,171,129,51,16,5,668,3,15,23,18,17,15,8,0,0,90,3,5,35,22,41,43,26,7,0,182,41,85,85,82,59,70,27,10,0,465,9,35,85,129,165,138,85,16,0,659,16,20,11,12,8,9,7,0,0,82,4,12,21,13,8,10,5,0,0,77,5,22,28,31,43,28,25,8,0,183
POA6010,0,5,3,3,8,10,12,3,0,43,0,0,53,91,107,59,19,0,0,328,5,10,21,31,52,24,9,0,0,148,0,0,0,14,8,5,0,0,0,32,9,31,55,59,59,35,10,4,0,260,4,7,11,9,15,19,12,0,0,77,32,70,40,37,46,25,20,3,0,278,50,63,34,19,14,16,5,0,0,196,3,6,20,17,24,21,6,3,0,103,0,7,7,6,16,7,8,0,0,46,0,0,25,36,73,33,23,3,0,200,0,12,19,29,26,27,25,3,0,136,5,38,111,135,153,120,76,19,0,652,3,8,11,9,23,21,3,0,0,79,0,15,91,78,55,41,22,3,0,307,22,40,47,43,55,62,26,0,0,298,3,20,64,66,100,87,51,15,3,411,23,18,21,6,10,10,4,3,0,94,3,11,10,10,14,17,8,3,0,76,4,15,28,40,41,38,21,7,4,194
POA6011,0,0,3,3,3,14,21,3,0,51,0,3,43,44,44,34,7,0,0,179,3,13,17,15,13,30,7,4,0,94,0,0,0,8,4,8,0,0,0,24,0,16,53,31,36,35,15,7,0,201,0,3,7,4,15,15,3,0,0,53,29,19,22,19,33,21,9,0,0,162,14,22,22,9,13,9,3,0,0,94,4,3,10,12,21,11,6,3,0,58,0,3,0,4,9,6,3,0,0,20,0,6,23,32,47,37,6,7,0,153,0,10,15,13,22,26,15,9,0,111,3,19,68,71,100,96,31,3,0,385,0,4,10,9,3,9,4,0,0,38,0,0,18,14,21,14,6,0,0,80,5,17,12,22,23,18,9,0,0,110,3,6,42,49,79,71,25,5,0,273,5,5,4,10,4,0,3,0,0,35,0,3,6,3,3,11,4,0,0,34,3,15,20,23,28,26,10,7,0,117
